,UKF243,UKF248,UKF251,UKF255,UKF259,UKF269,UKF275,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.09754023506881745,,,,,,,-0.024374729424586163,,-0.04541563813246601,,
BMP1,-0.00753781876848973,-0.01201588256312076,0.026477667485832166,-0.0020592396989588184,-0.061566658010395695,0.08948227856902033,0.001836350298306859,-0.037624066101365095,0.09450961298579444,-0.055198235665330365,0.12547158776050224,-0.011095764234185073,-0.03454817101244985,0.019475971120674885,0.0024811511006806136,0.0062434384027000595,0.053326022992554054
NDP,-0.03644102399189071,-0.0004203177749971615,-0.07462991424643152,-0.014967836780952797,-0.02668756684350295,0.04141390615115032,-0.019421304346700217,-0.021748998464775855,-0.004669855058387157,0.014073012271955994,0.02336626641877337,-0.01764539472166835,-0.016971083313525974,-0.03252245131507973,-0.005237193476996,-0.055214068207134516,0.06529026486835691
TNFSF18,-0.03198475265881659,-0.008841689381503846,-0.03180275736663357,,,0.08233863709431305,-0.01777978108043623,,-0.024507791638635652,,,,-0.025137228216335548,,-0.05801160549895076,-0.018574879956005624,
IL36G,,,,,,,,-0.01697402501852228,,,,,,,,,
RTN4,-0.005449465206549804,0.047218817326801825,-0.005340437721508935,0.0011690694847625363,-0.07391667619458658,-0.1261974159555217,-0.02169974469788012,0.001843412470920708,-0.014449011280367083,0.048480513486820136,-0.027904044973896064,-0.08157478470252286,-0.021320177532058983,0.009345357882766107,0.05624731070942227,-0.07171829713567628,0.0505657903646704
HEBP1,-0.020413321275755996,-0.023968451302978696,0.03902570265379758,0.09717720426013536,0.05579189194935195,0.048018528016745075,-0.01505151341349364,0.024610600394537774,-0.021690550108496822,0.013484186180172292,-0.03961995574738948,0.03499729330814484,0.02810039309904658,0.005353116947412031,-0.004241548396598504,-0.02776497468741134,-0.05849731167310719
WNT7B,0.024454498770780313,0.007958496853426518,-0.01975488703022132,0.006181886500469834,-0.028071516234990344,-0.05780944713713547,-0.021521388100207754,0.10735103441635874,0.028399629605232016,-0.032749770223381984,0.06593788291439706,-0.04516370944629066,0.0334774134629491,-0.037628988540129665,0.04974479687464548,0.0896893236768689,0.09309008706959768
PTMA,0.07429391908187888,-0.05351434710570357,0.007787388846881851,-0.1231954080069546,-0.005098555277864499,-0.03431031589737045,0.013485916230394933,-0.048114825305797304,-0.08154936659366263,-0.12078276610352115,0.1303063097486044,0.04675848018753354,-0.04038835573230809,0.002956608814736112,-0.013452438560524109,0.04022992122048717,-0.016371083275373927
FASLG,,,,,,,,,,,,,,,-0.016487253027761023,,
