,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,,,,-0.04135128867132855,,,-0.027873570815997815,,
BMP1,0.12534442274153398,0.0389355954124365,-0.03568814621606409,-0.06356210507827315,0.00882888000876761,0.030381348172331395,-0.014739305546672061,0.004471910033838381,0.08090952711121703,-0.021309182190970798,0.015444515220919778,0.07077254234249687,0.02426554356508428,0.015546393925635213,0.010047370719427552,0.029276481183336173,0.001331905340108798,-0.07289463004828167,0.007595020996299037,-0.0024211441877236054,-0.024829916659358336
NDP,0.022480041468088293,0.031055175228119243,-0.05262342196216151,-0.03581127107594907,-0.032277227915638466,0.03859495759885323,0.0002226031710794034,-0.00477317690071,-0.013278452499513434,0.01880858931684261,-0.002962116928351455,0.06529581950349551,0.15474979863631508,0.061592316574140486,0.03443843725383909,0.013420144447168195,-0.009596618108390634,0.049154456661824844,0.028853987405427984,-0.006546199358979077,-0.03131635024535365
TNFSF18,0.09839964966598971,-0.006034730254031334,0.027750842905390833,,,-0.0017240006921209886,-0.01049288476050293,,,,,,-0.05292240280039537,,,-0.0037345619163130367,,-0.03264745440661425,-0.018343355208262906,-0.04942556588963925,
IL36G,,,,,,,,,,,-0.01614024145987865,,,,,,,,,,
RTN4,-0.043137634832283195,0.02630017033146778,0.02929604261284681,-0.04868649343935394,0.01337809171798755,-0.0341512333778519,0.04600602628902973,-0.04477562530310673,-0.08265387460126881,0.02821598556002744,-0.044613132685044604,0.021826084751834406,-0.031373359311670214,0.018721918333900214,-0.03298557486650506,-0.06402210147881436,0.06905031951884658,-0.04174227693931611,-0.056196294013689314,-0.016388502316796297,0.061123824429113065
HEBP1,0.022322760296720028,-0.00623187879924346,0.05943108225132291,-0.05355651454066383,-0.02277440584476984,0.05431428971895323,-0.03388896268782112,0.02682955798091913,0.08825188375653577,-0.03469223043408261,-0.04094836958379824,0.08978713496063992,0.018496087168218763,-0.008623531086897888,0.088407265791368,0.02691266593208373,0.020817046658618017,-0.0024652667907119224,0.0012805185905722166,-0.031565934104145904,-0.059884058938647615
WNT7B,-0.022530948025550546,0.0728647246116848,-0.020649633325635387,-0.014767467630319348,0.0552219474877644,0.04802924570122387,0.043021014499205965,-0.014267906295938555,,-0.04018245509569712,-0.0177399853884205,-0.07341017023430743,,-0.025567072191766425,0.028404865984585824,-0.0010436054517464943,-0.02550342364681989,-0.0326474205536565,-0.01558967632575954,-0.0064115677327263604,-0.04966476543842548
PTMA,-0.07079017185812977,0.008713514972628062,-0.003390038989827517,0.0282380469466963,0.022428693374765246,0.06127719699444952,0.050939932189281736,0.00812202774429971,0.07117747987194116,-0.012421129325556892,0.0449827924421401,-0.10077427141872693,-0.06538835283983366,-0.05003824426549392,-0.07210248713653804,-0.07341367991612799,0.05544501360050757,0.01428292400257461,-0.031950384171943375,-0.05020326481053207,-0.027732831025227958
FASLG,,,,,,,,,,,,,,,,,,,-0.02417473845950881,,
CEACAM1,,0.00916542909750239,-0.015847351585612283,0.09872236636163406,-0.02093960029395779,,-0.016502807965970437,,,,,0.023284761298812823,0.1409121737263063,-0.05999890038184965,0.14482209834318419,-0.04406459878847219,-0.015111766007473616,,0.017123820023549268,,
PDAP1,0.0235439313342345,-0.027825362344242995,-0.0220240692615674,0.06729639630116327,0.005142956898655791,0.04836037574507479,-0.004749649610498,0.05864956628673528,-0.06559657055250151,0.017304562596676135,0.05594997584915324,0.013233335334136573,-0.02383629547411996,0.017186648033316532,-0.07277056920885798,-0.004169274723283366,0.04944566842645503,-0.12567626237441903,0.016563954505944185,0.0710256252843474,-0.07509386043318349
QDPR,0.11800301366420005,0.026389101664903783,0.01548441809664089,-0.024588377326195777,-0.0036329744371314493,0.003741673057209333,-0.0654496755503835,0.0012647511028453752,0.03640240994875267,-0.017915346030076426,-0.0408706011721799,-0.013502414506572115,-0.010326992758099233,0.030178221519222746,0.05417294361853783,-0.05380898992815463,-0.08048594675089903,0.03787768026797811,0.02506399566673262,-0.008948159938089952,-0.0681792300275071
POMC,0.023776599669956988,0.07468587246924152,-0.028158215439996376,0.006277775331423205,0.0308728967173173,0.05535115249908133,0.03227891514802003,-0.038375006717082175,0.0009717227136047315,0.044123347333448436,-0.034580640321051404,-0.07780714692503264,0.10244020455233517,-0.006422581267681413,0.11605757591154484,-0.02116630659876944,0.0028696126415051096,,-0.04959955161150644,0.05430111881198895,-0.05859115272111451
CCL18,-0.0023500491345636375,0.006576683634631179,,,,,,,-0.0006547515461872168,-0.039529307563181654,,-0.04739945194704326,,0.1346783478137653,0.08693139702891262,,0.03090976895910303,,,,
CCL17,,,,-0.02081934592235395,,,-0.013086670198260172,-0.017659668301334943,,,-0.014744568794898829,,,0.0042323236190248605,0.03537742758497349,-0.036552492305214804,,,-0.003320957718381395,,
VEGFD,-0.024967735715075882,0.007189221512129773,-0.022698151702286357,-0.0170943816052163,0.03867607915768219,,-0.013942740210451941,0.18488535455970623,-0.026918483591073298,0.05790398358171128,-0.015802211065987747,0.03370213753571051,0.10851261466828178,,-0.01654468572075608,0.02132501390895856,,,,,
TNFSF13,,0.03602488705092011,,-0.021245063834789104,,-0.00011915366552488373,,,,,,,,0.09992575926507766,0.04085759658340376,0.052399711341809055,-0.020219114761598673,,-0.03570326200269446,-0.0020859730505668013,
WNT5A,-0.009519305734415319,0.003953245762942133,0.03306360814194483,-0.04796471946271595,0.050639337463446475,0.04761051811678886,0.035438073814140485,-0.018605455129215315,0.007287263864548364,-0.03549135805536085,0.05901771718344933,-0.09214490222288724,0.033067911970300616,0.0010505883437212358,0.053197630425406615,0.045470441529350626,-0.008250611028367171,0.0071888785750347526,0.037307520907978134,0.012076130586945075,-0.02482131786365351
CXCL8,-0.057563462987738054,0.03985962863419193,-0.005289362813281429,0.024394566234798166,-0.05778796448981943,0.027762985762417015,-0.03577334455858417,-0.012062937183081893,0.056289367138149846,0.05066933969156848,0.002167815827398378,0.08944309190146338,-0.021679597015019043,-0.09627693336104629,-0.11944160781824827,0.022750201221160376,-0.022986491727112025,-0.10732382952428676,0.03910063560025666,0.04885146983207027,-0.08251610899658612
GRN,0.053142827163077264,-0.005700975980853933,0.05511281993470213,-0.09753026798412419,0.010647953281673573,0.0700157841959755,0.050698323403250034,-0.02358466384421941,0.05534564119306492,-0.060804561128052895,0.03436874958366674,0.01291280308545813,0.02687585402375543,0.08941673640363916,-0.007185305160005805,0.09773070884523945,-0.062429006593585745,0.0248337800727831,0.008276383996643981,-0.0641741828160052,-0.053690214311808114
MIA,0.033925266834225705,0.01712747782244678,0.09071654267058239,0.0352921670910227,0.05125793347282188,0.08672363907958658,-0.025722023383959673,-0.014731969552735768,,0.12625022326825866,0.0104064602546997,0.00967397144246878,-0.06559713187612487,0.10963347117915527,0.14874106788558014,0.05615176966757412,-0.03321960558042231,,0.024650551666512414,0.06444517328973629,
COL4A4,0.06839471012145157,0.012643293741763617,-0.033947089870435355,0.06756193790486485,0.052734128747554995,0.06273314476518244,0.06581606776161694,0.059328848590207754,,,0.010305336874048878,,0.06060773971097936,0.06995769418993336,0.024671544093928112,0.006781886943440296,-0.004103680911820184,,0.007664935474529789,0.008524883302987018,
TAC1,-0.006010539314968514,-0.01706952184993733,-0.0002084780966113626,0.010694967494578355,-0.003489299501800458,-0.011727402838957873,0.044481762073610834,-0.0238404629674526,-0.019110797861563254,,0.0019302114824295495,,,,,,-0.00498617576310406,0.0293502485424041,-0.028805138159079816,0.027346526363868244,0.07500941265375444
RARRES2,0.0108381708511342,0.04129232591246235,-0.005423119381245268,-0.02913673374645253,-0.05109564729816049,-0.0020913398382394867,0.03629596675164285,-0.029638523821080693,0.018530375020616455,0.08181379853853578,0.039676097470439625,0.03614266795815176,0.12634916927784925,0.008109196389486258,-0.01631099345735802,0.024479063511320325,-0.027956454613410456,-0.02121482499339674,0.10711466166094723,0.07260846332174825,0.03379104959871042
FGF7,0.04412319157642844,,0.025633332439512335,0.006539305290166786,0.016803804553280927,0.006179634904168122,0.007894835874959209,0.025651445965391886,0.12627448944857375,0.03935750405863968,0.07700043443490856,0.032158589835189176,0.16451408550665397,0.015371913780382726,0.05847031469380055,-0.03034430441298734,-0.036503567000696055,0.03356888279183067,-0.00696614171661155,0.07705018550477777,-0.017014439939837943
EFNA2,,,,,,,,,,,,,,,-0.04269545611943544,,,,,,
HBEGF,0.05944198849530166,0.06942989437668756,-0.05192895489263708,-0.0001440641699335488,0.027667258965254425,-0.01754533259605887,-0.021615921560248292,0.031544884330344074,0.031454409115929984,-0.01776442209228777,0.05229543908478852,-0.025729908397382144,0.03576430366259153,-0.02875241832728686,0.005144029125243819,-0.005901892411563878,0.0004966951415864026,-0.11868403210723596,-0.05709223337017373,0.049287318580445334,0.027845105680745948
CSF3,0.016604568496562687,,,0.06542314200918867,-0.027047296498575284,,,,,0.07641682998271734,,,,-0.08797681641132492,-0.03312722142145239,,0.016795962312676608,-0.02934260988789378,-0.023069624150889395,0.018145878395491515,
