,MGH258,UKF243,UKF248,UKF251,UKF259,UKF266,UKF275,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.011850564339868279,,0.06602436178936338,
BMP1,-0.04666655188904108,0.07713259471146935,0.0035927941520826965,-0.03167931238967053,-0.026875590538600124,-0.024628059955068168,-0.01498900817188006,-0.013198957771408053,0.011684771415055499,-0.004738675140192825,0.037262480336229774,-0.04385192766645813,0.011126399938747368,0.1404143757282709,0.00794082274248412,-0.025763050766326644
NDP,-0.0011879226909264917,0.11108455020968784,0.015463748739866306,-0.027990451060172027,0.035369356615388495,0.024574761370283006,0.018530683165809764,0.07991860886450441,0.029533712298904273,0.010786249526774193,0.048733902986238364,0.03513972727371632,0.025780796693059622,0.05334919861747862,0.026390430364661252,0.04884827733856839
TNFSF18,-0.023822605861465146,0.05490443688647997,0.012886960166267567,-0.027057277164365026,,-0.014769707489248877,-0.004050978062732084,,,,0.0879565699046399,,-0.03976371668536763,-0.0359729871257975,-0.01610376248414904,-0.028252155587353264
IL36G,,,,,,,,,,0.0066913566744003965,,,,,,
RTN4,-0.03259860700470662,-0.07379244620166694,0.04268278864898566,0.048790283561134226,0.01658332228685183,0.03174927185951251,-0.04034981469875728,0.022786757568366216,0.0041624137017039166,-0.050416037067369836,0.03142645419073668,-0.14017400792801557,-0.028941102042079135,0.001507867150523278,-0.009255497287243385,-0.04129996128986187
HEBP1,0.020278363219810115,0.045017443246752914,0.04730444481070143,0.06049589885334062,0.02157363574447048,0.013766268324204748,0.026301209481127224,0.1061271322406561,0.0536481288443082,0.03240560193718311,-0.01565240389818394,-0.013714825574404663,-0.03305576930924932,0.04772009783132596,-0.0021083588730809954,0.012708381103194936
WNT7B,-0.02098696961918647,-0.02726785323910686,-0.04582728642976122,-0.016807141832557337,0.03032969615422545,0.009729050526500568,-0.02673941726573785,,-0.009931019421759908,0.0015756181421610436,,0.022146578302294512,-0.04547230294923963,0.02285088935521581,0.04920655259974204,0.060278488603873685
PTMA,0.025126822882379114,-0.15796750077089763,0.009681508419353063,0.05406528770623845,-0.051756304242255975,-0.0807633069724242,-0.08512690210095843,0.026956668134388226,0.06803234025696653,0.012311590058494751,-0.0216100593691549,-0.12375617667312422,-0.02632286628449638,0.06838515148760196,-0.019194279692106853,-0.05676562133569758
FASLG,-0.020986975552149022,,,,,,,,,,,,,,0.022269191646965798,
CEACAM1,-0.02914059922560438,,-0.025133613433805532,-0.012898470474975977,0.0038242178080051697,,0.00941081503227019,,,,-0.023212964610378497,0.014963967083251501,0.025675309239686056,,-0.027826211931427376,
PDAP1,-0.012245906001147848,0.05533008427134894,0.041428833386829685,0.029278074625717344,0.017330915701876035,0.011638663778402595,0.0561522506320457,-0.03342990858730901,-0.010089941608534618,-0.03613043536088275,-0.013950806109423314,0.09671831479548708,-0.022517968166518614,-0.0671894272330475,0.06682084408860861,-0.02150265875055841
QDPR,0.02999210419221709,0.05150008779323857,-0.0034191533863344187,0.035010564226231465,-0.0036919864463310506,0.04329083696274125,-0.0036887399697566672,0.10160732622856503,0.028940010642862137,-0.004749402176349668,0.08238844521552333,-0.11508996049153537,-0.024768466512130653,0.039970666257807166,-0.013129178751304779,0.011718641152301064
POMC,-0.05134402235123755,-0.023653598680509275,0.03424106921376611,0.03525133621567864,-0.025546592218347305,0.019589997868900803,0.030208730586560314,0.05867569803457274,-0.028838127791183058,-0.03448179372077531,-0.018991037902650797,-0.001526834809778904,-0.010271439529431109,,0.0045936928511462515,0.030776055447738766
CCL18,,0.004948393343797636,-0.008770055046773695,,,,,0.05433340988926261,0.050461480850527915,,,-0.03281561552234692,,,,
CCL17,,,,,0.053652103519841926,,-0.023558240487799274,,,-0.021130512721308028,,,-0.04041979147083729,,0.050563605616138735,
VEGFD,,-0.004177472899788597,-0.009409470503440698,-0.01847447114344783,0.00577273776576023,,-0.013365444150852918,0.05137610252374071,-0.026231620850941415,0.03853290510766133,0.004783550724954166,,0.04274501408194255,,,
TNFSF13,,,0.0642356205752136,,-0.011719633135979441,-0.014323535129782305,,,,,,,-0.04504503147466789,,0.054871109567190615,0.03370257296039303
