,UKF243,UKF259,UKF260,UKF304,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.013890286795630334,
BMP1,0.00633527341645107,0.037578925447175754,-0.04812354770273935,0.11386143881123759,-0.0030458502725583844,0.016245630393914454,-0.08554603538744338,0.006472693834733797,0.0678693660517732,-0.0006845093964432723
NDP,-0.012620337612027573,0.020526986947455923,-0.041752664175736136,0.019801203916118813,-0.029908092212031893,0.03904659001556707,0.03971132792725397,-0.023371744910207364,0.024040360838750125,0.060543860365347736
TNFSF18,0.037954295303958295,,,,0.0019083030266832575,,,,0.07859589664525793,-0.028252160524764446
RTN4,-0.10258138573246225,-0.019847010390228004,0.021883688309007575,-0.11619325779096748,0.016829808780929215,-0.06419968214343762,0.04189593179055929,0.008900419440516966,-0.029402629795376865,-0.014721981874900298
HEBP1,0.04485000178394371,-0.009279683895907399,-0.002783759863900767,0.11275413128213145,-0.01569863089356882,-0.03357188081419893,-0.04690948376907098,-0.016801491187526888,0.014621536822146208,0.03037009599312812
WNT7B,0.07389306197797317,0.051321217469327496,0.02777789374287168,,-0.028610295616481058,0.06315767431557552,-0.03692433447511644,0.025070277266916022,-0.027223472406412694,0.021472189118879534
PTMA,0.0410655039825828,-0.0543827870417329,-0.053568069859318015,0.16037586426408157,0.0825526955597382,-0.03948853348549687,-0.0024732376068186844,0.01849310834244541,0.059785274108265445,-0.01446357431391525
FASLG,,,,,,,,,-0.007875514921274385,
CEACAM1,,0.09954695494670765,-0.015405853362008793,,,-0.021798925007725234,-0.017888120994756743,-0.018667418449817473,0.014391215021078084,
PDAP1,-0.0004463890953727352,-0.006764122958457748,0.02626846358660308,0.09790002137291666,0.02210555192687067,-0.04541515262171474,0.03535709683893352,0.06552480240177118,0.009214302374526948,0.024069878582754844
QDPR,0.06716191156763834,-0.004812994831181674,0.07448333186827653,0.10323114764908886,-0.006613051280698414,0.06209442619018262,-0.009237407670573778,-0.04325665229721457,0.07244186390660814,-0.02875454030842024
POMC,0.05861693636462457,-0.029895391295173847,0.0455613230892299,0.024882173523109178,0.06939049778901267,-0.04290127101562699,0.03308017617934733,-0.030537444326687712,0.042872144493832615,0.021557741655679655
CCL18,-0.026259925290113433,,,0.03657202517372886,,-0.03989176536557115,0.0003365054091761921,0.006643916038441097,,
CCL17,,0.013450618350021402,,,,-0.015465282195352629,-0.025822625662040816,,-0.022470351174946297,
VEGFD,-0.029587260426157464,0.035148688917498366,0.03463501019977322,-0.026686267916248674,,,0.004452537202624866,,,
TNFSF13,,0.009904965730160838,,,,0.01548991776989237,0.0912837222742771,0.04826102268784038,0.05713557292618216,0.0027900342245050004
WNT5A,0.031791530737726864,0.005753190035566807,0.044956634314682026,-0.02603752948251471,0.0493488019699592,0.022326658112689662,-0.0030676132697491825,-0.015546615722903135,0.047677679069436506,0.07758305549656541
CXCL8,-0.06516045714547913,0.019896152103729643,0.01543808169045731,0.19076252198403365,,-0.06411865364150411,-0.022290069051306413,-0.0232658448493015,0.05154371109962025,-0.013803657383813102
GRN,-0.08176882813441302,0.05274753477740331,0.041108292815377326,0.10802961071522285,0.032714647994987314,0.03188493248494195,-0.040182158787117735,-0.003930887139573329,0.07130454926120354,-0.033036345984703626
MIA,0.029011488535596854,-0.03918042794472493,-0.012214873137143856,,0.050955971434905226,0.09728957836623281,0.03516106628118254,0.05125708619603628,0.003487713194346872,-0.010588649202649448
COL4A4,-0.02978474121613202,0.018070885865826714,0.022800313215810445,,,0.015054137040378005,0.028704670867724193,0.00303497312304456,0.01539993884937972,0.026828097568779356
TAC1,0.02375990794361117,-0.0071840155441022175,0.03454801876232089,-0.057745517180992544,,,,-0.03220661484662932,-0.02953956150094523,0.009468528760892384
RARRES2,0.027411452121382057,-0.013537271963970659,-0.06998600253302005,0.047197633800753355,0.0026901381406325424,0.018046486066286633,-0.002334908839006221,-0.06977293334602955,-0.006262540822766807,0.0030591105174416263
FGF7,0.052023803725773234,-0.006078910625527369,-0.014323491970589014,-0.022510559991842784,0.08299056701235258,0.010078656180986743,-0.024279126087379258,0.044623938020300194,0.04972839725939728,0.05256099187677168
EFNA2,,,,,,,-0.017001461877414397,,,
HBEGF,0.012174022579794608,0.047423874290630906,-0.027544838268155986,0.10333802848844277,-0.0425880995863698,0.018737176302398205,-0.015312190878098939,0.03334476997298871,0.015573248420056326,0.029359372455552243
CSF3,-0.00956861226721817,-0.022178107445908223,-0.03386454548310715,,,-0.059762967529299584,-0.06525603399821828,-0.026762294292269145,-0.023657813326407533,0.009528732005275502
PI3,-0.03528443956558817,-0.03827271767263364,-0.04521468811718702,,,-0.13184248950681582,-0.04704691714056335,-0.013222654207377253,0.02165892907102595,-0.0051425923517631755
