,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,-0.0166492660103699,,,,,,,,,0.0608075698521406
BMP1,0.01534720170910277,0.02731032482270832,0.061951671015227486,0.0036239477000212287,-0.01388783916156896,0.08509528247449477,-0.00993397528935624,-0.010240025968927305,0.03577132094434925,0.07944888887010253,0.013467306588800241,0.04905569349662548,-0.0024231502988640336,-0.06690979489934724,0.027699880165664367
NDP,0.007826657958580754,0.030602588672792204,0.027536570273176502,0.04099605853977367,0.014679171912895578,-0.007901837176027705,0.010547503883449267,-0.03037815376833557,-0.010588381573981438,0.024754881838659912,0.07055873070735816,0.038411635333035286,0.02722477910017341,-0.007610339392873942,0.08797583861950635
TNFSF18,0.0036501151128898557,0.00287482144396904,-0.0315073311165212,,,-0.02472366020073696,0.159102414158673,,,,,,,,-0.022042970399883215
IL36G,,,,,,,,,,-0.023497291721613335,,,,,
RTN4,-0.025570477519434715,0.05957626891038647,0.007396607579218786,-0.02910897195149551,0.019643098423527055,-0.10286542778864252,0.005180762329914533,0.07579719012249996,0.05806545900759077,0.024797169940530536,-0.02987289217411775,-0.026135103949894625,-0.03706137041963849,0.02772490880324192,-0.023772669779119834
HEBP1,0.04291332034709488,0.03544701562197367,0.04828266554512609,0.023534496765630766,-0.06176428418296896,0.0607385014076554,-0.013645518019595477,-0.05992958100061856,0.02738215353913519,0.010816042240616918,0.06766918766907651,0.010713681644300484,0.059596476779660026,0.052860386530874354,0.052242394176098654
WNT7B,-0.017710094744991314,-0.01904729639462669,0.07924472130110963,0.051287094925487504,0.009893175298854614,-0.027934160579631342,0.004667055389483357,,0.013553673044568561,-0.01191852042638329,0.2223580073075676,0.039930864281302554,-0.02697142396631488,-0.028773495440302554,0.10187992595898662
PTMA,-0.039831429790966495,0.0009541506487786696,0.04101541908977322,0.02533530490104252,0.016775044156575235,-0.08257507541424726,0.024152564140787033,-0.06522012755923504,0.09524826177474077,0.022272627135476217,-0.06998563978259416,-0.030200372092713392,-0.09840940957724838,-0.010423617127994606,-0.05367032140396017
FASLG,0.08835929660138628,,,,,,,,,,,,,,-0.01783738428889462
