,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF334,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,-0.005316773178006877,,,,,0.02417022560642439
BMP1,0.15040333558567628,0.03142694934066652,0.025907243002381307,0.037133145801648795,0.05879489057389718,0.12973202632378616,0.028637360905681513,0.021636817284719646,-0.05667246709223786,0.0052542242392308435,0.12055827751838759
NDP,0.007835425685044884,0.04398997475946387,0.03801747576277285,0.006946210314480504,2.033713316172255e-05,0.00453380191903076,-0.02938668504907276,0.024856895068649323,0.07864883749804799,-0.0035579153445417927,0.054519657192018706
TNFSF18,-0.019872599663920746,-2.6733424282435482e-05,0.013636437191662902,,,0.025984047065223337,0.00717590453972075,,,,-0.043600434638163155
IL36G,,,,,,,,0.029676278526551744,,,
RTN4,-0.09057981411069989,0.04185268842786493,-0.008303619167315828,-0.04256767941639479,-0.016166625582814217,-0.12803433493605615,-0.018401129866734863,0.021588487386799006,-0.05289007669457835,-0.012596554561537266,0.035271784113925286
HEBP1,-0.02554109610752717,0.012949435847789221,-0.06607718121934339,0.006528519076342246,-0.01706584929015771,0.062330004038125206,-0.020411675937461533,-0.0007433920756835266,-0.008899039770540238,0.031058170655235137,0.09856914495622558
WNT7B,-0.03328533949849779,-0.021873522264289885,-0.0047975555304165095,0.0071847795740216675,-0.04810620753149517,-0.02911208463685199,-0.0047355215149684025,-0.016376618626244416,0.019874786471772928,-0.008419978336933788,-0.051312390074307
PTMA,-0.12947044088281504,-0.036980366860227175,0.04168361268158402,0.029315517085087447,-0.017496782408384207,-0.05716483167989139,-0.06570102664210835,-0.012293805804360812,-0.01563569822133784,0.030399546991309177,0.01650272732081382
FASLG,,,,,,,,,,,-0.026568262859601604
CEACAM1,,-0.017122072695406935,-0.021628283726074737,0.0036070181290281415,-0.021029421536331243,0.004132371337812638,-0.021242231072102324,,-0.015399743596362946,0.00801138906185434,0.033197365539749696
PDAP1,0.05605137571544024,0.02948229923971603,0.06854083521929148,0.017466060611941316,0.02396588599458728,0.04485637071251618,0.06087429436223795,-0.07784418733586333,-0.04430385385600797,-0.002611427947291343,0.01355790906570002
QDPR,0.058612617142754335,0.04242382124794912,-0.004535884274540293,0.01032276809468593,-0.023372832207525795,-0.10965672450265704,-0.10270083688339256,0.06085126374533775,0.030548973349923986,-0.0008318171717529881,0.03966384218423469
POMC,-0.022463870077642167,-0.005156662718559675,-0.029618561718930046,-0.03812794695841087,-0.008441401435253775,-0.020783225766817143,-0.01567167111601156,-0.020413813511183286,0.011881939006607674,0.032105304499234565,0.012972402728537459
CCL18,-0.02665079015845497,-0.02136672896148612,,,,,,,-0.016344697306180357,-0.019379750278048755,
CCL17,,,,0.009015638437434048,,,-0.016845016489864407,-0.013611408052235244,-0.022230496668534983,,-0.024081146145069048
VEGFD,0.04788819572354376,0.05899436694704975,-0.008969282030899885,-0.017810205944591092,-0.001535712575448976,0.025196278475784727,-0.017946940298853343,-0.014587767600305895,0.14222599090776453,,
TNFSF13,,-0.016124024448779216,,-0.021403463721860253,,,,,-0.024163789842197077,-0.017818289814852003,0.03787093636782847
WNT5A,0.03601784333466471,-0.003648372191676793,0.021570549177412607,-0.057573899529437804,0.04970973660269583,0.09229754525952016,-0.008481407436889155,0.029601784554747466,0.029551254404040717,-0.01085911910676791,0.06411455682755329
CXCL8,-0.040573297202357445,0.04119074757183314,-0.029006128965697073,0.046596610407015376,-0.06920280841854355,0.11727918144653587,0.010005037547330174,-0.002864895735379797,-0.09879041711864729,-0.0652631006873328,0.02349454830545104
GRN,0.051110469215602035,0.002846878685489257,0.002586922707268495,-0.020424746705847076,0.004869060056759145,0.092201909679531,0.02491832966555938,-0.042212071520373304,-0.05830441027758445,-0.04281148605394511,0.023239458873557196
MIA,0.0005961451861254605,0.04600169681148599,-0.0275498243824888,0.009183976854667956,-0.018324707510878478,0.06509753513382276,0.043167202458863525,-0.019978616250417563,0.08646115756513024,0.03739502076204438,0.05119016952196127
COL4A4,0.08531604224855856,-0.02566126788307172,-0.03943382752682044,0.0003610448759395754,0.06077499161821463,-0.022078422753836095,0.013944894587100035,0.05091820057098202,-0.02465739738494126,-0.007941478096633193,0.03968742450962983
