,UKF243,UKF248,UKF259,UKF266,UKF269,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,-0.013609675934725375,,,,,-0.02504957892209599,,-0.018807322276874677
BMP1,-0.02391741304168686,-0.014358084674578605,-0.05277156059703859,0.07541726251819952,0.08020274373267922,-0.019416450588255373,0.0347105669814034,0.03612638667854682,-0.011884589874651836,0.0088390399956477,-0.0008566479586119168,0.035829130558621226
NDP,-0.03301072911123571,0.06042580830040405,-0.0509494657996061,-0.030570277199418662,-0.018868488209721423,-0.0802484191762346,0.04851866318294029,0.11883650988157,0.019550531468269773,0.010447930608111895,-0.03206228443794715,-0.019943956725944942
TNFSF18,-0.022076421354224666,-0.0116731772143731,,0.0065646744454185835,-0.020209960189399464,-0.02807670995751737,,,,-0.02583318859132428,,0.0253826913742843
RTN4,0.07655974667295738,0.013187399304641613,0.06505143466638558,-0.14867978433465792,-0.11875978176804805,-0.10256688932376326,0.07525820173053194,0.01650173505388702,0.03823722735761344,0.017911832080185496,0.07974045391231481,-0.06579045453002097
HEBP1,0.05814774311134434,0.009849741826591148,-0.028088452579102252,0.0209328585524663,0.03668062381165109,-0.0643992540691389,0.1095453392756267,0.06083307404576708,0.014609534482181571,0.041750173447301864,0.02256992799890668,-0.01282249606252008
WNT7B,0.033296773527268765,-0.0014338515070441774,0.05502592122439399,-0.021451662393749852,-0.04295278106957307,-0.0309097172244436,0.024688864111878542,-0.03181766795599317,-0.023660460247714683,-0.05401928719503749,0.051477796920517856,-0.04014264405225598
PTMA,0.05595562567777025,0.0615404544600404,-0.034928353956914,0.157690843232629,-0.032339943168168135,-0.07806147440489809,0.027661439115931146,0.03282583545972218,0.007006715054827125,0.07521511231905405,3.4887689618381314e-05,0.055762339969121374
FASLG,,,,,,,,,,,,-0.016311584194522697
CEACAM1,,-0.02112899402794051,-0.03114975235590792,,0.06368743319098899,,-0.050126363845180835,-0.04401802190675867,0.06146593976788862,-0.037119594984340004,0.02464793980111979,-0.02269517367103697
PDAP1,-0.04170600212115248,0.039753416637253375,-0.022780537583922865,0.08865518057802708,0.09720162054470509,-0.03069103216395298,-0.012926273256155679,0.09887932810302069,0.051541101106431536,-0.011940847268883788,-0.0514959497966862,0.05134903945803882
QDPR,-0.058519505629902865,0.0009552099206348991,0.02383303244659098,-0.021455479948186362,-0.09425770730888908,0.03034856592312015,0.015792910036733603,0.0262929121453269,0.043168399515940495,0.07695624647270004,-0.0019401101992794069,0.037579627046360496
POMC,-0.04168396777758459,0.0314396408868975,0.10694082695959137,0.06148788660173127,-0.0008710728497218035,-0.0650062445736929,0.10778548380804248,0.04781760506583513,0.06332879258511293,0.005144006525175589,0.05036784789775358,0.09159121105086601
CCL18,0.012283666991828762,0.0010240009748682824,,,,,-0.01649449669817799,0.004936916408934478,-0.06436517754954238,,-0.035075088467729366,
CCL17,,,-0.018054781738749,,,,,-0.031228656010697242,-0.031535527440706784,0.03199290082585045,,-0.014784618961414087
VEGFD,0.03993219103081626,-0.013306257828630576,-0.005373212154243974,,0.04711846087538765,,-0.002987791780113409,,-0.037949868558841096,0.08478643059767486,,
TNFSF13,,0.048227597414051165,-0.012453784365441962,0.05492068060904548,,,,-0.045118029590240326,0.042175557841530584,0.06489223372042428,-0.03175089532076053,-0.024090302575620365
WNT5A,-0.009608967786222241,-0.0015406240204446325,0.04059528564861414,0.056578469518087975,0.09058710821865591,-0.030513197680800987,-0.04460844913162746,-0.0034645169777607495,0.008554941533756438,-0.00835173709579383,-0.020690730692735894,-0.01989996070153431
CXCL8,0.06464612128133343,0.0058790564184877095,-0.005287644382192674,0.08092406717717616,0.11784417182949344,,-0.08391775752172408,-0.06646489142364072,-0.04034344082780505,0.019982680649491984,-0.045700120242262963,-0.013278850277122141
GRN,0.03183268709018456,-0.03850160231787447,0.008108065162926753,0.03285363638070384,0.030135176195824356,-0.0363290079928466,0.036287786039397626,0.03435626853481101,0.009698666102765064,-0.03163671995991222,-0.02981265919689908,0.014434416657675359
MIA,-0.05097712126901134,-0.026063389977897956,-0.02048606383200643,-0.0012010992896371825,0.0033765169697953026,0.0025216856359807104,0.025068762324559627,-0.09594389569033214,0.033232579311664616,0.009055859176397155,0.014401888777096241,0.004339369016459889
COL4A4,-0.03358028869131628,0.04319105725820402,0.024595448647734382,0.03453020983278173,-0.013411325453201001,,,0.06006375404850455,0.03850541379378373,0.06637383728947381,0.007537289466349698,0.04209625028267804
TAC1,-0.02650627352751942,0.0035461593936508885,0.061384987340812186,-0.06974006259148798,-0.07320921110026422,,,,,,-0.03228958122010502,-0.019435884988111503
RARRES2,-0.011202860764224285,-0.030275875218923127,0.01336285955637671,0.06353331747230558,0.10061098743530658,0.05714223716941435,0.06213156042353598,0.0005096768237958981,-0.014228216313390394,-0.05644584392595431,0.04722789854808238,-0.07983817903765883
FGF7,-0.05814694669389675,,-0.014303870702002737,0.16291236109893725,0.0038702824710716726,-0.04635156322931663,-0.03611192744432272,-0.07420385310013089,0.029574476710784118,-0.03082190267859647,0.02600380185177984,-0.027570583582105044
EFNA2,,,,,,,,,-0.03606881034319603,,,
HBEGF,-0.011341806919928792,-0.01308548396616793,0.014965027896698188,0.07828549839206705,0.04401537131905537,-0.06702458307236857,0.08124806860311405,0.0030310106603808713,0.04916402349226325,0.10078119941581001,0.0014333289135127676,-0.05040441410334921
CSF3,-0.03358026210570142,,-0.021519725581330255,,-0.014188924193526287,,,-0.009797938919099674,-0.07555757162728184,,0.028935212770857532,-0.015565922969694557
PI3,0.13024510822000995,-0.027739183259009332,-0.02023231391988602,,0.008866508932818977,,0.018264066476198704,0.07763293229958929,-0.01684632922604333,0.15325931184160324,0.010038319405233368,0.05988879801161187
PCSK1N,-0.007970201398122288,-0.033615816482943595,0.006365309741433091,-0.06264957893240149,-0.03075980279260781,0.0169508627933295,0.12423214113526028,-0.015202018699887113,0.06238236231650368,0.02510508878279415,0.07110923316593924,-0.06654745886199803
NTS,,,,-0.018159294309023105,-0.017439894638900034,,,-0.018220450030280392,0.027980466561702038,,-0.014786219667677996,0.013308032412148594
SFRP1,-0.051848380143546834,0.007536225077824286,0.0025357007999203154,0.10606986124960578,-0.0439208797480724,0.03580516055200275,0.04559112714317582,0.052162734631314,0.025320267669041593,0.02252081606511375,-0.025942412097688886,-0.022515362271475447
CXCL13,,,,,,,,-0.07014596417161893,-0.07885132350011446,,0.03966163803705954,
MICA,0.044688350453969024,0.0028089857985355766,0.05560568743592691,-0.019734447073907112,0.06409176416824926,-0.06256823735411916,0.07866231172795432,-0.020483547421917683,0.06177673091747573,0.01725065965917703,0.0008038664073187152,0.03849479336265086
TG,-0.0267688287037134,0.04534492575566861,0.0002169382388371503,-0.0209606126636549,0.16343792765905887,0.049941307715742275,0.0777283229667338,0.023935072244499325,0.0017420033706577625,,0.025366848756889913,0.06477471063710843
ADA,-0.02395799179116802,0.05206197581948248,-0.03740465639492097,0.0411793822130051,0.02481426120739467,-0.09260841651512293,0.01380446343928958,0.013993657880744689,0.016489635610369802,-0.001354418363509078,0.04830954319726743,0.009070997825154293
LAMC3,-0.03126427159400765,-0.0020229220964060424,0.021765642861032695,0.09093921636236589,0.031883925631003854,-0.09444881830315162,0.00971323389981024,0.026320615923664942,0.013829475351333593,-0.019514721012390313,0.06508408261318979,0.04120742632385742
CCL7,,-0.01677163191589201,-0.012291346587738722,,,,,0.04831189974035967,,,,-0.016311578394318058
NGF,-0.019346543568364,-0.0171020234651361,0.09124952869795824,0.05230938846994909,,,,-0.022618465669952466,0.012894367050462876,,0.0047373965559672285,-0.005049630818448065
TNFSF15,0.02487895065897881,,0.007738633638611236,-0.02428686952957209,,0.01288142899986728,,0.024530270133275602,,,-0.009583040163791736,-0.03363209904756333
HMGB1,0.008617355538654184,0.006919432335562507,-0.025008081590369206,0.07309532026074904,0.017666185791558826,-0.03536582215083728,0.08391536304363621,0.10822348344254745,0.09241579514970252,-0.03862092576357624,0.06587905045466085,0.014945527479498764
ITGB3BP,-0.030011966130420207,0.024987129865706878,0.025509606301194098,0.12835623992332715,0.08088355413903062,-0.04265565611487961,-0.005048412365327139,0.04335340605193317,-0.012885647475143239,-0.03672762594373017,0.010375800700304494,0.026776149044722593
AANAT,-0.0346756202778819,0.004250040200029786,-0.012453785694610664,,-0.01279879360210014,,-0.05853385544402088,-0.04106080321220832,-0.029201437578542096,0.010736367492931203,,-0.017258330169537366
RELN,0.002825687083292888,-0.0031431037087279257,-0.021616983002288145,-0.03601513537859213,-0.03755567617863367,,,,,0.04439600979500895,-0.030405264390857247,
IL15,0.03811065559100733,0.03211872243856075,-0.021792334321359432,-0.017281551508000422,-0.03338446916900895,-0.05661386541182272,-0.015168839363177542,0.036450211911067475,0.015395812003176421,0.022176803989549146,-0.02111911722754844,-0.0026509093891059115
UTS2,,,,,0.07631344037644647,-0.009396376048738492,-0.013305752084767211,0.16894554020240285,,,,
BSG,-0.12021055071752637,-0.01710469020617228,0.013384324278725523,0.041415638795808785,0.05331561473643906,0.05816287472329637,-0.052652731084116604,-0.01311789991980722,-0.021226900266741008,-0.022266726721396197,-0.017349450819280632,-0.02716509140265944
ADAMTS3,0.012729116807412866,-0.013194795164303235,0.015279955333981979,0.08029866416546041,0.11673252074905013,-0.006860477582714077,0.051856008151313054,0.03895336712218405,0.0909435215602322,-0.01345960743660806,0.04154205434732176,-0.009069101472449829
CD34,0.07869188233740494,0.0114209530509769,-0.007738120127842103,0.12076407601337708,0.06812591427474426,-0.056886224151602306,0.02070518488829667,0.04946140056717182,0.08630429332683015,0.03750523104518409,0.027158470445328584,0.04665173578701157
CCL23,,,,,-0.014562995444428722,-0.03129569688609856,,,,,,
PLAT,0.007155988833401687,0.0008289014512296422,0.007764380229406247,0.10362673955501306,0.06758162238615355,-0.10962919110116937,0.09392493054833823,-0.010064153650270096,0.0234755985251346,0.009630804019666706,0.0785150752818063,0.004025081746956109
NTF3,,,,,,,,0.04139437920738046,0.053418300291523745,,-0.01280628048827923,
LTA,,,-0.015753494212224942,,,,,,,,,-0.023227111515419105
CKLF,-0.06187575699667909,0.020134924870020075,0.005674514398324596,0.12499333441035064,0.06613512813263174,0.005151420854755257,0.01194567985687546,0.08841840146350786,0.0238862083570323,-0.013910922456786068,0.10803827205034065,0.00032567243016118726
CD24,0.02900979189368613,0.044187272819157075,0.015464630812878584,0.083822386775879,0.016061324833464997,-0.023448041262792256,-0.021816925260800157,0.047450022019770444,0.005703378442831254,-0.014286419304611548,-0.0009365661660159001,-0.008426505286958581
HSP90AA1,0.022759175009906776,-0.026009149613526312,-0.0010309786547002672,-0.13970291566766307,-0.11343436132988895,-0.05260506555475598,-0.08720837375959403,-0.06164951807217874,-0.045581209443071535,0.017917958386663477,0.011397340490504844,0.05768712275395812
BMP4,0.10539497898834974,0.04460674076115982,-0.002799470056450551,0.07255690267897662,-0.039203141396570926,-0.06921856495631347,-0.04423871752415097,0.006398869302001134,0.019367114910023474,0.033794859035321013,0.0332894489705912,0.057269643561136
SCGB3A1,,-0.016771630238751226,,0.09954798212566764,,-0.038621404135204276,0.0024025897988598647,0.019075895902373123,0.06517984877250965,,-0.029136099417363923,0.07601036827238762
IGFBP4,0.03507327618817524,-0.01568552229179442,-0.03990366956718742,0.06525587242691461,0.05399603976788481,-0.07818509714766225,0.028217784865549204,0.05274859078327751,0.004045491999155822,0.04091493915914737,0.0662500618501569,0.07252239196623636
RSPO4,-0.023633786449436284,,-0.024113482910332718,,,,,,,,-0.024691191751393015,-0.030634128745885315
LEFTY2,-0.024759599635212126,-0.04012931491569825,0.008140213103250723,0.04360766733280614,0.07857806048183598,-0.15532010081458214,-0.07058588881476587,-0.03973176881041879,-0.03152142451056965,0.01301442326113638,-0.047876158136734764,-0.003938142672902282
PF4,,-0.017397874132250326,-0.010723957743835166,,,,,,-0.03305956183961061,,,-0.004670377154603591
ANGPTL2,0.0019126610711776208,-0.009899531218246636,-0.011114688481003896,0.11803989816430688,0.06570468399105825,-0.014012671953910148,0.057801837293914825,0.0013753080438180477,0.05644528298861126,-0.05638288874452034,-0.008463192930409707,0.011940158630466364
LRIG2,0.027647192471438434,-0.012612858367658636,0.00031141691966602315,0.08676125670721099,-0.006237981294928747,0.04422180220286114,-0.04151489439252329,-0.025418031734159036,0.10986744440537516,0.015506320216990539,0.07129520109497883,0.0266178214638647
