,UKF248,UKF260,UKF266,UKF275,UKF296,UKF304,UKF334,ZH881inf,ZH916bulk
BMP1,-0.08435019694655377,-0.008828871197586897,-0.07247819215492073,-0.02408234965325964,-0.0019377559562967,-0.09197139157549009,-0.14637596021359234,-0.06950320859114338,-0.042903297956624765
NDP,-0.000740675951497714,0.047476231724667285,-0.008946474962283313,0.038501265080253054,0.031959048854358935,-0.05860191063880287,-0.017902708263792977,-0.06739718058420516,0.034122723794511464
TNFSF18,0.04758067570930541,,-0.027063803117415026,-0.010647509681371023,,,,-0.031128532130416404,-0.03197538495578203
IL36G,,,,,,,-0.026924640879533838,,
RTN4,0.025517253875339097,0.006960933998296084,0.14778611240777062,0.032419013827170884,-0.044131608388962344,0.2222502197951731,0.15850200626704158,0.044398511083569306,0.10876729330039744
HEBP1,-0.010292547810502387,-0.03829233287477811,-0.023920067767643997,-0.005613172728275677,0.03545220898332069,-0.12747618234184768,0.03096553761319072,-0.07515987525124711,0.0937010704070092
WNT7B,0.02632142411860365,-0.01988870069945212,0.028622251756200284,0.05960156948535469,-0.030215298330141978,,0.08957518576498841,-0.031128499852466955,0.0019756788915592112
PTMA,-0.002616135175360855,-0.04419761950810315,-0.16012578240723058,-0.001534852698996588,0.014610150951144981,-0.23151181841165924,-0.1511622446247774,0.07358539452110067,-0.14555510449026274
CEACAM1,-0.01987731477466242,-0.01366894020580317,,0.13311346272323857,,,,,
PDAP1,-0.06101510299520422,-0.03752379471680815,-0.03912107602875989,-0.07228232552994061,-0.0180274211939865,0.055355366738478455,-0.09314712214616563,-0.019889507586102008,-0.06025390575815193
QDPR,0.04779762824084573,0.019670548194592095,0.029058742719937133,0.03206904299413249,-0.08829554524777766,-0.23324148092314526,-0.01544838724358995,0.09514318272054871,0.06404668162352752
POMC,0.04475111429187124,0.012166964464419146,0.010787286737076771,-0.012354528249030876,-0.02205238939047034,-0.041687531315639466,0.11331830694340543,,-0.016981335174958805
CCL18,-0.024805010750029506,,,,,-0.06289123789323854,,,
CCL17,,,,-0.013279517579130084,0.007007051569200137,,0.0032034093734335544,,
VEGFD,0.06088104284979635,-0.013077668078688825,,-0.014148202783512946,0.02146950586714785,0.08766453550905333,-0.026360749255947908,,
TNFSF13,0.18467111790946225,,-0.026246243196081074,,,,,,0.018966925749271005
WNT5A,-0.011166136581413189,-0.05696772986406628,-0.05512058807664417,-0.038056923208388486,0.09071574291709161,0.053084294013373695,-0.02112077508328902,-0.014541830292068458,-0.08535827298754027
CXCL8,-0.06770982874402531,-0.03807536154120299,0.00423966464402863,-0.0493357259723803,-0.0021586307012755935,-0.07072648204123398,-0.015050242424283612,-0.0959761333588142,-0.09985597134884033
GRN,-0.030045725710593486,0.052168271840081756,-0.06991350892169816,0.016097473797903578,0.024185801194949612,-0.16070756503508798,0.020250803519274666,-0.04731904433463963,-0.048650826045057306
MIA,0.04730079297321449,0.042928064940790184,-0.04745826958080396,-0.026101067462027047,0.014438743161286526,,-0.03610225415484547,,0.018739835295074746
COL4A4,-0.00561327068291939,-0.04793664075001467,-0.02497214083113208,-0.013864227203243833,0.018309710808742,,-0.03502052589127972,,-0.053371477343951944
TAC1,0.019490985106969637,0.007071718576469857,0.02739089925124142,0.05145060496771827,-0.041824021575452335,0.12200176845841576,0.15203159808834435,0.11757840767600114,0.1628412149608367
RARRES2,0.043964642760564644,0.006959217463597479,-0.028884173618518257,0.07412153189089282,0.008999540696740109,-0.06932080469887872,-0.10930897192554576,-0.020617755257072896,-0.12319407405456097
FGF7,,0.032973291249831525,-0.022463821991926106,0.008744878597142387,-0.02032916395092964,-0.007884121472492062,-0.003900833369393459,-0.03141002678797948,0.03508021508250309
HBEGF,-0.012587045614819482,0.049672174042112854,-0.04698034350715639,-0.016157344693681637,-0.024577224904027174,-0.07689499759977418,-0.010726095061426792,0.015295961420926086,-0.050959916282346786
CSF3,,-0.04357134390265751,,,,,,-0.02797744544825909,-0.05614068762099291
PI3,-0.026095917131797264,0.021794175478300155,,,,,,,-0.06370952426697726
PCSK1N,0.021853992127239225,-0.04610327866701613,0.06612049896473171,0.08507529636694487,-0.11291245227863538,0.272759233101113,0.18200591408535569,9.738668916558467e-05,0.14595530689153888
NTS,,0.14118638255732996,0.030481065674784178,-0.015838267966539643,0.04662068068902793,0.011211035333444393,,,
SFRP1,-0.04871178242589122,0.28012948456004033,-0.016478590004619546,0.05006527075972735,-0.09191459160828361,-0.03582810151007298,-0.005392223259478527,-0.013405256945350434,0.0185812344553473
CXCL13,,0.15422271808455534,,,,,,,-0.03451566317389663
MICA,-0.055224431099634444,0.012460925678694303,0.014632891081159987,0.009837744679964792,0.055749716181245156,-0.016810450981815966,-0.05808123651104167,-0.023079189042164196,-0.08491135510710039
TG,-0.020207842598129674,0.03672056379949773,-0.024698597590046723,0.007529459528699492,0.03124749422393731,,-0.036947299225978524,,0.026967351748049026
ADA,-0.05743867064014309,-0.009284377056643115,0.004959001366402685,-0.00963686550917852,0.0017435660682236,-0.08027036095006822,-0.010015357659305153,0.05849418432779689,0.00034820207712282905
LAMC3,-0.059340071052742846,0.08964469202223083,-0.07388988444715243,0.00791561036576322,-0.011038375413560397,-0.025897648042215466,0.01590347772527231,0.026735795308284842,-0.03820036959652573
CCL7,-0.015778082308893285,-0.019602539407604203,,,,,,,-0.08313000688834198
NGF,-0.027090183799219784,-0.02092367055931152,0.08531965792898331,,,0.14226875389109825,,,-0.06362463000450257
TNFSF15,,-0.014513653657690116,-0.02245406025812039,,,,,,-0.04398688365391076
HMGB1,-0.02204477059177084,0.013507257892122494,0.01699897722645279,-0.03832269822328686,-0.028543799422897347,-0.04804860859704392,-0.020348882382107348,-0.025052496352473645,0.04601886835491769
ITGB3BP,0.007083456034721142,-0.051772196712799534,-0.09519628264206764,-0.02957120021268373,0.03532204856058668,-0.07082648196678168,-0.09759863107156817,-0.039339130494313534,-0.0076924138584799915
AANAT,-0.022891596962576286,-0.013077669945599644,,-0.012031463432730795,-0.014564955343498007,-0.039351860318286365,-0.0013993894497320118,,-0.034279434715775596
RELN,0.08145496156536425,-0.0008299690192994882,0.05503684338796755,0.04057249680802197,0.010971429046614686,-0.061095865552427756,0.05976518927611569,-0.050723698883232124,-0.035282003937316474
