,ZH1007inf,ZH1007nec,ZH881T1,ZH916T1
IGFL3,,,,-0.020377993390564765
BMP1,0.0006893838849482651,0.01363402827199069,-0.03676699048140977,0.014990329872155954
NDP,0.1040188490047663,-0.08275738810186209,0.05277268232644701,0.15972596109772827
TNFSF18,0.03882366895761698,,,-0.022265041268092794
RTN4,0.012512306473386938,0.02620625596028351,0.07023565587885904,-0.07884869670484766
HEBP1,-0.015218826749101789,-0.0022140130224419952,0.09183752904333485,0.11349544532095146
WNT7B,-0.02613147087996966,-0.053612293029337225,0.032066383149872334,-0.014935074326672454
PTMA,-0.02805151542528943,-0.0493238924408019,-0.010494187775911525,-0.10205790297874726
FASLG,,,,-0.01767382671558392
CEACAM1,,-0.04037140107814472,-0.016848517599915847,0.07821090279735513
PDAP1,0.02857883446127452,-0.0683230893091717,0.03488408452369501,-0.002537279116567088
QDPR,-0.09585619734095986,-0.06419462921126409,-0.07721704236885502,0.062072304293914596
POMC,0.02645729346807816,-0.03750445394924174,0.013575334929820888,-0.03347389948135335
CCL18,,0.08852092709421136,0.031722804884002045,
CCL17,,,,-0.016019338800195234
VEGFD,,0.07701138529669782,,
TNFSF13,,,-0.018919756034340717,0.005555700491908011
WNT5A,-0.017557253021414917,0.004615511387773199,-0.014387943374810318,-0.01157474935960784
CXCL8,,0.168211537066427,0.01577458672429969,0.03549289659953607
GRN,-0.0036025049076266634,6.421338589430375e-05,-0.045502763092425694,-0.08397725866185755
MIA,0.021752750862250494,0.10403374779481181,-0.040746432700837706,0.12255299395429137
COL4A4,,,0.075764825313642,-0.017881320276979737
TAC1,,,0.035092467610079045,-0.021059049767787004
RARRES2,-0.024772736543524975,-0.08601041103040027,0.009990247333442313,-0.008084576529597555
FGF7,-0.02304752289632411,0.1472172763507154,0.0023573188805806515,0.14114618960523317
HBEGF,0.042709438322751515,-0.07092193365070705,0.05333724442713456,-0.07490962098730648
CSF3,,,-0.024154651464505687,0.07941086144108356
PI3,,0.002663361753122698,0.00643983613794779,-0.03664398121972166
PCSK1N,0.06121687672289893,-0.08925732813260462,-0.000589177019964576,0.06229396210298195
NTS,,,0.05808057896679427,0.09421877440684376
SFRP1,0.07139722953672106,0.02779919825671266,0.0033002240079234926,-0.02439570592770968
CXCL13,,,0.011896366246010542,
MICA,-0.05064485674099398,-0.035790675195565315,0.04525053963508571,0.0243594151699115
TG,0.018211040255451207,-0.05469680045046233,-0.019879649329692058,-0.007734683505448588
ADA,-0.08335875211236132,-0.07780146797560206,-0.02399390002922752,-0.003300941321032184
LAMC3,-0.040124057927351416,0.024887063616243515,0.015367393027201375,-0.062109925649427945
CCL7,,,,-0.017673820430982097
NGF,,,-0.020940362783023643,-0.0019470041745880014
TNFSF15,-0.028038910844363007,,-0.014999623875258408,-0.00857554736682459
HMGB1,0.06749294619048495,-0.06545245430272985,0.0006721754545846063,0.09423208428717544
ITGB3BP,0.05068319155842139,-0.007287552330320966,0.05029731633225148,0.07615006181502859
AANAT,,-0.04714273235695512,,0.06820977806781833
RELN,,,0.06386839366137606,
IL15,0.09227293336730978,0.030698124215797516,0.004857750319300511,0.0073954430441862205
UTS2,0.15825662746938238,-0.010724958409882128,,
