,MGH258,UKF243,UKF248,UKF260,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,0.038711415345875126,,,,,,,,-0.016360139835067025,,-0.0058403175145837075
BMP1,0.02208405864821776,-0.0004050021725838176,0.029220745853078607,0.05720407201241046,0.14851304123749254,0.04652785162145431,0.026865666254187244,0.06128265301402229,0.05278951398641443,0.11374478217812575,-0.012750334089476194,-0.056098954099748334,0.05984580434983858,-0.013082456169890785,0.0707277353353006
NDP,0.0014528460450107233,0.0691106287713267,-0.06601346526970236,0.01268340576342983,0.053894654007695636,0.03417359537241974,-0.01237735353260191,0.02593263591385476,0.013644803772350294,-0.030316457402262933,0.1234077524258213,0.054883244557104215,-0.03139327682413858,-0.00486765685079884,0.0016129259089336916
TNFSF18,0.007395374830064124,0.11114897976111476,0.03013698702473695,,0.09901973827386798,0.007561948434276665,,,,,,,-0.016871923438478303,,-0.019187245280311984
IL36G,,,,,,,,0.07544670685494079,,,,,,,
RTN4,-0.04063272701880185,-0.031938780783765004,-0.05179663327573261,-0.025930587133283674,-0.18661501156723162,-0.032938161046258525,0.017026244471133583,0.017845110314807615,0.064550752888904,0.017426668425820784,-0.0403716786434972,-0.05078973310661318,0.023570686433040097,0.10052952988212646,0.014854014771827422
HEBP1,0.04955345238656757,0.05560505972725166,0.004850628021103829,-0.022718865937565547,0.06187936425477837,-0.0351392896527781,-0.02252129252214895,0.00866480922670187,-0.043948070213105775,-0.0759782455611632,-0.019516447753796663,0.0652642312251133,0.012413858176470813,0.07200281683915818,0.08999553867104051
WNT7B,0.036757089535606184,0.020106479579528554,0.02290638899371379,-0.02766209547486209,-0.029057714167403683,0.021821540305452795,-0.011878753896426994,-0.016577860248930827,-0.049397142429217195,0.036629764290484236,-0.03291090502214821,0.003328869118775637,-0.03528055681294907,0.006503869366330922,0.054469819235812615
PTMA,-0.05348486823043007,-0.011692306558435587,-0.03713046463933699,0.08826797223302843,-0.06470350251298901,-0.036830847638178635,-0.005871867444442668,-0.0038585490461202306,-0.015044607685535614,-0.08659786293104199,-0.04702422716435858,0.034831907027046465,0.05292444103300796,0.03010646063036106,0.03329186242012399
FASLG,-0.01351050332665175,,,,,,,,,,,,,,0.05856468694990838
CEACAM1,-0.041090850682114086,,-0.023391711971049303,0.01086725182442282,0.08206956950453181,0.0036725796302417785,,,-0.004579173214108759,-0.013407844373876392,-0.03165001980647403,-0.027974783241086713,-0.004030682408836979,-0.023830512222688394,0.04678932241233126
PDAP1,0.04021698520131241,-0.006844213542318235,0.03050266022109905,0.049713321967196744,0.10368055246116632,0.02066087884033065,-0.03075531257302578,-0.023785403407242185,0.0931868332137642,0.004302906194338543,0.0028506335519132356,-0.06290272688103093,0.05293987790910577,0.016659118221906202,0.038894177265865186
QDPR,-0.028938209772177616,0.025157456522143674,0.04285588441391346,-0.03130824218492042,-0.19181937179174852,-0.020126136036487392,0.008049375064965374,-0.06284280842982261,0.0005900027897326553,-0.08290514246032557,0.0671072496383445,0.11717922259486056,0.016720967245376344,0.037000002604393796,0.019015760370554732
POMC,-0.0003016151898083128,0.04377893432120878,-0.0429919771170654,0.00832578048332863,-0.007232989134714928,0.025069939079824077,-0.005790810466001028,-0.032315304100257465,-0.0016469420136613505,0.06743154720760855,-0.006995878956823515,-0.012368881614050602,-0.024001230255984978,0.01089770693006756,0.07401447058022044
CCL18,,0.011784641822428528,0.06446823067313517,,,,,,0.06491851058025827,-0.023984898832813982,-0.050356932021492745,8.706563169360507e-06,,-0.025088476228722106,
CCL17,,,,,,-0.01379803838162941,-0.01470256737695315,0.035062573725657464,,,-0.022454157148673957,-0.040383355849563825,-0.021569899328745826,,0.13499666910654842
VEGFD,,0.029029247713270256,-0.01796777939290119,-0.013723315427412562,-0.021807323919980248,-0.026727255848569723,0.015434302913013393,0.07643830446620438,-0.04899600550145336,,,-0.013684853432709684,0.1352555056553116,,
TNFSF13,,,-0.01045621142606712,,,,,,,,0.11032710526029357,-0.015344073526116532,-0.023130927543608723,-0.02676006804473356,-0.0021465096899012884
WNT5A,0.035008232232273506,-0.018587534455048394,-0.04946771013499103,0.05916868532621054,0.1353977885818003,0.015111179883365184,-0.038715157232623115,0.028978899713747872,0.03542335049815609,0.02894729549304671,0.033426131679191805,0.033344886437154074,0.02865850289326938,0.020868767320056228,-0.0026525896676200126
CXCL8,,-0.06192112044792839,-0.017857538603954,0.02434578488536627,0.08707179612255181,-0.04214522679092253,-0.010043005546418337,-0.009671231737408805,-0.06828113415384365,-0.024266244512684797,-0.11916333286866067,-0.16220832086236217,0.03343415295661048,-0.04775022924645553,-0.028549311718408424
GRN,-0.04338562506698424,-0.0658854211601929,-0.004610681867539021,0.05351041776891674,0.1464368257716963,-0.033498401899887606,0.02263008876301068,-0.013332348704985588,0.04966302160516338,0.07976104248276905,-0.004821364858287127,-0.06111888247151703,0.00012787765294245519,-0.07674457961611882,-0.03027738436854488
MIA,0.008413258235362991,0.06658270654752235,0.0019736159582017165,-0.013334367067878465,0.09760066288280723,-0.04270447359423642,-0.012265110037652675,0.04743815967569257,0.0639634649983545,-0.028873862215867532,0.11345928154383894,0.20727220223815324,-0.031492202428492,-0.10104681407830735,0.07300347938699944
COL4A4,0.019484464198976415,0.027619466138485833,0.049660625197865696,-0.03384414619616215,-0.024533088534324198,-0.026190799868631185,0.022692954043450324,-0.019618147163080645,,-0.030324406284783324,0.0420905763735432,0.024641040194548408,-0.03322668631256196,0.019722481898055148,-0.045934683495140995
TAC1,0.08184873384782836,0.025626090183691077,-0.015334617731364325,-0.03227895687854303,-0.10613009528519879,-0.012118844531261951,-0.03283442608895687,-0.034767462503046694,,,,,,-0.04111442247985403,-0.02435013813629225
RARRES2,0.08287061514941944,0.0015858210624491837,0.018438724843413468,-0.02472101805415579,0.11516314071370813,-0.0398446125341825,-0.03068750051891811,0.025136915612891556,0.0841571095910998,0.0015129105704079374,-0.08931430295178831,-0.07140207055647742,-0.01624636477378741,-0.06062369049195373,0.021567596267391215
FGF7,0.07687597442932102,0.033223862289001704,,0.02854643285486974,0.010618457543948571,-0.03551244253167543,-0.0029303592319351876,0.07949272996424496,0.03608014144445978,0.029358940666254787,-0.02347610067311764,0.07751621190989472,-0.015247778095712297,0.025562288562686122,-0.001829681584400863
EFNA2,,,,,,,,,,,,0.03721595207602481,,,
HBEGF,-0.04137256874071251,-0.0147356546784784,0.009479970545056999,0.03133951889407948,0.0703341881559719,0.020152514334774198,0.002403492334693235,0.00669459503642843,-0.010391047310074314,0.04050419825524697,0.01283414836931726,0.05699953930901945,-0.018876531537057994,-0.017152704683874958,-0.0033871160846391
CSF3,,-0.02339298546184037,,0.12469380485460006,-0.0259555354659976,,,,,,-0.060569003374266774,-0.11194079319677154,,-0.03416429448740083,0.0025261878598018843
PI3,,0.021080746814886357,0.026685701418607388,0.010085491612141326,-0.02922627551070083,,,,0.002028783251439979,,-0.07940331085616002,-0.20604861212207556,0.035185408206560444,-0.11465661486728689,-0.0022855177684043904
PCSK1N,0.11514876216089254,-0.055155839134037564,0.0005610637019691065,-0.011635371280626519,-0.026962635537779712,0.06236949465110756,-0.005522009055437562,-0.03936130730213567,0.08410443346883233,0.016628875468839222,-0.005774499306087002,0.04524735331752978,-0.009913784714479358,0.05334233537103407,0.01786265634922778
NTS,,,,0.005511525454775526,0.015076752855596955,-0.02059223684026217,0.016944093479433868,,,,0.028572703298578195,-0.005515995652208763,,0.07881436823171745,0.17634021609840494
SFRP1,-0.021745588217084836,0.07684053831832756,0.042218170191274496,-0.015655926342443397,-0.029609357963368825,0.027920229087004107,0.09884337275568875,-0.0022769832719291352,0.006368670522931518,-0.030471178294118353,0.057733974531023184,0.008607303022966755,0.07428463384198537,0.03496211489917295,0.030580867886028415
CXCL13,,,,-0.015515222940673982,,,,,,,0.13043648493500692,-0.04974865695895255,,-0.05572907375751413,
MICA,0.03062433595842968,-0.057780381371939284,0.039735337102624495,0.05094707783289542,0.057428454406697554,-0.021843532229124978,0.022023698572672133,0.029929625999503634,0.04726679651143894,-0.01627617025769102,0.07543010504611926,-0.048942300908679064,0.073823472921965,-0.01569678737998041,0.021537655149843453
TG,-0.00646614221162971,-0.009226314034391296,-0.02751692846043179,0.010862811912415036,-0.03132600911825131,0.09988254883445526,-0.010640184163021258,-0.02069750624944528,-0.03229772016932244,0.03496029401645489,-0.02983596098955991,0.05194346466858042,,-0.028117739351523244,-0.03803199228254921
ADA,0.08164827484541035,-0.014161465001964614,-0.01540532717698414,0.03876528044702151,0.14715696065159858,0.056937436979597335,-0.017280514764926445,0.01940745096877275,-0.08704398618274928,0.09239803361822507,0.046239731797679415,0.002696433807434439,-0.0667009174599189,-0.0366790698824191,0.11011904710088415
LAMC3,0.024325201076055698,-0.0018394353773549482,0.00445170625945989,0.01292666017214823,0.13398568219067963,-0.0010402141776057324,0.029898404083639574,0.11997577921210024,0.02071556571245346,0.03766986259569638,0.06978004007542758,0.05253808451658574,0.0040548926066121226,-0.017535197208030366,0.030929812891551195
CCL7,,,-0.014160508383625588,0.01633252422591027,,,,,,,-0.03365360586867611,,,,-0.02043586836233887
NGF,,0.03061555227790598,0.08675331383466849,0.062351736335017,,,,,,-0.015152333008226144,0.040507099638351314,0.0555136864932126,,-0.023089909968081475,-0.03154181462852901
TNFSF15,,0.0208757749859177,,0.032307356691330065,,,,,,-0.03599649112747141,-0.006340391828361103,,,-0.021215440348108697,0.003467615895175524
HMGB1,-0.04766695747444232,-0.05865160330913816,-0.0450625045668385,0.00541692062185518,0.14846057377566885,0.027328288219304577,0.025445495111998083,0.07333250753224943,-0.012157741473552608,-0.023630063597850727,-0.020372621779306443,-0.047624813749966376,-0.0029548061068543365,-0.047685466373601,0.06527831745004448
ITGB3BP,0.02372720582932204,0.1138931839237651,0.0793899525970007,-0.042895366630849203,0.13295123750725277,0.010710699250234292,0.04320600396917833,0.06979131298212633,0.0032415746400821623,0.045155489257548,0.030899035668106197,-0.004588423601869543,0.016240370223131507,-0.0005783864542243242,0.044014961565522134
AANAT,,0.06780295584862346,0.023736053200370644,-0.013723317386493178,-0.02341259539696884,-0.022728540601215694,-0.012265110719869412,-0.01848276759184438,0.10944849031757901,0.08413322662783854,-0.02952370821408003,0.11232652633876956,-0.02668127346246512,,0.0739485252845159
RELN,-0.028413130606175598,-0.042118501924384856,-0.04938681073513024,-0.041313645206888794,-0.0056250101843589645,0.0708865752392332,-0.0011011999953082219,-0.004007686300681288,,,,,0.07195963099079009,-0.025625952773855983,
IL15,0.09879697914327748,-0.024649527423497877,-0.006025773590307876,-0.0068815797390012964,-0.0014559863680746283,0.0513978350021564,-0.02636174245411101,-0.017141912681813906,0.06817870814204077,-0.009659417971103623,0.032007743062602845,-0.0427401675367187,-0.03322668210186412,-0.05175098850431116,-0.02929462206139025
UTS2,,,,,0.104098240478408,,,,0.021390069026298236,,-0.025141598313291026,,,,
BSG,0.0474925052835788,0.05806755062424408,-0.0013949745581784657,-0.004281909744802836,0.021021115977782705,0.028714362451888305,-0.002050186180015694,0.007559459092347254,0.07133310885241562,0.041078880234361445,0.06478245008604389,-0.03785503458408451,-0.01486238507007622,-0.053183874409196884,0.021607721194368622
ADAMTS3,-0.011869597050000732,0.09820736249919576,-0.04083654559148339,0.009065989063884984,0.1532344626488574,0.01656943225385981,0.016651490372874285,-0.02848432645611824,0.0488884711888439,-0.029912536650761615,0.09934787556675617,0.0869458467730858,0.021320511095267107,0.07603169694330417,0.08349105146102073
CD34,0.005089073019744744,0.056405471980933784,-0.01548463681755005,0.02289322757774453,0.09668578249752381,-0.05067542386176793,-0.022947689133454865,0.004610662015975058,0.018792222634929103,0.07349489195080142,0.02417592346287758,0.034501275695120896,0.003893480040607561,-0.03339059057636422,0.018174398437047948
CCL23,,,,,-0.02663981705684845,,,,,,,,,,
PLAT,0.03862327335771962,-0.02448197398871736,-0.011035041946445735,0.01819149140545981,0.15076248144853552,0.07846644304284368,-0.02657426664029576,0.04564751251753657,0.06421579762881842,0.0390900121131992,0.1183310997763088,0.15407230126531943,0.003454685948121258,-0.0016019463638899684,0.06655549710896361
NTF3,,,,,,,0.04051329370064682,,,,0.017168229891610293,0.12967326646027294,,0.1166457196393416,
LTA,,,,,,-0.021889953283344758,,-0.01714191479781961,,,,,,,-0.014912657099407553
