,MGH258,UKF243,UKF248,UKF260,UKF296,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.016603068072194273,-0.02219808275231558,
BMP1,0.11696328775558638,0.05396510885899492,0.05775539180439306,-0.016824963980620927,-0.028639132064994688,-0.023206578267300073,0.032729056455403686,0.018837791093295392,0.09381160436659232,0.01855279464310196
NDP,0.044611884626024535,0.0813851319564855,0.003959396757445283,-0.02273396784873217,-0.02756822584178056,-0.12388178267962419,0.044889705509164234,-0.08954819583260003,0.012294869512994142,0.008511985004202562
TNFSF18,-0.019279987219288242,0.10040238053252946,0.03294325168490855,,,0.11019311873192751,,-0.017122451041492435,0.10998895164313528,-0.008598184269786854
RTN4,-0.01790002455736375,0.001993166421029054,0.000313410436715366,0.025810453942770574,-0.055284434760383055,-0.011095072661265871,-0.09647689831856827,-0.020323570899826008,0.00805439111406708,-0.03520359644669407
HEBP1,-0.002903203355737199,0.01769996235225975,-0.01042428726836245,-0.004324064570721212,-0.023418329070682472,0.029323152019948465,-0.038108565113913896,0.040043655049904335,0.09042215710803989,-0.023464344564261858
WNT7B,-0.01698506487420097,-0.0450129076078396,0.005882817557098337,0.036323803580229415,-0.018885875079687944,,0.002653245532660369,0.12431370546135868,-0.0032186570739432406,0.10927796875708577
PTMA,0.026411228445721757,-0.10907779698337927,0.0389950910833638,0.009980514916457394,-0.0031293141046123173,0.02369532958646112,-0.07898016377141741,-0.011211152941638337,0.05501440518206713,-0.060700554727637086
FASLG,-0.0169850696758353,,,,,,,,-0.019252389598097937,
CEACAM1,-0.02358391789291431,,-0.01580393568753256,-0.014562082928281274,,0.23834127630056998,-0.032764285712855,-0.02460317453854071,-0.02678687246441815,
PDAP1,0.0474980881103695,-0.004513272087440613,0.004515094754662117,0.03596069903811769,0.05037007243779357,0.033108058828861475,0.008506351718529651,-0.0020821861813642927,-0.004843483996689171,-0.028259207812769915
QDPR,-0.004410714809749492,-0.04643160559878128,-0.021763217936362454,0.06142251601817466,0.012787693203456298,0.014329233667394083,-0.026714944984593515,0.0577006820626268,-0.015535695081005885,0.012669454338546902
POMC,-0.0019787357416103024,-0.036414514493891895,-0.0001557332548049403,0.024961385587860898,0.06694938941712646,-0.05449875670219002,0.006216214244433099,-0.02991982927002334,-0.034197368601478165,0.01145949031409187
CCL18,,-0.0030111372646402907,-0.019721818518551773,,,,-0.023230417266946416,,,
CCL17,,,,,-0.02337541910985739,,,-0.02189018617664384,-0.017450128749612784,
VEGFD,,-0.02914075645151975,-0.019721824781152864,-0.013932176467459617,-0.017146152605970938,-0.04281636964334137,,0.06658035615260768,,
TNFSF13,,,-0.01488272184950288,,,,,-0.02347439376748797,-0.014058893985792895,0.042790879116228656
