,UKF269,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,-0.015367756446039476,,,,,,0.04908548708874985,
BMP1,0.044030775877273894,0.02094641208336129,0.09079885572534024,0.08838599922856724,0.03539047702229413,-0.018144820530904784,0.014329773895766435,0.06887565048965354
NDP,0.02838560272332529,-0.043332128384073514,-0.0060987355775942295,0.1315450090906632,-0.006252180523997221,0.03175746408685725,0.06847417127909909,0.10189727040531324
TNFSF18,-0.0051788065579723005,-0.014795353017536794,,0.1609592383820595,,,-0.03141751136016359,0.14650217131570703
IL36G,,,-0.02040333778901156,,,,,
RTN4,-0.0945492600383135,-0.05343478733256389,-0.07777406757980475,-0.021646891387128074,0.12419205894190702,-0.07606857064290692,0.005880437831371915,-0.16937284013912413
HEBP1,0.05524333599260645,-0.027003344248739614,0.09309896472558495,0.09392466802764846,-0.05863410449468668,0.005904436900615489,0.09348638715716022,0.08008578277675103
WNT7B,-0.0508784089151936,0.04970533786858318,-0.022425619539324683,0.011942624950959692,-0.12039723047460606,0.031643983446579566,-0.02822065896734191,0.013369921342649272
PTMA,-0.016178747365994624,-0.05964576519872686,0.06171007863849528,-0.0035586846380539663,0.041832469541320166,-0.004655266222691856,-0.03636560455107628,-0.059448328381918165
FASLG,,,,,,,-0.031102467901474407,
CEACAM1,-0.004092966302111676,-0.023269565539900963,,,0.002082233456131194,-0.018763787371557396,-0.04327451596386585,
PDAP1,0.10572965441701768,0.06699532857196974,0.021588794428925612,0.0009928961650116507,-0.042949462773273044,-0.06344282089651099,0.06340862770648423,0.02012244911326209
QDPR,-0.03571705727876072,-0.06681509112371367,0.04298340265973967,-0.014322711851582433,0.016608022369085866,0.02768293397419201,0.08678535973048775,-0.06725208127392222
POMC,-0.01873089668285869,-0.017167357652592963,-0.013374993581061943,0.05239147725944706,-0.008699581326308959,-0.01529172660764111,0.03987729071696842,-0.025428138310730607
CCL18,,,,,-0.06097067921341355,0.058618022197680406,,
CCL17,,-0.0184526857796213,-0.018639028320825493,,,-0.013311998947282532,0.06516064519397954,
VEGFD,-0.010597172248040828,-0.019659775948549944,0.03150188510988294,,0.06522021057354192,,,
TNFSF13,,,,,,-0.007969899923437987,0.048178547589865235,0.04618314985372461
WNT5A,0.0242440895212808,-0.00043033646588670754,-0.028587210819563256,0.07354472310481738,-0.05213955384739676,0.01714305669850238,0.03924768821705469,-0.004382381411518017
CXCL8,-0.018621046260582464,0.05714231288497068,-0.01990978075218177,,0.016289004003445837,-0.0573168048492687,0.008372679703692472,0.020189126077768165
GRN,0.10247234984484484,-0.051635817255736675,-0.01305091194355987,0.07945149405067628,-0.11598452533591469,0.015255117755148354,-0.06791596020599568,-0.024789167179826297
MIA,0.024275867399773526,0.045949018657617725,0.010211507495997309,0.0925632531477929,-0.03766172396879537,0.09803582532638265,0.1229190535824054,0.143062967068122
COL4A4,-0.015143783303281266,-0.01926517485550822,0.07968620570294159,,,0.09421256031590781,0.029357551293217477,-0.006458267439580967
TAC1,-0.08266628325255951,-0.10598014819556817,-0.03915089894490921,,,,0.03223231925678653,-0.14266209566138138
RARRES2,0.12352580456181718,-0.12532176150478191,-0.004451361737592481,-0.05003063133909331,-0.013175766348947807,-0.06859158932827962,-0.016080487596498317,-0.034620684374150584
FGF7,0.031901064471868766,0.07552443755521833,-0.012664872841684272,0.0349438518520143,-0.0029084642293501573,-0.001898969927794376,0.0015249339681681915,0.00975594238745005
HBEGF,0.01297068868956446,0.09661518501344162,-0.026105029697753728,0.07788580255107727,0.07412584014453727,0.04523102524430195,-0.055426802238062255,-0.008018295650972118
CSF3,0.008524874957473429,,,,,-0.07117323223129228,0.03014912622121322,0.0703242339556122
PI3,0.06967960471383133,,,,0.059156241653073434,-0.08007886497082808,-0.04414051883661424,-0.06171108903849965
PCSK1N,-0.004230844371189945,0.032196688656861074,0.010031448995345532,0.06562030236718339,0.029909330344627904,-0.0384586457122107,0.059331433545894534,-0.07433866533087817
NTS,-0.019692757898177933,0.027899032432284216,,,,-0.0023303074077933106,0.08485384932526702,
SFRP1,-0.03385020197306603,-0.009484828339808743,0.018500200536733236,0.05083672578383535,-0.050934697952039185,-0.022238543975174614,-0.04293165666727715,-0.024468905878867794
CXCL13,,,,,,-0.029901478977796738,,-0.030560001646894874
MICA,0.09218830383280584,0.014983571661698189,0.06111260682095878,0.03026722125430223,0.050970809127216694,-0.01350276202708207,0.016576979970848803,0.04419071737321804
TG,-0.01933691688185476,0.011360389043210661,-0.004282126825748642,-0.039697183769826304,-0.08341952340846355,0.07970897908534877,-0.011642235126137173,-0.03367727996102343
ADA,0.05806740051395033,0.037355277149665626,0.053011467689194944,0.07964379311569414,-0.05317965647084292,0.06725899979913569,-0.005131093415056584,-0.05196853979924854
LAMC3,0.049298813120511764,0.0043109580507181226,0.0017506111194234453,0.043721829726307976,0.08570698264587275,0.039903372560574385,-0.004137990127388593,0.04877592217912836
CCL7,,,,,,-0.019951617997940953,-0.031102456841808065,-0.04689858990852083
NGF,,,,,,-0.023042521539834115,-0.029685765964252913,-0.030085532504394323
TNFSF15,,,,-0.01612189750273436,,-0.019450587174517166,0.00750564229171672,0.009006724748760677
HMGB1,0.07160290324901127,-0.05032581925202903,0.00235229390169181,0.03467122174451242,0.03334970558860563,-0.0067068566156759804,0.048311015197188084,0.040161443366626574
ITGB3BP,0.07080012818572576,0.07771451686592974,0.018736868769291763,0.09818939476163015,-0.055288974110760926,0.02521458196160684,0.04389165886477994,0.04244189410340534
AANAT,-0.01445212537194569,0.0502253403889965,0.01658818150674912,,-0.006504303054535452,-0.01750319863103479,0.10874454942464164,-0.023004654055469236
RELN,-0.042407070340812994,-0.036808607539140156,-0.027679896382637945,,,,,-0.05664576393999329
IL15,0.08270199597657138,0.015156497722213148,0.07891717993778116,0.016289956008237808,-0.018447997992814037,0.02209769396065038,-0.005174559454079519,0.032634914767296255
UTS2,-0.038946135173364496,,,0.12464647224781499,-0.008953766332756328,0.014211581483068936,,
BSG,0.01215943955676789,0.147463546571073,0.005296019657608824,0.029171314760969864,-0.07668960736097127,0.02630941880065687,0.08198429303061286,0.11147918940971437
ADAMTS3,0.07314559462896913,-0.006019496574876539,-0.020907178956740567,0.09845373064119207,0.061168802233491776,-0.020031969297515106,0.07593045378186876,0.06440190562957673
