,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.07274480438650137,,,,,,,,,,,,0.023473710250576072,
BMP1,0.10667282832406459,0.030831500965473112,0.006512641274465951,0.056462270331863816,-0.07369799841528532,0.016904147298060557,0.12662554553330382,0.20322315092696205,0.00248147766056637,-0.016445946355936443,-0.014297424693404295,0.055584457940296775,0.06903897455170666,0.03254540612655231,0.1011507541808194,0.08481707532502715,0.10212216836531098,0.04141517274792937,0.0180141672983807,-0.01641746166956797,0.014582455216122668
NDP,0.053956766635717385,-0.015602164236720764,0.042283120722262035,-0.04865550876322284,-0.007294672516429666,0.03581773790694964,-0.02515739332925263,0.07676615781170958,-0.07867259749002747,0.004460103945721217,-0.04693099169641997,0.06002763553900448,0.013270347018896006,-0.03257345220146479,0.021076034775521904,0.026084876800509218,0.0274410093706521,0.040377732463902964,-0.026270261528478618,0.13944333985022478,0.056537563539352305
TNFSF18,-0.006726003431007152,0.009500487882782167,0.04313804252241319,,,,-0.027884473194371866,0.11988218673736133,0.047078215023436766,,,,0.008660588371042667,,-0.03812950138298849,,,,,0.04151420216076231,0.04671889495498883
IL36G,,,,,,,,,,,,-0.024451483389201178,,,,,,,,,
RTN4,-0.036092933856281685,0.0734932758175965,-0.028809686282460344,0.06281642733246119,-0.05487185160706037,0.015650219259609098,-0.08713958888522512,-0.21806700593815861,0.012805770003492669,-0.04918685282888764,0.0337936185675743,-0.009505367745338247,0.054451267302033854,-0.05554175343751674,0.003397470369190706,-0.03761900585374682,-0.0007240210320237165,-0.026830052707034632,0.06238825874258405,0.010766545402858454,-0.07067059555646692
HEBP1,0.03585852804783942,0.056600102130856346,-0.01461669439150426,0.008933949195050245,0.04462430690030141,-0.04055942117760742,0.0821521801178129,0.034689538062442016,-0.0545287631941187,0.0010541093871213188,-0.007663614810850061,0.004225962939729031,-0.021003326592973878,0.1093777573555217,-0.032870554437112294,0.006933727766597008,-0.009593114340167668,-0.03574481202283653,0.024842256183797505,0.11570889504093515,0.0019050364944771287
WNT7B,-0.018665107519179686,-0.007420874762900112,0.0026176478656062033,0.10509337023043391,0.026584692999514145,-0.042479076964324514,0.03381267537879088,-0.08405185633313293,0.028390571726496363,-0.010749566008366242,-0.02039541666035201,-0.02687499806789735,-0.037371476312380365,0.029487940206994,,-0.007161426539278008,0.06791568832909811,0.07073665146235014,-0.010626980238546658,0.06432457714347023,0.1285406871135143
PTMA,-0.05179104099816293,-0.02754192643911249,-0.03237057225136359,-0.002415799573429563,0.06656157662152033,-0.00821950794226509,0.1384559794606468,-0.09988252406599264,0.02790545940632832,0.04861531678385047,0.031064828094635104,0.05790707276658485,0.06702098838105064,-0.007585675560628875,0.0065947529075721135,-0.11959378255448763,-0.09514957197301784,-0.030330195323666667,0.04229698249752681,-0.07971214233420311,-0.0065878637933989145
FASLG,,,,,,,,,,,,,,,,,,,,-0.023245475749917886,
CEACAM1,,-0.02279795023552131,0.013990059808072455,,-0.011646156289267302,-0.0032639320115113264,,0.03580742057612618,-0.0076512409006762,,,,,0.059838807659343664,0.0013015104377683026,0.01942448078383961,-0.025529200514204386,0.04211889120957969,-0.02201969920189075,0.015380360270531102,
PDAP1,-0.022526502925828966,-0.0103499916857558,-0.01789353524669196,0.038067446272092686,0.0030910294047464958,0.06910363615504492,0.06607400719484678,0.1592742490854177,0.03211126343822564,-0.009187354106204169,-0.003410864371798045,0.03664511668617824,-0.02806166399516575,-0.04450266501234873,-0.028194236476712122,-0.013042417808604146,0.05439243874168419,0.017712529900844296,-0.003906603339283213,0.02476445665361311,0.034984549099561224
QDPR,0.018695453057802066,-0.021698530177070522,-0.004347419599740804,0.05862867465243457,-0.025912358987303402,-0.0376454874939523,-0.04662111737132644,-0.14793474749863336,-0.057014078416616765,-0.04510260361658737,0.05797835823768188,-0.006695313701629693,-0.03247312428385389,0.11974245408238861,-0.09704028450078947,-0.11002174070588112,-0.0022222306248149415,0.07071491680770592,0.029587062731141228,0.06246355555931033,-0.07488638194442326
POMC,0.03180986476704486,-0.03133323896395707,-0.05610047339984342,,0.006130966319751221,0.031890971407918696,-0.01479866324786183,-0.0055852664524285705,-0.0174583939184127,0.01103856317277754,-0.02488017682810649,-0.009485967445633047,-0.058369800387919876,0.013779674582901446,0.08132027764003397,0.00637457815346561,0.02435811767136528,0.03385522167999155,-0.036021335262601546,-0.007586413745187631,0.02644599818075445
CCL18,-0.0007806816798419081,0.10288735333649159,,,,,,,,,0.026082279426151052,,,-0.06537936837541532,,-0.03613860677256529,0.0310416985502218,0.06775505872529616,-0.0485079728482536,,
CCL17,,,,,-0.013730485055041113,,,,0.011420871257037857,-0.013304949314468812,,-0.006780347273991222,,,,,0.029926616506815357,0.007313862522614514,,-0.0321415424495272,
VEGFD,0.11555278859317573,0.04187092868140904,0.03564769156296586,,0.04156609849481745,0.022489455628591854,,0.010755284024712666,-0.03225554624226879,-0.009759341224576761,-0.02876478031921624,-0.023939387917654827,,-0.06585533754930083,0.01120500029912758,,,0.0418106883331934,,,
TNFSF13,,-0.01267094843327914,,,-0.015023084812299331,,0.026848340904549756,,,,,,,,,,0.013797748639092559,0.0799790293046506,0.034866552712561394,0.024870314162641977,-0.013376659187397243
WNT5A,-0.003496646067697855,0.06548868533135643,0.004670957998048995,-0.029900554239657096,-0.029467922262331935,0.022349514803843895,0.11029181012430608,0.13432645421832343,0.06622946931716053,0.05680183993903532,0.09971548345601322,0.011062794381693076,0.048385656825930795,0.026839345429413894,0.05901568569619882,0.06845223077137345,0.001149941138770771,0.033738129495112665,0.02809087876184161,0.021413005537652605,0.07548951932427958
CXCL8,0.0393995927980876,0.08712876214737256,-0.050105441343337415,0.08505821828504591,0.15088361073139844,-0.029821740690499074,0.002665587525641888,0.01817574388783782,0.0018563765286020975,-0.009088322898589966,-0.016412260272211987,-0.010529452016253105,,-0.04091278617880887,0.015901464839513196,-0.06362770700219568,0.08449909039785321,-0.06948568011929426,-0.0331541131480025,0.033884665740002644,0.02446101581016846
GRN,-0.019533555224075457,0.015211739647927573,0.006241268612884239,0.030562426477983448,-0.03944033355619401,0.025775127906617144,0.08647848085021034,0.1489134994922912,0.010193123020908188,-0.012281323338763677,0.0325063993265185,-0.04577171437920962,0.008545422942448725,0.0854927982065545,0.14279943909023296,0.017757132467848373,0.06924573617992603,0.0213919548279624,-0.013766148761855503,-0.043187763442634586,-0.15852402750723307
MIA,0.06262358943302429,0.0014696613655948445,0.03027887902575089,0.0014639202596271517,0.07286339603985538,0.018158128090963857,0.03602832960019569,0.12303953518913656,0.0164510777209403,-0.011099195344831609,0.0019353724279158146,-0.03278608883697046,0.0637738283886243,0.024532059729774243,-0.003064448733671533,-0.02638198305241639,0.018762764677729558,0.05397360370642027,0.017222937845834195,0.08845952880786695,-0.000825223898763184
COL4A4,0.0901006405655239,-0.019333661692194096,0.029658940711448284,-0.03557072572314098,-0.007917554061693855,0.022923773977357665,-0.0257293843215887,0.00860750838262052,0.04100944347189375,0.012143285416341144,,-0.03180372250619751,,,-0.03317344805071048,0.0007176346040709891,-0.012168511273753483,0.022481894437809145,0.09781127114800774,0.01464460154016013,0.22733446075544503
TAC1,-0.05045777752669643,0.05219977024786243,0.021484543664723656,0.029425176857853046,-0.046900665911437475,0.017139723748457965,-0.09150986759218652,-0.12307590693928762,-0.045941681975602146,-0.021568356432853663,,-0.0563628522357302,,,,,,,-0.018062272930040053,-0.0018708379938625658,-0.06802553755984839
RARRES2,-0.013386597314906056,-0.009506793309494888,-0.05922133782245674,0.025309918408376132,-0.060344855234902885,0.02187619661402284,0.10638010613487606,0.13271043896958046,-0.06799734329626819,-0.007002652105375104,0.03529640553439272,0.05504828924192721,-0.05102451698535178,-0.04819878708022212,0.00639541343619664,0.060490077075537926,0.07784943620767766,-0.0008795035463117049,-0.04646308876224759,0.06698100371026693,0.08775758257534744
FGF7,0.006974684828071212,,-0.01415696693701459,0.05508604249867378,0.055884407069680314,0.042116513988723875,0.0194840532047562,0.08894671567695205,0.026895356355132894,-0.03870477749349033,0.030670188014816104,-0.006110975652881515,-0.02580097863132041,0.023127064889236975,-0.027336978645915878,-0.03532604288503295,-0.043860696007938876,0.011123541407238322,0.054724915109659156,0.06791980990539137,0.050791200575767144
EFNA2,,,,,,,,,,,,,,,,,,0.07787935514180616,,,
HBEGF,0.08608231987153989,0.07455663557256802,-0.02159509778276374,0.07188088890838379,0.06572935290542817,-0.02362456346084349,0.01866960848601257,0.04306201935331651,0.0554500564379371,0.08167536725545593,0.0076396941836936036,0.00048482725159106885,0.03848408891819316,-0.009512038829748836,0.09074557990232028,0.04599440383115773,0.06970265050418081,0.005112126492953205,0.004714774729003686,-0.0899841814043486,0.025378161820065262
CSF3,0.04786660887065527,,,-0.05287636748420577,0.30723956590159485,-0.0012160798562118817,,-0.000289754051157651,,,-0.04321408423971632,,,,,,0.06587524106612958,-0.01273451261794834,0.01438436020045762,0.045652873813340995,0.11146786246373422
PI3,0.03630418106076457,-0.0047499021709427915,,0.040150552842191344,0.15422469618667142,-0.004913401577493939,,0.04006118534834968,,,,,,0.027064985655517577,,,0.05296146349407793,-0.09189867548488286,-0.011263004262466602,-0.035532819770512696,0.0038737591232498583
PCSK1N,-0.024955172718316248,-0.003821699782666854,-0.04246491388752399,-0.008368740857068088,-0.05883574682913966,0.04470168600944895,-0.054844054779826755,-0.02622198285036495,0.03908468883368281,-0.012300480056817269,0.027911190984034023,-0.0684441292725662,0.09253255143940556,0.09531993963551741,-0.04858664014617038,0.10983507307308771,-0.01265107837190001,0.05146491984632687,0.05823359568705249,0.16388677361301052,-0.09336635583263223
NTS,,,,,,0.008436169458246328,-0.031409732330133236,0.01865341845246334,-0.021312970209321234,0.006257074016460668,,,,,,,-0.0023439208105007687,-0.03445433017318545,0.04717426413689893,0.12301431612633368,
SFRP1,0.061694467343304145,0.0760117075352466,0.07650359508824872,,-0.0024671385226180207,-0.03939834466725825,0.11452504151030189,0.005850165623617139,-0.008648684066561321,-0.013304949448460578,0.02045612732602666,-0.003569892621121293,-0.0070420230741166,0.07056094531947436,-0.09669783625471892,0.016274625452257243,0.05644730002801196,0.039914875453596725,0.0011048528367305578,-0.0489480638022405,-0.04312382920298404
CXCL13,,,0.01513456519951352,0.06574876148363529,,0.056294344422918544,,,,,0.0782938529051184,,,,,,0.0628161860556106,0.06035682396231294,-0.02293336314058502,,0.0023072150074296867
MICA,0.06323771220972535,0.04165822865207974,-0.023466636334819914,0.013711865577328671,0.13011469208008977,0.031345042429097386,0.004514863570459466,0.11305182234456905,-0.01646743535293221,0.039381181779582844,0.007743403434514015,0.019669058562736496,0.12188235838291578,0.034427931635847786,0.09389611105948853,0.11046942894965132,0.028295241470024553,0.09976430441103365,0.04288670928147967,0.035586755955109156,0.057712994234944505
TG,-0.002127516303414164,0.02279215197979661,-0.05080327845319907,,-0.03127964296312021,0.09287062164247757,-0.024813865872461052,0.017249998913478257,-0.0013253682762051425,-0.009628734040527071,0.004194527306999708,0.017991083844817138,0.009589651796869969,0.06367242143610172,0.08157551307919886,0.14632478865465331,-0.024065963790665657,0.11622201752732449,-0.025981152103320637,-0.016827233160179384,0.07468797231837568
ADA,0.037834390162362924,0.02018077816224454,-0.030725771687381817,0.06720468035227271,-0.005737560933917705,0.023359379393993667,-0.004676208091159029,0.14739301983161976,0.04834961251320744,-0.01563783842512289,0.021634502905793017,0.05053757049087284,0.0024272886738861154,0.027400670897946906,-0.05543391878574527,0.03562858961367592,0.07617939482016275,-0.006948277685104639,0.0037927515239804853,0.01767985931117565,0.028908233435493664
LAMC3,-0.08273935707846883,0.044736980707251996,0.012458681429621716,0.06715560332282572,-0.021779013127075336,-0.014973633202618753,0.015800695177080944,0.20049979647059044,0.010858490643966438,0.04478851744177268,0.00253230745705205,-0.057917632822543565,0.06692751986118578,0.049132988174974745,-0.019505241510943707,0.017242369794392677,0.11478192395244026,0.05306693487079779,0.006404496354885387,-0.025156329273940552,-0.050703698060075394
CCL7,,0.09105084827089462,,,0.04944624618407355,-0.0017568292116267978,,,,,,,,,,,0.004670222392022116,,,-0.02356716975426165,0.0843317974837497
NGF,0.029344992265705267,-0.015584626189363541,,,0.08045686897449024,0.00616161055599255,0.012172397565563195,,,,0.04337031382183173,,,,0.015869192917495122,-0.05370425128071806,0.0971294382119712,0.0013933553540462,-0.00968077504716574,0.005387914103519569,-0.0267683468263807
TNFSF15,-0.0041836498509848314,,,,-0.018134441359747667,0.00048665571516220426,0.00610827198208218,,,,0.029001329272104637,,0.03396301352738981,,-0.03784784453264938,0.21848611347918376,-0.026463630730006855,,-0.019603339220557823,0.04835066767130099,0.05718286520932753
HMGB1,0.006751770328010439,-0.026559645148957926,0.008642434117603381,0.008600871536062675,-0.09076600912962303,0.07716045741589188,0.047448744032108796,0.2071005500281163,-0.033026027152481915,0.038047534301088294,0.033580783500337025,0.014603832368299477,-0.06828707850726233,-0.022384613076728087,0.02466167435409144,-0.082120845531637,-0.038870582388052285,-0.049395905063727645,0.04120627147683039,0.014268742459405955,-0.023294177685891707
ITGB3BP,-0.0001691040627977436,0.014300887039128496,-0.002017392445146888,-0.008470390753064314,0.05742811693039504,0.03001994796079521,0.09208757708452517,0.17500787195213577,0.05251636648820154,0.09366818283059496,0.021592103304831477,0.0641897771645224,0.03529796339075635,0.01009294283587829,-0.021712465917564535,0.05492724174316083,0.029494724468109853,-0.013276375919896818,0.040943592601587815,0.03805423581612376,0.04721927082913952
AANAT,0.015115312262284492,-0.0156865735629416,,,-0.02320975136577219,0.04786628074905078,,0.027378248814193696,-0.02327084424329168,-0.011099195962197193,,0.003903589326658725,,-0.05491717947088147,,-0.037639873816816834,-0.02381409779610751,-0.01662277860643267,,0.0830139610037144,-0.03277420032985059
RELN,-0.05114503812092777,-0.00864758609958126,0.008357150931321519,-0.012929469373442401,-0.006554704571629499,-0.0015365681676528429,-0.02224459059614654,-0.04923501505331823,0.04695664495908093,-0.019535479227650757,,-0.022974605086154568,,,-0.01724119869094567,,,,-0.02367870931892664,,-0.05981310425742826
IL15,0.022826967066517833,0.08930044368743958,0.008073354176954307,,-0.04163077217113429,-0.009165821115534326,-0.01673742660194767,0.05468509145839627,-0.025296233484640496,0.06093104757569815,0.017299009618259913,-0.027789404862037348,0.013748324953102785,0.0552146677639387,0.08278845119853874,0.08765408393274919,0.05005362443371247,-0.015390063565741248,0.0011878500123051429,0.04815808180765146,0.03843869860904471
UTS2,,,,,,,,0.06432150984410422,,,,,0.0407212589273074,0.10185510807512205,,,-0.020279447169770794,,,,
