,UKF243,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH881T1,ZH916T1
IGFL3,,,,,,-0.011604201932488133,,,,,,,0.07040222574646292
BMP1,0.012477912963178113,-0.040651433146875915,0.036914113129984834,0.005151710126809956,-0.06352654592227656,0.004506715756263871,0.009631833361355079,0.031233278618398252,0.08955235455958786,0.0753389459015125,0.15272933951421275,-0.011124679545755254,0.01804641098716023
NDP,0.06874492724833832,-0.0015191918752141085,0.0052154078541474256,-0.013176623979680618,-0.019705136498975668,-0.0038064137030344733,0.0007901827615981123,0.033612017700620736,-0.012723710589244578,0.045575024167838346,-0.028425318207194537,0.029952059048352846,0.023551708628523557
TNFSF18,-0.01987259589439861,-0.01865463505197153,,,,0.07201863775638387,-0.014105909020136573,,,,,,0.022723670808150145
IL36G,,,,,,,,,,0.04940460941419698,,,
RTN4,0.004502012935244846,0.006556286716586723,0.010822448794233254,-0.05492794351472287,-0.016492150811236436,0.02251260920372958,-0.01862800442086059,-0.01696276811922387,-0.03707608439842397,-0.07333928839406888,-0.10325609694476712,0.1190299194458187,0.014533793958395219
HEBP1,0.01974077059695533,0.09230798464967058,0.027157055210059386,-0.04388541059712316,-0.04447589027996752,-0.05123244363707819,0.056160436582517737,0.03606574186772949,0.003044991156746931,0.0543683436651758,-0.023034138782103995,-0.038761678441915796,0.0375055153475242
WNT7B,0.06217188810637524,-0.05240286324322535,-0.03171737044780164,-0.01972197952374702,0.003490807269991654,0.06010773820455165,-0.04043327512010383,-0.010578799819959505,0.07664462115116608,-0.03762966660983671,-0.06333358654603317,-0.00819339763899612,0.04165798792518475
PTMA,-0.03268463585717867,-0.03726632599565816,0.0743854841269443,-0.04337243687423915,-0.012366653262609328,-0.04234264490181632,-0.002370369524283014,-0.0012716934518495196,0.09125672932033954,0.09250817217804227,-0.1574617782252141,-0.03213848783065977,-0.05934181888202629
FASLG,,,,,,,,,,,,,-0.016133865287446283
CEACAM1,,-0.029937864598635223,,-0.015509224308861947,-0.014777320781550952,-0.005409864549984411,-0.022185234381017493,,,,-0.022286612142122627,-0.015867631349464385,-0.022447903913996415
PDAP1,-0.006814557763594352,-0.051106033557555726,0.007947243884860301,0.004563802550733496,0.018633833415407274,-0.01909686140984116,-0.05266432539195121,0.04417835679680175,0.07021341578823015,0.07378776434731639,-0.06712436435236982,0.06063227065954094,-0.0076714855596501106
QDPR,-0.013290627934375686,0.06146675758990165,0.04478078395661642,-0.04850668947982542,-0.005884135573118337,-0.019432222184117838,0.016489715362646037,-0.05410875289824331,0.08121966514168653,-0.016178940374242817,-0.017359437360849668,0.0075656189997762805,0.0356832031007353
POMC,-0.037522777520304494,-0.03452176465630822,,0.03779429400888982,-0.029735463837070805,-0.029230863186694805,-0.016367381357956807,-0.028452774060141746,-0.024397331397486507,0.012347733349293104,0.03367036473357564,-0.011261187414726757,0.004992251993759784
CCL18,-0.02665078510321584,0.08538311568449689,,,,,,,0.05165442336579824,,-0.04089320706573792,-0.040839849709318164,
CCL17,,,,0.09669378426068685,,,0.03044619628221555,-0.013093588643758163,,-0.008615714169828313,,,-0.01462353673346923
VEGFD,-0.030027645193159595,-0.037359638232515854,,-0.016738179969527874,-0.014138103859097145,-0.019440150991729837,-0.018743656238402094,-0.009604305616535965,0.07198361781833258,-0.013312543742615954,-0.046070768858102046,,
TNFSF13,,-0.028192781874015024,,-0.01697641367176492,,,,,,,,-0.017818286516567024,0.04965162160012272
WNT5A,-0.0007440696667331679,-0.08789754445995067,0.022740903234268955,-0.010283466009398648,0.034795215995825426,0.07625849301160284,0.021160608819736842,0.029755441014416743,0.04590337037510811,0.04705662093923458,0.06498599726563742,0.011214014839634828,0.01704585921470174
CXCL8,-0.0035347148997028175,0.016537204214788975,-0.11898775299126883,-0.012724850399105214,-0.010507006082497878,0.006980065680981483,0.001804121102488268,-0.008943946999210028,-0.04589884906942994,-0.038018846734467496,-0.11356192562358854,-0.08899593283819941,0.007211521863492966
GRN,0.03832249799090954,0.005706667052383548,0.011989787880222763,-0.012578030914980018,-0.01995366882920976,0.026208006036991055,0.036573019552584365,0.038798829166633256,0.026062508522575734,0.01673310596644627,0.027632217300545242,-0.02620344341793062,0.04017878963364237
MIA,-0.00630472679826009,0.04529940538269205,-0.03948926984403092,0.015867377902462034,0.08090115395304479,-0.033148473810789406,-0.010968962083716862,-0.010922874990880245,-0.03244359182275359,-0.037673179643863235,-0.048447620376021974,-0.015956212611761906,-0.031297428492670455
COL4A4,-0.030228065340493628,-0.036362167355767305,-0.031795936193829685,0.009009865324420451,0.001806804216777146,-0.01143507968063919,-0.018367443037466943,-0.018349561317247007,,0.002062287619924284,,0.05648809184885331,-0.023437557099034514
TAC1,0.06163547636712952,0.055732361270551985,0.1022478336075665,-0.014048205317293741,-0.0219301651534044,0.0390144747394705,0.0024503327121022716,0.03507344702506706,,-0.03487945541009147,,-0.02737618448819297,0.0662031056515233
RARRES2,0.0596973936984559,-0.047929913969160375,-0.11361751877076834,-0.01463947318042998,0.053203735366986006,-0.02315367150455144,-0.0487427511394452,-0.039780714648133715,-0.08690462508571059,0.042980950701378286,-0.009796099301041838,-0.03896419566214248,-0.013201194100939184
FGF7,-0.009576199668061338,,0.07103105008422506,0.04254435679352118,-0.02707035713408205,0.0055391050693694155,-0.018817638823223133,0.031200162738362167,0.15435622828226558,-0.025619236758297977,-0.003641623032667923,-0.005971589069709134,0.06561374449353721
HBEGF,0.07793029126915202,-0.030308456916053245,0.012505303884323022,0.016820783899188584,0.03601707493815755,0.007279098708263088,0.018364730973762455,0.021435374908737974,0.055054947702132755,-0.01821041700541034,-0.04708247696619747,-0.03541259267586031,0.02530180205517453
CSF3,-0.030228041408844,,-0.03122161917224201,0.0319496681279109,-0.04710443648436542,-0.01209809420416356,,,-0.035939824923492625,,,-0.022748417036730317,0.091874239993677
PI3,-0.03580962268403447,-0.03930390208766112,-0.06618241300932008,-0.0012104980389167882,0.032085873675393554,-0.013622613751448073,,,,,0.08206753684885922,-0.05509810440983657,0.029199969667863535
PCSK1N,0.02952966286616335,-0.009317980398853848,0.03882554012494802,-0.007702872155027889,0.012449259593933079,-0.00016826963849915402,0.0714219850770536,0.006400691273397222,0.10231130093470865,-0.023791681568650587,-0.060054383144932076,0.07659631751209092,0.01405634555458129
NTS,,,,,-0.010156675947787111,-0.014870013073180265,-0.02098266859183395,0.004835507499131605,,,,-0.001095227514147299,-0.02279986265180302
SFRP1,-0.005545149604914046,0.048552694600660896,,0.04763038226772583,0.029129608746108225,-0.043638570967793944,-0.009345087215310171,-0.013093588775621355,0.14454374507268639,0.060500618052526184,-0.026236846681742382,0.05420788377542067,-0.022270051605901967
CXCL13,,,-0.02267058974820648,,-0.015984171936624603,,,,0.05982738896972781,,,0.004765949944575132,
MICA,0.0226702744043013,0.02857666032266623,-0.04853637898537496,-0.01687616184542847,-0.03689075561032161,0.0034276861468478218,0.02046621195911072,0.01690087741938115,-0.04391255808653292,-0.027595154074718395,-0.06203378203982992,-0.03680684505081714,0.0514983103299882
TG,-0.024096573754399494,-0.05883234808275695,,0.08091110695504933,0.0344919865729696,-0.014601317312431132,-0.017724095222298876,-0.009475773240993088,0.03705745395048183,0.020999433278852068,-0.014793923083443114,-0.018722296786617947,-0.0022902520394152723
ADA,0.04880844029145459,-0.004130151453337372,0.011886147506425287,0.08249717196128128,0.0448034052029532,-0.0038209068595570672,0.0040483598022984,-0.015389417785564019,0.07228061841980435,0.07121451146522027,0.07207687805268029,0.04431094914899922,-0.0529887237851417
LAMC3,-0.0014446307644254955,-0.04368797867112029,-0.012408444260615211,0.03433388046561447,0.02635104494918308,0.026464767224134808,0.058681312874576806,-0.03692710097038262,0.04036749694830551,-0.02644316741118285,0.018717543405079265,-0.024357367846203102,-0.0365222577628356
CCL7,,0.005511773090942902,,-0.016754986125784244,-0.02119206087653964,,,,,,,,0.11395817425329767
NGF,-0.01741523393300793,0.011267205086305077,,-0.038389952638553396,-0.02262031928789698,,,,0.026775165959642938,,,0.029265021891829262,0.029341247103976734
TNFSF15,0.08757381699217898,,,0.04416915845262583,-0.015690529959371858,,,,-0.022887186931736535,,,0.11629905366001421,0.02839006301326091
HMGB1,-0.009337968057823531,-0.028262251220882953,0.03246210211283272,0.016743245144071894,0.032722767455298334,-0.05413147218989597,0.07772433560315602,0.04757493648771988,0.045340263289774925,-0.015876766533700272,-0.08449988635252058,-0.040140016089510566,-0.07842444497938732
ITGB3BP,0.03536727236995018,0.010315254957710669,0.08026344667072352,-0.009701841852633977,0.023508651981467114,-0.0167148384258796,-0.027439644322855897,-0.0029799182351437515,0.047480982031967205,0.08452369928966533,0.14975221950278703,0.033072436769753015,0.001178938213152546
AANAT,0.04416218887951665,0.07533884086737165,,-0.01697641548362524,-0.014138105877391146,0.13081734627986968,-0.015939382413348264,-0.01092287559843844,,-0.041953567714087474,-0.03668053462018828,,-0.017070296221447637
RELN,-0.030027629607568978,-0.037130675295769425,0.17901099289531366,0.011772197369678272,0.06255505568999982,0.018810974250219395,0.05419899620240652,-0.0020463193798640742,,-0.03138688962868711,,-0.017063131828412653,
IL15,-0.03062558668777489,0.06488580814885743,,-0.04251940919785092,0.06011371190506167,-0.028465051152147165,0.011923793776589812,0.027552807729817053,-0.03144892823542885,0.031141467136360804,0.15095927837649112,0.010284485104016234,-0.009311552766459352
UTS2,,,,,,-0.013022717640416015,,,,,-0.04038741202808335,,
BSG,0.014232217295075303,-0.018898381031944782,-0.054004251524453074,-0.06640402082978061,0.020587069466373936,0.05176621323156917,0.03938745954744283,0.0014656327919045076,-0.10165008281747938,0.021180306163105168,0.02569144296027792,-0.014244511523037363,-0.02347812684716176
ADAMTS3,0.011443117806796878,-0.00943264946466943,,-0.004726360271076668,-0.037086749884670325,0.02910892685550221,0.05588076024177622,0.0889917049797941,-0.0077627552864697365,0.021559825910738194,-0.09543400719388499,0.04342768893026575,0.04506315240914868
CD34,0.037933890491033795,-0.025890133447813938,-0.051768880253059396,-0.007601941116142457,0.050025408213848065,-0.013778306479880004,0.01591327342354037,-0.02043640366574969,0.10767825083939156,0.016444318516413432,0.09160989617449206,0.0061752922648164975,-0.0003206087821553496
CCL23,,,,,,0.017879384521675173,,,,,,,
PLAT,0.03682381829981978,-0.04472070939956316,0.06639872403985228,-0.00027957506421291776,0.035391994848630495,0.0006660597977545406,0.037146104403909815,-0.0021530384494320154,-0.015836591580680338,0.028664635851612642,0.1397283549865294,0.08649366009011146,0.01585276476371765
NTF3,,,,,,,,0.014366463047432462,0.03730053639055189,,,0.028640532877587947,
LTA,,,,-0.021474423088984826,,,-0.015351286407491472,,,0.08346238595996147,,,-0.02297404615868641
CKLF,0.003165683490253449,-0.06493304679528179,0.047749992824636434,-0.0014016649385326261,-0.04408545571721687,0.007274775288044924,0.00454577319530789,0.022853240121212138,0.06565246174820648,0.02893764781002301,0.10577666286482298,0.01623148566509414,0.028329023715971503
APELA,,,,,,,,,-0.005989870239256362,,,,
CD24,-0.05825524049696234,0.019063369730404817,0.027472601408003543,0.020676399074727327,0.01634783972498204,0.02619825014566517,-0.005034409758772271,0.012200577438647674,0.06978123288994029,0.042783432590952464,0.07161082315924082,0.05953439165462514,0.020366833799676493
HSP90AA1,0.001337075735070169,0.00935467060424908,-0.08695415093799082,0.03616494450015911,0.02767842017568023,-0.009050039792007336,-0.050118976581294314,0.029690802106056624,0.027718178058791076,-0.08274854387122571,-0.15475029580655839,-0.024080002519389212,-0.058784817179830195
BMP4,0.02638357835531122,-0.018704137015064407,-0.013577583505890155,-0.021241745438367144,0.00038846610241325736,0.04457632824888618,0.004863388966288776,0.04642519452068455,-0.008309482554117016,-0.0016879219258139706,0.08771943139459391,0.03350973882775895,0.028324053416122253
