,UKF243,ZH1007nec,ZH8811Abulk,ZH916T1
IGFL3,,,,-0.013929158946543466
BMP1,-0.006113616317065301,0.00478638343104069,0.07020758802121853,-0.0027594491101675775
NDP,-0.06400220624660591,-0.03143926555485611,-0.054093645370555804,-0.045072694279467265
TNFSF18,-0.024816094024793102,,,0.06725639639586176
RTN4,-0.037783322119729415,0.058761504733041564,-0.007968646022481577,0.03724866080496341
HEBP1,-0.0250531206735614,0.02581428369036772,0.014549535970338312,0.013986085428313562
WNT7B,-0.03790390814509464,0.12006807242551724,-0.03299707691022698,-0.015555849553921827
PTMA,0.07333578834557758,0.009640783285909196,0.010509893020628252,0.016244799172153965
FASLG,,,,-0.012080754802335907
CEACAM1,,-0.06411189367390892,-0.01848988967023452,-0.016808595967539013
PDAP1,0.022065217668848388,-0.07048049413940949,0.012122471336175911,0.05829092107520199
QDPR,-0.06018751981655196,0.0033660392644347427,-0.017006658161784392,0.035083378318933774
POMC,-0.008742063249587439,0.018501749256381476,-0.023662715749499127,0.0016727913751188972
CCL18,0.019840784103881896,-0.05497259706382711,-0.033836271288556666,
CCL17,,,-0.01311768178521534,-0.010949847322541813
VEGFD,-0.02129667639031164,-0.0053580544583265695,,
TNFSF13,,,-0.025170861039795843,0.09908148908976279
WNT5A,0.005740178545410497,0.006640564068057156,0.019030475569860903,0.04800299089450706
CXCL8,0.1215283656971708,0.15963712686217987,0.08843404777692337,0.07673250046861403
GRN,0.014611937568750316,0.0452315729985753,-0.030802023867216134,-0.02586742730443756
MIA,0.029665159658490158,0.09213930685298942,-0.10413157626479555,0.017212864644171797
COL4A4,0.023604848503385442,,-0.007552515310193091,0.02212873685702353
TAC1,-0.04727590794046134,,,-0.014394687732821218
RARRES2,-0.0466586280158637,-0.03561399641202025,0.08926979868255545,0.02544647535337668
FGF7,-0.05396656307743782,0.14601495022431502,-0.042558420677177355,0.016471167955763748
HBEGF,-0.018913024177285243,0.057083059578872844,0.016173473686042383,0.006779942067470892
CSF3,0.040737942903314214,,0.1661398811749051,-0.011528500017311217
PI3,0.16369279250371477,-0.008502614385312914,0.12535798413682447,0.09353172350412561
PCSK1N,-0.08271785018468537,-0.05791511138227248,-0.06163167880519249,0.0026959016454677167
NTS,,,-0.03060218610455794,-0.01707213648533977
SFRP1,-0.025383443265443954,-0.106520437078778,0.05612627311433401,-0.01667542328468599
CXCL13,,,0.09469856438364363,
MICA,0.09333806165616111,-0.0017846371845510673,0.05493491101627796,-0.011778829311369986
TG,-0.03009082674161809,0.03545249222199771,0.007448670095611161,0.01652385490987478
ADA,0.01228296460586569,-0.08140452917592911,-0.037639850356735054,-0.00013885810713850787
LAMC3,-0.030640494856010603,-0.07730627094166445,-0.014329474462059474,-0.010252299343805144
CCL7,,,0.04593764741644233,-0.012080750506563698
NGF,-0.021747439793062366,,-0.02270616654084227,-0.03616940290861042
TNFSF15,-0.026904297178583017,,0.14431396320833562,-0.031919434416784784
HMGB1,-0.05045130231760905,-0.013435926063839585,-0.04447325360874241,-0.04546786905529471
ITGB3BP,-0.0458431257028554,0.04500677281424397,0.1050026478595879,0.03987092622013935
AANAT,-0.02297428538608807,-0.029334280601347133,0.08399819446174972,0.019456579563343044
RELN,0.06973793089650286,,,
IL15,0.022241804119303543,-0.07224441205283609,-0.03159849659353662,0.001254754223834935
UTS2,,0.032664509123136135,-0.014687680506633265,
BSG,0.0014139329324659295,0.03662941636684848,0.026874876266947505,0.022254052960485826
