,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.008820046628820685,,,,,,,,,,-0.029695619186332803,,,0.0508180933860134,
BMP1,0.021665636956608333,-0.022030246490124576,0.02779450557601282,0.06998713370501432,0.010743185091867152,0.017257022683834094,0.17684172958703887,-0.02360443990608521,0.004854465205873904,-0.026917840286032106,0.12080482499592664,-0.03528943378996997,0.02526742080643005,0.03892561619698528,0.038813437726418105,0.054955202769824636,-0.0031628157641422194,0.016277525410578263,-0.0009097166198924155,0.1130546156535988,0.10343089961528579
NDP,0.06857970202742976,-0.04639890313906079,0.0139388732534302,0.07896156962914253,-0.0733784067254443,0.12011883403684695,0.06861331891672857,0.024406989229469284,0.02434000348524202,0.04009313962240252,0.030324173950991712,-0.04315549301689459,0.07322184652822032,0.06992696007329505,0.03975467977747968,0.07286039018373705,0.06097401340288216,0.02718433476931262,-0.0590618030824027,0.08956740659767763,0.07039882378100683
TNFSF18,0.04607232456084628,-0.021544823491749746,-0.031230432780296483,-0.025675434466670467,,,0.10667100168715116,-0.015776938514738985,,,,,0.19093859466084076,,,,-0.030624567908405155,,-0.03214813581293133,0.0741269969600029,0.012497284971069826
IL36G,,,,,,,,,,,,-0.01808104625906558,,,,,,,,,
RTN4,-0.0026047993876382996,-0.02480110980317673,0.06259964761848623,-0.015066695429021263,-0.018870550897425127,0.01232525978078011,-0.1996086672925703,-0.015557407943802322,-0.0026264567136058048,0.03651903626642316,-0.03482982081167896,-0.03433440757072652,-0.09458442595057995,-0.07087438923117569,-0.03642576126265085,0.0305202977446813,-0.03725653819728135,-0.057408849843354405,-0.005106314155202828,-0.02582328528622434,-0.1382543084239605
HEBP1,-0.004910633802150639,-0.003083152430018914,-0.014617064871237892,-0.00793823309411634,0.010237542299859357,0.0036188859858383143,0.1243101813732713,0.040308765404750146,-0.028183579706551564,0.014991401319906388,0.005871769353323657,0.03972022223468374,-0.061372552030868416,0.04569683945208158,-0.02357696927322415,0.07839552125933902,0.04735884738318757,-0.010613289516315993,0.03306794491454181,0.07783065010829372,-0.011502676924741127
WNT7B,0.038527952243038746,-0.0022413945255345975,-0.008924619803670554,0.014498319299725766,0.0297055804607978,0.0618276798382015,-0.053198998756459906,0.019460677636994012,-0.02089145353518638,,0.057692115918894483,-0.019873153523788125,,0.033112008912587663,0.03788190094754413,-0.04460009958036334,0.0005873148416739054,-0.028986521724215335,0.15420014023700163,0.05940232254905226,0.13991833794169203
PTMA,0.009657275735361962,0.08701085179075303,-0.012985815002275402,-0.0086513006632724,0.018946050489810913,-0.06734951298529501,-0.11456163420165777,-0.013736692486759952,0.007296519117430138,0.03118094006085543,0.17399646455174286,0.04664317483837018,0.014226011159365679,-0.07703223397419529,-0.019967648395988743,-0.06726502897054246,-0.06148718318811163,0.04468083139609624,0.12670251246569095,-0.02566807156596286,-0.05692461992667334
FASLG,-0.022556355105563034,,,,,,,,,,,,,,,,,,,-0.04745743389845089,
CEACAM1,0.027015374601537873,,0.06664886009806552,-0.022330699873224856,-0.006468826553857446,-0.016595309645226413,0.059415852621886436,-0.0028017165633223945,,,,,0.07837681494524279,-0.04294608955829468,-0.026929003047315072,-0.021606671833432494,-0.044004306836213966,-0.0001456296555271266,,0.08055469015817868,
PDAP1,-0.007626557203391772,0.012880172648569416,-0.053518849366365286,0.016707410979460546,0.017625477047578164,-0.03837683839355637,0.1444883304736833,0.005861535423688888,0.00022169778370050597,0.06556998338689173,0.15142774882396257,0.003421091049588061,0.08169091569209051,0.0670101131382757,0.008193006242869711,0.004155176858953541,0.06795120370328907,0.009800681177312916,0.0016443527437270268,0.02597235872520729,-0.013371406191976538
QDPR,0.050324310264507906,-0.05204174281751442,0.011328280685271018,-0.03205032210006515,-0.012565768583610575,0.05211342961143107,-0.16341996812953488,-0.03367445005516705,0.03862610943967998,0.07391751832889153,0.14887771906881697,0.0380509775884348,0.045231609269932,-0.08434356912911585,0.0534452790447655,-0.006025435769320598,-0.06385864629968219,-0.01832199915705513,0.039193970071219594,0.03408037759476332,-0.09003816432932919
POMC,0.011617358765376925,0.050806123637415004,-0.047111455868872054,0.011028982686386258,0.012984333743706741,0.011373425800897634,0.06060597095994427,-0.0029151236251429334,0.0698408352422062,-0.02572360607499501,-0.00034873194917075834,0.009931817317663027,0.06802295548024628,-0.019343207477029178,0.10424948229183381,0.033587847030126204,-0.058300775124186466,-0.007651829268981564,,0.0577938031809672,-0.008880597266297264
CCL18,,-0.02889337980888455,-0.02480501049822306,,,,,,,-0.014382376114999618,0.21057305715782107,,,0.09368822299268169,0.008505673103510396,-0.011972422150776929,,0.0006790759823003704,,,
CCL17,,,,,-0.0013874772927210848,,,-0.019676914003458633,-0.0258577630180514,,,0.0035873861528054403,,,-0.01910482426168489,0.03637873674658974,-0.02571909747215339,,,-0.024041441648505205,
VEGFD,,-0.03255439395020663,-0.024805018374975684,-0.012181199335426364,0.010429449958139667,-0.015877452672680117,0.08116189184886148,0.04589643081472762,-0.01896698188267247,0.011891788932662675,0.03856848641178228,-0.017702368950915974,-0.062354199052636936,,,0.11390253832231408,-0.02892950092336537,,,,
TNFSF13,,,-0.01871866285412718,,0.09283174504233624,,,,,,,,,,0.03254941693939103,-0.03390310196435279,0.11114654950820105,-0.004295295256432699,,0.09731664184285524,0.022811613049408517
WNT5A,-0.04023195938756529,0.05108199851797763,0.01934454255677608,0.022462197387898054,-0.017582312810194855,-0.010981342431660048,0.1095866979941531,0.013671034912795603,-0.03036639785589924,-0.00315548391162257,0.04333853086151965,-0.0654194511884236,0.082889750300552,-0.0065485472873014665,0.013731145225674715,0.10541763395994268,-0.04654204549363001,-0.011351193616846222,0.23133275467583395,0.04472978720021628,0.03267157694598349
CXCL8,,0.06469288581646933,-0.01640493755961,-0.019145970366302365,-0.014892740370700487,-0.08350323690066738,0.07293684182705365,0.01082235636718774,-0.01766287824093463,0.006754598210141393,0.013420745748817582,0.030373086883186875,0.025378933391216454,0.04830278190223715,-0.01737088147146928,0.016726268737305018,-0.03657044777140707,-0.003569470516884753,-0.012085255486820263,-0.01285326335200413,0.012012537605920694
GRN,-0.009096670382093299,0.019503833422866806,0.03991118907524138,-0.031249400339262275,-0.010575348887139159,-0.038341275852439266,0.17539452534830238,0.06445202696133949,0.05397520720120409,-0.03978589800309503,0.03390435376917615,-0.028772689702856673,0.1094264370163277,0.04104284580248366,0.024326669343508103,0.0948636650240914,0.0893032030501375,0.01872615838181719,0.019380378818303356,0.02354940489025875,-0.06823672442797295
MIA,0.001339823291062215,0.12189414735499259,0.003505385084613999,0.06422362834224628,0.035193323504724976,-0.030239388236512028,0.004961983964928918,0.04478437320126957,0.03423612674403918,,-0.0032278328339363973,-0.024244205534659117,-0.024378905331221813,-0.05754344047210768,0.08937812580238409,-0.01404780634432881,0.09969462139705607,0.03017086758383744,,0.08802149828731662,0.07076912957164173
COL4A4,0.026028552604248825,0.020950719766156874,-0.02979061607345983,0.03680204890755346,0.01736437942959119,-0.07952387766517807,-0.032157884163640175,-0.020543306997189252,-0.03623747628979963,,,0.07459430680995054,-0.05888110547968571,-0.03849766130898716,-0.007822609459190232,0.01473026481810397,-0.05050650841019263,0.011510973262260847,,-0.013013062651436163,0.002853252064781026
TAC1,-0.022556342833578328,-0.04104397295448036,0.005831135879235646,0.06467955683119975,-0.008437187023550483,0.13625596765142736,-0.1169619950032797,-0.024973787428476633,0.013524257305113595,0.032369246518895146,,-0.032527648899225575,,,,,,0.04986430793542502,0.015269164616717405,0.03723106289304444,-0.03140590406591546
RARRES2,0.005310295631344592,-0.08916015943496226,0.010750992495160264,0.0033949697234678007,0.06797372583404984,-0.0790008691481692,0.15461941718760402,-0.03756831928507266,-0.029027552965286304,0.08078351540357484,-0.10993229904310542,0.024723534873533442,-0.12377697364998037,0.07380881157503198,0.024464686198906422,0.07818517818487093,0.009411704077470627,0.04680143114064902,0.04487290622633066,0.060842850820370685,0.032525656419788745
FGF7,-0.035440411751514606,-0.03354013630718387,,-0.007255208791474632,-0.03233015273626255,-0.018378260787111137,0.011228174089811015,0.043458763101875304,0.04089382379907724,-0.044997169042068255,0.047622910874295835,0.024459265040975176,0.046743341121418716,0.014696715161748936,-0.029925420210776793,0.03590790752190173,-0.030193024113024023,-0.042217439578139955,0.07442821042461667,0.11107314529520504,0.037513397974659746
EFNA2,,,,,,,,,,,,,,,,-0.02053569559271093,,,,,
HBEGF,-0.06143905004114803,-0.020009313295612972,0.04740354202925251,-0.04462784682691204,0.01304399636875719,0.01441102931894023,0.034997844433288176,-0.01718381874941046,-0.01848553042493335,-0.014870165896966218,0.11138709747007842,-0.0017085479665848136,0.11551872942961927,0.04900777503838345,-0.017660920450920617,-0.031577043113993564,0.0743533384137044,-0.011073641506447403,0.04654798352680066,-0.005901192199677624,0.061186083797144145
CSF3,,-0.03277165298965362,,,-0.03369601218598078,-0.03880417975887265,-0.03402242248272217,,,,-0.05060935336460127,,,,-0.023825933052047825,0.13609821812151698,,-0.027581413443979554,-0.028893836439228163,-0.045287983778467926,0.11719347052351034
PI3,,-0.03882290990736357,-0.026095916866886264,,-0.018495830303745225,-0.032696053074132383,-0.005983957361649845,,,,,,,,-0.0441892223593784,0.02799439937874839,0.014586586005560568,0.019712095004219318,,-0.08747757142159555,-0.023041238135008142
PCSK1N,-0.02013494440623679,0.02672018847562017,0.008650537442674274,0.08423357850698555,-0.09141737287639651,-0.005457159124925849,-0.05961798954869099,0.007977884748389714,-0.031537865727851874,-0.02390594218050153,0.007094128973801948,0.003741524611566764,-0.04843147915868783,-0.03475498543661583,0.0033377892618264597,-0.026546247012907972,0.024043728263735045,0.019448794316665227,0.013483109776607063,0.029517263781921866,-0.06739156633771164
NTS,,,,,,0.025158130772127692,0.0651129441905381,-0.023468340237834878,-0.05472161107338132,0.12694871854377648,,,,,0.014588825357462126,-0.02501884815581191,,-0.04295478679203775,,0.05943207069119248,
SFRP1,0.06742890600051993,0.08082293853922945,0.004956609608965851,0.06387323921885665,0.03411528409639254,-0.01811342389263863,0.10125988042722243,0.022606852792405725,-0.0034541296080358415,-0.026230984649736323,0.0741559143412207,0.07192779665005188,0.03883816374842746,0.01174206853976079,0.04651448191583352,0.06763541256531791,-0.016897307589155478,-0.017364103021398552,0.020797096137524042,0.039687778429931035,0.04601862072032788
CXCL13,,,,0.010413401951414929,,-0.0179506343965948,,,,,0.13624159497199229,,,,0.09597187693843755,0.06554833872455064,,0.1825408322942698,,,0.0470940099176593
MICA,0.031833976512773476,-0.06643887435808146,-0.0019438270693588123,0.039428555704190356,0.02257934081276707,-0.03146254182582491,0.08929952925140561,-0.05770902774289994,-0.029806640051989155,0.0686789679906767,0.029165059424103006,-0.03733506405749763,0.013491480407940376,0.04881154623618196,0.060550694500791084,0.052860728720675924,-0.000552881403163266,-0.0004370014514702087,0.08708237893325398,0.10293791600903579,0.0964904428689507
TG,0.060994162074446544,-0.026124238174681475,0.015085662342954309,-0.008191008510096229,0.01304775004700985,-0.008287541889003523,-0.012734533068163691,-0.01982374621532055,-0.018713150805695775,,0.08091313100414761,-0.010448595477560078,-0.04852644556351591,0.08163493857989079,0.09920860596976819,0.021387776276375312,,-0.022699927096413962,,0.02033122563823656,0.058361816401238734
ADA,-0.002642792662145841,-0.023305292275991887,0.03612661679102107,-0.0574682020127464,0.03475071384624216,0.008192638487819922,0.09305001082801832,0.017452849244795367,-0.011225275956056718,0.027548222528628017,0.17990917275136584,-0.0283102780172627,-0.03720462269984296,-0.05008728404543782,-0.008242830699030087,0.010433306793416147,-0.005530314394919979,-0.023686821907717485,0.04275965655898064,0.07056661491687034,0.05354124431120929
