,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.01451371678257476,,,,,,,,-0.02111010433410293,,-0.02955507664463358,,
BMP1,0.02561540672098723,0.015600027674805408,-0.04577650720190687,-0.0009706775343688647,-0.020498787178106916,0.025353053000015138,-0.03707861331107382,0.013489228977334549,-0.025462525864143097,0.0017651920614812164,-0.023314553010135488,0.07677843128927458,0.0236106223996883,0.031075748336048627,0.03267114814631707,-0.03999706379997553,-0.009107728751534988,0.019260047785525588,-0.02871196041960933
NDP,0.0406700765932741,0.015763337472817596,0.006773350574136892,-0.03454023465443568,0.047979361346898376,0.016006834871289566,0.0383751105344787,0.06143350609149066,0.010643877622624458,-0.042432085000432274,-0.013321937418430348,0.03564406965638579,-0.006963589001539922,0.040020865148831866,-0.03372124343726435,0.043428558966276086,0.04457504710629629,0.054943081485684137,0.08835276173362078
TNFSF18,-0.01958115049233951,-0.03292272690396055,0.04825873438809771,,,-0.015079726669573065,-0.02155243370840583,-0.026369831349341954,,,,,,,0.07230942241066549,,-0.01506693208449603,-0.03415807972864769,
IL36G,,,,,,,,,,,,0.004366443585283909,,,,,,,
RTN4,0.02248504265695696,-0.004853721669694889,0.015259884463177928,-0.02052098294270406,0.018252995304236814,0.012104882605430257,0.031810915526865026,0.020310419932862308,-0.01755302120602877,0.050013500813309776,0.06698955199975942,0.004175497943621422,0.03573057903988887,-0.0197956536123105,-0.08015068901533556,0.022941842338149946,0.018694835761786367,-0.1023269168868771,0.16502305555269176
HEBP1,0.08176786092885141,0.009276429303579057,-0.03706636750845884,-0.01828625839942451,-0.029459387630740894,-0.010520954620965814,-0.010098845669320969,0.06025992563352242,0.0037638092755018665,-0.047067745212913736,-0.0024287056533491363,0.016246371752328265,-0.002832509716383683,0.021882675228627763,0.017171537371267767,-0.01992593763114064,0.05061854785634401,-0.022758620961893256,0.054921920566042205
WNT7B,-0.0013714447417552237,-0.048722024541593065,0.03598707646363417,0.006024227931519215,0.011598158229408934,-0.00015289146853087677,0.08183421861519918,-0.0036338281774867106,0.03525338340915621,,0.023031697320934283,-0.012731899129284898,-0.010720805793084862,0.10864574578400253,-0.0024167644632729045,-0.0226073817816598,0.02308181967127376,0.009060668209358767,0.013232495584166056
PTMA,-0.06695294607694585,-0.020244603893175922,0.012474019326938535,0.08495421044605654,-0.04708243008160462,0.015234015253005476,0.023580712872361513,-0.010743698916305233,0.01072741440176514,-0.04216891923531336,0.017841480387111204,-0.010857723736759051,-0.016751355322981977,0.02402385897367637,-0.03224920116029694,-0.03647845042243328,-0.027629763804171762,-0.05220643687358371,-0.08210223134895316
FASLG,,,,,,,,,,,,,,,,,0.007459023335568862,,
CEACAM1,,-0.020954413404091266,-0.017144214247486113,0.03145008308349594,-0.01992527478144446,,-0.02836177522542414,-0.014450838182769493,,,,,-0.020334243620936672,-0.021769310488907144,0.031903517046745364,-0.015004848083476135,-0.012153643668954005,,
