,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.02799333535074127,,,,,,
BMP1,0.02794208714401825,-0.04711690711811549,-0.010727752851154562,-0.050822921438817795,0.09404883903891567,-0.17997079672142072,-0.02990695016603852,0.0019510452178241203,-0.009263019275121106,-0.05653279718891259,0.011218646159961234,0.01607217691481257
NDP,0.022412466818449203,0.04108886575611476,-0.07299707736084633,0.05591608818754809,0.056531760096705366,-0.057540239671630335,0.03626202249635354,0.005310889522378148,-0.052350015183165496,-0.06751882692892809,0.0004037102630953039,-0.040105227933565295
TNFSF18,0.0067226422179217675,-0.027734212671462567,,,0.0033067072657985614,-0.04156926261289452,-0.021196035960501573,,,-0.03214810438112906,-0.017967410514982254,
RTN4,0.06372915551301948,-0.02335475987531221,0.01755200452555405,0.055235348693194304,0.07686064252527666,0.2358179708564514,0.045673687455937834,0.12033083212742302,0.12436895953438686,0.011767306116219886,0.126132828039572,0.07990979041314579
HEBP1,0.010771675844991158,-0.00019525967589417725,-0.05073478502962811,-0.03158285846137734,-0.012327179463474778,-0.06795875621126363,0.016414226083029445,-0.0025335878398023686,-0.04152335806806037,0.08909220938723693,0.014151254000321453,-0.02446810212896801
WNT7B,0.00237371318096016,-0.017227633185407383,-0.008120255532943816,0.08129948824846991,0.04754063990308308,0.1724518516727653,-0.010280213893114884,0.03178720282905866,,-0.03214807104595977,0.1472606269268591,0.12932196632869417
PTMA,0.02956260032936549,0.04985990643117083,-0.03418564926826958,-0.09187346795892018,-0.009296677265973226,0.09828398924365721,0.033376085454022535,-0.06702536386902287,-0.19924298037977614,0.04494611324682915,-0.03374364061379698,-0.14276929103752786
CEACAM1,-0.016971609862287688,-0.013221172297436518,0.014497657399767707,-0.025007634177537045,,-0.027040545690775443,-0.03333631494864481,,,,,
PDAP1,0.07585588865148842,-0.00642074952080075,0.01434100965479518,-0.011684268175192086,0.018524712267331517,-0.1017057810159626,0.006366837229133629,-0.0035473690077608517,0.0010835817838800528,-0.001963117109844269,0.04087345368763762,0.04246061300998969
QDPR,0.005669937263194718,-0.029154956427299428,0.02223543922517929,0.09658590400646733,0.022081205013455882,0.03611570615698315,0.01931946226640329,-0.014840153687036933,-0.16959868493967267,0.0974163303893079,0.01945222365554172,-0.0913118507840469
POMC,-0.014922086913633321,-0.023491913832373378,-0.0006518123018357626,0.07912480695168043,0.013996184310206865,0.056302785929838506,-0.024594203985524966,-0.01600298415931798,0.045211139744425824,,-0.022752857321978855,0.08433059912755839
CCL18,0.00247718248187536,,,,,,,,-0.06066760973642995,,,
CCL17,,,-0.01932048440093729,,,,-0.02643558358418982,-0.026083285829035477,,,,
VEGFD,0.04904737493758988,0.04910038116894102,0.03519557653671577,0.06818512382970147,,-0.04689634575015142,-0.028164878356531732,-0.019132405591872615,0.05519986038090247,,,
TNFSF13,-0.027463123792194195,,-0.013326837734557407,,-0.036737609968928615,,,,,,-0.004156221565047014,
WNT5A,0.10289578836024017,-0.005532621794066379,0.060604877006297575,-0.005514108211345384,-0.029479437965862446,-0.1204121552449268,-0.03501223184435755,-0.05040343331033788,0.008232345885073553,-0.03992405374797373,-0.014971274572661467,0.01795109568649935
CXCL8,-0.03959019418773102,-0.01773118170605508,-0.027246517641613777,-0.07720435131969174,0.009010937213921523,-0.05575400029278499,0.0015267634667272335,-0.017816927991803816,-0.04194459325776584,0.054871756455300354,0.031184796170647455,0.041800649334586444
GRN,-0.029475137270975598,1.0467951804816345e-05,0.0048106952469426706,0.001778376557968135,-0.0038760671343874165,-0.1878755692667679,-0.04220598721556324,-0.03440348344627594,-0.15752948963671026,-0.011894933163025517,-0.027341966609885006,-0.1028119156714896
MIA,-0.019875456383973568,-0.016840956015658264,0.03427584241047269,-0.051799405145490404,0.040508339901232086,-0.05139268356774983,-0.021922812580648363,-0.021759082113654866,,,0.07919236490854056,
COL4A4,-0.043707362189643224,0.08052101090557176,-0.004382339065417324,-0.05003583494191416,0.0005730376151997286,-0.027585354178160555,-0.01753244002783233,-0.005919348024480323,,,0.0007339395743386354,
TAC1,0.0813323192071898,0.04652763329213347,0.10403465335358157,0.11027524173397761,0.11099610669824043,0.29606596590495665,0.06681492553975565,0.11453147733654881,0.09124156058426071,-0.06003594194546262,0.0924142341346635,0.1579081122333856
RARRES2,0.010038482708447208,0.06026393935604848,-0.01204451653710215,-0.12107883954698921,-0.08713176912126236,-0.2227046970265437,0.060634582304357566,0.01912985969641321,-0.029313935321280914,-0.06084684129584407,0.021230618910183824,0.0902793969206621
FGF7,,-0.02137354126614662,-0.02488189070983153,0.09690416640198225,0.016646387413585012,-0.03154588998608052,-0.023524441339956386,0.0031584600156761163,-0.0507456502919122,0.060824961904091326,-0.012868060188939424,-0.051860580381815985
HBEGF,-0.0017923711628624233,-0.02160682597490472,-0.0646112229607085,-0.048287346759078115,0.03837125936405761,-0.052718396778747574,-0.07221346775847783,0.00798475995424467,-0.05785254737061359,-0.009817805577126472,-0.020926709695949095,0.06707454007880359
CSF3,,,-0.023028332794199195,0.020502307653446804,,-0.029184773768358086,,,,-0.028893808189212083,0.08885130740604193,
PI3,-0.02941371150853225,,-0.03973994993276323,-0.004079648618717705,,-0.032862440460490965,,,,,0.09943715141849742,
PCSK1N,-0.010315209787363566,0.016042396929415403,0.016112641336670053,0.01806764524126767,-0.017698498397169166,0.08197589028478218,-0.011223147581325938,0.04660614989946695,0.19255562338968565,0.007852702660117216,-0.005731018267180522,0.15209776718645168
NTS,,,,-0.03957837306699631,-0.024574290410862423,-0.02539323689534831,0.013866993237533607,0.009730947868357431,-0.02867611309728504,,,
SFRP1,0.03951153444127467,0.037066300594858,0.0512364260633804,0.08001087172377719,0.022395745227544395,0.03828381162316387,-0.058543290307550136,-0.026083286091715587,-0.005758435882663325,0.025499088131005425,0.10798953573121332,-0.009817351815175068
CXCL13,,0.04229797425092133,,-0.027049986281749285,,,,,,,-0.03304483665231914,
MICA,-0.02995334351125521,0.040808430764273734,0.011247199812672488,-0.02537966331957487,0.005970501477542148,-0.08171503990461727,-0.001395957128741573,-0.0009566467182559415,-0.06059502838860971,-0.04806533728851331,-0.038005771354233726,-0.019234134967626843
