,UKF275,ZH1019inf,ZH8812bulk
IGFL3,,,0.013181116276641204
BMP1,-0.01632309021599849,0.04438913032302597,-0.018636832042630128
NDP,-0.021061431632599728,0.0436875189730468,-0.07571600670873212
TNFSF18,-0.01033603514997156,,-0.01712245116002973
RTN4,-0.0028045477124541978,-0.004003698760344763,0.02673603682852955
HEBP1,0.025361316280406686,-0.04082906291390386,0.02895187892019689
WNT7B,-0.018822186415941577,0.13455238988838317,0.02493904589589504
PTMA,0.022880423357693774,-0.009505405778515465,-0.028750136891995706
CEACAM1,-0.016256120895520573,-0.030919758172038594,-0.003953643491193786
PDAP1,-0.00013060537061745684,0.02175394095618098,0.0012864826983624352
QDPR,-0.052247572221026495,-0.08374927288597908,-0.055506544728284056
POMC,-0.011993117833620684,-0.03783400671115834,0.1825870648910334
CCL18,,-0.021922616913565666,
CCL17,-0.012891048196246379,,0.025807274456555878
VEGFD,-0.01373432151324282,,-0.02308739018513942
TNFSF13,,,-0.023474393929999227
WNT5A,0.03596862168407579,-0.03336098357416185,-0.03766638081620635
CXCL8,0.042337467808218884,-0.03859821864401996,-0.03107929286213419
GRN,-0.011988483370418631,0.017203935558094827,0.03597865518737452
MIA,-0.02533752575133157,0.014098099747298618,-0.006710688050093509
COL4A4,-0.013458653148786621,-0.027717037572121062,0.07993217177916363
TAC1,0.012348695187361697,,
RARRES2,0.0022448638940834745,0.002560722269120416,-0.051981409711488
FGF7,0.015786343488308104,-0.023244532245275125,-0.044937635861306335
HBEGF,0.007534031930982484,-0.023731409704322227,-0.002119304807679
PI3,,,-0.018599283494527618
PCSK1N,-0.005091598756792012,-0.08113338162174863,0.048462404817511705
NTS,-0.015374946754285827,,
SFRP1,-0.028548050566692316,-0.013264300315879926,0.02368083183617689
MICA,0.0011706960062061993,0.03436533351768048,-0.00624995503966124
TG,-0.012987243215421676,0.00512699984233765,
ADA,-0.04205376641497613,0.09609664085384256,0.08321440548250789
LAMC3,-0.006134770514118597,0.027186378215082668,0.021100426325114052
NGF,,0.031192264246544945,
TNFSF15,,-0.03290142229578613,
HMGB1,0.01142299577467473,0.05339530184692967,0.04033716438383801
ITGB3BP,0.07384212419274178,0.026110505931862163,0.03212419599460402
AANAT,-0.011679503721314308,-0.02283332447081085,0.010229450015675212
RELN,-0.014747210095734209,,0.0615485298130542
IL15,-0.016819280448286778,0.1137779544036159,-0.018357444538080664
BSG,0.045007212028467296,0.05561530978976008,0.029393183735053237
ADAMTS3,0.009353339113263363,-0.02734058152500881,-0.041954739491129836
CD34,0.01425030119766748,-0.0039686585617086075,0.017549780650039416
PLAT,0.013337282677383011,-0.012050967296734367,0.018280474771185166
LTA,0.03791413706146832,,
CKLF,0.01362583620803118,-0.01211352602238651,0.0175161147704425
CD24,-0.047549546431630396,0.02864922765964856,-0.04043742105103893
HSP90AA1,-0.0034372780547993744,0.024666134945515582,-0.026417404245453094
BMP4,0.007321551287175815,0.09917854648379594,-0.047890407103113715
IGFBP4,-0.030365836313064342,-0.01721295733648642,0.014257185620526832
RSPO4,-0.013082782496707511,,
LEFTY2,0.0461389791318248,-0.005276320013739898,0.01218063117033717
ANGPTL2,0.004159542952758337,-0.025497379052431754,-0.007118484069502463
LRIG2,-0.03481107194578689,-0.049864929713382806,-0.011353339323457287
ICOSLG,-0.028617060530420037,-0.07592180436369902,-0.01689968505537427
WIF1,0.04331405929985447,,
NPPC,-0.01969345099413477,-0.027340529015784796,-0.025688611005317646
LYZ,-0.025750301054268426,0.033597254075838176,-0.018253033595356256
SPTAN1,-0.006191318523725752,0.09534148157741275,-0.05642018709379992
LIPC,0.022470697373935093,0.0009275232364699126,0.035703205896757954
COL8A1,0.018197214920690517,0.09310343882753211,-0.0146795032742304
GSTM2,-0.03110487695405283,0.1510008795646673,-0.045389283746025036
SPX,-0.01345335970763376,0.0575322782443586,0.045495032509056996
MFGE8,0.0029441778821871346,0.04357220470217189,-0.0357009022901855
TGFA,0.013979463866442037,-0.05206150102884792,-0.010471700326251486
SLIT2,0.05442387364951402,-0.030919720393508748,-0.03819265653423193
PLTP,-0.0001006083138818043,-0.022362231764643387,-0.031083579951915
APOD,0.023551495581361666,-0.01223252889048706,0.04137104659325309
B2M,0.060056481372579316,-0.05472197804209813,0.009276041406481817
OMG,-0.02321830009482326,-0.032413188387689196,-0.008761740828190218
CXCL3,-0.020089566627415296,,-0.019067959108034684
CXCL10,-0.004257597918225886,-0.03687908717068533,-0.025688608212104124
RSPO3,-0.019759565315947563,,
CORT,-0.03785440619782645,,
NCAN,0.01245393673970099,0.07602428935691215,-0.033103793914003025
PRG4,0.050960320125665336,,
ZG16B,-0.008938017365540833,0.0840930117493874,
TGM2,0.050172835031811254,-0.001613872777365894,0.0006853614739307242
VEGFC,0.024433008302854706,0.05388304916871128,0.06037751197239293
WNT6,-0.0198912388491119,0.035597300386788155,
NRG4,-0.01717137855307203,,0.030162183089191982
PMCH,0.029415834716287816,,
COL9A1,-0.023955053901394848,-0.03225942836564889,-0.05419380732337877
GDF11,-0.03165517082360357,0.02555742110326002,0.04166685194843148
SORBS1,-0.02270505397938037,0.027064470755960458,0.034016637829123085
DLL1,-0.011134455582252411,-0.04145593432055957,0.04472416917178362
TLN1,0.01318581905866997,-0.002324663427725424,-0.019213760993889124
SHH,0.02959218464189049,,0.06309506284887245
PON2,0.012492091271901092,0.040968592269387274,0.007135577841530062
ICAM5,-0.010207994245176481,,
HPX,0.030527325303713868,-0.007883491767506886,0.01136214733783083
SFRP2,0.023029118923244944,0.031120138789327737,-0.004786062649086922
CFC1,-0.011248579958082755,,
CD70,0.005117741694101633,,
HP,-0.043476935497028565,-0.02636645661127433,-0.025865685718692244
CXCL2,0.0049964113863692474,,0.06097066213317861
NPPB,-0.009849714076285336,,
CCK,-0.009736700069983334,-0.03159229630948003,0.10421576764962097
SEMA6A,-0.015053881856549612,0.012171667664238014,0.07855699551767024
IRAK4,-0.05232926225378993,0.1572502658192497,0.02502074055861447
GSTP1,0.021887678530378183,-0.08294636239764432,-0.04304479519029802
VCAM1,0.018967962705457562,0.0748474429800457,0.049461098434784766
NXPH3,-0.04787328061167991,0.06415956543487324,-0.003892683981834371
MTMR4,-0.01331057429572839,0.0032739226465533762,0.008263407113330776
LAMC2,-0.012399691146717526,,-0.019526266439846996
IL10,-0.030308815600871144,-0.011922313708044651,0.03621909646130486
SEMA4D,-0.042783001127188455,-0.01465140027235644,-0.010952775547536082
TRH,0.02095514529758588,,0.0076775002552076374
SEMA6D,0.04968426786125096,0.06524264303533528,0.021399545077637274
CEL,,-0.0350906968835444,0.075409505006531
PDCD1LG2,-0.03847958660627953,-0.007837609932016596,0.0249178366069189
SPINT1,-0.021541753749167922,-0.026636203660076414,-0.009395979139015976
CTHRC1,-0.009707008716328241,-0.058555236500896383,0.038582742296712144
PODXL,0.04803020754445244,-0.027456459684058805,0.02348332742545551
JAM3,-0.028697554685878625,-0.044053102135630406,0.07679772988246146
TGFB2,-0.026099709630174567,0.09231123055337621,0.007155413710048756
COL18A1,0.04213747435174249,-0.03748736191769464,0.04486747586970933
NODAL,,0.0020363781744809095,-0.029373772722897123
INHBB,-0.018182225526861964,0.12459235255568255,0.0025967635562486333
ARF4,0.03261063040121371,-0.02318889788358336,0.002683894062322518
CXCL14,-0.006179727311009688,0.03974355440450865,-0.023753487341038628
LIF,-0.031027033777228534,-0.06434775204821208,-0.05161443098519449
MATN1,-0.009973418761411054,,-0.019751762139304452
ADAM28,0.017509925831820896,0.014167491593009068,0.07655537822020217
TCN2,0.0240259447192421,0.027996480923123936,-0.02842625647088309
THPO,0.03616451872764661,-0.026182028191114814,
CUBN,0.01631542542785358,-0.03867305169113634,-0.022203209230936976
TIMP3,0.029822672973927458,-0.012232881110626984,0.0050559245934718965
PIGF,0.043570308558980926,0.09678085494811885,0.031070649437442505
CRH,-0.015700489191396595,,0.06228317037396389
BDNF,0.07457271692943324,,-0.02999726837277913
CCL5,-0.013989494250721669,0.02732558866502298,0.02975819657399981
GAD1,-0.005932352781994682,-0.058813487166227536,0.009325180065522656
COL14A1,-0.021664423842848057,0.033542270745037225,-0.039347302831606555
