,MGH258,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.05044349783044455,,,,,,,,,,,-0.0251949234600004,,,0.15044989787913152,,
BMP1,0.028149365832860037,0.11461043437648888,0.05302022915175055,0.00434853014212576,0.03458937109252843,0.08694806200924773,0.2701488777473244,0.03524008003561806,0.01589536146022274,0.041101364282153434,0.06815406074927283,0.031107598396064504,-0.10640713716852264,-0.07998767778809586,0.03012072051648699,-0.038256169760597564,-0.022943750328731943,0.021257710367134388,0.001719387068531512,0.08943101577150875,0.015620701467768297,-0.004674658632007311,0.04291334826307456
NDP,0.025134755013344535,0.08314115548162368,-0.02144643931812155,0.014378043493316839,0.02663708994186328,0.10650056824498513,0.03291646649498622,-0.026698279460308345,0.03730256043443926,0.107535930667513,-0.014666835525576266,0.11914704713526354,-0.07360232492262325,-0.019234722595375942,0.06192919492369235,0.049806101652666135,0.015144153085494131,-0.02079000869849029,0.06709087723334475,0.05635498143233222,0.15432849051239128,0.05174873415392506,-0.012386737994813197
TNFSF18,0.12184498965214705,0.03648997035414206,0.03570207189186649,-0.006050340917458327,,-0.025165077934460295,0.04102559194249821,0.07550851495375768,,,,0.051902606336463056,,0.06283203668680393,,,,-0.03347522195124023,,-0.0022965934238561507,0.03465606799252959,-0.03973908260705231,
IL36G,,,,,,,,,,,-0.0007121601261411263,,,,,,,,,,,,
RTN4,0.0905513280181337,-0.01733180928479555,0.03760781199721005,-0.03325345402847301,0.05477441617641571,-0.11670109628938338,-0.32323794898094504,0.012041019573354501,0.0054294486611314,-0.056105685628517005,-0.009965078253312259,0.06555898614381463,-0.025365451001071203,0.07350171299984182,-0.04187839339845107,0.06739624900368216,-0.10392988393849212,-0.008697475607109935,0.0023194408577350972,-0.033472388708096205,0.05687991594587194,-0.040256656847437025,0.06669400921761891
HEBP1,-0.036577369261409684,-0.004869803599794185,-0.0560869166952928,-0.036236795615401426,-0.021254698591726684,0.06545906161406875,0.09871936857060128,-0.02292584077723714,0.004619861596021661,0.007408763540665913,0.019245485402538454,0.05852899505277749,0.02326255367336819,-0.04927072431408061,-0.0040029201744115886,0.05891535976947401,-0.01670385541563267,-0.04267807837302537,0.06990082154503992,0.0952018105944969,0.0780396760807329,-0.015402614106480918,0.06667745318645191
WNT7B,-0.02773980036208442,0.050333114996055715,0.016767036303610722,-0.0010695029913217586,-0.04645022847598678,0.0011160947306591946,-0.13990001953731473,-0.052917682530429715,-0.019958662334991006,,-0.029235269095456477,0.12723407642214157,-0.07759583094942908,,-0.031008341753818034,-0.03329831845090855,-0.04037721048059978,0.04299577176766431,-0.02175670457186748,-0.024155026085527453,-0.010023556322020209,0.08248848611027448,0.14412055413418018
PTMA,0.026301866602817265,-0.10438609577903067,-0.025385031177919994,-0.017222245447185498,-0.008435623333909441,0.14580260252870522,-0.13672572949395853,-0.004864827685754962,0.014336043222421525,0.1768350751452294,0.01491620420447121,0.10098144977278098,-0.005666150992806811,-0.0015511193227639053,-0.10771960004412506,-0.04690307587038058,0.006214844186803334,-0.03657233784447685,-0.013205453780713567,-0.03872418637089572,-0.0782233719586917,-0.04439845288853099,0.06169740167851545
FASLG,-0.01124094336477467,,,,,,,,,,,,,,,,,,,,-0.02412028187488086,,
