,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.005627312221351407,,,,,,,-0.018219043330381456,0.044884057748290844,
BMP1,0.04272722609268588,-0.03158310270514459,0.029407054488195073,0.034664087090518755,0.06091520807174371,0.003356416419617484,-0.018724038058549632,0.16000479553828667,0.04533837352750897,0.0034780849787930026,0.07259944842251316,-0.019311448724014506,-0.006859306889713619,0.02399956927181108,0.0030563649575014893,0.013071623096458648,0.05476641473461131
NDP,0.05288327421548542,0.03823933363958741,0.017037953715400667,-0.06461295868865065,-0.01831901605429348,0.041661978484139,0.11993394763454009,-0.024055300655843142,0.008151444072334094,0.04836121296540224,-0.11200265852724016,0.009987028602119002,0.06658336757417999,-0.023869617111870276,0.009312791475389213,0.014668850734766752,-0.05785916172058559
TNFSF18,0.05952224466342299,-0.01987259320188411,0.00942211744315595,-0.011999823312700355,,,,0.04856239977587531,0.07507864872214837,,-0.02670042708777783,,-0.0074425375164083405,,-0.018788977801622524,0.027541776871851213,-0.002444674809730157
IL36G,,,,,,,,,,-0.02514650523707542,,,,,,,
RTN4,-0.02313395902735064,-0.07047675249747994,0.03835609143321206,-0.03658882114296781,0.07011224596554162,-0.10060676861895433,0.027918982808360596,-0.20237415234663744,0.02966136414644191,-0.12331535437850268,-0.08907192395965438,0.008984332278350373,0.01525404685143348,0.014270944449135877,0.051735986358728406,0.016352221405041837,-0.07509231824094265
HEBP1,0.014434125542745395,0.045305066198053204,0.02186634377037473,0.009745980502257749,0.022799176610556297,0.019099694464089573,-0.06995977589819334,0.0715635789975512,0.023899664680525668,0.08907968292390063,-0.04108989694684951,0.018803005402103192,-0.0012023830924489693,0.007627751849297926,0.018097167685572832,0.05248395224168589,-0.018080626988139996
WNT7B,0.0032906307026442263,0.022310218913568634,0.043686582525418106,-0.015709239525174813,-0.032553763693227454,0.05194759937954908,0.021341459052794748,-0.006387461508873824,0.0643471733476858,0.021780731252341125,-0.02939456411751396,-0.021325605438861212,,0.020797389919182806,0.0426522865366438,0.04766273770568638,0.015248408208649296
PTMA,0.02355996020909753,-0.0016839641173249697,0.0727861534610563,-0.016858101526883176,-0.03708280416025724,-0.011022825604435163,-0.044352507570243435,-0.11322064836731444,-0.036518938876909525,0.07964823525758395,-0.05953810079237266,0.09135820159761757,0.03767105172254477,-0.009492717803500358,0.011073787020035057,0.012976042916433873,-0.07198148167568927
FASLG,-0.01973637149229022,,,,,,,,,,,,,,,-0.020579537085878823,
CEACAM1,0.03927221034809473,,-0.028370266806534213,-0.012055896488437145,,0.008779530565905608,-0.01456208555422681,0.06996551761628164,0.018826819631016886,,,0.05072756368396795,0.022572964811564428,-0.01848988976737931,0.010898586972871284,-0.028633403271179497,
PDAP1,0.02564673228972013,0.10560920269274783,0.037234022103364045,0.05319919831796507,-0.04694663548536214,-0.013743500454812074,-0.033169716544095694,0.13143263870832406,0.02440992049969971,0.030587186150641356,-0.009790643286572486,-0.0248315891454291,0.04051180500002727,-0.008903423349704391,0.06260002407033861,-0.004924460449756731,0.010897452890810838
QDPR,-0.029505481433772917,-0.03179458192693913,-0.0064484068520728344,0.0021617513228087155,0.031518794825057636,-0.017473858313999353,0.06566544604235763,-0.20464042633595114,-0.05345996470050011,-0.026726197186835138,0.07901187889226974,0.038753156042226365,0.0080264796885067,0.011301363083079748,-0.00018414785265401777,-0.01834294780868112,-0.01253929750210603
POMC,0.025233459202627682,-0.037522772436387776,-0.04049124386254349,0.055691778291303014,,-0.04184091405241732,0.0718275474110051,0.014732575047701668,-0.01324477468869821,-0.008066553585407329,-0.07195678179939018,0.0632297100534616,-0.011627364050443413,-0.006017685267247426,-0.04755806476494844,0.0019383427231331794,0.02401991588200202
CCL18,,-0.004336246512566303,-0.025617320080157994,,,,,,,,,-0.03926708280673051,,0.0845095390059717,,,
CCL17,,,,,,0.010719462075930426,,,-0.015565062181712429,-0.022972046443110027,,,,-0.013117681854134866,0.01889754214749094,0.07021862182411474,
VEGFD,,-0.030027641124749486,0.14259546364914732,0.0010086377427717557,,0.10116981581140343,0.011773472665902486,0.050692427685534024,0.05126505815850476,0.0755489059447053,,0.15927860786239292,-0.002378188405505221,,-0.02533448380910605,,
TNFSF13,,,-0.026716559597931042,,,-0.020601144308296196,,,,,,,,0.09415456655980729,-0.025759154593876045,0.01139904049470562,0.04515331170310548
WNT5A,0.008191626171878219,0.00578720344428337,0.0811205383860653,0.03205051295115841,0.06131910701599081,-0.02462960247649101,-0.05512510377176616,0.1646597714036204,-0.011163156619586449,-0.002031601331214865,0.0691323946678104,0.015507337680382701,-0.02235278197107897,-0.02750441960674858,-0.002001309623617022,-0.0185738337015936,0.005384045474066829
CXCL8,,-0.019210055065996885,-0.017688749119149357,-0.016168406738585335,-0.005777591252580451,0.032835312911739134,-0.023511005410370236,0.04903986136902691,0.015144186809322545,0.09448115829383553,,0.1467754812565728,0.0021439922326077355,-0.058295766680119564,-0.03410423765961267,0.04203111703417374,0.04296696445184619
GRN,-0.09040697399304767,-0.029418687245743338,-0.022320765017427652,-0.004666714679850027,0.013788222772615844,-0.028344838279096066,-0.09266939557299293,0.12707812760896472,-0.029258564224410304,-0.024357375614972532,0.06691385099017085,-0.04433774884719483,0.03910901290069879,0.1031928676797938,0.003919469359851732,0.014509503966297542,-0.01148962788464111
MIA,0.009444166286246503,0.019023288060330504,0.049612553976325593,-0.015356642960508524,-0.04338308274354657,-0.003533632968321208,-0.04227504500335103,0.10530691722551969,-0.007323733170481485,0.04830242101149119,-0.019651357071771437,0.01134512206390637,0.00858676535411584,0.02838903896865002,0.058538369004511405,-0.013521641620257199,0.016090226024814837
COL4A4,0.03675137957020687,-0.011373119800535247,-0.009729202614529447,-0.025825299536687808,-0.01759884759969162,-0.01436365558072715,-0.04096551193226537,0.023841570741507584,0.024604670540655852,-0.03270772827278832,,,0.07545041935144127,-0.03466062567219526,-0.03700203321954544,-0.021608745415776176,-0.0037710313717059327
TAC1,0.026996132133212336,-0.03785829010044395,0.04275292099044545,0.021054532580548017,-0.0314214021304363,-0.009139036774524021,0.08088468145488106,-0.10724216409648592,-0.01858763668922647,-0.05796493964649404,,,,,,-0.02452131633198612,-0.06276257381290756
RARRES2,0.04635295593487212,0.06414358361570165,-0.01911799889875971,-0.0059206304762889125,-0.06194743565181698,0.013385053401485502,-0.05438414129827137,0.1812483956175494,-0.018982660156080123,0.08098648489894494,-0.013463518033730545,0.07605637658697799,0.0004817175015314934,-0.017313754418336328,0.03652713719798507,0.06424370544188142,0.03167446317216818
FGF7,0.10513329198811028,0.059209156587394195,,-0.0032151990999955086,-0.009337455999826537,0.002978774456649943,-0.026676070878973203,0.004944010299496787,0.0275631481111627,-0.015079352026766463,0.07006075403208172,0.06810548234760347,0.0814515888063022,-0.05173695821520477,-0.021871394067481793,-0.009087457722019954,0.031684900658845716
HBEGF,0.08978978448755762,-0.038444834593388065,-0.009866540213359492,-0.037568052422561796,0.07203395843301107,0.03199390532215593,0.003510469594438721,0.09610835294578114,0.015077558202418377,0.013024851526341029,-0.08621631045718448,-0.013625530047772083,-0.012495428865287681,-0.04561132482553925,-0.042492658696028494,-0.008549490695590049,0.10022842633052804
CSF3,,-0.030228037313282448,,,-0.023107235184640192,0.030881527490270004,0.024610979167789836,-0.032438855238073376,,,,,,-0.004054572172004078,,-0.019638772372479286,0.006660077774236708
PI3,,0.03264979564346444,0.036118633331598114,,-0.05474427188371929,0.08589118905598221,0.01033315110647832,0.008687013028071367,,,,0.06686619568016916,,-0.06087575429214712,0.004212846278413195,-0.032524087452973215,0.09084030730195632
PCSK1N,-0.002629250116605685,0.006093845436037342,0.026750881664085145,-0.0266414605527492,-0.028390318413116754,-0.10721120137297961,-0.024867201608607427,-0.023988831032106417,-0.045063920193557205,-0.061595517080055305,-0.04037954884493148,-0.0011800028595618706,0.026900191491538623,-0.04314953047860384,0.030034065941167688,-0.0013943461832224943,-0.05592299492599061
NTS,,,,,,,-0.003637350584723237,-0.018445155775690166,-0.01380268932983422,,,,,-0.030602186265340017,,0.014943800565543314,
SFRP1,0.15593676143752658,-0.046672499597502755,-0.021894137868721627,0.012942370529069748,,-0.026059550517753806,-0.015894203485407824,0.03380629497916013,0.05710600285629252,0.008387731300965305,0.03195814814050132,-0.05249567317018466,0.00791857494979796,0.010729264129691938,-0.03143820050894621,-0.013384904478867728,0.04571167864530507
CXCL13,,,,0.030026203802042056,-0.016778586856636826,,0.006911653002491456,,,,,,,0.0008351241979363168,,,-0.020967414413978803
MICA,0.05645921873026632,0.024343928117502824,-0.028181251622586376,0.008812465610156844,-0.05408783130887217,0.04157244983962585,-0.029971074766816645,0.07667144318511095,-0.005092247943876433,0.10856587253020229,-0.014174106678706498,0.034128180007974955,-0.023998319830930794,0.04664555103944071,0.041738328730475754,0.013317559283697563,0.01853910319507821
