,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.023564777775358783,,,,,,,,-0.02422830781459767,,,-0.024380923764310666,,
BMP1,-0.04937280978488425,0.06428136355098858,-0.044828465225718386,0.043356595901012734,0.004327470887469612,0.018878712056573817,0.06884892568590663,-0.07667160433052095,-0.08363026525759822,0.013565299768000314,-0.06331069159420008,-0.06580244128849053,-0.10495684583279312,-0.03320988439128755,-0.07218180597118791,-0.12116795906069698,-0.008424177197021088,0.024217526833233114,0.0032145827012588753,-0.046512684369790815,0.10151839110336182
NDP,-0.05276223568391425,0.08156603996537906,-0.003058978452556708,0.05729912035963932,0.00031860748607473314,0.045548213803828105,0.03720967981350617,0.04002894946322817,0.017156329446111094,-0.03160921520833493,-0.0285846282615812,0.004211314508519066,0.023637057097998123,0.2179839693806245,-0.040263618244997,-0.014070531999100468,0.024717663130889005,0.0064899878122593666,0.09516656572169195,0.12349513510972307,-0.00684542051379422
TNFSF18,-0.011984375143056038,0.09007848005841343,-0.013025149542205548,0.021763685514246893,,,-0.01902491941916878,-0.012137791685291176,-0.023379518802858885,,,,-0.03386994743465393,,,-0.04172987542189647,,-0.024391875803652503,0.010060758095956817,-0.013873847539765744,
IL36G,,,,,,,,,,,,-0.01456263455294231,,,,,,,,,
RTN4,0.07644118737964864,-0.004817715237565709,-0.009204412565850558,-0.026051322089530416,-0.007132075689389576,0.028027905137608625,0.022741559359154975,0.08136719052372303,0.051360897172780695,0.015985872642129747,0.03710750436920101,0.10008460904767721,-0.03318217098363268,-0.040033066563435485,0.058329478243909494,0.04997177713669738,-0.0669593029240321,0.01813136015913803,-0.012798405952571782,0.04362626159291294,-0.11463771268564474
HEBP1,0.0027601505496410686,-0.06717253588017164,0.07518086459135104,0.009864169997726699,-0.01982178200840577,0.03826677376725826,-0.011600219087731543,-0.002646888634164788,0.01461883977528926,-0.007430067833906342,-0.017892214456167007,0.013485078681924336,-0.0017720635163769054,-0.013469180972603922,-0.0037470934965669004,-0.05977975103397716,0.06885139711561161,0.06109502191031324,0.04697324778161901,0.008583224395210408,0.0638052239133878
WNT7B,0.020742055248968983,-0.02607337495419836,0.030636865093254473,-0.001667965960563422,0.02946633513035222,0.03436837074863588,0.021527103372886634,0.10569555746264653,0.002936793914016172,0.022615342352198867,,0.040485004093290755,0.027736286807176685,-0.004882827452045575,-0.005745041594479046,-0.08709148162265663,-0.021792633468762854,0.04822696039218472,0.014964969401251155,0.05412846916965521,-0.14652083807691157
PTMA,0.08525541140356764,-0.01454287354982915,-0.0019771849261695485,0.010442051050116514,0.035406306350958594,-0.048741940626618976,0.014486060502384527,0.04548544274709807,0.025761338470853993,0.07374758063805031,-0.026333629113676097,-0.05070715423829894,-0.15508481317539644,-0.074667296430535,0.07910576450443851,0.07084556399732628,-0.06517299970118626,0.07759332903218709,-0.05693521586246873,-0.15842341975108198,0.03176571465095297
FASLG,-0.025979170372440977,,,,,,,,,,,,,,,,,,-0.02114556686311431,,
CEACAM1,-0.00013362803010772252,,-0.00586135694221696,-0.009894738385547063,-0.00301903016740963,-0.0204051228559367,,0.011331315932433386,0.023856165894371145,,,,,-0.06654079544135827,-0.05867058353748807,-0.04984027351298794,-0.014464087778751026,,0.013601336313652061,,
PDAP1,-0.06676233747839617,-0.020608583829896682,-0.0008684042355442053,0.007159104808036234,0.081294221055296,-0.043818280775603645,-0.020820969429620105,0.020699389919462064,-0.03772944466501594,-0.006618804871370777,-0.03436496972833222,-0.0523960366027317,0.0497761515313843,0.08169181776105895,0.01038264784669165,-0.006476752426096913,-0.002555122468082013,0.015278801480625239,-0.008232635703098696,-0.026758010473740268,0.113424021117659
QDPR,0.09186241598057056,0.0714621541797064,0.07585452826893933,-0.02815242480615583,0.021736131638132063,0.07784566477722384,0.03505607661355106,0.0436160179019414,0.051597478569460634,0.1327275257203718,0.13756886819490727,0.07055205124383851,0.028766239923520353,-0.006195325892491236,0.13491434872068622,0.1287293884965195,0.10263038902244775,0.010496687242025836,0.03841238073166759,0.10664157772410705,0.06127700431903443
POMC,-0.02714734717552997,0.025672342363911266,0.010062858547499894,0.001796271457703643,-0.011673217565263502,-0.00558504389672532,0.016513039303674107,0.10204875303804042,-0.0049353176592069,0.06164869196075201,0.034065626311463225,0.05110924078515526,0.02128283296194474,-0.010663606994338302,0.02185626045761424,-0.02007046350450703,0.03989869811724541,,-0.00077990958364392,0.08912711895547643,0.10559570856406622
CCL18,,-0.0553310623370222,0.10549787387632395,,,,,,,,-0.05929655693812078,,,0.025552397267758334,-0.040207817911245766,,-0.023553950343704288,,,,
CCL17,,,,,-0.015228930591524508,,,,0.04138082008052767,-0.0036716919292606003,,0.011096039522580706,,,,-0.04714367676626636,,,-0.01916608129940117,,
VEGFD,,-0.020629228520013632,0.025873954776264037,0.006222681350240324,-0.016966710405506607,-0.019522466248079347,,-0.019124417361648684,-0.031066247686304883,0.005562935323991204,0.014399394565323442,-0.03759302756816063,,-0.04428662814373059,,0.05722957778461718,,,,,
TNFSF13,,,-0.0203832743831313,,-0.010504575488502692,,-0.004387094973546581,,,,,,,,,-0.0005812436888068094,-0.01624220115570437,,-0.017253126037376384,0.07057121622786143,
WNT5A,-0.05110790075074821,0.020764249741242472,-0.018011905404172145,-0.03309169156966095,0.04390376929248913,0.014573961498174378,0.028396987720485437,-0.07415963934467217,0.010759778494623878,-0.02968647494426981,0.04983242645568633,0.04272520444075717,0.046421493192826666,-0.030135859687527095,0.006317615254850251,-0.0063760511279517245,-0.014925905635611175,0.10722901574699333,-0.018409116210500422,-0.11960693897381933,0.13426318160266804
CXCL8,,-0.115259324091397,-0.06709978251979061,-0.01987707448962803,-0.0030080282069671425,-0.06880907411575694,0.08054629346726111,-0.010589047912281775,0.0033678987453756963,-0.024584104961713756,-0.03461699001425667,0.0028962539413348513,,-0.07820994333053954,-0.09019512687868284,-0.008826411289227168,0.015048724034680452,0.006214591522291555,-0.09145442167673544,-0.11497333816740711,0.04901242950282588
GRN,0.030774915902019303,-0.01227134449026344,-0.033435773352842306,0.03174506915270667,-0.01063716965575987,-0.06051605052915618,0.031572667164226055,-0.04393424446509709,0.06149905092262025,0.0016066382814109207,-0.11526837124672348,0.08926040925843048,0.0074334186679044685,-0.02066556110914932,-0.014624501237322122,-0.060572003563445574,0.024744280150846423,-0.014032739388641004,-0.003188042578439324,-0.028423028617346587,0.0868292042569967
MIA,-0.01235401313869451,-0.012044394776736831,-0.039381620107949815,-0.033495851722646276,-0.03206701874171463,-0.05923790818432896,0.057366606487609016,-0.0008943217753761387,-0.03603076079863168,-0.02043500078231342,,0.010475230579536969,0.02012988528299622,-0.021751623004609828,0.01510504422003091,0.0036567128010992246,0.025005008168462454,,0.12215029779542072,0.026027847246456137,
COL4A4,-0.002253930840151142,-0.035041995979098496,-0.032439833240223585,0.015227069820130949,0.008807922370433739,0.012735201669555425,-0.036800167864972144,0.109744054808882,-0.0016793961253759393,0.07184985073906248,,0.022188386651186994,,,0.014845832840139385,-0.0408977432625018,0.009881381394397608,,-0.009434786595168734,-0.005958839774943087,
TAC1,0.03854127115311186,0.01541622990456248,0.010169518808643342,0.039650643834645,-0.027894006604410104,0.09134567812002285,0.05718777351345154,0.04154804190919034,0.06897931147438369,-0.008553674859477467,-0.0044654516306045665,0.03580292011161718,,,,,0.11556821037307236,-0.039523191640911136,-0.02519576275723827,0.05038848547039138,-0.06064440681492123
RARRES2,0.0290152890927654,0.027958452241083218,0.05103642103290556,0.0367236710721706,-0.06355526053396279,-0.06070920785894655,0.024281420736872904,-0.07027552898412576,0.07606603318245403,0.004524707647252333,-0.018270163667547027,0.017411515504512868,0.05921576572785699,-0.0966971625381466,-0.00026810075944575364,-0.01916905187167786,-0.012833590804694109,-0.04858107829636942,0.041107996606473664,0.023750540556524778,0.08778718332647499
FGF7,-0.029221768652979273,0.023514805101394386,,0.03737551073496203,0.04083176429995681,0.013809900856766926,-0.03701624752138797,-0.030530189848030936,-0.022546436094807384,0.016260467558800458,-0.0005943543069340426,0.024145349007079424,-0.05926708888145864,0.020128010834468427,0.0471678706512232,-0.0003765723211138298,-0.04821794372580382,0.05639736781455159,0.09984172178977117,0.07637040872147688,-0.048829258976221486
HBEGF,-0.009788978491123415,-0.007538601635000479,-0.03667060816331431,-0.003094612697290183,0.02444337707949831,-0.08388352478698778,0.04211080887070241,0.005569243060617128,-0.08768178611067372,0.08185996743579947,-0.023839656666051454,-0.0036918183957774086,0.014949744732180782,0.07304663284388473,0.005553357853785726,-0.0011107257872394075,-0.04956429945912566,0.04276342532483172,-0.022611484148984524,-0.1355024032638726,0.04857904897719378
CSF3,,-0.0012983308349469628,,,-0.018151557408383295,-0.030199262025619126,,-0.024567730127852277,,,,,,,,,-0.020736245605933443,-0.052888577942023916,0.021641427536388372,-0.06028902175678409,
PI3,,0.011473536282510277,-0.01628600600405284,,-0.03132410796115188,-0.0291514989466361,,-0.02766358838290138,,,,,,0.04856292931188585,,0.01475125516185012,-0.02839019127497658,,-0.04384210434342991,-0.04412381417094142,
PCSK1N,-0.014153409684396465,0.07815890731764878,0.0616677199644922,-0.02756926602709168,0.0031105068686832433,0.03988475002972447,-0.014133116618113985,0.07614978826387775,-0.02036839907842622,-0.00371415933891704,0.031265077642293,0.10002470255814862,0.08259520423073821,-0.08066164015209067,0.09300063426581334,0.003130137654968264,-0.028772116801836414,0.006407391428919841,0.10777850692305734,-0.010760187291188673,0.02440401588401577
NTS,,,,,,-0.024787840967443395,0.049183017403538386,0.032483528713053454,-0.00025199078049167585,0.05845020036965314,0.0024192382052124228,,,,,,-0.007192522492776547,,0.08631181582391687,,
SFRP1,-0.029024368951154574,0.039343940650371424,-0.017735413015471147,0.020575030258610523,-0.013287830593951803,0.010528174899597686,0.027960385469790457,0.042804864769710044,0.04298577265569891,-0.019731671295263195,-0.029337801688089447,0.051415305666569946,0.09979384079072535,0.047024574599619326,-0.01609895105103626,-0.03286436649844217,-0.07370676520801764,0.1494775266885082,-0.029187851571069102,0.1010596774929145,0.10933812069626715
CXCL13,,,,-0.036297511032865395,,-0.022071591795208272,,,,,,,,,,,0.010167647049368206,,,-0.04623364887860507,
MICA,-0.02376945040079477,-0.006327357908046888,-0.048153849572208966,0.023264153326327877,0.03627431994537049,0.021143816466067673,0.02471112310579234,-0.009557090752394753,0.04924936305258773,0.014516429683254433,-0.015129061009316417,-0.03415149377618196,-0.05066895084339863,0.12246513173906327,-0.054333881611424446,0.012431368610726086,0.022070891242624974,0.12318605328939251,0.021077891859023753,-0.014234775098264143,-0.06531649658601542
TG,0.0005289391798664891,-0.050028133105634066,0.06724978274112886,0.0013898254903878643,-0.014339674458262628,0.02310919018948511,-0.037042759717443564,0.07491490559661895,-0.029376399416858413,-0.026045928488904083,,0.056880236681022184,0.031372878263139704,-0.004776290181522523,-0.0667313516574349,,-0.017066248778877212,,0.013292976398089951,0.04166687001774806,
