,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.06963239602759314,,,,,,,,0.06696517183130668,
BMP1,0.004314759145289097,0.048597639694779975,-0.06749877761523579,0.05207524626699135,0.0002988564802348948,0.07180311240339422,0.04642375057916368,0.013032774535737514,0.006998292082179501,-0.009881500878913662,-0.07410879935767264,0.04132108216118417,0.017923515493067,0.051728205168767145,0.0057892831060724235,0.06080969045399882,0.10819302743220371
NDP,-0.09959351681005899,-0.05695699462538851,-0.04516038088190835,-0.01187939284661711,-0.019270849913400636,0.004659759313789949,0.006392275577786855,0.014175364881062387,0.004687293021842368,0.04270013004540345,-0.08431893664202196,-0.010327818467491973,0.10334063114872447,0.05941728763383883,0.02050398718915956,0.06803591092272955,0.03195120985900846
TNFSF18,-0.023122749768110757,-0.02127447138464796,-0.03319702091977822,,,,-0.012399102566376295,-0.0262844261450354,0.0056223730448317615,,,0.06479137422255342,,,,-0.008177539229287666,-0.013312968111441992
RTN4,-0.04805153429732679,0.0631308621312747,-0.0025203450077384707,0.009072693036044526,-0.04008223460254858,-0.0264846685902992,-0.050944150677122414,0.020598237465532635,-0.03768716462143946,-0.019390880509678764,-0.008922876927024809,-0.12563293608289566,-0.04814867529494842,-0.066164175567666,0.041713170697151275,0.02834696733714073,-0.039523125062091026
HEBP1,0.02906533175718241,0.022853909169028283,-0.01882750581825512,0.034844163670672834,0.06665204015589857,-0.043073457355341696,0.004620711256695002,-0.004228586812288851,0.04947738744764146,-0.02030397913989486,0.03375734434094824,-0.08161439335374701,-0.019811949370713476,0.03962033328136793,0.005294275391020864,0.030933962713223608,0.018050904070901562
WNT7B,-0.020370418321043648,0.00169464841525304,-0.032302746877626534,0.026718422665886976,0.04907780977854302,0.0034183128693176363,0.07441880205180407,0.03162212062081937,-0.005151003837037122,0.061449922525259285,0.1360043340524229,,0.06569017864461411,0.09353348040939755,0.04596204094484687,0.05748763590276683,0.07735921936906896
PTMA,-0.05631498408195522,0.08904484882503073,-0.12092647009512027,0.035964547645287115,0.10086147773612295,0.0823222581587878,0.07516998284919733,0.025582844619980307,0.049285046881568526,0.01192553295325535,-0.023074969586890894,-0.03198336147698715,-0.0289453919564777,-0.03468863459615563,-0.03648052452724816,-0.07914281015079166,0.04062295551404345
FASLG,0.0031234650255553375,,,,,,,,,,,,,,,-0.02622078442321938,
CEACAM1,-0.0282845121102554,,0.012162517660756435,,0.00643148480656573,0.08683746733753368,,-0.03458880775789176,-0.02236936078904264,,0.020287808350761542,0.037052789006748556,-0.028079465090551696,0.014161579282098755,-0.014826660991910582,0.1069354948087901,
PDAP1,0.027023521098082343,-0.0361716360057737,-0.10646258998932358,-0.01815483072522749,-0.07853933178506453,0.019054288491696044,0.050308337180212596,-0.013061050847305284,-0.02599161956554154,-0.005470321847537236,-0.06985589179483107,-0.06132752170893015,0.015626484670451087,0.024071014437892082,-0.015040935311421737,0.0041070743244076054,0.011893638114963688
QDPR,-0.015732691373993586,-0.05404827927796893,-0.016410770084657404,-0.001793164841040166,0.014031558026622683,-0.03835805297288396,-0.016828620842281837,-0.01827905660183768,-0.06230322781555023,-0.000362315197707221,0.02619690721605438,-0.02416537025216812,0.03866122663698059,-0.01513115535186813,0.005264176676222371,-0.025494476038088108,-0.09738104829015687
POMC,-0.019371891409737885,-0.04016975240025064,-0.0060220754926088044,,-0.010334830102357207,0.022798875734402015,0.03917082172567683,0.08889008478143756,-0.016503222480320476,-0.029118157446522352,0.09544961644772995,0.02309926588225448,0.06003913498682828,-0.006379665058435735,0.06939762684609574,0.001159558540852495,0.03602726140895462
CCL18,,0.05010380477453606,0.027404538299732856,,,,,,,0.07063794097505514,-0.02228045521766317,,0.018838119393319586,0.04650519801103044,-0.051059250181526475,,
CCL17,,,,,0.010338395510691828,,,,-0.017738826495208485,,,,-0.019921021397433153,0.01698067498163965,,-0.02376619597113412,
VEGFD,,-0.03214588983768836,0.02713530640092326,,0.053509548032760694,-0.013932180235994145,,-0.0296527640584017,-0.018899219260057082,-0.01967340422733956,-0.053931096607247445,0.004693448338230183,,0.011412885839358827,,,
TNFSF13,,,-0.019897381721548982,,0.007037075690371024,,-0.012024542890679599,,,,,,0.029918198575011372,0.03673668488601835,-0.01664934657350659,-0.03872503265118644,0.059478056452481214
WNT5A,0.026924265704677413,0.022985629476655542,0.0626469167140175,0.0722709843078525,-0.0030712816235325302,0.06577922907431383,0.05341567805963427,-0.0077452303738957595,-0.02046661068382724,0.0016907995900363143,-0.0741525767176554,-0.014074975250203622,-0.013795322328441677,0.06603464332560686,-0.00570413495825146,-0.02220525696253733,0.09404416524542418
CXCL8,,0.13239528837207876,0.09682830473245259,-0.039739137287420824,0.16124723451314496,-0.01754838648642378,0.02675466049168248,-0.058961122065270315,0.06208436958356912,0.04920633657543435,0.029036128342639883,-0.01306492275757346,-0.05904435054834532,0.027686664944711302,-0.024282283573128286,-0.03353178152344743,0.07612949198197418
GRN,-0.05420806890042382,0.014246848602475645,-0.048920625614162994,0.07276436029055662,-0.07159561852089587,-0.032069573096789684,-0.03962904983126491,0.043320971011118724,-0.011441966533040382,0.01586673031624449,-0.09869674142998192,-0.06848149855522666,0.07498066826274062,-0.009590242160179415,0.013961637975758421,-0.010691950367852102,-0.004544670460382712
