,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.014313226950030468,,,,,,,,,,0.030166384295847636,,0.1288775780527227,
BMP1,-0.07321709993122029,0.07392681588636411,-0.04310731702358483,0.054089545574964974,0.09826788003610702,0.01724267792667584,0.003692573754207591,0.02484166560900219,0.10837756394026729,-0.009061938905400595,0.013428847906068325,-0.003998527540472695,0.049063263472442976,-0.026430381851258938,0.018829343792980967,0.12625661006366135,0.03238737993251499,0.013110712132470179,-0.039694907069832606,-0.008852086338755326,0.02044423961974947,0.06657226786730991
NDP,-0.008729647548522075,0.19206984334644736,0.028299636480408927,-0.0044814732439833515,0.09235744913957475,0.05873920788365228,0.1252504458924869,0.01770678776639689,0.02437563022880196,0.07965820224041009,0.07716679001027067,0.02782623901633412,-0.0413502013674876,0.009530555257342196,-0.010301022931702522,0.08792109120130617,-0.03468302291306757,0.046700643453316024,-0.008102093554154853,0.017083560513224728,0.12121714436227234,0.029929420860343336
TNFSF18,0.048300673866924757,0.0011843951696287533,-0.02134157061977068,-0.03523502065555485,,,,-0.017509962946966343,0.13504181994767286,-0.0334138755260149,,,,,0.08182437490675143,,-0.07145453729113206,,-0.0351464629493756,,-0.023116703078550082,0.06528098350302099
IL36G,,,,,,,,,,,,,,-0.019128751944986498,,,,,,,,
RTN4,0.014036932401839364,-0.10433122415820582,-0.015150344364189572,-0.015090395847173877,0.011994071601110396,0.006182620669839158,0.0733385260518553,0.04802713457337805,-0.09658461212184505,0.007892194261000863,-0.034716365482324416,-0.03597088177336533,-0.0699623805287035,0.033484505023964405,-0.0718638969530753,-0.07687521951658115,0.02578623658169289,-0.07371155289775524,0.0764281406268425,0.011895754610817919,-0.00799197405824793,0.003235811463814118
HEBP1,-0.051894660505408315,0.07558367501038896,-0.01383956191445495,-0.0481382396380907,0.007136199831798055,-0.0567658180659803,-0.020837967457730328,-0.08448545377030352,0.05058357536168373,0.048489316277903684,0.0018258194847847317,0.020140782134180153,0.03615971538025355,-0.0656919218233691,-0.005155831032754847,0.07018105822773235,-0.026107951701673484,0.08602202507983352,-0.010794602704080067,0.058995717959526475,0.10004807521022564,0.01875176056719418
WNT7B,0.006659777141891552,0.02769155269345041,-0.008539642447232093,-0.030363967777075923,-0.0056236827002526645,-0.03327464794812256,-0.011975297461954816,0.08535766986352893,-0.018608831107415517,-0.03346344481095944,-0.051511347940663886,,0.03245972848379341,0.08850880579086316,-0.029779751112247725,-0.056406780877446876,,-0.049152212391386306,0.01513911617473734,0.017144644508393474,-0.04517307589914515,-0.02744851346340078
PTMA,-0.04422977549255762,-0.1918706759650622,0.0066218264176701415,-0.014406912200381608,0.11235949722789759,-0.03982763529897677,-0.07679301714527208,-0.04171643818357641,-0.09745657334267446,-0.0047737299921489975,-0.02989658560575035,0.00440423092087896,0.12304399389286771,-0.027394958636452266,0.021876689455074923,0.020584806263600233,0.007282988533128907,-0.12841494805142922,0.07840840408727838,-0.009267393653904492,-0.12909927775813368,0.06487071456512469
FASLG,0.023839484784306506,,,,,,,,,,,,,,,,,,,,0.01687360149624785,
CEACAM1,0.02564467175419845,,-0.028900849130664694,-0.023302518999219,,0.0291985213246287,-0.015610028993590687,,0.02002050389057678,-0.02480856671612001,,,,,,-0.04247572050470426,-0.059206181732922226,0.041593735831377925,-0.010865252345096155,-0.013517656594014087,0.026706870153098288,
