,UKF248,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,,-0.020939073351300946,
BMP1,0.07172984533542583,-0.12016619152959399,-0.007394502148947341,0.07831910776326019
NDP,-0.02508955361802347,-0.06240359618460951,-0.005273150997437109,0.019464528452686754
TNFSF18,0.054708960419515555,,0.039922512157816684,-0.028252165462178208
RTN4,-0.02779083290328111,0.034133085715366704,-0.06950569397305292,-0.1037740299525011
HEBP1,0.0021228391717372404,0.027036121016580032,0.028426610565270745,0.06672960050545503
WNT7B,-0.0003033551293518614,0.12019486269017379,-0.006476203709415528,-0.012092400875974813
PTMA,0.042104105102621955,-0.049203783860667524,0.009308615313304857,-0.001409677856906674
FASLG,,,-0.018160451174115216,
CEACAM1,-0.014863574772980394,0.0555879728637512,0.008579657295849622,
PDAP1,-0.003765906086024379,-0.034339720604495846,-0.0009938911947480998,0.007431222758948876
QDPR,-0.00725071327795726,-0.013079969105504309,-0.006725247327307985,-0.07496278490398788
POMC,-0.0236991940274157,-0.004632724752047783,0.016922629788562727,-0.025451305403037194
CCL18,-0.018548336946276868,-0.03758161456268072,,
CCL17,,,0.008816692926554133,
VEGFD,-0.0185483428362426,0.036083736025994455,,
TNFSF13,-0.013997174717058867,,0.005030161369374861,-0.014672665039343013
WNT5A,-0.028234886237251476,0.05475453075559577,-0.009320461551780576,0.07989947206837676
CXCL8,-0.04905345754747382,0.04803518715702418,-0.016382359040062945,0.03154879687616143
GRN,-0.0027777678446175317,0.009627438099822024,0.016367683900190156,-0.053203834031667466
MIA,0.0027029108309216893,0.03578625504749179,0.019051723517406458,0.08201245129590495
COL4A4,-0.022276401971581036,,0.08376631718148497,-0.03435026319011956
TAC1,-0.07010572202984137,,-0.021638881677160483,-0.023953181707070642
RARRES2,0.00965456838010093,-0.007687367527471901,0.04773372432926832,-0.03878629513882162
FGF7,,-0.011643016202613047,1.3943985915263199e-05,0.07946146147000138
HBEGF,0.019869652952122303,-0.07940783285902327,0.07307141980194114,0.009448066950825205
CSF3,,,0.006495977858565874,-0.03613254666022328
PI3,-0.01951363249790645,0.11873474922775927,-0.02635109834174573,-0.045980129473364995
PCSK1N,-0.01651423516230558,-0.0013219599921482882,0.03213027476067474,-0.05838112968931986
NTS,,,-0.025663769040316548,
SFRP1,0.005355864804393572,0.05467387047444604,-0.02506740806548682,-0.04507826119571801
CXCL13,,,,-0.029308403547652875
MICA,0.042676656214739,-0.024108318101232585,0.04203726152813836,0.04019402793740758
