,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.01964879950090698,,,,,,,,,,-0.02554569258310526,,,-0.042049430364444335,,
BMP1,-0.013290463174862877,0.04823496899226386,-0.006504107002828605,0.005025055617591229,0.041653329442040025,-0.006167034656067125,-0.025070325418240412,0.09310734501327585,0.05857775041353378,0.023311471691335513,-0.006880374516215634,0.06364474447606953,0.023736969515363613,0.009724487999647013,-0.04632547893376099,-0.09488866052009629,0.02226064946988346,-0.0338032792882401,0.013544153772368301,-0.10414314629485406,-0.06950320646765333,-0.028945456669334506,0.14139653998673937,-0.007764134425136794
NDP,0.055232332281205936,-0.01970528151210739,0.022012671754520773,-0.0017393715260012104,0.08916880657299095,-0.0003533711362896328,0.10708178499268367,-0.018931751069020133,-0.06215314603044949,-0.00014096866579382746,0.047097029692419724,-0.02178180489055625,0.025642286297238834,0.033549953185720544,-0.005956557281101117,0.125349601771512,0.05167524434946468,0.05896339483803891,-0.0028386734151840945,0.029352204286917212,-0.06905791715631544,0.016142636505115,0.005064995226839929,-0.01598104149454374
TNFSF18,0.03608797368545036,-0.031984738452425485,0.007271564960591455,-0.029989523077180648,,,,-0.023454295732140504,-0.02917787738572154,-0.01034749750601896,,,,0.1943815047510342,,0.03206683400425293,,,-0.02634482185300278,,-0.03112853117936494,0.026221726105031904,0.06052171667408607,
IL36G,,,,,,,,,,,,,0.03167572101300732,,,,,,,,,,,
RTN4,0.047172404827962984,0.019039701614734224,0.001806921205032932,0.019608694085738728,0.019134080668223793,-0.044211107706828956,0.021930354812993,-0.11032836268230568,-0.036184027410756235,0.001462902012329225,0.0715239174963008,-0.06589081497961799,-0.0400928492002841,-0.01822559182154094,-0.007741046874312676,0.09510818373819747,0.0015914950295896064,-0.09100739915877898,-0.04577234128469922,0.06314739946732678,-0.05289219676039696,0.08411970804226566,-0.0965736784518356,0.06689430544951747
HEBP1,0.015067278201064762,0.05031873373994742,0.007266659925503794,-0.02358132757234089,0.06353805309496713,0.055949843845026555,-0.01090396987736344,0.06859836190450944,0.018986317213413647,-0.03392388057366962,-0.016997923891715644,0.03281251476703375,0.0023589801086983924,-0.020455429740092932,0.10492917704425339,0.0036537195799343303,0.0843265635325843,0.025711104819275757,-0.0858182477987029,0.017796116175006885,-0.013041372114595494,0.028418856940966263,0.023607680767875967,-0.03886903994296742
WNT7B,-0.015167759615772622,-0.023782825396279735,-0.007880997972796651,-0.01862856209762137,0.038034274159309434,-0.009466739509606964,-0.06266971964653635,0.0002678201911154722,0.03911547142987317,-0.02248518161706508,,9.801612197779533e-05,-0.014842147122202472,-0.025697285654067314,-0.08273890204777068,,0.009916688537010911,0.01803735235658786,-0.00977550190670521,0.00820129552245689,-0.031128498901416477,0.10676417695330478,0.07807387998602253,-0.013555461583485823
PTMA,-0.002407204471649452,0.01996952936176465,0.017389845344514918,-0.0180289580087677,-0.02433244850762234,0.0456883502081378,-0.04226175846926567,0.1610261150306346,0.03405551776919175,-0.012048989275930417,-0.07327457119405412,0.024650169676701122,0.07726855202719607,-0.08470821686111976,-0.09151727255612593,-0.07363127057938036,-0.042002165946117324,-0.038069845156880444,-0.05716441344068881,-0.043914069035443384,0.06591641541344952,-0.12310070564625263,0.0375500668456025,-0.20525782689030653
FASLG,-0.015167763903659408,,,,,,,,,,,,,,,,,,,,,-0.02346042118189941,,
