,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.02887027271757179,,,,,,,0.20581139460479478,,0.14453023069607263,,
BMP1,0.023517461261693403,0.05180257995771203,0.029452392422023927,-0.019678110059729234,-0.03453946240727575,-0.00803597554776732,-0.07529151508611803,-0.01445197979578092,-0.035215145155301254,-0.10435689727052924,-0.15050553781425474,-0.02327803654764693,-0.07360124447306607,-0.03667558382334636,-0.03709342240675067,-0.012906818003328073,0.0011726696788375986,-0.04898417402022316
NDP,0.005036692992786963,0.021130692412511004,0.03087960893139215,0.025561104569190682,0.09202524402112497,0.020792647068182905,-0.045021980283491,-0.001259167267860542,-0.004051059864249395,-0.008271626359470345,-0.010707196859612007,0.08190305463930811,0.13077721019230854,-0.02771579156138087,-0.010347437192779401,0.02582465810191446,-0.08372047811122164,0.06475150460571356
TNFSF18,-0.01837269200102319,0.04869547960556669,0.031438407693169496,,,0.014775298256925586,-0.024760494169921664,0.04270988225858218,,,,,,0.005466826710165424,,0.08712919979166435,-0.042461064021704235,
IL36G,,,,,,,,,,,0.009614969660177018,,,,,,,
RTN4,0.14221910287191686,0.07655351773749217,0.07916535515879407,-0.019277696367078417,0.13539388738616406,0.15272434045360617,0.05916662176730443,0.03851308174280721,0.13534896797692625,0.24441904323368174,0.26892438947460756,0.04766276558858658,-0.006948450688394466,0.06059257271550903,0.16964432964202997,-0.02423775007880145,0.08711599886832934,0.010239010108935504
HEBP1,-0.03928916266594353,0.020070958441294803,0.02162118663056131,0.008053554517944423,-0.018330804593068444,-0.020233566565976337,-0.04936001073347648,0.03307551957151196,-0.03623723922872025,-0.05071683796574205,0.007721796365825347,0.0838297282618622,0.08570798443313717,-0.014135113639819447,-0.0010231608680805323,0.005829366168667349,0.04434336720752197,-0.028819568923705515
WNT7B,0.19003962454252246,-0.006041521239101078,0.05813010074506038,0.017429997819218754,0.034851491570858255,0.08459577540159867,0.09795418183379308,-0.03291311216433935,0.09914397047836074,,0.12276329704269238,-0.032976040788559986,0.050201090557857625,0.010371176087114839,0.10541724041666878,0.029243892982837204,0.07481098933303482,0.10813224485929554
PTMA,-0.01917096871593346,0.10252932974543326,-0.035654426505394785,-0.0047696783842519465,-0.06820784765509733,-0.08045356733399894,-0.029679858078673835,0.03581242688369474,-0.019636500571128587,-0.28438799153097943,-0.27173118722543343,-0.07669121894332923,-0.01211504353860227,0.08798443102340947,-0.036936365532567364,0.006772836589270578,-0.15562045789830972,-0.12418227912565817
FASLG,,,,,,,,,,,,,,,,-0.013629414085455224,,
CEACAM1,,0.058585221990749524,-0.018474304153640604,-0.03890687701548744,-0.024742247204940962,,-0.027669608238063897,-0.0056757054481092716,,,,0.017305530794009462,0.015342847248941931,0.08107432947104853,0.04777037424887695,-0.018963327903352988,,
PDAP1,-0.006344509726343629,0.05150809889163542,0.008015315452149585,-0.007176147482620653,-0.03846166001893298,0.020031953643125457,-0.03462234734689178,-0.014856840628088008,-0.0047900982296886375,0.0042516538906027706,-0.1368802117475045,0.019119707804775638,-0.059073747644982355,-0.0011543709162326215,0.007622158716828962,0.05907523391804289,0.012111555029608654,-0.04440990474606552
