,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.018835951699158394,,,,,,,,,,,-0.024031216221068484,,0.06375935360669191,
BMP1,-0.017360725195631765,-0.013801208950302788,-0.026809603298910335,-0.022043922114212005,-0.014452403457547202,-0.007951354100974216,0.038282408162704305,0.01372341357616019,0.02823577107435123,-0.025347550894902933,0.0775529380909163,0.10414183252698009,-0.02851413578609026,-0.02183936974900267,0.03271331061580075,-0.06442341304303907,-0.011023093865622124,0.07705556598091799,-0.06330984122557326,-0.008962079593001415,0.053147007883142444
NDP,0.1009921941792768,-0.051101592590807876,0.05456133418099259,0.02472920846267451,-0.06423937371927739,-0.00933467988296177,0.009373053663923964,-0.004951632452028622,0.10006172341783683,0.024958888667141996,0.08950077124899676,0.04801915341069723,0.04952336636094902,-0.06268444693511277,0.06994229069040009,0.08613278155890612,0.008388338812880614,-0.04717890193276158,-0.06930707466250934,0.03163187964652659,0.06069907109587668
TNFSF18,-0.026609283980253445,0.07065581513943982,0.05725037259216782,,,,0.14811030730891506,0.04273452737139171,,,,,,-0.014522316016531336,,,,0.015177994433030435,,0.007566495706333299,0.05319678828910996
IL36G,,,,,,,,,,,,0.040487391978980325,,,,,,,,,
RTN4,0.015824846863708962,0.03226902328531824,-0.03450234046667801,-0.0888957786320458,-0.021457786666092528,-0.034970056562666926,-0.03175555714036263,-0.05346264149931366,0.047223963087329644,-0.010062559803675493,-0.004113132377492589,-0.08156376263146574,-0.04503232126024632,-0.08665297085054303,-0.05202120447443207,0.008101603387714849,-0.0668681721390718,-0.03939374667137577,0.008448544823388146,-0.02309710016122079,-0.047623975800399225
HEBP1,-0.025661100777601326,0.02034405626568958,0.012068914848620391,-0.0032680989875030282,-0.025670671663830687,0.027639761590370626,-0.007453383401336228,-0.007971165912037245,-0.00952163429642013,-0.017958884173707022,0.054519536942781645,-0.008473076533333427,0.00782022737752892,-0.05104470983782559,-0.0013046132409771493,-0.01635803015073435,0.02731108373647855,-0.055888346601367093,0.06116200030135272,0.07619974633692855,0.005272052943201497
WNT7B,-0.06300337775019889,0.011700921250807154,-0.018628562479423887,0.017746632145824504,0.013111612014780246,0.012159052143626592,0.041828935542427066,-0.03382160317966259,-0.02572302876049822,,0.03006333523054754,-0.024179099676453788,-0.020725946024880922,,-0.009305538996327507,-0.0010005007429345627,0.015887775334410496,-0.051823193305132055,0.011480907327627344,-0.03302308111769798,-0.0031953694281425748
PTMA,-0.03810284558545816,0.042117804290281086,0.007402021088830283,-0.0915008027349869,-0.0316870334741748,0.06381111686302925,0.031493213169926225,-0.06845641276083685,0.042172421975293826,-0.0022300597851355863,0.04946327624850703,0.017023528129992534,-0.06671472053319598,-0.0030027128660181737,-0.04765806805821242,0.009447138582329666,-0.043683846069713046,-0.03603359705040308,0.020879160059336214,-0.03574270697431979,0.004536826015698732
FASLG,,,,,,,,,,,,,,,,,,,,-0.013418617052545925,
CEACAM1,,0.03790489810665249,-0.014296301270370957,,-0.011315566906047545,-0.015387645098469387,0.04543351088980862,-0.022552082174129753,,,,,0.018199504628157472,0.03096079910854267,-0.028158562705595063,-0.020585070936355806,0.03179065120562671,-0.021437845249924717,-0.014826660991910582,-0.01867003479250834,
PDAP1,-0.0019295694632587494,-0.012253878604862833,0.041273439427906976,-0.09736447617906052,0.011264603818245057,-0.031866750938925416,0.016559121412435273,0.013951869800845108,0.02198763981269752,0.04212566186211736,0.029062627544409397,-0.03861965490634304,-0.07772704435668337,0.010517266012932572,-0.04153935967244794,0.01399539794353816,0.0008434785934204653,-0.07148938764694782,0.016496593077228682,0.03088359637657735,0.014139995101585867
QDPR,-0.03566438709435213,-0.009867230438255338,-0.06273319742782364,0.007726833079073212,0.016473677573303872,-0.0542487548953039,-0.012621824472616554,0.023298232093268516,0.009926420203776907,-0.084720730835502,0.011092675598233386,-0.08044793111250344,-0.09033541744056238,-0.04231377859267394,-0.0749194753243524,0.01265762339181233,-0.007763777688463833,-0.05653400099663512,0.06960319397872106,0.05539305173759064,-0.03317296705679992
POMC,-0.01826918768746856,0.03379791462033945,-0.01270647195175784,,0.009429826955271798,-0.04313389954527307,0.04760789498378832,-0.016638027032781447,0.021628748068358045,-0.014180135955706686,0.058211968319499256,0.015374839969661816,-0.05716288252950943,-0.02654917791030913,-0.056445458171412936,0.01969226267925613,0.005865692682333781,0.07129359120740407,-0.024254469669081048,-0.02937028675494995,0.04444245790263711
CCL18,-0.05533111468733693,0.019815937247402163,,,,,,,,-0.01265591248247237,0.00917463417299551,,0.08192072489305624,,-0.019964883929448833,0.04222686486688838,0.09456397752027294,,-0.051059250181526475,,
CCL17,,,,,0.028120141955219186,,,-0.017883723927799054,-0.031837898721370585,,,-0.020096431353934234,,,,-0.01460411148390456,-0.02378903943117785,0.0019377298611609878,,-0.012162469184179079,
VEGFD,0.012511210961866222,0.030110636130032942,-0.004327386696513243,,0.029992018723711024,-0.027266468681195703,0.02032131044249373,-0.019053595218888872,-0.010448881878411906,-0.026686264936158863,-0.0031340533981053685,-0.02153796793554733,-0.04956369686007018,-0.06842361720654538,,,0.21081844067619218,-0.0010387461280583039,,,
TNFSF13,,0.08890599712398939,,,-0.01819469245918241,,,,,,,,,,,0.06978988551797939,0.0071031979340482375,0.024655260080111298,0.0714086072025528,-0.01981772837556502,-0.02830484974386956
WNT5A,0.03813444255613416,0.07837313783116308,0.06093250084261434,-0.04329908206748386,0.013053272310627282,0.016797287827705305,-0.008684236279884364,-0.005646538684382113,0.0739539568925378,-0.07486527620863755,0.06615448399608438,0.06277663924309991,0.0038293829197349034,-0.04243514108509774,-0.03754807380748218,0.03952109953867784,-0.042716012189337904,0.010553432270140084,-0.03960557612213446,-0.02011836622922718,0.013486864248676388
CXCL8,0.03107355271061042,0.046556046163776725,-0.019173058927505492,0.07926463052458484,0.14260525638426108,-0.02611000338316994,-0.006736169239334425,-0.00048055087970939284,0.0045580778954337955,-0.009967857687071759,0.02319562952917269,0.07007671694409863,-0.015989715379743454,0.019445282225498666,-0.035151321493671464,-0.10217748049063606,-0.04470053078228511,0.04884218386301631,-0.02424241285829465,0.015567698810496765,-0.03536521861019906
GRN,0.05597291176483228,-0.024988357849413938,0.07032796565818762,-0.07877347959457169,-0.016804601499820097,0.042682866263362776,0.022417568352289186,0.032815411332675466,-0.04190625421506446,-0.01761492924383539,-0.02092342956956191,-0.016473471214830778,0.02457302900253495,-0.020513016120495612,-0.0052984710814440355,0.03210915140739965,0.006740106454396719,0.08275513891576763,0.05448018429829651,-0.057902559406297356,0.025034206234006342
MIA,0.055757543100179316,0.03196965715767996,-0.018210441212357455,-0.029295042959668782,0.04674907791391966,0.03413670180786795,0.0031530246404808887,0.02315321243597643,0.0287281745976292,,-0.02006704604962806,-0.029497234120255324,-0.07434425872583166,0.006353822952885296,0.02738393297377972,0.06639974922678779,0.10825214931267527,0.04029313908959559,0.016065060276138115,0.09942569166517363,0.021998214267099574
COL4A4,-0.022321847328667817,0.02631724899830899,0.011701544373109274,0.0745925454383774,0.009993371110898914,0.047581652263690606,-0.018561432297857654,-0.018671161079281965,-0.01733456607113779,,,0.018612142981775173,,0.014397482683985708,-0.02524185138012182,0.055742567442159316,-0.02638608607835684,-0.026923039238955677,-0.004862342444829856,-0.03571734856052924,-0.01591372163617299
TAC1,-0.06206924848162059,-0.014002954204245702,-0.044593501644821724,-0.08632222777065328,0.029529803864019093,-0.00855478973995238,-0.006803065464164133,-0.09120434986589443,-0.03023178525374778,0.021556425523236625,,-0.05070895331095292,,,,,,,-0.025580214067182718,-0.015988802474524194,-0.07649957631852398
RARRES2,-0.0060131944036728065,-0.0004223378547823695,-0.02021435685144904,0.06705517525950022,-0.04027218834796436,0.020089067132004403,-0.013367523826437975,-0.046431665775223514,-0.01685437363033534,0.01676119773400224,-0.035882604169755014,0.08233379664284958,0.05214924373424416,0.021392074312693337,0.04983479787317793,-0.07097454215661451,0.014701745427292585,-0.024813722852425966,-0.05103394503042966,0.0524646623045639,-0.07387432841312967
FGF7,0.023670001161194432,,0.062141535509532914,0.052052043799214444,0.013495267844576766,0.020533435397505947,-0.01881008409943949,-0.01315096363440752,0.014933625375873732,0.06648333645492555,-0.004531139185899465,-0.03378535271054374,0.03418004659744656,0.046435270786292955,0.023734425910365335,0.0211078356653847,0.004264061247327814,0.06322706650968724,-0.001604502455568489,0.06746919710236565,0.028376833150660398
EFNA2,,,,,,,,,,,,,,,,,-0.015662560898445584,,,,
HBEGF,-0.02289935239677538,0.0403761689221554,0.08184453562062001,0.10478958886266256,-0.016241487101486027,0.032650152619919125,0.020227193785291725,0.052781536061775824,-0.040676770732494774,0.0740798883130115,0.02804678634594808,0.006156396620486313,-0.030427196277291523,0.058229257189259885,-0.05112793340634835,0.0019346656502040563,-0.04441533467086675,0.018538027165718955,-0.0034741944085503224,-0.05669723783990133,-0.024278752711426887
CSF3,-0.02575721860102444,,,0.05119752037612953,-0.013050467286366064,0.026027078532570164,-0.01963763810792561,,,,0.0022102016377966963,,,,,-0.05594529491802434,-0.03982788466358472,,-0.02125604383401487,-0.012805203768613571,-0.03327635359005361
PI3,0.03889996136852259,-0.019420716550094398,,0.008418154748294078,0.13034089202423982,-0.0031830258734077688,-0.022112239698292516,,,,,,-0.0398518891232312,,,-0.09269689067254337,-0.026418416638230063,0.07235157159109325,-0.002542606935234868,-0.02782145367729346,-0.02076601968259627
PCSK1N,0.005017313328307753,-0.012827958331322657,-0.013427464006700585,-0.05516525168659413,-0.031221610243485562,-0.037305275124376286,-0.026972005766849754,0.06255473073693689,-0.02885870971890957,0.040464366454366754,-0.014006871777925053,-0.05898783098555903,0.005742666133850327,0.03176156085413771,0.028380432898957253,-0.007983575216579315,-0.005707911964907649,0.014548841064136583,0.04760824449319396,0.06721554956445847,-0.0016954878544296328
NTS,,,,,,-0.006153425453473215,0.007124677881641289,-0.021329631149647022,0.033017309893785866,0.13249301031533628,,,,,,0.03236098694070409,0.0026999788883348423,,0.052218520830999156,0.13643337278470705,
SFRP1,-0.06150194637840688,-0.06295289757957714,0.023469862792430914,,-0.023015493712362237,-0.031106318844689368,-0.03640068149062774,-0.039604650237847504,-0.004359869943108465,-0.002735082767789866,0.10341966165600901,-0.00942038491224148,0.05731882063050162,0.07241503629452258,-0.060237026412854326,-0.02869826406097414,0.032114915354686885,0.04476938952836966,0.0969241709466146,-0.018522114131729814,0.008824095828619089
CXCL13,,,-0.03456968299740803,-0.019922925351344357,,0.02037610754366786,,,,,0.018870209986689868,,,,,-0.005960723851523397,0.011747046149903058,,-0.02408260229139401,,-0.026991642985555675
MICA,0.0601327364577078,-0.044220636466972996,0.003839579020847556,0.025718246615781645,-0.0002292783788590291,0.0033051910279866524,-0.0016519903485057942,-0.03479354782292631,0.03796987095694936,-0.0267330464384788,0.010632510736082363,0.06375729698849353,-0.03432243324093035,0.06279322311409248,0.05345106505661303,0.02272148308616292,0.023301008945842788,3.509899898802299e-05,0.03418208971282378,0.01826203165019078,0.09579497319845376
TG,-0.050028180438694426,0.009092737834133204,-0.019440089247376263,,0.05576235182803339,0.033811051329070495,0.08866258337693063,0.08988060236744243,0.02699876151445405,,0.041743256193050936,0.014931221290620453,0.018332998401947173,0.10901727024888934,-0.03250749878420553,0.0026788233960304587,0.08007550221576537,,-0.0174940507081097,0.00963095864892373,-0.029744930250189126
ADA,0.0027779899328671804,0.058324051031342194,0.018534983616839123,-0.05413745585462678,0.04795619348778633,-0.019542579971108327,0.0026767261970842187,0.035755504364028856,0.00323967177533178,0.007277023994404431,0.062358023882893326,-0.008527913709426271,0.027293733484547614,-0.00280431889956299,0.022997616534466154,0.04204448566060615,0.08787633409323081,0.07478393984871304,0.06676864294443043,-0.023528377592972986,0.004962222132605136
LAMC3,0.033070007305673055,0.025788675271414194,0.002573229365678447,-0.051216233701386386,-0.0034587104545879778,-0.09854030455146437,0.028397624567131515,-0.0010896268908109732,-0.03843323140297441,0.0044922401837191985,0.026431429419494286,0.018951104548096807,-0.04965360829329322,0.019267747213735916,0.05664149768204095,0.008392096889311527,-0.005636563189017891,0.08141349859867356,-0.015284169421988661,-0.03593650578918228,0.07023528339646941
CCL7,,-0.018612322009288383,,,-0.0016933357963684955,0.023741005590786707,,,,,,,,,,-0.021888196857594168,,,,-0.013418612281045867,-0.05634770872150179
NGF,-0.03615669490869105,-0.021149444329696752,,,0.04991602141825034,0.026100208859603218,,,,-0.0240262266136252,0.062449951360845204,,,-0.06599585274870746,-0.02966907800528305,-0.025279115087873772,0.0917166824850605,,0.054105016643071345,-0.0080070698015866,0.01776457724747595
TNFSF15,-0.04473034408073665,,,,-0.005677394691798749,-0.030260447086282505,,,,,-0.027764271832188336,,,0.015440107815087716,-0.0072223623133009,-0.0013316126361365068,,,-0.013199638299676601,-0.03545429685319593,0.062279639883606054
HMGB1,0.05431499668588425,0.03979231539050247,-0.014295585015034414,-0.11447908470403582,-0.018057690360854976,0.01196242671039038,-0.012362330714661134,0.04250372742483417,-0.02235496389693713,0.040659330161558684,0.024679343631107735,0.028431220995361044,-0.017465409710304875,-0.09311456010371295,0.018240438320905675,-0.03261852920973453,-0.07744673680273029,-0.07109874859004281,0.06292940164162224,0.01901818293107038,0.04333720559876755
ITGB3BP,0.040568800646240986,0.014376379106430453,0.01259832438429822,-0.013054447667430117,0.07373841838278396,0.025031756462905022,0.03447771858178873,-0.013393143526945947,0.03468311523946235,0.04715337797719411,0.008318491673840403,0.06287228688349068,-0.02735381971826358,0.019098246128966982,-0.00223080764126169,0.05171765729129513,0.061467734418880135,-0.001006412431733123,-0.01101384710777446,-0.016241479960724253,0.0037803177948052533
AANAT,0.009291052723314784,-0.027003647568384567,,,0.07660483036139869,-0.02726647257363777,-0.017713681005551464,-0.01620295083734979,-0.02655967103525849,-0.022588186462573094,,-0.026957440416881136,0.012431973775265791,,-0.020794263503327214,-0.019202124725583677,-0.021077564833067053,-0.025853016184040865,,0.014466715197799157,0.004066291748936233
RELN,-0.03023960714828173,-0.004578430250353554,0.02912540368773709,-0.030898900794109316,-0.021808633897520975,-0.032432571409619464,-0.05197749791565861,0.04165218001563205,0.006180769069413855,0.039851024298643026,,-0.02984421333359827,,0.06277020828884285,,,,0.0043720718961627655,-0.015943732590478505,,0.005294468970464622
IL15,0.02790924305149818,-0.015121988913142783,-0.024766376285129465,,-0.04857832235341141,-0.011998539907057707,-0.027297177461097374,-0.01901956771184255,0.026658561225906964,-0.046288239488571366,-0.03964988363454997,0.02996359693434982,0.01533704598229945,0.12697193065484894,0.1338280911497272,0.05784395321088652,-0.03821342899785683,0.09668443929642236,-0.020007772281441006,0.03883568798984077,-0.050910734013977006
UTS2,,,,,,,0.0029282357449069998,,,,,,0.08351095636661118,,,-0.016352014561033412,,,,,
