,UKF243,UKF251,UKF260,UKF304,UKF334,ZH8812bulk,ZH916T1
IGFL3,,,,,,-0.01929671748260817,-0.01595431490852351
BMP1,-0.03513772748097951,-0.06466953321512924,-0.05447448558725404,-0.0242589295302795,0.015091154495794908,0.04667826359942716,-0.004196384135944011
NDP,0.0617623362751367,-0.04738419579792647,0.06935224286809771,-0.04423255599712611,0.048912361297529294,0.049287777638315995,0.0762457552479858
TNFSF18,-0.023606118723376153,0.02130588934315432,,,,-0.019900364132748077,0.06938651873510542
IL36G,,,,,-0.013552787638953342,,
RTN4,0.009845332367518523,0.00311577514277721,0.10187463556144812,-0.005285999648149468,0.04418853538120906,0.00889654282153034,0.004171256147691957
HEBP1,-0.021814353587101147,0.058445134584113004,-0.005778739822958334,-0.056878467404120475,-0.019361495894850617,-0.009903128182417181,0.07996092645046914
WNT7B,0.09826039164440054,-0.01659309947591005,-0.014431481952228282,,-0.014896075457424161,-0.04161327129914449,0.014411120956375053
PTMA,-0.004967085137832689,-0.01979916088957159,-0.0976789116359135,-0.0714217750959529,-0.03195767830451351,-0.033211545777514895,-0.04084694488628664
FASLG,,,,,,,-0.013837171877269261
CEACAM1,,0.1401214929322944,0.011018743574196067,,,0.10094352851592031,0.1339324019038141
PDAP1,0.03500385583857682,-0.009631296143596393,-0.05439935194698033,-0.022731629164775946,0.0019416748162454456,0.045940079891023486,-0.015643951452883696
QDPR,0.01551620886181581,-0.019888430271014557,0.07658831051095247,-0.061475487934808795,0.010886444482695339,0.055000973007349706,0.06078206257661241
POMC,0.05939307976080886,0.09715489581741532,0.04838651051083851,-0.007264801431263107,-0.029036992777043663,0.02852812113033997,0.004083287617353088
CCL18,-0.013223726113061971,,,0.01963913136819313,,,
CCL17,,,,,0.14955950284936295,-0.005199273486359039,-0.01254184212087237
VEGFD,0.032887592809580334,-0.018239195010197384,0.038451812720899155,0.08503517175411346,0.03701658133484308,-0.02683304319370071,
TNFSF13,,,,,,-0.008660983201157237,-0.02043588491093433
WNT5A,0.013037965356578817,-0.023376534845231868,-0.09789011127774042,0.022359323509712082,-0.02832521496748051,0.04794183719801162,-0.029056942279577495
CXCL8,-0.0020758668520179167,-0.017078101135983244,0.005987211208590955,-0.04517135812382373,0.023932985244000168,-0.021831114895524806,-0.003044429460138805
GRN,0.022959792342561396,0.008213722959624298,-0.01204669473312706,-0.05720162717627127,-0.0193105697306425,0.028917699767171765,-0.05454724235363313
MIA,0.0021750890837801138,0.022718933841180792,-0.00372877630216371,,0.11088719528029968,0.07526406761253507,0.0376465768627892
COL4A4,0.06266113695046326,-0.0028177828407524677,-0.08674036416489592,,-0.017627932440493845,0.015441809816771743,0.01166831141789449
TAC1,0.020158455576019054,0.0457779383587596,0.08272255058301967,0.033087086533749546,-0.031240385497998756,,-0.01648752677607141
RARRES2,0.09804524753207601,-0.00791249711303886,-0.13100038336626335,0.04930428722563032,-0.04160718321427898,0.004292102014770561,0.024066241793029818
FGF7,0.03956122320777945,-0.020586304140840856,0.11833271800889834,-0.04602212251087933,0.021728618270470627,7.679804528959164e-05,0.008938468924529793
HBEGF,-0.038124323693965,0.015414194618833305,-0.01065506475488677,-0.05333722933261761,-0.021238027919372064,0.02565102369323663,-0.025694770711858935
CSF3,-0.03590707213411568,,0.08178033280115889,,,,-0.01320462494576847
PI3,-0.042537281440764844,,0.028060254598492932,,,-0.021616794855478395,-0.028689263200573554
PCSK1N,0.09464786429969722,0.09500366265560506,0.023056671202491642,0.10129890926406185,0.018931598601070895,-0.03445912257058774,0.0170232942084912
