,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.04466813704275869,,,,,,,,0.043401695646527155,,,,
BMP1,-0.08740385956269164,0.0012431819667866595,-0.03681119044550179,0.02434978295153761,0.12433941471955899,-0.03642562497497289,-0.08973756404483978,-0.10866499257143016,-0.43252923607582877,-0.15729372991730703,-0.00790425795512515,-0.1042883137689838,-0.12837324790984084,-0.0008179447757573661,-0.04651698343296465,-0.00044634809445167023,-0.11970637138719582,-0.10001561675679004,0.01527224392524776,-0.14432069847093462,0.04566785436657833
NDP,0.032419618961630516,-0.028487967921122098,0.045389287250667085,0.01910554283453942,0.053148970595082286,0.03136129397939393,0.14881941123577924,0.06780498657242513,-0.030428680424764383,0.02583892133523619,0.019469790391036936,0.12084093826296892,0.011792792951558792,-0.04963949569150093,-0.09510059049807508,0.040885541637139956,-0.13315159216475536,0.08002430107210705,0.014620283178538921,0.13345683245480344,0.1024997698200267
TNFSF18,0.11498836616412966,-0.0056552400447341025,-5.732097297141019e-05,-0.000381529813690753,,,,-0.06962178598632067,-0.12630653976324757,0.018558242230811532,,,,-0.06396886256008881,,,-0.03039662264856429,,0.049874077807022486,-0.0707384378982341,
IL36G,,,,,,,,,,,,,-0.01181608138515773,,,,,,,,
RTN4,0.17398457506588486,0.2985847537029541,0.034319345620400704,0.04572541141231636,0.011240108936679276,-0.017541827010126416,0.2370590003776402,0.20859715181456626,0.5372104614459768,0.11902589919248734,0.03530233631520653,-0.011091519726187724,0.2988582570990295,0.08316411185224265,0.15233917811421405,-9.789213795040704e-05,0.2122646699609036,0.00993713818446198,-0.033862781255287806,0.31074992825387926,-0.015375466116862675
HEBP1,-0.0023408850718801143,-0.06337903904376294,0.023743574333899564,0.058690749732392834,-0.009551227630476047,0.04297945900275477,-0.008180415233903749,-0.09730527485648101,-0.15949928974494665,0.010221024243131548,0.022606352812631146,0.0860743536188317,0.039418337865098886,-0.04415213705745684,0.1022869957063299,0.03423662006170116,0.030188317269105175,0.028144050769686586,0.11334849947279987,-0.0001146170943465891,0.09020123166029599
WNT7B,0.042570762662541374,0.37408537707197853,0.02032894038898829,-0.0059012545930400085,0.025729070790904435,0.05129876749602247,0.04903735154236714,0.046552603943890436,0.23224188056360623,-0.005495585146851853,0.006659602981729854,,0.04839893079488636,-0.020617040630834197,-0.029360815337102997,0.006875706136798418,-0.07029156914662273,-0.027347415542524872,0.012808425961542896,0.03788429066092535,-0.057310487361470215
PTMA,0.18214016694696247,-0.015686454273482375,0.04713699283403313,-0.04868518495975578,0.2369240215853575,-0.027549609348055615,-0.15344824602684587,-0.20890334281394404,0.3372968812871275,0.07372486111135075,-0.031209842960105507,0.05166130910457655,-0.1616170238887289,0.10416013662075568,0.18385100183820338,-0.06679140508176673,0.22402382954412367,-0.0805594987211248,0.0010434356075875873,-0.18463059888071962,0.11143090814778193
FASLG,-0.005696385400577487,,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.03940554491651065,,0.049044609089285464,0.0378295012142935,,0.04716515982183388,0.06350954669319374,,-0.12840202135352105,0.014538621187441618,,,,,-0.031160602581197655,0.0455712411056726,-0.047042934186623774,-0.03392596041418501,,,
PDAP1,-0.07779746824167902,-0.1450056411505645,0.06284404963415019,0.008906958010579981,0.0456419380297907,-0.0084570248690482,-0.06490099915345747,-0.07780971030519211,-0.41797436085024137,-0.02578176027917523,0.06149051880367135,-0.008401968087708557,-0.1443188809340311,-0.03498500319975487,0.017398333629894704,-0.047323473853013734,-0.022591882188078036,-0.023726722798510357,0.023535399397321362,-0.030703970940254656,-0.019107888230797284
QDPR,0.3078696368038851,0.2239157894894055,0.06375028917159206,0.060156950524342244,0.08616748125375513,0.02949631737957855,0.23139095873861637,0.23841482982750517,0.4502656762813241,0.1543094578575685,0.06804469666068383,0.2181800542399736,0.1134139528994034,-0.04225830973595426,0.3455081087004078,0.05870835677452387,0.2241646186728829,0.12026198559713609,0.19198110569423443,0.264542318068284,0.0756707853946496
POMC,0.020602072382831457,0.21284415720551306,0.006767927849104203,0.01635431905351053,,0.018213953331720524,0.16271279325884902,0.046277090278641624,-0.0004931787497454056,-0.003229186678939126,0.011345723889656607,0.005591812181910237,0.13217423845767723,-0.024443836204055214,-0.016231129345400965,0.04537476330097255,0.0022072799818972358,0.04974100409073095,,0.08051056942743809,-0.05798682598530745
CCL18,,0.03875322227050154,-0.02591020102503283,,,,,,,,,0.006626452611034581,,,0.059082037348119926,-0.0550613503659591,,-0.039655654320901464,,,
CCL17,,,,,,-0.024185592861095073,,,,0.039010783988814426,-0.0034262082992259153,,-0.023360402059655973,,,0.06101577199661411,-0.04330200759412141,,,,
VEGFD,,-0.012851491389700823,0.03703158946688128,0.003346930534700038,,-0.03668389711325743,0.020593784516959323,,-0.11575435441186667,0.04626045148590716,0.04085026178977863,-0.053084793147512695,-0.014971653516665906,,,,0.06166171309508158,,,,
TNFSF13,,,0.04813788227712838,,,0.003952763462652693,,-0.01891999710157435,,,,,,,,0.08105090931036103,-0.03282622748853248,-0.03809657974125196,,-0.03644742675127151,
WNT5A,-0.04155585255544736,-0.014312345043004883,-0.02932934416795311,0.0167882707856474,0.056025967275937914,0.03318833609193875,-0.05077632269935524,-0.1781050079839901,-0.3466569045245832,0.013557399248742516,0.017273307274569404,0.061627726674771406,-0.044030760191837104,-0.0020484017097056515,-0.04917054604774431,0.019211277856520232,0.02194285602146569,0.04672884287196493,0.11481146826128143,-0.1828430049260024,0.006499398905815354
CXCL8,,-0.14366184868967474,-0.07631887961565414,-0.026665375444980592,-0.1521074062000777,-0.030984155621339958,-0.12466847357662275,-0.029855268932696945,-0.1882573918248985,-0.07661278670166821,0.032084375180513776,-0.0406397105522921,-0.10915085008032578,,-0.11050349810581478,-0.0017427784904954378,-0.01651778567622934,-0.05460996382567812,-0.06919719998587572,-0.20095785791662596,-0.06099086608001934
GRN,0.168371655786971,-0.07861554290911153,-0.04224122478100392,0.040389268347502366,0.06471926547196533,0.034220140404721495,-0.09195170336509137,-0.09930659583296075,-0.37474939809296376,0.05113270706314725,-0.016014904849245483,-0.08053061128615388,0.021188443940140116,-0.05647818962679783,-0.03978579402539087,0.03898462098545952,-0.09538915365307843,-0.02321982039599196,-0.014412994741822362,0.05064756651965442,0.11907275768742107
MIA,0.04390866909994465,0.0029529335665556223,0.028645332294793054,-0.034313775227583866,0.05371815538024796,-0.04993736605160783,-0.06532756056716951,-0.07190180731688654,-0.21360162286691067,-0.05476015663696423,-0.030980778500011585,,-0.01646715326360684,-0.020601984720446793,-0.025375334577417034,-0.02582322013720731,-0.07733343174970725,-0.11636477131471923,,-0.05217889092315486,
COL4A4,0.01742860263647177,-0.06124886857973368,-0.030132232971198505,0.022654586446254926,-0.021494000561664717,0.0400111402432851,-0.06868198743667661,-0.0362396201828922,-0.04220020873963855,-0.015586255726085062,0.02269687136527914,,-0.04473928570219206,,0.021132632577402916,-0.023312141412996073,0.03827632172859621,0.006236927337283322,,-0.12165021199803512,
