,ZH1007nec,ZH916T1
IGFL3,,-0.01619050164944111
BMP1,-0.07499012104238377,-0.02851130484532105
NDP,-0.07731696790710456,0.061793068533978236
TNFSF18,,0.06793740440759588
RTN4,0.0734506702213839,-0.07181885527163015
HEBP1,-0.06298849609791116,1.7618680878266762e-05
WNT7B,0.23327650635845257,-0.03455726100573742
PTMA,0.04468349769622581,-0.053341045023184507
FASLG,,-0.014042016557090822
CEACAM1,0.06559893116106001,0.06411925910150044
PDAP1,-0.07207525284680225,0.03344890284697801
QDPR,-0.017657949239083,0.0258412135536463
POMC,0.02159685207419761,-0.050800952828146013
CCL18,0.028748624461906777,
CCL17,,0.05229967964512597
VEGFD,0.04111906028713653,
TNFSF13,,0.04090865730601802
WNT5A,-0.025092240488546573,0.02956935237511371
CXCL8,0.11842565544137439,0.04294523606628826
GRN,-0.04437666728035484,0.03973561604230318
MIA,0.06444975115577166,0.07141925862678193
COL4A4,,-0.014323344564052624
TAC1,,-0.01673160715416095
RARRES2,0.09768248645845747,0.06770152808008043
FGF7,0.02904682723254108,0.05541459425978737
HBEGF,0.07685270847015016,-0.0435058167314274
CSF3,,0.11044897966057425
PI3,-0.014535062526579651,-0.029113977368090124
PCSK1N,-0.011501978852687837,0.06695634604366028
NTS,,0.12775651180082198
SFRP1,-0.014552391756480628,-0.019382610912257115
MICA,0.0864355127601813,0.05104914967837339
TG,-0.01377004227677175,0.04141709407071458
ADA,0.10596356808994525,0.03186862236330025
LAMC3,-0.05243106212127795,0.04128835363619915
CCL7,,-0.014042011563917343
NGF,,-0.04204135940285717
TNFSF15,,0.03470192922930064
HMGB1,-0.07398691686372502,-0.018311784962816074
ITGB3BP,-0.01604650152698561,0.00031637459431018246
AANAT,0.15108667805807757,0.03979393342543178
IL15,-0.05529512359333895,0.12384407373293722
UTS2,-0.03275164050090403,
BSG,0.19942226078442457,0.009213608789084848
ADAMTS3,-0.05912729952517583,0.029749334110026945
CD34,-0.08753254151923354,0.014764310665573504
PLAT,-0.09081061644103483,-0.006197291261877563
LTA,,0.18848066442940528
CKLF,-0.03302630866709984,0.03926825606163237
CD24,0.02645129173739904,-0.015778207112425828
HSP90AA1,0.09416118330055497,-0.10575903310550254
BMP4,-0.03625785718038152,-0.05932492821249501
SCGB3A1,-0.03968691344570514,-0.014339695381650796
IGFBP4,-0.0841668898446608,0.04003080429204701
RSPO4,,0.10500765925249748
LEFTY2,0.027463253190170855,-0.015113391770148773
PF4,,-0.01999532388200725
ANGPTL2,0.04974814022155306,-0.002044037722249034
LRIG2,0.04613381528825178,0.0055768350992584014
ICOSLG,0.09903107837986377,0.10282543838544411
NPPC,0.21049143102922827,
LYZ,-0.06451601611467013,0.029183469628968964
EREG,,0.028431540157110455
SPTAN1,-0.05487342492446027,0.044034667252002405
LIPC,-0.035745502266241146,0.039892012495383544
COL8A1,0.019673283076490047,0.016227794826865746
GSTM2,-0.04805688090514729,-0.034759047491948365
IL4,-0.03416928868358036,
SPX,,0.048915227362423486
MFGE8,0.06449205471008852,0.03382988289746985
TGFA,0.08746455589956276,0.06178905088027884
SLIT2,0.08990558489625484,0.04574053963400816
PLTP,-0.14618496621636223,0.068515163808545
APOD,0.07945295791967837,0.06059856515925254
B2M,-0.0016514797288296778,-0.016181277966728125
OMG,-0.05170350639661691,0.09611647953815172
CXCL3,-0.06924996092725451,0.013923131229324747
CXCL10,0.04885220374808731,-0.012756421575119045
RSPO3,,0.044029270361991
NCAN,-0.01768534846034107,0.05374788964887618
PRG4,,-0.005530276591202256
