,UKF259,UKF334,ZH1019T1,ZH916T1
IGFL3,,,,-0.02219808766768833
BMP1,0.016981690982601307,0.059886847132190855,0.1198625379139362,0.0536291196414573
NDP,0.009813247469902963,-0.0007956668838367082,-0.05603018991133816,-0.013635459328487268
TNFSF18,,,-0.014345161257674093,-0.0032744922515646952
IL36G,,0.050068744862906404,,
RTN4,-0.059779570929782,-0.04857240405152314,-0.05973759884805516,-0.030352984758248682
HEBP1,-0.008084029709678408,0.006688758975495193,0.0076475422058262695,0.015661125532781445
WNT7B,-0.02371915843768277,-0.037334568855660145,,-0.009020468887446904
PTMA,-0.01700045537134681,0.11170313304072502,0.032203016613164076,0.00866904479831194
FASLG,,,,-0.019252393861199046
CEACAM1,0.014311439705483113,,0.009918436577472833,-0.026786878395897207
PDAP1,0.08550010168087516,0.0026004301694802284,0.09058653443660293,-0.023120495672706323
QDPR,-0.05211281927459159,-0.01924127318420726,0.028144066557744724,0.020825506368331883
POMC,0.0077034707766707984,-0.02069629895572156,-0.01958632161974595,0.03278325683352798
CCL17,0.002095493071436061,-0.031030584685796135,,0.15064452584153776
VEGFD,-0.017686395403561317,0.08658984760437619,-0.006417087782790216,
TNFSF13,0.040576473497914066,,,0.09136781427151373
WNT5A,0.004442157465976441,0.07592952952640918,-0.04055560948917213,0.030530209245145514
CXCL8,-0.03085480910395997,-0.03567198284013195,0.018763856757979126,-0.009500474339120976
GRN,0.00970212351628028,-0.08117407244820235,0.05701501821294054,0.10726325857530358
MIA,-0.013502977441421796,-0.029337774069809596,-0.07080004761181663,-0.08171411038849426
COL4A4,-0.02151766253163938,-0.012497396513752207,-0.05325394381061763,0.1583765107060623
TAC1,-0.01017582900515135,-0.07829890005498714,,-0.02293997372479233
RARRES2,0.041010000754120306,0.11369521948338546,-0.051393055693469455,0.010413985254017205
FGF7,0.01530165404483107,-0.016526741385197233,0.03707493726411654,0.04131175386896746
HBEGF,0.010459380656181058,0.0802787934871839,0.047761579136240115,-0.011671324744481626
CSF3,-0.01892150062341587,,,0.09622013886181192
PI3,0.05019350101516021,,,-0.02973044305593312
PCSK1N,0.028333199722996208,-0.0649660986250409,-0.014296771790814953,-0.010094503744654329
NTS,,,,-0.027206867538140486
SFRP1,0.027036704644219936,0.048865621317916656,-0.019412720434085533,-0.02657464886357169
MICA,-0.00121109128901069,0.03834804385692086,-0.04332954201027091,0.11529779826620508
TG,-0.014947927227240787,0.06977809469052369,0.04598720257435624,0.04576050654664313
ADA,0.0533728960195256,0.047782910199859446,-0.02922351006676851,0.046692598990734635
LAMC3,-0.04163400582021526,-0.003045074173342839,0.08809076890823912,0.08500739113120692
CCL7,0.2262835231857875,,,-0.01925238701527759
NGF,0.07047252637558071,,0.016532297185676906,0.0761967898458782
TNFSF15,-0.012034487753710674,,0.05116928346320369,-0.02602927534815905
HMGB1,0.04975292815946152,-0.024956193556918527,-0.02615568128600231,-0.08478787506399568
ITGB3BP,0.02230489677173,0.06786643130287504,0.014776083479865866,0.009382402629674762
AANAT,-0.010950154215205227,0.00037415335538172275,,-0.020369828328637707
RELN,-0.004075977785379629,-0.038808319635174,0.030349396470343015,
IL15,0.05152329829838484,0.006157154456741743,0.08093693770986221,0.11692258161400003
BSG,0.03293574630988357,0.08419684014300559,-0.08805646289445072,0.0441986062989319
ADAMTS3,-0.009033614235305012,-0.019299046373729305,,0.036577550365104496
CD34,-0.007313520419899775,-0.020942196048912207,-0.030520375217704895,0.07171545224363526
PLAT,-0.007415057960235842,0.05362509996682138,-0.021570184699041595,0.05164418764816506
LTA,0.0069198174537922295,0.10801147653700874,,0.06508177062262269
CKLF,0.07967692666267609,0.04900129699635565,0.08660546769128996,0.015698658223090176
CD24,0.02825441380209479,0.02940258848288608,-0.05286563806336324,0.04640772332161591
HSP90AA1,-0.02368794157999029,-0.10422703489181773,-0.018677920698018775,-0.06723823703828395
BMP4,0.0030628046916805866,0.021828662519175344,0.13988427830842382,0.014080805525362752
SCGB3A1,,-0.026937961804059465,0.0652812616681712,0.014685170774439987
IGFBP4,-0.002838353129174683,0.0542602433565159,0.09092669334125107,0.0852534286694308
RSPO4,-0.006564551273398523,0.03927712523038624,-0.03517633120307906,-0.012550563111435464
LEFTY2,-0.030949896467471896,0.0363741910121163,,0.09259109045014649
PF4,-0.009429180328930538,,,0.08354629872627788
ANGPTL2,-0.025034353219147043,0.054814294289156996,-0.0006639367394208162,0.059231172198708694
LRIG2,0.06355645513086024,0.08819477557302609,-0.03523488267508812,0.05967569157002071
ICOSLG,-0.01748554408041542,0.011330961471344114,0.07799077724994954,0.04464060256431498
WIF1,,-0.0957673821466649,,
NPPC,-0.014626983986627479,0.16871747996855718,-0.07977416755155053,
LYZ,-0.0542716899032845,0.002792491556313928,0.004959191140262645,0.08900105833337987
EREG,,,,0.08407034035627277
SPTAN1,0.008858816961326678,0.01396431823874726,-0.10963181807717025,-0.03589923329108585
LIPC,-0.00023401470290802467,0.04897063656663227,0.07877233975363505,0.05230644213776135
COL8A1,0.015877040541587607,0.05317088576887938,0.06261338090454859,0.12266934227757603
GSTM2,-0.033685432123156896,0.07025500876258509,-0.07159459088897946,0.027013972838180522
SPX,0.017607233708800792,-0.03412396203854019,,-0.05838108614814895
MFGE8,0.038261479482575106,0.034475725312178844,0.08465044634835374,0.05650714838242479
TGFA,-0.00896149193150818,0.03858166445673631,-0.042800097062591975,0.049430893024706865
SLIT2,-0.013348586147197587,-0.07880121651323348,0.035124394446688044,0.054873918270108825
PLTP,-0.024132820507081095,0.09241659163420117,-0.09667659007269151,0.006180368462598683
