,UKF248,UKF269,UKF313,ZH1007inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,0.0931908308808399,,,,-0.020719501486582102,,-0.014460791647696742
BMP1,0.10021714135545609,0.11015107898270692,0.021337947276477972,0.1061137297991654,0.09798439574425241,0.08386408571871505,-0.0023008413391345296,0.05211696240732102
NDP,0.0046568122337597,0.0558926040422708,0.053490154551029255,-0.015166632819038772,0.10060976617778461,0.05220089149074396,-0.024956573420149016,-0.06075551746480147
TNFSF18,0.13170178823224812,-0.02155244227255346,,0.12906356571787586,,-0.021367656162433923,,-0.007269431636628936
RTN4,-0.0315952859247717,-0.10588980284312507,0.010397500133582094,-0.043320456583323674,-0.021161371107250956,-0.08528750452462837,0.052009084686032846,-0.07579552507034956
HEBP1,-0.03623580036643346,0.009184970190668069,0.008884717840860678,0.0001952573167031708,0.05699887246001469,0.0451760788152597,0.04220582961819649,0.027992460505828314
WNT7B,0.015890690454842878,-0.028133034174914032,0.009454072059891943,0.01928126696057562,0.03870236881458272,0.0038613639930664087,-0.005935021260244988,0.022783735493101517
PTMA,0.023248364670896714,-0.06986693089618518,0.04556379710404645,-0.054658317047472975,-0.03075986766487672,-0.07201979433836928,0.07987325317149473,0.047183295792596475
FASLG,,,,,,,,0.1872141695449426
CEACAM1,-0.015340651358695086,0.05220995912655115,,,-0.014947342199185809,0.03597897676396447,0.08717322203615847,0.006710779326397364
PDAP1,0.04839010725513507,0.0933158987090641,0.012258797193167205,-0.038714545161396975,-0.015162256893365509,-0.025859790094109273,0.0003682828031819677,-0.033958954044152605
QDPR,-0.02819063729888112,-0.10074583278415411,0.019534876096252367,-0.06501512493611834,-0.016852147033386524,-0.03573664718502644,-0.01533458811249869,-0.07477598710593196
POMC,0.07219799395870365,0.05839136176240949,0.010597902007131798,-0.019957013774213696,0.02879255206167916,-0.05819672974862357,0.05128708609478108,0.033822632777591816
CCL18,-0.01914368344913171,,0.044090584272720286,,-0.010346331397684306,,-0.019743562740613157,
CCL17,,,,,0.19536803458891788,-0.027317465847659393,,-0.011367768959565233
VEGFD,-0.019143689528147843,-0.007679974795193851,0.00927656236537688,,0.0959654207276841,0.04229183394677797,,
TNFSF13,0.08026582741724884,,,,-0.023453925277420396,0.07476857394264205,-0.01664934657350659,-0.01852283069048935
WNT5A,0.02607390452867942,0.06300214564807365,0.05307405459770279,0.003784402137899427,0.08365908180520439,-0.024363460390714516,0.11191404379340447,0.026514484321875583
CXCL8,-0.03576361556577244,-0.017129109901210946,-0.009175197966018026,,0.01353789605162578,-0.03878484671633411,-0.08315749822958707,0.01226272569399545
GRN,0.1295294471133259,0.07853648662958262,-0.018859000837544517,0.05570624668525344,-0.012385450879464369,0.0965005420785454,0.0054934347337692166,0.052636934873494495
MIA,0.020787365019103797,0.03501327872884923,-0.0030590153048517216,0.015006038336793233,0.024663443133194556,0.14259140905377088,-0.030406650760775703,-0.04574143174748851
COL4A4,0.037049570468565475,-0.014302196289340164,,,0.010906322949600533,-0.042080347930259866,0.019710232058979676,-0.03338356382538794
TAC1,-0.00811499830050473,-0.07807226146270356,,,,,-0.025580214067182718,-0.014944088220749222
RARRES2,-0.042947523846048975,0.08511628572495827,-0.011420771025589626,0.04078624005617873,0.025834737027017832,0.003716994103002782,0.05515093504627051,0.016884556979403314
FGF7,,0.02959896394097709,0.0015045798400232706,0.08525625894224548,-0.012402373614860756,0.06888673746994252,0.03618780349792594,-0.04142716462508068
EFNA2,,,,,-0.014206448438190519,,,
