,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.011196693213044697,,,,,,,,,,-0.015863872954923735,,0.03163798836434784,
BMP1,-0.038098215439741956,0.0633248510875874,-0.009675400726042387,-0.02879775423386514,0.013169484727475303,0.013141363722648226,0.060173215261682116,0.1800462589591094,0.043490026158453654,-0.01863936624308564,-0.04156745462359887,-2.6989340318518268e-05,0.025218722707875455,0.10039106132853595,0.007581044348943224,0.016682317255838703,-0.006164844164613145,0.042431537869229305,0.030350479048681905,0.04014502857486075,0.08308070716449216
NDP,-0.025894375403052228,0.14978999518444228,0.004731656739857851,-0.006947192139660771,-0.0068191240753069406,-0.023664857480422567,-0.014725089750959241,-0.03595037433954138,-0.017953521722249358,0.04089217275718426,0.031281132361300534,-0.020872181680487295,0.04094671676870154,-0.023725622278295135,-0.10409140407273987,-0.002673087383164571,0.03368776523094432,0.05110004618483047,-0.03957738231664745,0.09203157391740974,-0.0349121141374659
TNFSF18,-0.02335815613175439,-0.02709249320074535,-0.007535398980885542,0.0022988629862832365,,,0.06440986607705065,0.08736887631025284,0.03892255105574003,,,,-0.03158890280145413,,-0.05182695654980271,,,-0.01636013216461137,,-0.01835121242087813,0.029546133461885317
IL36G,,,,,,,,,,,,0.025200176592467555,,,,,,,,,
RTN4,0.012686571481292036,-0.09187452576110665,0.015412625627356827,0.011918669191277324,-0.009825114634597636,-0.005185891660585886,0.0003646279283613443,-0.13786768160598478,-0.024012286209636007,-0.0294718794631138,-0.006709377022643685,-0.014320172358929744,0.0210550185646104,0.03224548910008446,0.0014004044621390552,0.02750796555322336,-0.011400699278644419,-0.07822529712905703,0.025834081602920132,0.014851269860937884,-0.007083034178617705
HEBP1,0.013940011050830927,-0.0034900463993991393,-0.007927144756656252,0.012165915561706857,0.02403977161214764,-0.012748657150346964,-0.04850366861718452,0.05374180593975237,0.02038057069684937,0.008247941670601423,-0.008970278189776821,-0.033318583091424166,-0.023665865567534614,0.03887460305192573,0.03435229605476811,-0.015429344652280694,-0.003839119234586323,0.0019697238147736414,0.03163999998591308,0.04962669359931587,0.00997382924533059
WNT7B,-0.02057780395428135,0.03782392930939384,-0.015615229320238597,-0.018820662243294515,-0.020673639698580264,0.021698031357084563,0.01453465093670015,-0.05442840159358524,0.008910992900117976,-0.020429736815515073,0.04280663091773112,0.05678949869404477,-0.01404024060897329,0.06001698501083914,,-0.01443322383363476,-0.025678571125828012,-0.03421035985645656,-0.01946367430442437,-0.0414075462512713,-0.058942539719274566
PTMA,-0.019943461184820932,-0.13743830658733117,-0.0449196689011346,0.010150361976524991,0.046163563149887,0.03515950046103335,0.0366866121110928,-0.11248950496535981,-0.06707165627768798,0.021963098874037863,-0.047189758481998106,0.05359626036287376,0.026803478388625974,-0.07815203437531104,0.012963013471952872,-0.07026403321093622,-0.05400371881248224,-0.126849791193797,-0.0009733058782314235,-0.09487345817981037,0.11921757004798011
FASLG,-0.020577809771573814,,,,,,,,,,,,,,,,,,,0.06218940427826362,
CEACAM1,-0.012428578095841244,,0.13113725127245623,-0.014443726285118877,-0.006724417829952962,-0.0073720007446986275,,0.004761995013495486,-0.01937287977361411,,,,,0.19935990631044817,-0.036443146233903795,-0.014747896828229828,0.07546411301724835,-0.023507801899630573,-0.01291832370969514,0.06980751222506217,
PDAP1,0.010506545847649254,-0.0024062854850328626,0.06580749298983339,0.01238055959228169,-0.0045174928174284475,-0.04650551089061688,0.037594933642951585,0.09753642545893093,0.021343300626964695,-0.016024945597806824,0.07318131163943392,0.04716961573337159,-0.010143613310552035,-0.04859738057970412,-0.04255805115592597,-0.032730589200315935,0.005817736858570763,0.029466607228239447,0.014843613931775088,0.04032579800691953,-0.06738086221190724
QDPR,-0.014822651454296211,0.037916345207168085,-0.0164432448268682,0.051133370393656466,-0.0235372334469733,0.02353876626103966,-0.002648070199445173,-0.17168112386179,0.056248285101574605,-0.024789493446795725,-0.006594823770834903,-0.0024305867484796604,-0.049894523778860715,0.11222491979599546,-0.03621454147300407,-0.003912142061091457,0.014601459083750566,-0.15583367458178138,-0.0175037239836858,0.09890351418400253,-0.08573268468673888
POMC,-0.03521058030977537,-0.03978177366283781,-0.0056920433870900995,-0.0008080110010938056,0.0199604201393379,0.044612805169063185,0.02193473355676663,0.017293513543988292,0.0700174349502636,-0.02133369941726231,-0.03540756628644638,-0.034580640321051404,0.12973450116702856,0.004025292394552955,0.02725128306400009,0.04579080253097453,0.018066653885278672,0.05899527168164368,-0.021132680565308832,0.06424133879380797,0.036989916375577414
CCL18,,-0.020561608323908687,-0.008038626552430197,,,,,,,,-0.01395136500966783,,,-0.0649236942739842,,-0.03522333831113018,0.019889090286625836,,0.005435297763550925,,
CCL17,,,,,0.026910942121821685,,,,-0.028211784044861566,-0.025286287151203526,,-0.014744568794898829,,,,0.0009280430387755231,-0.01165275758301171,-0.020915600114142705,,0.0826713025805496,
VEGFD,,-0.02661608752827921,0.032520990368615665,-0.020687740067783858,0.06641745435513884,0.017567088559802678,,0.05933127518101347,-0.030057269714275553,-0.018547797423238706,-0.02392278307921489,-0.015802211065987747,,-0.043670276147818404,0.03368146161363859,,-0.015336812247304125,-0.022059502534692965,,,
TNFSF13,,,0.009401844896755282,,-0.021403463209048013,,0.0654471987153558,,,,,,,,,0.07034066592446275,0.08479068529380375,-0.02242927625195641,0.08706593762545604,0.0999131604761277,-0.018323906841834485
WNT5A,0.006300474162185485,-0.023020256545811406,-0.0037058412282436164,-0.001214807897982002,0.045064894609782725,0.004020236970614547,0.014533185918246247,0.09593368370705121,0.010787819134209392,-0.005480605361325536,0.0020966425152775495,0.0033406831185377904,0.01634617254531232,0.07354626556380015,0.008822963746719467,-0.016263814854332797,0.005477372469043829,0.07779909775324471,-0.010367070135433702,0.07968194242665001,0.08277114981651719
CXCL8,,-0.0922908425335357,0.036403543233253045,-0.019370773598013195,0.025113735059205562,-0.031749967059397526,-0.02506219599397673,0.037389863104149344,0.07959715635996222,0.016021089745747553,0.014285063931408737,-0.0034288573688171305,,0.03247239585240345,0.08961135158212792,0.009012052229900935,-0.029200954201750874,0.10365474305391911,-0.033504129298038685,0.03393749793516777,0.09241973562509441
GRN,0.025502888275629975,0.09510172400425317,-0.0008836852109931043,0.01182368389784213,0.04724675199786257,-0.01669224202639315,-0.05436679204580612,0.12404140841245609,0.009553115511773817,-0.012738716020673797,-0.023049383626399078,0.013392642345125527,0.02683285799391474,0.05803305023367246,0.011647534808289986,-0.006509972756606217,-0.01920800251833937,0.10942021095344402,-0.02910486689064491,0.04500658899150125,0.037145473275443076
MIA,0.04434214232057559,0.022520394503702714,0.13245032786847286,-0.018398229264212654,-0.027596374789300472,-0.06700840767225533,0.0375798494679153,0.09956110913998573,0.04083345725866147,-0.02109421343916773,-0.032443591653232864,0.009147663045285113,0.04745948622824947,0.07872819935355636,-0.029484520390253396,0.030698392983231595,-0.03053580434564278,0.06780848780697642,-0.007870611744909132,0.098930813026313,0.0015945373636161637
COL4A4,-0.004124872548126155,0.13233976937773637,-0.02940695756571177,-0.020620525907983345,0.0056700865333338644,-0.008274031669816597,-0.016763908276248032,-0.03377333349059475,0.038070082642729604,0.006762525705037124,,0.02676291007847905,,,-0.014353206665941374,0.015421967132274752,-0.0022397741108428773,-0.03221879126275982,-0.026034887260968254,0.08040330576855638,-0.012089839978211817
TAC1,-0.02057779857603421,-0.028854965820357993,0.03526238349484557,-0.05090080865449176,0.0037380063362308026,0.02317112379546961,0.03917117059562777,-0.06974776317875044,0.008891117039535979,-0.007931462537202918,,0.00037432840612523094,,,,,,,-0.005908451744865262,0.022626273392509267,0.025949137949779186
RARRES2,-0.014115997467021156,0.05009642702514128,0.001667822912908033,0.0528338882793599,-0.00027265718630619306,0.03635756763321233,-0.028508985923257617,0.10561224576593978,-0.0005564385448508224,0.045788800730263264,0.04819230938744514,0.007898210613365847,-0.01999486830963194,0.1376135304902576,-0.03559566070586726,0.0006705111637581157,0.033055607886114974,0.026529827544606862,0.11254356117798359,0.03560300423455141,0.006870421124619306
FGF7,0.006375516507648125,0.04952190810658265,,0.03175709043398412,0.05557650405261422,-0.012358969808474821,0.09228488663081195,0.09656789376026269,-0.02233849154563676,0.013869314769094426,0.014587093541854914,0.08644999209980593,-0.006984981755358156,0.12075144798035505,0.02856898635910586,0.04239208775722617,0.003107620892310682,-0.052742988628005645,0.07965928216595426,0.1061817634873356,-0.012048984426972666
EFNA2,,,,,,,,,,,,,,,,,-0.027685787247752166,,,,
