,MGH258,UKF248,UKF255,UKF259,UKF260,UKF269,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.014860838503522475,,,,,,,0.049139690559273634,
BMP1,0.012967858539898559,0.001347473525559822,0.025523577054131323,-0.020402487105521495,-0.04446655058206102,0.07965114982267328,0.08167431904323909,0.03207689253383394,0.025672622475066045,-0.01874390252747422,-0.04810311760373936,0.10270259945215288,-0.02583180209296637,0.12534863284323655
NDP,0.023765959557796815,0.015882031057529826,0.0007419253696134407,-0.010527914302509066,0.006081836410910234,0.03774754603690387,0.13915462263448447,-0.02715409972715942,0.02358311998953966,0.05980866783846699,0.049844903928638815,0.026788030683680457,0.10984131439725665,0.06606626564452416
TNFSF18,0.11361408302816096,-0.0030799854919988873,,,,0.08454489508704786,0.09842498418609756,,0.06477341264847587,,,,-0.0078657301133888,-0.009979212293008383
RTN4,-0.018959238504346207,0.05175442963171843,-0.004139192143066766,-0.014549409011428946,0.06455903621226891,-0.08867760199060637,-0.021041504601541906,-0.08805994438485064,0.017617258361332953,-0.026014903986671736,-0.03018273022934554,-0.02908964403783609,0.014221433835175,-0.1076308416534849
HEBP1,0.06799074756637209,0.01586581345622098,0.020015928535320627,0.02938007244239221,-0.024711276314857308,0.060826923821926455,0.03831599294113738,-0.0843518482698217,-0.0889639716829892,0.007679474503761185,0.0486028014366207,0.029008579109845833,0.09485416440626152,-0.0007300347039079397
WNT7B,-0.018178437598824135,0.010111180612384408,0.022774874304599357,-0.022088077618661956,0.002809189812888968,-0.04932230817622455,-0.026980657883212644,-0.01812720155794508,,0.03210518669189781,0.05500833408171154,-0.02313555365562659,-0.04993671023665847,0.015259468388013992
PTMA,0.022984540178016686,-0.05419078517012718,0.02409213851220959,0.0006010458713331595,-0.03443822591592833,-0.019195799924890237,0.023505651299059717,-0.09362757717871174,0.05806515383009516,0.031725187481819295,-0.00970643268552691,-0.030219498225262136,-0.09185148944016411,-0.02716127666754668
FASLG,0.08394506180980284,,,,,,,,,,,,0.0003066672656564739,
CEACAM1,-0.025240926833510438,0.03171656578579099,,0.020455996995769367,-0.016207973415153832,-0.029040098247215592,,0.06167872238157552,-0.022856731562457905,0.013529805096510911,-0.028748939379156863,-0.015355403437801412,0.002244431788333728,
PDAP1,0.07624706361561007,-0.06277614961448502,-0.04467750330047469,-0.002709770011609853,-0.06269519128199509,0.06618966621711372,0.05339155977068939,0.021026348498091336,0.07300995105393199,-0.005792525414452031,-0.07993821093091188,-0.03249692612068178,0.017210075064942466,-0.015580376503503978
QDPR,-0.08734443355959101,-0.00556057139797501,0.023933174353939924,-0.03292838098747622,0.0008881949691800775,-0.09088815047421886,-0.07065521545875039,0.020613336662861408,-0.0006305378656036026,-0.007014259603165364,0.049495571316791914,-0.008218427317207275,0.054946125725342465,-0.03380893949007811
POMC,0.08475726251255752,-0.02121615257846556,,-0.023751660618666712,0.07299729857381694,0.044706298410042616,0.007496067202935534,-0.024893870983070575,-0.034932014683858835,0.018882048281543988,0.03119611348376951,-0.025119422851973123,0.017522825040722653,0.04195379346011309
CCL18,,0.05075298764255516,,,,,,0.15824056913090948,,-0.04322647606452315,-0.01978725501872912,0.09651691547282214,,
CCL17,,,,-0.014783243617745181,,,,,,-0.01675808640009369,-0.04150089883595217,,0.14136018720701873,
VEGFD,,-0.03080342833654807,,-0.016470165899628506,-0.015506871298010755,0.006340711779374952,,-0.0006716203567740523,-0.026070916912946728,,0.12727317708475452,,,
