,MGH258,UKF269,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,-0.013231780219510061,,,,-0.016113802683363924,,0.07711823542568891
BMP1,0.00011919779624313245,0.061215127293988474,0.1082109791085393,-0.00019083824598790095,-0.0046890038936549285,0.02812498839913865,0.02388666230263279,0.03485028715719707
NDP,-0.01640634592585606,0.03002627925344723,0.01296047908877008,0.09332235679895091,0.06376274127891475,-0.004984405555466823,0.02464426619475519,0.07494693283974165
TNFSF18,0.006890075485380194,0.057335809697887305,,,,-0.016617880282032964,,-0.02995941407372509
RTN4,-0.03083555181659519,-0.01803255406107755,0.016676798401930988,-0.02629643468005709,-0.11167732174042339,-0.08329922067488167,0.03148755045363213,0.03772336667773857
HEBP1,-0.02016750213140007,0.021145514808871484,-0.01175318232094551,0.009305268236559168,0.005422145301444246,-0.022925792295630913,-0.02476349731149351,0.05321915820200135
WNT7B,-0.024390711555780847,0.016442360410711947,0.03481757780616735,0.0228012714940852,-0.037763262229430515,-0.03474933202126527,0.05123850966880093,0.03937566001583433
PTMA,-0.05507774282776597,-0.06038237098820197,0.15787809123242777,-0.06484523375012725,-0.05563865217263169,0.010037494106420401,-0.01933287135472525,0.006743295595131612
FASLG,-0.0045168935146609485,,,,,,,-0.015403997366557372
CEACAM1,-0.033866726029114,0.09912177446244595,,0.06429987083745903,-0.025816661465351914,0.041921995771580164,0.20561329505962092,0.05738901589935691
PDAP1,-0.00792832686907963,0.07132351107853145,0.12426150072191834,-0.026733190011182975,-0.07692507896081457,-0.033585700503809636,0.02932926227447507,0.027609411785828243
QDPR,-0.007845899760154325,-0.042381432581188906,0.10087372233663798,0.08790232045592301,0.0595633331873606,-0.07993146595202172,-0.028683088492565616,0.02816975445790373
POMC,-0.034914810477846746,0.016134400770990435,0.014318776761752819,-0.03699025043147631,0.01113537421689906,0.06089022218636698,0.11218478171174903,0.016859010041740796
CCL18,,,0.128374174175973,-0.008754349025571661,-0.02861388920743345,,-0.029543857235638096,
CCL17,,,,-0.02649536968827103,-0.03726797158062728,-0.02124511802389556,,-0.013961993441670173
VEGFD,,-0.022166781210218554,-0.028377527762176887,,0.09907016335710202,0.022684196911842855,,
TNFSF13,,,,0.02112665230016905,0.053362257125962806,0.15306557165208656,-0.01517942036393375,-0.022749902952959925
WNT5A,0.011831071304304074,0.04856251700370945,-0.0029487768309961293,0.0009612348193704372,-0.02555879755940801,-0.00028028779239909235,0.025018444552565456,0.047839859051559575
CXCL8,,-0.0038363548324942633,-0.07347399317637084,-0.07768752373377028,-0.11929174423594481,-0.030163436485006793,-0.03194992618102822,0.017530257633081685
GRN,-0.021310616642416198,0.029928038118579497,0.06099345777673942,-0.006153572842062221,-0.0853411472433733,-0.0012381690521425478,0.04071673863532301,-0.039023673905783554
MIA,0.05880647093059767,0.12095084201772642,0.001999441283948793,0.07278106849873026,0.18863381324355732,0.09069681436071467,0.024552112692956762,0.0006461673157716736
COL4A4,0.004733536395633144,-0.01303893727522893,,0.019087034618684,0.0192730408546183,-0.03272638696614531,-0.027242746575724123,-0.04100198560047708
TAC1,-0.024390705180986193,-0.026551688717359027,,,,,-0.023321805490135693,0.027042384653717364
RARRES2,0.08046718299627846,0.038139064524681195,-0.11780972004139008,-0.09324763285348958,-0.06356057631011833,-0.04555721971475191,-0.022417334663995384,0.04026264513960804
FGF7,0.020761190207938093,-0.014158195634755896,-0.03478081084917248,-0.014305206887258688,0.06417498203701043,-0.05357393582875401,0.000652274604952526,0.0596358218565941
EFNA2,,,,,-0.02453700899238928,,,
HBEGF,-0.02425324075807144,0.014678032386489136,0.07022700586272496,-0.09104054039121981,-0.013617798341844043,-0.00693503074684718,0.02401921067091704,0.006185482914595234
CSF3,,-0.01379494466881421,-0.04263230456206086,-0.058593913812773624,-0.025591057434294302,,-0.019379404663492333,-0.014699825202369078
PI3,,0.0340068093907372,,-0.10408686798061538,-0.12600796278958148,-0.01805119276176782,-0.014128469396943951,-0.004796170333114988
PCSK1N,0.047625404356089744,-0.04349445895537554,0.1183983225484609,0.038463278054978504,-0.0193416557699918,-0.006942702826703975,-0.01509014478877676,0.01902267317058582
NTS,,-0.01695564641069416,,0.0020536466060594397,0.02512225009496326,,-0.027894000103013523,0.015404975143861759
SFRP1,-0.008754559232614749,0.026155509004492764,0.07910378627758768,0.03717300648188215,0.04926113127228508,-0.028979551219277193,-0.030130898443993376,0.076143129892748
CXCL13,,,0.07986683111342639,-0.015083591508387202,0.01902727205811423,,-0.03161184178021767,
MICA,0.012440675216301161,0.02068399399913017,0.0327759615854379,-0.005524434039504499,-0.030674039926664797,-0.0007308403571933743,-0.027456741299397795,0.020668558097722823
