,UKF243,UKF248,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.021191058922872274,,,,,,,,,-0.03132075260073916,
BMP1,0.03842357276967044,0.005992100147058472,-0.04622905230131506,-0.09570719893062624,-0.03627005448996565,-0.05717989579525673,-0.024760325778333495,-0.02827037521179729,0.0841116366951617,0.101535278025219,0.11067635785007385,-0.03709560908425587,0.13421208544345786,0.09235246033036694,0.035875935178426195
NDP,0.03289488847323048,-0.024598201520337423,-0.011724458002342321,0.0033843040731627817,0.056159711836560905,0.01302835912424933,-0.015095964724069197,-0.007285155124222238,0.08505075304963097,0.08461736760036338,-0.03547945215292688,0.07521288275590968,0.05003946470476255,0.037554468680532575,-0.07078038042156842
TNFSF18,-0.007028798358512891,-0.011657068840571974,,-0.024472603579321506,0.04321253955572818,-0.013749101762726578,,,,0.026007959424101782,,,,-0.025450170990423196,0.03002902220626321
RTN4,0.040608107476060286,0.03189296644571266,0.05412695640654306,0.0697571256748926,-0.03157561241293182,0.08752254543470468,0.09906885786906107,0.0251947261210809,-0.12335776483188932,-0.05930254539345747,-0.028744068177037084,-0.004421342726932057,-0.04192068318698058,0.0041288097074325325,0.015554807426296318
HEBP1,0.05785966236795676,0.017732654939092422,-0.027359214692762205,-0.08033921912760181,0.05116943422463762,0.0044583286141398875,-0.006552732938543758,-0.0012252834334703926,-0.04986204429221463,0.10530031361435112,-0.05829278181369602,0.0530505366357035,-0.0003490605229187748,-0.023149436543670528,-0.00708207217050727
WNT7B,-0.018823984399361532,-0.021242006451633023,0.058726211316847916,-0.058076619840121586,0.030154483591575677,-0.006426042557270922,0.05901207290705869,,0.051068576224658595,0.09405528111205884,-0.021808430756934113,-0.0020413593653624755,-0.026095012558561524,0.0337541583498418,0.07625646077688718
PTMA,-0.0027652184298126567,0.0011036881346680161,-0.00029545583330208827,-0.06045589250561812,-0.09623736143420364,0.04661885709035099,-0.021395122716978198,-0.0760944087347644,0.15859674753537722,0.006305411081968721,0.030748557015431364,-0.03396372538565016,-0.050896830935904185,0.05099015888857088,-0.03461730928863837
FASLG,,,,,,,,,,,,,,0.03382592078101758,
CEACAM1,,0.0031717032095755385,0.04146045883949901,,-0.0014970900481322063,0.0039043033181199232,,,,,0.023030981809768328,-0.014481554225035746,0.04927509695795707,-0.05086812348214875,
PDAP1,-0.07348893507157946,-0.009595716475893499,0.011187844942599402,-0.049751350370643994,-0.011234037073952827,-0.0025409304769276665,-0.05318223371594847,-0.023201822788889936,0.1473016288062598,-0.011971592692893843,-0.01023964119557516,-0.025093916832166944,-0.051882628787864066,0.018946204212491803,0.03347757166441
QDPR,0.037860940776525714,-0.05769734133468108,-0.008872055735969237,0.053384582787439336,-0.04565594687750331,0.012121273741421482,0.0015086485917342439,-0.0887815688334249,0.074104871266108,-0.13784212345321945,0.03389405894073637,0.016240089665267972,0.016857383176957286,0.014941273550731111,-0.016527588966908903
POMC,-0.008733696283212987,0.07888004042124246,0.0052693627167365925,-0.025669263780525593,-0.03852946089513946,-0.01595337043211153,-0.021624124640292015,-0.03145947968092823,0.011857513591773476,0.0862510639338745,-0.0006069877083608787,0.014879835572569711,-0.028332654776413353,0.02505856282477681,0.04491769337451804
CCL18,-0.03806255792726057,0.04284379198821522,,,,,,-0.018853424677699265,0.07954755408985613,,-0.04678710715280553,-0.03536299645441367,-0.011979413935126111,,
CCL17,,,-0.017292386827408412,,,0.046836900831199964,-0.02325136269673499,,,,,0.017654381553447042,,0.08641580438868071,
VEGFD,-0.013321290339990197,-0.03136438565449887,-0.019265628519176615,,0.051896955346724706,0.012754670558450356,-0.0007765145908678702,-0.02130007198362113,0.003082896509719416,,0.010653590095392762,-0.014481554225035746,,,
TNFSF13,,0.03561242526555542,-0.011927901418501185,-0.0237333201988467,,,,,,,,0.05286466005178705,-0.00020348732769241126,0.07588727112063066,0.01669109778057289
WNT5A,-0.019337246717734246,-0.029526657345665536,-0.031496031024159744,-0.07076715157678641,0.02149527114265177,-0.015796155905697724,-0.05127186095740994,0.03351038900803182,0.060680697264157576,-0.019436736220519175,-0.009845743571134161,0.036895307146515656,-0.011179350127200833,0.1375264365851867,0.030891242178383564
CXCL8,0.09511179449227061,0.03787869118239079,-0.006676025261840673,-0.02168729636726463,0.041522027492429205,-0.004891033227809676,-0.01588250259550829,-0.01197707622499481,0.0631594667401997,,-0.11785549219557413,-0.02645926559133016,-0.03355815150148424,-0.007357947845997906,0.06106696382887185
GRN,0.11945880214793601,-0.02080720169474947,-0.043383506387592384,-0.07704577502294625,0.02133812805045362,-0.015688574938474597,0.015305696756474406,-0.007251053902499529,0.049193977955394326,0.02115838030454556,-0.0758996624703084,0.018736578515151422,0.08539869578155677,0.17792868014942445,0.01651210057410676
MIA,-0.03376633496388616,-0.031234931763802404,0.08185829448982286,0.003336032905167428,0.029597379230925504,-0.033704241028216855,0.010215476991032292,,0.0025674392873463424,0.1789310760699934,-0.09463076630329258,-0.004301732798107861,0.01759348391895667,-0.0360304166491468,0.09197785411099552
COL4A4,0.010896313961569565,0.07567593331284965,0.022798955004793148,-0.022581205621246606,-0.02088221565860039,-0.0027136190313296004,0.02947920030100809,,,,,-0.023187232634354685,0.023592313217655515,0.17297421746584601,0.03287812088679545
TAC1,-0.0019089520525052317,0.05566554525557988,-0.005088988835734741,0.09987041843729216,-0.016565980525717353,0.049988035990697975,0.027145360212985123,0.12257729322410013,,,,,-0.016699440165498354,0.07329598140693486,0.05836650576306251
RARRES2,0.03480853597381092,0.031534178464189724,-0.005776203590943995,-0.07785392400963712,0.058810393390731665,0.04757197232408731,-0.007033403746651582,0.027653076484086696,0.06807986342376159,-0.06222410277726197,-0.08958636174458487,0.07992571351977151,-0.030666736656508202,0.05714895105448855,0.019955570251809357
FGF7,-0.04894990346090727,,-0.00944981515541283,0.013450485705337502,0.014871404826341538,-0.0042493426562602655,0.021278746426291618,0.03907207177067894,0.06195267045529333,0.06331149391010372,-0.01908021620360405,0.06488818244038178,-0.057549759015046095,0.009935741192413467,-0.027782926542282434
EFNA2,,,,,,,,,,,,-0.013763748140725425,,,
HBEGF,0.08445845451710929,0.01637080976114352,0.02740409713834086,-0.07757994429181758,0.04548602633487893,-0.05342690139367243,-0.04379927519890918,-0.06738650861578825,0.14533168448126754,0.08975633956281988,-0.016640253565651048,0.03975765020012068,0.008732244846969472,0.07019860772701098,0.07096176842492792
CSF3,-0.04317158285190342,,-0.02061101732254026,,0.046710039961963296,,,,0.09015992482698482,,,0.01895346796624532,-0.02483006885238859,0.10511163673313242,0.031940771798806784
PI3,0.03648577572027173,0.00036495373280501226,0.024958706465960746,,-0.02487698959135305,,,,,,0.051831402846364664,0.02302748367631287,-0.029853685303967297,-0.07580195520992428,0.08359321296059094
PCSK1N,-0.01759935495295195,-0.0013683803405488948,-0.019871551358379442,0.05575711979341832,0.04515776252246716,-0.05078115229943787,0.025347702277770577,0.0798080080034917,0.0618775434734821,0.01161614217606238,0.016284931183043253,0.0357401347502676,-0.025126244964990514,-0.022810224141919643,-0.028195475109545773
NTS,,,,-0.0275665214289613,-0.02715493276064345,-0.02045191453531001,-0.02199329570649238,-0.019176906945549257,,,,-0.01676851525350204,-0.023042201038267558,-0.03446608882177148,
SFRP1,0.03953868631233909,0.060668855026107645,-0.015088275919752843,0.03939206654926549,0.04591640296802158,0.07523954405044007,-0.02325136293089531,-0.07480673708880338,0.023995272207008717,-0.008729565953618417,0.049970728813742066,0.02138721741510447,-0.027867904493541193,0.007234640282171886,-0.004347017351683288
CXCL13,,,,,,,,,0.07182980729128885,,,0.08858535674273803,-0.03065393386745535,,-0.00809598887784366
MICA,0.09534966399453536,-0.05566428639267902,0.026971185105997997,-0.009755627813482484,-0.03287911656621489,0.011597095991545755,0.03021817664839057,-0.03518640501996591,0.0758964990701015,0.0919348612471252,0.07394425146558133,0.0333420844778098,0.011825908733279105,0.13748053906536348,-0.025540218921969345
TG,0.01726144656653658,-0.012298241575138442,-0.016282640216995204,0.005168280884176055,0.047282780392235164,-0.01727576638384442,-0.016826910211768197,,0.09699425006941445,-0.034666229510062825,-0.04199485501571432,0.019525973277111097,-0.020435528218775572,0.01766177038201396,-0.005752105061230353
