,MGH258,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.03194801665674588,,,,,,0.06454985120117412,,0.046166125906436116,
BMP1,0.12073610780440377,0.014160319758709917,0.025249837321037756,0.035331199908490964,0.2179611427354581,0.051056969110645986,-0.004294696723625791,-0.023373129232240383,0.01992903075386444,0.009408539229302394,0.08768954839707323,-0.05454560989038291,-0.04035636541431354,0.07625829216997662
NDP,0.07497434502302705,0.03441756019462061,0.012282020778234747,0.046034102757578736,0.01346113144920071,0.03432985615511509,0.027835805575169688,0.013461907435947445,0.09524804490069157,0.017319714704531627,0.056139534651195706,0.08846245881602179,0.07337573623362542,0.034766221421910354
TNFSF18,0.08062614626668468,-0.03542638465940223,,,0.1103286006416073,-0.008195001759770943,,0.09821466215774967,,,0.03739149328577651,,-0.03240562885818411,-0.035435131196034864
RTN4,-0.04442394926840245,-0.03029522714654823,0.028378503276605807,0.024648124601462332,-0.18367012071575026,-0.07537811766374429,-0.03524026567907344,0.05070149664648206,0.010152765187201394,-0.01459257622564562,-0.174628861239115,-0.019600203807602065,0.061477445392654206,-0.20368740917687977
HEBP1,0.012476502049260407,-0.012628477246317703,-0.01404522804475533,0.028877891996884626,0.1041994836801031,-0.0011749594669729232,-0.020947798710032783,0.026815565118977428,0.0037454554243604374,-0.0008755736372504245,-0.015148946105345196,0.021432497630158764,0.014393718169610267,0.003411794774885653
WNT7B,0.027315945803568362,-0.043603048726001896,-0.036121006483509216,0.009636506054086745,-0.039698737073102966,-0.042379692782253314,-0.012332312690747553,,0.012672051982362554,0.004238030481927585,0.058753442304444174,-0.0025929188193001963,0.02580385740090151,0.024787265996402633
PTMA,0.07067260613861082,-0.02898836862682683,0.035494725238249564,0.02840547780828994,-0.14444215290364185,-0.06125941688476417,0.051961968239370125,0.050388224198411685,-0.022870454487316644,-0.05458956211780917,-0.08240608910931256,-0.04638907708338065,-0.04623081122818327,-0.040544923333473946
FASLG,-0.019736372807369684,,,,,,,,,,,,-0.016661748469603405,
CEACAM1,0.10651513716509442,0.01995990245705163,-0.04393315160535458,0.003928335194664945,0.050060465426144035,-0.03371842343311092,,-0.03014968014534597,-0.013007777271354883,-0.012302969379471757,0.07551375092483617,-0.023359470158123605,-0.02318237583004112,
PDAP1,0.00961642325195861,0.0070861226152669305,-0.0006013685024335435,-0.049097831567406866,0.15029130911291955,0.007963893053863675,0.048699218862788586,0.07994824324870335,-0.012919325428232717,-0.07017289348918652,-0.039532394048051325,0.04657553105727912,0.014575048697443718,0.051206835841289225
QDPR,0.01430085858958414,0.016322263598378642,0.026920604361230855,0.04842685711342487,-0.1399389388493405,-0.0233610233384713,0.03818719078719559,0.0018767914044403083,0.03177575705192466,0.04320340316894137,-0.04071951899177764,0.03609193759489141,0.059906974638473914,-0.09457077104143492
POMC,-0.02793976418404026,-0.033930813484174434,-0.0395616268762395,0.043309904676205824,0.019704119730140232,0.13454616248069376,0.10942291342263981,-0.07887349739807967,0.05223690008503187,-0.025345239602134056,0.0067404457497631555,-0.009192269427013865,-0.06027857142864084,0.04683955973351294
CCL18,,-0.03473046422159605,,,,,,,-0.033082501993484045,-0.019027186693259236,,-0.021248294545606568,,
CCL17,,,-0.028907099302640408,,,-0.005839945085343673,-0.015263946019111355,,-0.0263899312464261,0.24144786975784055,0.10628679068973027,,-0.01510200354645681,
VEGFD,,-0.02476801486285193,0.040196282924295036,-0.014178256295258275,0.07323587615531478,-0.008024207093115443,-0.011196288998412855,0.12232248576985111,,0.03344609607052656,0.019415581217748546,,,
TNFSF13,,-0.026208731118172852,0.04021435677426686,,,,,,0.1214905765806414,0.002389546697550508,-0.020591198552287682,-0.02623111937666068,-0.024607454265932555,0.039797481262833896
WNT5A,-0.05978578722049204,0.0033056864900325054,0.02190246992745724,0.046562182103075146,0.1174508521898667,0.033863679236704386,0.04658848372291384,0.03903742765509062,-0.0072049725202962284,0.03389773817707026,0.05593995683934963,0.04776250562474398,-0.05826256643095965,0.03804109852191845
CXCL8,,0.006846781446192524,-0.01611530594743693,-0.061675528349332424,0.060750170889513316,-0.07585355925068177,-0.010426471146152526,0.1308085094739347,-0.04383400105549753,-0.003592258761148095,0.0047199249809628625,-0.04456333692699095,0.036465779254021974,0.016755267715680575
GRN,-0.06103851286254153,-0.008209536355474915,-0.009913512948904355,0.01199517981032887,0.1337155300517457,-0.015838068025330936,0.024159626689585302,0.011413127728838667,0.045751162070750064,0.008184605111957996,0.07488036656319211,-0.033645516951455144,-0.05188133103833248,-0.08930757272465095
MIA,0.009410429801385609,0.019091240391092154,-0.003337247067200797,-0.05465765337423132,0.12896950941789592,0.011767764840684558,-0.012733420819186759,-0.058337045536289586,-0.003848523092712745,0.05172849323109484,0.02263454297658137,-0.10937172127806491,0.09903001832562315,0.07399888116024715
COL4A4,0.22162818014030244,-0.03368866045307118,0.04694647308884992,0.007230901414987781,0.0024605971816604906,-0.027915919709677245,-0.007251070624849652,-0.0025443708916065284,-0.009218110587025175,0.035843673839579246,-0.02494159717949958,-0.03920610064664529,-0.02377078074808964,-0.018398370901511283
TAC1,-0.01973636206962131,-0.05173831846166779,0.034393547219857316,-0.0029796795556344324,-0.12037688080922629,-0.06498613386327862,-0.016912542587330576,,,,,-0.011423735656054184,-0.019853119298173145,-0.12388884333990682
RARRES2,-0.036495365890060236,-0.01861506166548676,0.05192735460907345,-0.0599557089998331,0.16625159887682897,-0.019933442118780634,0.0014453020249231832,-0.02275745690662279,-0.07983578638884396,0.04991686511473161,-0.055571188152452954,-0.05952429702009395,0.0264968142110138,0.04203327283794653
FGF7,-0.028642927462320576,,-0.02249956680312353,0.029289386434366252,0.10807472805758997,-0.022484065829037357,0.04139666903523573,-0.026702865568737712,0.029153584519994735,-0.013576170149947492,-0.007846304989783302,-0.006684139775941484,-0.017669622934689853,-0.002466349978836466
EFNA2,,,,,,,,,,-0.010869176978030479,,,,
HBEGF,0.032232901335698866,0.04937212664064834,-0.00958908276937237,0.005325692358601683,0.09522527672485383,0.012981979030795392,-0.01819788396586324,0.12920455654768115,-0.04984456133636817,-0.0002929959853760783,0.0010683052506636997,-0.06235403974487503,-0.021781674275977377,0.047676578619813885
CSF3,,,-0.0344547418709581,-0.08076093063155265,0.02413184977725085,,,,-0.022248655105064283,0.02125992033712218,,-0.03348899134412961,0.16495038775953308,0.043725573132316106
PI3,,-0.03653791265841488,-0.024316443310587087,-0.021769274435818917,-0.03263023719283605,,,,-0.06792861599382426,-0.02351447413042186,-0.020666452929194844,-0.09700576826941645,-0.03454559150280214,-0.004125689780150965
PCSK1N,-0.04464900572308274,-0.005736776153636474,0.03693110095002599,0.0031902863615804627,-0.051753007805655844,0.02124490401352343,-0.035423242307310567,0.03821326352790452,0.014372110124754306,0.003005132177927538,-0.05696425030730029,-0.041030458680890225,0.07879709512481908,-0.058930714808198455
NTS,,,,0.034110369252406056,-0.013240196990211742,-0.022870808794222045,0.006851532399377556,,-0.039018931139986834,-0.03254344396115073,,0.06439861121482943,-0.023545850289293957,
SFRP1,0.14947364677974967,0.032274382382453004,-0.025222561504732427,-0.02022059475840037,-0.04168615514501488,0.01382900364679865,-0.01526394617283183,0.08522180767775808,0.06820247600871049,0.038292744483774774,-0.03943051688391317,0.10657271758222901,-0.02299870438061394,-0.03738785545153209
CXCL13,,,,-0.03133540411631126,,,,,-0.043694268684533084,0.07951352570171168,,-0.05462751380304408,,0.0333178534154943
MICA,-0.019301095807843612,0.03738208160362675,0.03977101757069736,0.041620869920725445,0.07626190518153118,-0.008616545215615537,0.04982057033178978,0.007805833526413789,0.008023758654577778,-0.043791082818303524,-0.027247282187583554,0.015324491906887502,-0.013255715275780837,0.0509864864506904
TG,0.09667190189394392,0.00714621906519423,0.016141601353983594,0.04801776380189554,0.0667742165812834,0.02436400657686632,-0.0110464514484964,-0.06546222455740681,-0.03506562076555324,0.02491363549149951,,-0.0275619544875107,0.022409291601943646,-0.04050961359202949
ADA,0.11233966216025142,-0.009624978741922084,-0.004440669540705494,0.037291765279365174,0.14076185010508768,0.02216418840504762,-0.01794032550857492,-0.06347980908489494,0.07797214912916763,0.04623434722149603,-0.011893824944476366,0.031829325585057085,0.04716936558479784,0.01718988565837524
LAMC3,0.013736077907518247,-0.021672559725449878,-0.0007061458563423425,0.016543020040859273,0.2102506324092309,-0.00921380787784106,0.02704800268660471,0.09380870491041625,0.04878426222106098,0.03415379905116057,0.058462351342119655,-0.019250198743920158,-0.02045123940098889,0.012967181814907632
CCL7,,-0.022091509196937725,-0.019679394717487877,0.019683594979295015,,,,,0.08445006191233675,,,,-0.016661742544884527,-0.0050668304895660505
NGF,,0.0250681483530495,0.01885021071078364,-0.0493051160066457,,,,0.07992549326801035,-0.015078163160472094,0.06795121888634327,,-0.05038405870618167,-0.005449713981788863,-0.012824292875635484
TNFSF15,,,-0.021913968524788833,-0.029480280782558158,,,,-0.024019222355745894,0.12320978799210765,,,-0.0027096286829503434,-0.024253850084586952,-0.030328971109672257
