,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.018835959583539563,,,,,,,,,,,0.014694080281524705,,-0.028443302593163973,
BMP1,0.0024570541546897313,0.023855253924534026,-0.04985990079101068,-0.005978441693014325,-0.04722195031799666,0.09542252234544243,-0.03741935718910946,0.0016832077455644595,-0.04708960640811949,0.048967124637801354,0.02106230899686677,0.15842295542753934,0.033914764372557464,-0.047666453211318564,0.02723101743163489,-0.00019291949961045498,-0.008214534631811045,0.012440999330178058,0.08023401422666811,0.05192309418477776
NDP,-0.018056347071415478,-0.022959974673119127,-0.018657596884397484,-0.00961345384223326,-0.001988427226269215,0.04163937484279215,-0.007050791168357346,0.012516206590339427,0.01801588820790742,0.013846629199613717,0.10757823240358103,0.04916474253244698,0.02714653622933147,-0.00743889568626905,0.061595321476021044,0.0416600426637519,0.02193228250986065,-0.016046366719586157,0.09100553434278526,-0.008623961519213765
TNFSF18,-0.02838196909778398,0.026785022516042607,,,-0.009485643178455806,0.04177341217112007,-0.01660448081141944,,,,0.1318338618562171,,-0.0766249011685154,,,,0.05269670300607537,,-0.022081920385344334,0.226432512782497
IL36G,,,,,,,,,,-0.01761451170622241,,,,,,,,,,
RTN4,0.054878089492138626,-0.05686887336147734,-0.04098734888063511,0.0023696414549944653,0.06569087629762542,-0.14896013656121448,0.07107597430559835,0.030776102070444816,0.0016129718563057944,-0.06516676866284767,-0.009600242990480262,0.024366466536592357,0.10251677681862101,-0.05872986754567743,-0.05945796062308453,-0.04339526963098219,0.00364574445226427,0.006331335109978375,-0.04635000043218967,0.01300424577529833
HEBP1,0.038208740869202916,-0.015105841602840323,0.04767941435765774,0.0568181051366074,-0.06871889736474877,0.050184225418750984,0.03589683419540133,0.05263819193028771,0.00343852395735626,0.00296801093644582,0.045672613824971085,-0.017505129278782023,0.01943926088804411,-0.03723913488928609,0.023734044606234534,0.027295483014407994,0.012584034142639035,0.02029475076282124,0.02115159687301226,0.06815413105113675
WNT7B,0.0527032256986635,-0.05523827258554083,-0.0012148132017493183,-0.01212694937210311,-0.03426124848031681,-0.067913780903475,-0.0052433077818294215,0.049534294371019215,,-0.0193603782861187,-0.0010165975134201817,0.16073206958944025,,-0.04322920750550932,0.05762836895359392,0.01689283660209245,-0.0012002234552613998,-0.02812567408354567,0.06505927241742415,-0.013734968442941437
PTMA,-0.009174330312098402,0.011471658606197505,-0.035232479343142296,-0.013608022841632261,-0.03721765968512057,-0.0495378759920892,0.02972122261356908,0.013701655732824369,-0.022445163870222915,0.051792732890662226,-0.09478001120492942,-0.2325175119189922,-0.037705097335778266,-0.07420354542053553,-0.0745925089698275,-0.012286964352541143,0.047565050883150245,-0.024698423173944148,-0.05009701685662955,0.0010437853433261667
FASLG,,,,,,,,,,,,,,,,,,,-0.024668866635478216,
CEACAM1,,0.012033844071515217,0.0006978455846994994,-0.02024631937221863,,-0.02526072020773181,-0.02611489256385981,,,,,0.02303995104789609,-0.05388030986846097,-0.03876864570821109,-0.013028875979575024,-0.03168998127664133,-0.037611055088921125,-0.018667418940628004,0.014825062892708884,
PDAP1,0.06720575464277403,-0.0203997284326323,0.044558486354858255,0.034787944004089785,0.003135749446390899,0.09300043374781379,-0.029032071536537488,-0.054703816866513995,0.05494889721628782,0.002219582946380331,0.05726198219392975,-0.01850754350852862,-0.036394013859516496,0.013719091220060157,-0.020497066460456827,-0.002769413630867838,-0.04155800635765021,0.03771575916843948,0.0621707711833294,0.023206473690771962
QDPR,0.010638007350524236,-0.006248851578951741,-0.00226540694405889,-0.017045144635753146,-0.0002309707161932412,-0.10471384282566704,0.059965772780971247,0.06383746646390179,-0.02935145233298852,0.04350502758316109,0.06421166538178832,-0.0351479561406189,-0.03945427480003127,-0.030285348821357923,0.022002558627374255,0.027740682417103587,-0.04447770096306741,-0.014826024825167901,-0.04844764617292069,0.0083585682953568
POMC,0.09428815758395734,-0.030311602572030503,-0.012308093621780883,-0.040740382267265556,-0.025025039868048268,0.04341077567668183,0.009793032298131782,-0.02970648227240634,-0.036035981744652536,0.01298487636145992,0.007020572442622848,-0.027001242582137305,-0.06488862950289105,-0.051633755405346995,0.07530390670421995,0.012479661140514582,0.04282402889685794,-0.030537445129589266,-0.058049703776273685,-0.0021086952669725255
CCL18,-0.03806255424558584,0.06305893011690113,,,,,,,0.06382910181812373,,,-0.03404096310133291,,-0.027487607224802153,0.036681532562537186,0.12690696655060474,,-0.058037234636533916,,
CCL17,,,-0.03079988388361005,,,,-0.020709020364955425,-0.026307120881106292,,-0.01609135651945196,,,,,-0.008793863177062584,0.0027320314703762143,-0.0334636896920264,,0.0901700754782517,
VEGFD,-0.04288537353047545,-0.033173351621667374,0.001557724735127032,-0.019370532066018714,,0.09471041864363608,0.05365331385924705,-0.004003949528682407,0.01126129135337329,-0.01724560518490107,,-0.017116557945115612,-0.057616139199883606,,,0.020092379412194505,-0.035293864080059766,,,
TNFSF13,,0.09584699379065792,0.02024783912431064,,-0.00919909506631003,,,,,,,,,,0.048366467169979804,0.03088609269694083,-0.03588547956626348,0.049281082553927054,0.035245590608513566,-0.034536455783877124
WNT5A,-0.026458178444705358,0.0010994928549531919,0.007966242939860743,-0.05656629539571836,-0.05935189898569429,0.052221698437748924,0.037613644578333175,0.002115793842769645,0.0470840480917264,-0.002335341967892352,0.015237326232347805,0.003989115048877246,0.06740765953296335,0.07383915446703164,0.02600774844663356,0.008962032921624726,-0.038435302532080655,0.08130279296320109,-0.04242604039615764,-0.010718477530144236
CXCL8,-0.011029323306353084,-0.030511576773329906,0.10951415377781125,0.0647066299345196,-0.01308511608628779,0.03132236994312317,-0.05107584753251872,0.013530459882677473,0.11302409388981187,-0.051850936000992824,,-0.01605473022566604,0.08307300127059138,-0.04839626025701925,0.003135287852969562,-0.03066066160818983,-0.024327862999017288,0.01701717372797126,0.02937780507600443,-0.039254767303797525
GRN,0.03494195629083261,0.036148287845136726,-0.052087216337968596,-0.018085649049627662,-0.08327688399249135,0.15458977659359843,-0.03307338041376199,0.014660969280644982,0.003634775718221856,-0.0036502611041352613,0.10701907985287928,-0.023965048122210147,0.07348894106105067,0.0023828369790604436,0.11414294720219471,-0.03606462938434427,0.0134812654781338,0.024758144491393783,0.006911342191247158,0.06968647406502664
MIA,0.011954815667412036,0.013556462786400495,0.03635119138525639,0.14913151150689136,-0.016633738028517978,0.007476806929012935,-0.01939791270258361,-0.02194580879026481,,-0.023618646624732703,0.09809088129777524,0.006223197512184017,-0.07055731054081442,0.025309489348281013,0.10403219253739769,0.0962814023657492,0.0383525691174723,0.08517335415714339,0.04965286182653515,-0.013378767160473596
COL4A4,-0.043171612855143204,-0.005328150470997193,-0.0009159171608566839,-0.03073096799190194,-0.008752532535748465,-0.018561440067330074,-0.021620857970591573,-0.029256324220027313,,0.006910082802301191,,,-0.0006363512133923995,-0.03475292412495249,0.09952414216595212,0.07550194061673611,-0.009418869809219193,-0.027075686025981077,-0.0013756129152039138,0.015324387414411922
TAC1,0.043936943693813436,-0.013970570620706994,-0.01975171994890737,-0.0300689060102697,0.03929799320391195,-0.0940136868273394,0.05084651543555695,0.018207239549915665,-0.029052426931966847,-0.02433175825839391,,,,,,,,-0.03220661569341731,-0.01467379090803824,0.005140428819725832
