,UKF251,UKF260,UKF313,ZH1007inf,ZH8811Abulk,ZH916bulk
BMP1,0.02590951217874529,0.024365038972786725,-0.02530588524065217,0.07781272657609319,0.10501461427675779,0.10644168507221456
NDP,-0.02480487626336613,-0.05559672427026015,-0.008992357310603558,-0.07857993991956247,-0.009076670315637629,0.0003794057591086119
TNFSF18,0.008300460512778062,,,-0.028411565248389555,,-0.026348574364073462
RTN4,-0.0033475944694356134,0.02117535530007828,-0.1061255666047856,-0.0055798517177485666,-8.650836386235852e-05,-0.09888900784311784
HEBP1,-0.024360358817531604,0.03387611873861087,0.005212779938127145,0.031551271602955705,-0.00758032616974573,0.050673198219043404
WNT7B,-0.01722763696686439,-0.05120453873462382,0.03130662768125083,0.09073226137001736,0.021654030292124715,-0.01738500972864212
PTMA,0.07876601836788318,0.1174548291891244,0.022593600594030337,-0.007481262936227272,0.05286314228798087,0.02884387237741314
CEACAM1,0.08361261682902205,-0.01678582987020861,,,-0.018212104024431623,
PDAP1,0.06561938070531488,-0.005935348207418225,0.06374775061252211,0.010967635722620437,0.03188814375451792,-0.05306769465310808
QDPR,-0.030650396447707923,-0.04403113276115595,-0.0023926008593525673,-0.0006815746366619338,-0.070826586918202,-0.08412488904933761
POMC,-0.023491918988836902,0.04376583693887901,-0.022256556415049727,0.07534177389474485,0.08668765937886976,-0.04637712837545355
CCL18,,,0.03568195474808309,,0.019529113064571342,
CCL17,,,,,-0.012920606314721379,
VEGFD,-0.018936680917251696,-0.01605973163703878,-0.01503742920086984,,,
TNFSF13,,,,,-0.024792702813107737,-0.028663490555732994
WNT5A,0.004933722420255981,-0.025039289011553566,0.00476040316668747,0.06311794109945838,0.017378113772036817,0.0852638775252007
CXCL8,-0.01773118559804074,0.09142393776396812,-0.027016097178221603,,-0.024659076765195704,0.031418965037227006
GRN,0.018547947456556586,0.057505336926395874,0.015338455965854793,0.03001713027716672,0.08793215789351744,0.013704032082676086
MIA,-0.016840959712239822,-0.04873077489753433,-0.0203934555144339,-0.06709054365333839,-0.06717336525467535,0.022906159771300096
COL4A4,-0.02832147821449923,-0.054976017498209885,,,-0.019761523436708145,-0.0320357908600674
TAC1,-0.03694936424230561,-0.007988160384111867,,,,-0.04896396487351913
RARRES2,0.004312582249595849,0.009362399603195376,0.02754390398147487,0.054026791972973054,0.04679589298671484,-0.05524276919255761
FGF7,-0.02137354595762841,0.04238390418880962,0.020669108518088404,0.05808649696151986,-0.009835695822114323,0.05096362645002301
HBEGF,-0.010531263887098465,0.0701989944935434,0.02080314800949921,0.07131584309705492,-0.01778435771783168,0.04485738809782171
CSF3,,-0.025581175815455444,-0.022591124459276433,,0.012732172397124797,-0.033697986581409684
PI3,,0.06712300084910322,,,0.02138754815559332,-0.03035714916780808
PCSK1N,-0.02881675242238327,-0.03594356259792604,-0.044327784198186754,-0.05767064566939235,-0.07336439472518387,-0.10709465199192728
NTS,,0.1024177621321924,,,-0.030142429546695944,
SFRP1,-0.009773489072963297,-0.018321372624479016,-0.014397908538237263,0.02036969222416056,-0.037322560003670985,0.01233705769653439
CXCL13,-0.031969935919464905,-0.018156714245475238,-0.04252228711030478,,0.06530264130117333,-0.027333644615716756
MICA,0.07919715858892971,0.034280538373871725,0.026518384953034324,0.04500041960239197,0.02358521386037019,0.000465304658883234
TG,-0.017978134411990317,-0.03885892825148976,0.01844167828337427,0.045876488672714995,-0.017168255455549543,0.12224444058914402
ADA,0.026685414155327773,-0.005926878107005973,0.040310109220839274,0.025964697378133998,0.04536539987158383,-0.005933871599338484
LAMC3,-0.03196993603971898,0.02015147612118679,0.008789984868695,0.02959230273277664,0.06539622611251027,0.09480321422068427
CCL7,,0.054627432482543356,,,-0.019365010657976977,0.021445454261222886
NGF,,-0.010943635117310191,0.023374078050957505,,0.11364685200757814,0.017873124316122452
TNFSF15,,-0.017823160934575335,-0.014386472098800049,0.08247639309383441,0.16526503444576932,-0.03729510781704333
HMGB1,-0.03135041469090116,-0.04861148740504978,0.042930606430221896,0.006007994226353669,0.07950322351209427,-0.033870919445327906
ITGB3BP,0.039664304561951504,0.0281660846851068,0.02620711889218453,0.07280585977771674,0.021618895106776267,0.018365163733577345
AANAT,,-0.016059733929655973,,,0.08685694017359576,-0.020575949102528735
RELN,-0.03457540068056813,0.04527046270345364,,,,-0.03411211834133731
IL15,-0.02290386819145291,0.00941221119776556,0.003390911122930257,0.040755161719005215,-0.0012239738966541636,-0.004291910107091944
