,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.01680732273629,,,,,,,,,,,-0.029258477133813972,,0.05772873563504932,,
BMP1,-0.006840257757001182,0.006794592424909199,0.004913804556377776,0.04524683137839056,-0.053077709309408194,-0.012090793240018351,0.03516304512314744,0.05750842912958357,0.18518495141719613,0.015983354082564696,0.06615696661756501,0.006337043441784372,0.1593234963121932,0.0331727001569888,0.041841958957102514,0.009603336461956855,0.0034284843274447726,-0.02238965920744097,-0.03234364348019524,0.020821887106142533,0.03089018691150559,0.025174797945948187,0.017640700826154754,0.009475065548971595
NDP,0.06306050391777696,-0.023478601151288296,-0.028270398449338294,-0.04059278807482175,-0.007176537845916619,-0.003615356463125067,-0.0214312545948524,0.0014692988629886798,0.021739744967118526,-0.00865774902856555,0.03686737250937372,-0.06624509354334494,0.015869299391030673,0.018528797391135183,0.053554362503499375,-0.014128342437129616,0.09934698909449087,0.08792699512549423,0.014851401672134518,0.03769276698429274,-0.001981439155904789,0.0985037391526726,0.03061030995053599,0.013541662720439442
TNFSF18,0.11637724943655738,-0.04014838950298354,-0.04312586402981143,0.033649952601926644,,,,0.0007217523056322343,0.09864011381108427,-0.011190622297139087,,,,,,0.1114537097801657,,,,-0.030173751025652833,,0.028360186084239354,0.03943194845759062,
IL36G,,,,,,,,,,,,,,0.130224714906476,,,,,,,,,,
RTN4,-0.05376032466982302,0.06752029217688367,0.01851455327896844,-0.007496026525501249,-0.01769541129057156,-0.011881783543762214,-0.054183801410601695,0.009252920888367624,-0.253737485013776,0.0013475634611333721,-0.05148076243610465,0.12837673716972856,-0.029921984528080616,-0.03639659869758276,0.05108200179888247,-0.00461662957320594,-0.04228777942466006,-0.03377305767914526,-0.058644375083039685,0.004302468515889905,0.04146745867249465,0.026107755160857574,-0.02164277846371588,0.057931959988642825
HEBP1,0.043509704317135446,0.015047523388277412,0.02062069063793101,0.013326978493595749,0.03548168506727302,-0.007710105268914237,0.014552984226097307,-0.004823821095873506,0.12807268368563218,-0.012408788466506839,0.016604270679104888,-0.023334604234242072,0.009572236609784601,-0.055242354324982326,0.12198288176490572,-0.061056060408273355,0.026984528195622918,-0.026054308861820374,0.029349307223934695,-0.008683945193265754,-0.06790378556465046,0.07401201494943575,0.03484135767825807,0.0645817597442989
WNT7B,0.06550234665846316,0.05973202278901755,0.003711061968501932,0.020716287772136754,0.002859529389322047,0.008017193711670468,0.08108548573740078,0.011707180424119643,-0.016089344020335825,0.028762632599191887,-0.04025735867469699,,0.057290253924736474,-0.02652134275018155,-0.036145544648471056,,0.06333044203738505,0.017952080186367146,0.03778387940106474,-0.0031973697090495754,-0.004335136368433445,0.010602911215393838,-0.006381769194259262,-0.043812258491939884
PTMA,-0.0006474869554768085,-0.06291011478498833,-0.019020255236786028,0.004639068366864993,-0.12168649008478506,0.02853451256034363,-0.02920005336165811,0.024966211894502932,-0.16847721156561588,0.0324050077290722,0.049054435428718415,-0.11390420315647194,0.15580133890743622,-0.03222527790546802,0.02782660678557224,0.052039563300025286,-0.0642439194113184,-0.07633377434156047,-0.012708304407062207,-0.03220537417604018,-0.0005800179805182454,-0.08911706558118178,-0.003936540821814368,-0.10793846225920453
FASLG,-0.025091293587661885,,,,,,,,,,,,,,,,,,,,,-0.027700802172863928,,
