,MGH258,UKF248,UKF251,UKF259,UKF269,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,0.03047303755065179,,,,,,-0.01660306818713592,,-0.01619049930562356
BMP1,0.014114956934373911,0.1088176362208923,0.031175622882744666,0.016183035368026042,0.0950379093477119,0.08407021320390648,0.059637516994075705,0.008550255139429672,0.11510344015217976,0.04099034258800743,0.036040600647778295,-0.034484405150663484,-0.015564631800818438
NDP,0.04112031642927386,0.02976529841505925,0.013887280119105994,-0.06758459287016874,-0.008640167400836266,-0.10917096208759257,0.017724662648513727,0.07376138707782898,0.015719481843253405,0.022283462573925116,0.06963557398143501,0.070707632972183,0.08152743441918564
TNFSF18,0.004233720093298922,-0.008656483247479413,0.0030649291029351904,,0.19559487847004986,,,-0.024124923262153746,,,-0.01712245116002973,,0.0822570742132052
RTN4,0.01791102048592088,-0.00504935190270964,-0.015329276409645027,-0.04536981768798204,-0.05288959944970325,-0.03157986340050008,-0.02227102981500904,0.029474503494066693,-0.04242715882011299,-0.06187529466317637,-0.02873360768575819,0.02267955415505476,-0.018429853209027514
HEBP1,-0.023323607176653466,0.008280054972795372,0.038020573315779876,0.05547685499418639,0.08922802961494039,0.08689002594855912,0.035379577392288905,0.01758840072678656,0.01139025217962042,-0.06089122475458824,-0.04279667797153312,0.02430083601004256,-0.017942933417893187
WNT7B,0.010062311368846414,0.0020257634440822756,-0.021509832845322614,0.0040510689865266335,-0.034775624090797916,,0.07424857991827212,0.0909662524090502,-0.014512054017759485,-0.036130936862861236,0.050586743553291846,-0.023652675842793163,-0.021906447757451864
PTMA,0.027059486781390696,-0.010567987160531905,-0.021287937970225854,0.04610030516865357,-0.09255172965597444,-0.023390630799521403,0.04072787234227627,0.07926356857120959,-0.05741618872926895,-0.062412199681035986,-0.004434982324215504,-0.0978326607410329,-0.023759706653039846
FASLG,0.0917946702637757,,,,,,,,,,,,-0.01404201452429866
CEACAM1,0.07297670425314016,-0.019506063508727692,-0.016507502979454955,-0.00439075438794875,0.2120628640065333,,,,-0.04108321348772484,-0.03240280290041158,0.12027813030481463,-0.01569862495429405,-0.019537400814029698
