,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.05347746763118285,,,,,,,,,,0.006192297418395457,,,0.10412776021686204,
BMP1,0.04203458514327113,0.058443988097908545,0.06660099935631747,-0.0023421948298629337,-0.017332320613198827,-0.0008340810419036079,0.05235068995002752,0.14481423211921518,0.05172863939761607,0.06167487892326793,-0.026344838746232065,0.030650029966587677,0.11726544708935999,0.094705874403875,-0.01800538016579178,0.007689254623116576,-0.04937579099307887,0.02212040903018343,0.036489331504441294,-0.02390430081698919,0.0645221839269185,0.07135154036208533
NDP,0.04632129343026097,0.026079799136239406,0.056546605897164044,-0.009629298704611919,-0.018605872705732437,0.024254105141184038,0.034708411183865286,0.06416635801145863,0.017644961603241315,0.005171180877340096,0.04480802870494826,0.11007457422642757,0.01873530798091044,0.033707920057789595,0.054819700853938114,0.02164390027299752,0.0706308800475472,0.09166062109948789,-0.01542671254950215,0.019992631441991697,0.013010896595687561,0.009301183857491346
TNFSF18,-0.029419597095467678,0.05549464965556245,0.009302306896464094,,,,-0.018425351769273027,0.039738761568315004,0.024995327790303255,,,,,0.062212591344251014,,,,0.0015839056255339786,,0.030686872796364797,-0.053658636329156004,-0.00012715275177768376
IL36G,,,,,,,,,,,,,-0.01472250940769679,,,,,,,,,
RTN4,-0.0846733320498942,0.05608618348239622,-0.0213122447747544,-0.016188928827245055,-0.023703182379862322,0.01069933040949821,-0.1114606750869205,-0.1812141729020264,0.010354454650232473,-0.020676956737058605,0.0986522427298183,-0.02606322126449065,-0.008368256984151574,-0.048812493816417016,-0.12611549038087835,0.015451549927063943,-0.026811407893512183,-0.1278060363756674,0.0499955461813269,-0.05792366451251916,0.02744041315882153,0.0017737997879135729
HEBP1,0.03344454042685311,0.008147538835816466,-0.017098716679055267,0.07857690745695918,-0.00491540752950531,-0.04816401199696725,0.013338749290929992,0.06670673378010694,0.021654708865274624,-0.021410628641313385,-0.026270432315379566,-0.06343679578700873,0.009914238339011025,-0.035821031086147335,0.06925214059601784,0.08565479433953882,0.04665353720948892,0.06548620340914305,0.04397991309872477,0.04876632784214622,0.0065402065293736125,-0.04276034526741202
WNT7B,-0.06866566665400113,-0.025016515248799148,0.0005700882016257467,0.01591082461596384,-0.040642392668502635,0.011836900685085524,0.0019378559866308795,-0.03607530158560053,-0.040768851043150325,-0.011246855396774986,,0.0018969415528536234,-0.029947724042876264,-0.03510953758084579,0.02196214069876619,-0.02010208291900927,0.007322560434335671,-0.03369613130837251,0.0035899429754639926,-0.03214811911811542,-0.010300010762657687,0.023619207827444578
PTMA,-0.07679762342376183,0.011680234275119418,0.07349661758733404,0.0006647361963977183,-0.05728204109123859,0.007989309456934402,0.17286345220369106,-0.1072682444350454,-0.06956637876269327,0.022685247013520662,-0.06535323397307843,0.08604428180271934,0.08289439052379828,0.07252383604470453,-0.06103341460565038,-0.0739250250327994,-0.001747730324012485,-0.13568115187127056,0.006542594797803255,0.018524751753548056,0.01344920107791836,-0.00417173737901371
FASLG,,,,,,,,,,,,,,,,,,,,,0.019262117406179443,
CEACAM1,,-0.014950084840168866,-0.019164549976297605,,-0.018602540486541808,0.08536888708353245,,0.018039353777382805,-0.022369360709723205,,,,,,-0.0518314924393315,-0.041663415320723506,0.05273708731150589,0.011473907804593467,0.018437233935616564,,-0.0383863766185125,
PDAP1,-0.0015378385770979358,0.018584440186912955,0.06800366764297312,-0.010962369856091904,0.003904547786274567,0.037211328369418095,0.06897926935555052,0.11174490306146331,0.011234282074948181,0.0191426983201945,0.02213701557266322,0.054474406203939466,-0.0404031478846906,0.011036008647826414,-0.11657004793738078,0.006125588438696238,-0.0077639576051375826,-0.05808789447787567,0.04993397274171408,0.05716544425793254,0.003418572950789689,0.02973072240060189
QDPR,0.00491613829101131,0.03528703864554751,-0.00017431889482713843,0.022631120581282617,0.027639751741188656,0.015380731339391402,0.021568413488465152,-0.20209738727847443,0.02867615160649622,0.015146783909935393,-0.05575476743891895,0.02708061871785485,0.013416173481418214,-0.06881897416683655,0.034724040812076085,0.010070335769683284,0.03116457349797003,-0.09135056058291346,0.0022563013126559906,0.1681186654437238,0.02067487046034925,-0.004805793667233205
POMC,0.029258172107597954,0.056843615993679875,0.034459758835456857,,-0.004538589712393682,0.015433368419178918,-0.04860979418413397,-0.015039972325411911,0.05053862233038909,0.02089286976400099,-0.040740009194548635,-0.02938249929206736,-0.052237112076306935,0.012666087159663334,-0.009665914480503876,0.0961597676998948,0.054395092595689865,0.16181437957339886,-0.0209876545769811,,0.012764711467380327,0.022295267359576237
CCL18,-0.009685883441002732,-0.05605994683863164,,,,,,,,,-0.022055765255972536,0.002038889148675548,,,-0.06751729238766069,0.029824240801268626,0.00791918102497375,,-0.03432995086476218,,,
CCL17,,,,,-0.02749900356741252,,,,-0.01773882643230844,-0.013920454173200043,,,-0.011281874256329979,,,-0.03557713431404171,-0.03229268319793084,0.08022473278057682,,,0.14649625750757872,
VEGFD,-0.044453237413105744,-0.04285700951408335,0.056022403270943856,,0.00203294968320176,0.11894853210116706,,0.059824131914571754,0.024773199584697685,-0.010210821482018302,0.08283086402198672,-0.019852004263799933,0.05139130048904858,,0.011250751710652233,,0.04055462137623515,-0.029533789096769774,,,,
TNFSF13,,0.025371429290760535,,,-0.0060926856903374465,,-0.017868747470990053,,,,,,,,,0.006035850256133917,0.08877968816054758,0.09007785553127028,-0.029444368118710765,,0.08554773303844264,-0.03423411591462049
WNT5A,0.017404271747450368,-0.0474728526314904,0.01822585447382337,-0.023407751036673027,0.05462632289719007,-0.05161675232718149,0.12723223317006702,0.14363465652751747,0.01251633306977162,-0.03170313376925035,0.008828610434997695,0.0387817927901669,0.0751366058091844,0.038679520814541436,-0.006900514830815184,0.02618825285360331,0.03733750365662908,0.023870435533951982,-0.0009912100775111199,-0.014554522410148485,0.03159099505776707,-0.011861859706581341
CXCL8,0.01823903612171356,-0.004430959779962215,-0.02570196577881319,0.04344201888408805,0.014968131908476227,0.04514972946491794,-0.01116122159381932,0.02345023323646023,-0.01566268479771344,-0.00950876094533376,-0.0334880789687501,-0.048412360245562225,-0.003541455458885446,,0.005024897668158544,-0.027282350524766297,-0.13240260688557262,-0.0033233678911359066,-0.0200923168066667,-0.02465457273104848,0.04503682961353814,-0.02831559285388281
GRN,-0.06193235531032949,0.07994348949911323,-0.017207029875080725,-0.0849674113510936,0.010512447470831382,0.029552760853833567,0.08333819250979584,0.10571820592564206,0.012840415897664685,0.009255852969169524,-0.07699371670278365,-0.0008995742425051587,0.01624172241413708,0.04683957223348109,0.05699437777738968,0.07043200182810777,-0.028429290006937988,0.10796381503860888,-0.028165319513654995,0.06060274503201375,0.0764400488757393,0.02105058396207745
