,UKF251,UKF259,UKF269,UKF275,UKF296,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
DCN,-0.011276434234811937,0.017317256683106224,0.08824259752159323,0.050260938812613586,-0.048406391453994516,0.05101182680608394,0.06951270960488545,0.036452801928071175,0.07624416129398272,0.062019590685714006,-0.12757424604778952,-0.09349130419474447
RARRES2,0.06488798099972223,0.036459828881018015,0.19219825506640092,-0.017590755732663877,0.0527975821593913,0.13712478289380614,-0.15315764629013112,0.09897341073806647,0.1020572651127861,0.10270729118322232,0.1001739319205081,0.07016627996083694
SEMA4A,-0.033287141038138714,-0.023341394307294292,-0.032190847536466054,-0.016767496122917128,-0.004883567762016653,0.03106284732189662,-0.0011271819693790012,0.01910342252032955,0.02805731944216245,-0.02687970092181034,0.03714622118636189,0.0012153640536793956
GDF11,0.03993755939235512,0.023589464968058693,0.18794899122049796,-0.03024982999780064,0.01905521970444114,-0.009325111205447838,0.006366840157327103,-0.031589440176180095,0.0028248001972673133,-0.046813341126846715,0.10736219112766286,-0.014234395329296849
GPC3,0.05900300558237101,-0.023008064831880375,-0.013098487353603814,0.012108126489734366,0.02548688740304948,-0.028032879027436095,-0.028749460550986143,-3.701855576724455e-05,-0.03848250076664302,-0.07505514115898396,0.030194321137207658,-0.010084019834707476
OSTN,,-1.7964145053234994e-05,-0.03625510466288119,-0.01108960533183722,-0.003909545219007704,,,,,,,-0.01654673664716452
GRN,-0.031504249333489207,0.00952770560718443,0.10834929776860593,0.008821543982373422,-0.051126937856557156,-0.014030876156656547,0.08291136764721513,-0.013163356833294983,0.009888180911656375,0.004440980656485273,-0.11589779904880435,-0.13814970495088666
CALM1,0.00236393167722899,-0.01013248477259367,-0.18188027757711556,0.0461255472914602,0.020137724184205428,0.04896303037213482,0.07277580324445221,-0.015256480542574941,-0.12732711406881186,-0.13846467992106742,0.2545392446147198,-0.0575797340625458
ANGPTL4,-0.05048019662566017,-0.033555927397540555,-0.028267706561116317,-0.05601010545464996,-0.024608658224705177,0.00842433654393094,-0.06389072535366117,0.00617729953679159,0.1600254972995964,0.1953119133077849,-0.20609578842649098,-0.029626445662555824
BMP8B,-0.002775121299157231,-0.022722726160900972,0.10478288612771598,-0.0020650851441470727,-0.013901601051409975,0.05964054633402952,-0.03235855881582989,0.06529186884672014,0.08032541450383328,0.0912961363373476,-0.04139822672370651,-0.04016711477618651
TNFSF4,-0.03296711246832758,0.043146857241660064,0.055895629316202254,0.060312724907262395,0.025890446865735273,0.06598153647787303,0.037734680824871844,0.024895799512952108,-0.019531247414704998,-0.015098958176646148,0.027364726334642712,0.09799858127103055
RBP4,-0.003934728430199404,0.08285632878426881,-0.12358524589461066,0.016130794963378475,0.018399159784690665,-0.010498000764674989,,0.03915612398884853,-0.1036076802175606,-0.08446247199784689,0.02024133770011751,-0.02634296869728911
