,UKF251,UKF259,UKF275,UKF304,UKF313,UKF334,ZH1007nec,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1
IGFL3,,,,,,,,,0.05179371096777866,,,-0.00994186513734511
BMP1,0.05213984406881601,-0.007403582044975594,-0.02544465982295881,0.11327312037133597,0.030513548434235475,0.005120241266408818,0.056483382651071334,0.047384739707669835,0.09257007696473142,-0.012315738223070659,-0.04144451326858591,-0.04193431151493472
NDP,-0.004519767805813128,-0.04991583821348525,-0.047208542294715765,-0.035846822745996196,0.06412613447374203,0.0364295442019706,0.005532628281931168,0.03109038793449864,-0.009223207000417758,0.033762026563665296,-0.026652653306470958,-0.015730302471304202
TNFSF18,0.0280432953495856,,-0.012622088111002901,,,,,,0.011619746907256031,,0.15585502627038741,-0.0244087243724216
IL36G,,,,,,-0.014337273623408402,,,,,,
RTN4,-0.01570970118094505,0.004900053241001031,-0.03187464152281816,0.008435957366928641,-0.01483640012185999,-0.08857383564512517,0.06949245208730555,-0.039951981228555145,-0.029231959039776444,-0.0742298484884433,-0.019574013746415972,0.059473771246813516
HEBP1,0.02864476287224421,-0.03175040967045699,0.005840095370178758,0.005951554764504609,-0.03371121867830837,-0.014474365220393953,0.015999617037578115,0.05020004669315244,0.015275621789968179,-0.009404926584673904,0.06363474366552645,0.022364527257056246
WNT7B,0.02741602338344304,-0.004936040274671374,0.11193789377538621,,-0.008275348481984026,-0.015758315959603,-0.0462523359732399,-0.0005269415381565409,-0.05544188430560912,-0.02415945712353435,0.04167430790028664,-0.015107345547135411
PTMA,-0.032089673579779376,0.012853493828308927,-0.022956697527789956,0.03419979484268352,0.01782452159750964,0.04607976411040355,-0.07876580282461101,-0.06046313807156616,0.029082982002739476,-0.02157277587400366,0.05821905720404359,-0.07213479731843497
FASLG,,,,,,,,,,,,-0.022900174943401082
CEACAM1,0.1800467295522887,-0.011482352140965659,0.007601538970987168,,,,0.06307717394617213,-0.020585075943705504,-0.03809713895635973,-0.01603498306079712,,-0.03186223001026079
PDAP1,0.0280268833353505,0.04716910603354189,0.017293968408145816,0.042805259739617574,0.045118734423615865,0.03815692129043026,0.0025685806087790653,0.0046976822199253565,0.025516544451898424,-0.023706070943412653,0.03249786979073366,0.006337465960861879
QDPR,-0.05254872503671142,0.017013919871068026,-0.05653539918213613,-0.010761843503939333,-0.008923555440950663,0.03631606919417362,0.09004437851549753,-0.024501233611735465,-0.02265286981550053,-0.037998938906628324,0.035001974484452775,0.049550273593395186
