,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.019294862570016967,,,,,,,,0.08195091718870331,,0.08866915846439218,
BMP1,0.07069530213998422,2.153761665792892e-05,0.023730355767507677,0.13400911334701068,-0.012731685917408848,0.019775707774466262,0.1299500912722583,0.17352385773106965,0.011740740119634517,-0.010414653216006797,0.05655900904496933,0.03126787926291883,-0.008883166965495995,0.015101014934154184,0.018169033745909224,0.0341636794813279,-0.0716489249836093,0.030698913285142997,0.043008676037095316
NDP,0.14064341593261354,0.04156841599824681,0.008795526559908893,0.13103558970091728,0.03765994746210975,0.03850670378923359,-0.001254009067260979,-0.012582439800759439,0.08893200889615613,0.06796088161288048,0.050803364887775,-0.0418153573314563,0.025472997230715534,-0.08069688563884347,0.012803954987608482,-0.06898373839143433,0.027736522254228353,0.07215597567777929,0.013943005242150587
TNFSF18,0.016870585782891103,0.015422964212048066,0.007248944900220391,,,,-0.02185300202695084,0.13634348665230225,0.005919496827306793,,,,-0.036364441116734716,,,0.02980310501124627,,0.01984268327083543,0.001377721872148951
IL36G,,,,,,,,,,,-0.013752911436744552,,,,,,,,
RTN4,-0.027640018502692047,0.049543511497528225,-0.0026663995977130785,0.036208635988327485,0.010377678419782238,-0.0018587613047109167,-0.1297857062111932,-0.1980323514044784,-0.010193039254469878,-0.06020452835922288,-0.023663434934288092,0.03861111490841589,-0.0313913474229525,0.045632817104393104,-0.031110220667043685,-0.030898419327330506,0.06647931874959277,-0.02776017331353413,-0.0784114463319607
HEBP1,-0.023436098393089678,0.029259624067131406,0.06816876335314341,0.010058197979192657,-0.040986376174510536,0.04561703483993785,0.0523158759056012,0.048546758919068934,0.024587947182077963,0.02134666133228516,0.00924560019988187,0.01347272557503773,0.04902178168713113,-0.02026257208269885,-0.0292175946792703,-0.05745702056299853,0.031847094496230535,0.057421445771424946,-0.009128051851512659
WNT7B,0.05443702611532971,0.014768536749076995,0.03814690941351279,0.02493023822129353,0.005921701801373259,0.04366204096263588,0.04957963569505608,-0.0663449172030585,0.008250211355492523,-0.014267906156784523,-0.015116034573743229,-0.05548904154035401,,-0.036933242757139134,0.010289920066625784,0.012516375410477443,0.02603172935943342,-0.004907449979639075,0.03559169821087698
PTMA,-0.1411535250005284,0.04952179569170059,0.04193768387927678,0.14701801636636866,-0.04814976022801073,0.0026791884630632916,0.15454329775452574,-0.11452182740936481,-0.0014417561084290086,0.06674112847348006,0.04496478949448034,0.014976849419738857,-0.04608065097601183,0.005559528036160755,-0.018842192990022433,0.08776702413452986,0.0290146733053391,-0.023105769407536232,-0.04106018025551964
FASLG,,,,,,,,,,,,,,,,,,-0.024912840503778556,
CEACAM1,,-0.007739817388767665,-0.030596231814363467,,0.04615429766504115,-0.011652185274923631,,0.19736360409012463,-0.05699801442132842,,,0.013607849008297243,-0.039084437653007655,-0.03312232367721289,-0.02364305612555229,0.06262999503635172,0.011611968617575338,0.04981246450959475,
PDAP1,0.07805666869000585,-0.06379868550307571,0.024318728460561392,0.051504950686332554,0.013111188914220865,0.008776308451568869,0.11128920738572191,0.18340771796559516,-0.07700894884770416,0.051139310620492893,0.060885036676660786,0.03926935246359101,0.012830981986813712,0.05609418231375254,0.008456399838551776,0.013203155060449672,0.09990338503468754,-0.033485481772737254,0.014009393344402965
