,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,-0.038193537459302096,,,,,,,0.03984735027263774,,-0.02610162157124642,,
BMP1,0.05474387082970671,-0.050447902162500065,0.07732969929447209,-0.14705464036579732,-0.03634142297057508,-0.017921820512140103,-0.04664434901943132,0.0682323939041399,0.002781192738535364,-0.020541716211372654,-0.06268031023348958,-0.013650235069648816,0.025778903946293917,0.023854213521561134,-0.08193971259376817
NDP,0.04920213472113674,0.10159470707226126,-0.03834760993007397,-0.04705422094088401,-0.021186246034119057,-0.017186565536535945,-0.07963989470833012,0.034936717065856646,0.14756008354389488,0.12233626264551364,-0.036880292191372906,-0.07319930759249371,0.08439363059132399,0.012732411942341596,0.01661612810682012
TNFSF18,-0.02374345350748626,,-0.002607479027054057,-0.030058196763140723,0.021525840061339716,,,,,,-0.018327149119840114,,-0.023829998891297888,-0.012691635944411535,
IL36G,,,,,,,,0.009773321620292541,,,,,,,
RTN4,0.014688770942241655,0.11318265588720273,0.010946137436302437,0.21858271165174245,-0.004350244646701087,0.05677971142410746,0.2479083597997489,0.010045400264472412,-0.05470915733805817,-0.11944512510998677,0.06968209184379431,0.06991515662531737,-0.02712996053157654,0.06533510033250621,-0.029049017790990173
HEBP1,0.03655477958503905,-0.023234092386565083,0.05177095946418533,-0.05756439872196656,-0.002741811576802018,-0.026714897230765377,-0.09073357847236686,-0.024215934586019734,0.0836136553704973,0.06271376560318839,-0.10386471485506323,0.011650966279390702,0.06026566762279916,-0.004047889531750254,0.04964180391991959
WNT7B,-0.0660864456344845,0.0412088292224719,0.11378727265586358,0.20859016267112881,-0.042209183346599864,0.0195402777191972,,0.0024805512102304686,0.04661771566854605,0.05903852860406768,0.0166187974537633,-0.003018233939411561,-0.05571171102914437,0.026528598115445855,0.009352154477279344
PTMA,0.05182164038965139,-0.05701400183132355,0.0571366839825637,-0.008502988153411566,-0.0028518944522239417,-0.07956627089897804,-0.2242609628054981,0.008819167775203125,-0.07049348850549227,-0.039185388061442665,0.07049874504561272,0.006252308613750208,-0.04425156096479275,-0.0021813048975450316,-0.08219109042959298
FASLG,,,,,,,,,,,,,-0.02263792748404515,,
CEACAM1,0.009456417898699634,0.06661066671935152,,-0.053554999439426994,0.016030861092279143,,,,0.05586175629542134,-0.003935236804330969,-0.026334199904944625,-0.007831393410838952,-0.018654557318705092,,
PDAP1,0.10752407403937664,-0.03501635725550673,0.01720648457274984,-0.13409542442464778,0.015178446091849589,-0.027909263353046616,0.07946506976767696,-0.010755368342313481,-0.0948490117850993,-0.06926391992107206,0.04119895747729235,0.00701894358306438,-0.005151296528171543,0.014796714307168671,0.0596968924946599
QDPR,0.05277521109279551,0.06213485870699755,-0.012371431427817997,-0.002584642090922963,0.02881973201837015,0.04128493916978047,-0.14950765124772217,0.04971842138947907,0.06337482951695583,0.12662182439668856,0.06086585615456326,-0.06620041106428629,0.02169669274977086,-0.010301260851857563,0.013764536296754105
POMC,-0.039153956978108265,0.10605717602821364,0.029456696844364687,0.03976072799980373,-0.008671444391813467,-0.05906502000685065,-0.07830259218026643,0.03301468540208705,0.038719050188072424,0.06482323355394623,0.04780861526271323,-0.011397124207358961,0.09998628180826112,0.0495195357140824,-0.08159188045783196
CCL18,-0.05208508456681855,,,,,,-0.05832260366283342,,0.01108987962045427,0.07076174015098854,,0.013382519814950807,,,
CCL17,,,,,-0.030533302565854733,0.06353214933859906,,-0.03569769891355614,-0.06277755998528578,0.051368966477238695,-0.023430331635829055,,-0.020518738580898737,,
VEGFD,-0.01161005797510285,0.1594520230209237,,-0.03783259408675645,-0.032530651341655725,0.0771255118338298,0.13695323411597404,0.017392362568699193,,0.026564148781713467,-0.004792201592212119,,,,
TNFSF13,0.027473953374007855,,0.00039605053357170126,,,,,,0.029740293984402248,0.10942280263133175,0.05510395848417131,0.05282295745727969,-0.02095286552724568,-0.040102757185398526,
WNT5A,0.03417241055787924,-0.11470471526266267,0.07671364989242352,-0.1323214286217777,0.05258740556052001,-0.055974822718190306,0.03498776472510191,0.04914075166623411,0.08827618432004532,0.10885956060346115,0.005341041437342768,0.06754748811737024,0.0891848360263243,-0.020793650955181694,0.08983450164107293
CXCL8,-0.06819263944236859,-0.056678701315446355,0.025094214115902676,-0.04184986644505845,-0.02131635677304705,-0.02251499649234047,-0.0738725021630644,-0.040594507069498215,-0.1561135800352112,-0.21784290423484154,0.06239362978168322,0.03441000288881118,-0.005024622886457666,-0.08051596960779446,0.006269335286531733
GRN,0.03630810212876959,0.0014636155479027305,0.027274285997126824,-0.1729428535426563,0.03797895854631528,0.027836596447149628,-0.1332421141543836,-0.006654515724734488,0.019637352598577452,0.021230005380547486,-0.059088894411549374,0.009403612852090319,0.05248582778686276,0.0005797687200153791,0.07268812685689784
MIA,0.0304557167138348,-0.007114237994280364,0.017699001103160014,-0.08565517144642378,-0.012200981170843573,-0.016513322423368053,,0.001573516031634502,0.241787009722093,0.25391048032428354,0.06283897231208367,-0.05183325254117085,0.00937270159019718,0.0015608820383876047,
COL4A4,0.005352454080160189,-0.05294183841187291,0.060664784876682004,-0.037636896244440964,-0.022907056543112893,0.007369968874773939,,-0.0007875492685509708,0.06692824895614503,0.08489152779036041,-0.03609253189352994,0.09604875975588786,0.056268004497383554,-0.05637450767588285,
TAC1,0.004198660196512989,0.08844698626833283,0.00477993827109557,0.27675939326783944,0.0349554670959152,0.09220922303511545,0.20094723558609423,-0.022445799714223565,,,,-0.028701970530223237,0.11587230646796486,0.11475736880579047,0.004130840138051846
