,UKF259,UKF260,UKF266,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH916bulk
BMP1,0.0006319978667469097,-0.04107927402151716,0.07104102797964437,-0.0794105947274954,0.08382969897239936,0.14907799819086187,-0.0038423174005971696,0.00838305356376165
NDP,0.018499681069891135,0.026716413335698505,0.012117464042940167,0.05197112705828798,-0.01336441963088739,0.29309609199517916,-0.11434568124414814,0.08545353465241297
TNFSF18,,,-0.010916463719683422,-0.028130905054255615,,0.006612423837065071,,-0.08636584049347361
RTN4,0.07444889082286132,0.11458156328261927,0.06528473337290099,0.10814372396201982,-0.049230635800168746,0.1569662755249014,0.20911538340805105,0.20102197078117687
HEBP1,-0.018478828198044323,-0.009839011104897342,0.01692282303152955,0.020104612821688354,0.020989071037106344,0.1701531962462335,0.0055610236979016904,0.07701731842044619
WNT7B,0.029222337374143065,0.010384332939413552,0.045371471396379,-0.023262397498555368,0.0300599731239657,0.13536078827747183,0.06904029031763931,0.009868666088390786
PTMA,-0.033551729282801306,-0.04950530768420387,-0.029900777848130125,0.04674656975915706,0.14291851266090244,-0.0726501462965685,-0.20060664364066225,-0.13648355739081652
CEACAM1,-0.0138237360692544,-0.013200746356153835,,0.01894483691283331,,,-0.021086318309319205,
PDAP1,0.025387063313082884,-0.042655430977900394,0.03953563480288042,0.03338038954104153,0.09806898751761527,0.03173780206886196,-0.07213533797211666,-0.00946074086762537
QDPR,0.032192039239730005,0.11963431579237341,0.014437022572303473,0.10399782932785792,0.008777699866414067,0.211858136110063,0.1345628647223769,0.1041656985022016
POMC,0.013777322473665216,0.015418915343112533,-0.021887613637290932,0.06714865750894111,-0.03799560014352118,0.13306636333202,-0.051249583119822605,0.04619587787028279
CCL18,,,,,0.11243865143905442,,-0.1316859871906931,
CCL17,0.003837540825008553,,,0.03273976593207106,,,,
VEGFD,-0.03582625725910255,-0.012629726711617951,,-0.04153632751064023,0.019185143870344954,,-0.056595808711020414,
TNFSF13,-0.022181060138011074,,0.11417120009824862,,,,,0.020323603900433196
WNT5A,0.05639955769690491,-0.020271184366788538,0.006701039745987977,-0.030780304741171615,0.05458364013981702,0.07874081971333226,-0.02400903543981851,-0.04964663472558708
CXCL8,-0.06471393377512105,-0.08726960558195247,0.04971693457760234,-0.03919763612201247,0.01351274884125267,,0.22394919132369348,-0.11873351443827418
GRN,-0.04553901988828037,-0.03707008835249046,-0.03229362146129499,0.003615854006970032,0.052485299233442945,0.30578777701248333,-0.22105160797109485,0.026265247941611277
MIA,-0.025028429464955093,0.0002713124298045485,0.0012594883499491107,-0.01475448405955755,-0.013147951741878114,0.2555220773797146,0.09986153193530914,-0.0029839108369177155
COL4A4,0.08690759883223982,-0.04941779843614683,0.0025674470138064495,-0.005158247761635578,,,,-0.048808305125455094
TAC1,0.08173286892528901,0.10301264733467323,0.0971266854837134,0.2319574980623812,,,,0.20348426623844573
RARRES2,-0.014054026877133505,-0.0930734561746999,-0.021228031486444476,0.1255884928459738,-0.013092952398198757,0.004318729688416567,0.09306658507928135,-0.0626212587720685
FGF7,-0.007121301929620089,0.08131530236248803,-0.0019801690504744874,0.04566332901436876,0.03958780763009465,0.17111809987133747,0.10229098714953888,0.027646501070193345
HBEGF,0.011932861639239897,-0.04590348256028036,0.05059218963715099,-0.14906597841056196,0.04096590750859928,0.2829132374388609,0.32036252706409657,-0.10922735399585305
CSF3,-0.038328134907934235,-0.005891825279484148,,,0.011475030485978675,,,-0.01905322061152397
PI3,-0.046901861682453944,-0.0011662586711262337,,,,,0.03480079896060735,-0.05066577784768505
PCSK1N,0.04350557722069633,0.0570891211813659,0.07276224394645582,-0.07177906228318236,0.04820060534733599,0.11214500122329803,-0.04047922312575995,0.1782212802761619
NTS,,-0.04230804292914829,0.11109457404391368,-0.021717226665072045,,,,
SFRP1,-0.028058075248327798,-0.0144083310019466,-0.003730742505976325,0.010795157410967869,0.02309149548845854,0.2176755235127391,-0.012061785750624967,-0.026197225626678287
CXCL13,,-0.01427884002572135,,,0.03493109978374394,,,-0.04062768158213972
MICA,-0.050355460380752066,0.006230863069388998,0.0255185015890731,-0.010448253772767823,0.05607503696470782,0.0875578766208554,0.09819483435148611,0.004490698342857035
TG,-0.020199312738492285,-0.030559517133573914,-0.004862670092755023,-0.015622803435892877,0.039707311394703876,0.018218798838836623,0.0596815273823991,-0.017573370776876665
ADA,-0.027986714263907274,0.03557771969560599,0.039885726983400406,-0.04130400516164175,0.04913109629057417,0.12607373644679568,-0.04667094786816987,0.04065086204367824
LAMC3,-0.015317328040040368,0.047150515692612166,0.05247418983464494,-0.03341530195467354,0.0034385952927170342,0.03824806330843215,-0.25109955322073335,-0.00710676375165874
