,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf
IGFL3,,,,,,,0.014128434951343583,,,,,,,,-0.034591663229238095,,
BMP1,-0.003460400549795444,0.08130436370431336,0.013827915144560816,-0.03399404920003475,0.026306503844532078,-0.035611008237662264,-0.011929073583103187,0.01670391069059033,-0.013279114999566447,-0.005890821105793936,0.040900206528760724,-0.02615126254637649,0.024231372588336676,0.17409425955489818,0.04563706785041125,-0.012504385873157475,0.019583512219844366
NDP,0.01973600724181275,0.040251345293786885,-0.04795792827757488,0.0036677324253146545,0.13637558479698464,0.04987043198132287,-0.004388927895523681,0.050765368243435714,-0.02597662652852971,0.013732682551759348,0.035459417496689224,-0.07018841988371116,0.014731617904183023,0.010088104797960785,0.040102961406069546,0.051525069586286186,0.03420024234775288
TNFSF18,-0.03719368013219049,0.03434657317220139,-0.007106858432539193,,,-0.018425348052277277,-0.008497410586914072,-0.031908639427770454,,,-0.009510941207165842,,-0.009525797132130595,,-0.015618993082346138,,0.07613898724106576
IL36G,,,,,,,,,,-0.021346940567983475,,,,,,,
RTN4,-0.0798179890086469,0.0263109972701299,-0.009632063179327124,0.0033346136313032746,0.06110768830252451,0.08252868010052203,-0.013382808007571849,0.06637218598240421,-0.0258158024666761,0.0322245480980684,0.05931524087484406,0.05849148205041864,0.09695361683432295,-0.11409094729264506,-0.0974842894285571,0.06335897915801166,0.03311523953511915
HEBP1,-0.025327376923927728,-0.02299779863386224,0.00900192557699198,-0.011372330904270676,-0.038434402913582126,0.03154319743125331,0.04554206791772813,0.04852609831146494,-0.03002669024664115,0.0696259481274757,0.04759485027199147,0.007202814418368627,-0.06481754704707479,0.02464206988167227,0.04022850114615902,-0.027920746417576435,0.0856808693122739
WNT7B,0.02713433587327049,0.009143605768961659,0.017579443518062822,-0.04935911295737087,0.048787023965147926,-0.004704955402175577,-0.014200809234257901,0.02865038637081,-0.010489867552780323,0.004710334764878792,0.007757202911456832,-0.06455533664879291,,0.12473512731164271,-0.07224670565250725,-0.019153670140883906,-0.04234965466680419
PTMA,-0.0382610841090837,0.02399953343169827,-0.016660233514516704,-0.012259894091060205,-0.07104485038114676,-0.04715941814081903,0.060651597315842805,0.02382849637799473,0.005711137860010437,0.0007734755537166867,0.026005767229972672,-0.08068825460335681,-0.033389046923290686,-0.13820801405470612,-0.0020571669103694196,-0.04102838680278123,0.03087373397927358
FASLG,-0.032766476520999906,,,,,,,,,,,,,,,,
