,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.015367752322478917,,,,,,,,,-0.028301773237958478,
BMP1,0.06578029829132756,-0.01580435309218116,-0.0006432691811281419,-0.06404484816107099,0.04909182084048935,0.024885052049375606,-0.017811069438347857,-0.03382247658021327,-0.015560831755380328,-0.04552708746877581,0.07252857698692694,0.07437215096991398,0.052680126839749736,0.03561133588055135,-0.035121619137044854,0.07066936333516079
NDP,0.0934990749806293,-0.08170602381738909,-0.028955572286333,-0.023642467928738406,0.03453507468248313,0.014360345542474812,-0.05438517126033578,-0.05823996085909537,0.07641383458424789,0.012232668762732697,0.057978132536731966,0.016817469800403134,0.08150997305295858,-0.0333018770758526,0.10218263549505868,-0.00910497355926656
TNFSF18,-0.01898587156715039,-0.016445238605892892,,,-0.019906592594830467,0.1448656773232155,,,,3.317900521020459e-05,,,,,-0.03825456598727237,0.06949179327899303
IL36G,,,,,,,,,-0.01596859936265681,,,,,,,
RTN4,-0.010388201297791643,0.02962484125331511,0.025473660864613844,-0.022891733117593425,-0.0465417342223744,-0.06949852135150122,0.0059311472408963666,0.16115162454493648,-0.08319282076274825,-0.03716697632688197,-0.002428402957411233,0.00890499092709322,-0.010285124505142086,0.04702967911505848,0.0016860573004327045,-0.01819833988726688
HEBP1,-0.014284543098672395,-0.06548244500082558,0.013331679456556784,0.02733615426640799,0.04179386670362762,-0.0011996259488165888,-0.000432358934239649,-0.035648963181156824,0.058567127969025155,-0.02880066216683262,0.025161443060566623,0.01077292252409733,0.082604544345876,-0.08155742060275019,0.027890800665664146,0.017339073942167327
WNT7B,0.01627534032996131,0.025575906301035685,0.0036402280160547987,-0.026688401577796794,0.0011840569341306638,0.023109667276708126,-0.011246855396774986,,-0.017551330943298207,,0.0876282851521663,0.06546449100938236,0.04877832829082901,-0.010128153398567331,-0.0037353035961701984,0.0016674427090199262
PTMA,-0.09603445440479139,-0.07896734437274669,0.023070580279134563,-0.014949343121740871,0.08496114342399731,-0.06117761750730427,0.03911770955129118,-0.17119460616221333,-0.02476145512498086,-0.041729158230290844,-0.06673631437859914,-0.005251239329799694,-0.0026486043618631837,0.06975970804844084,-0.0697938048769093,-0.009400296530100674
FASLG,,,,,,,,,,,,,,,0.09601093657438714,
CEACAM1,,0.005493482271970868,0.005485618704463966,-0.01867606969433844,,0.0327933635731975,,,,-0.030603826927535167,0.061464194586173505,-0.019215388944539065,-0.0016809184805184798,-0.021768430835940766,-0.034152318409705645,
PDAP1,-0.0658703585667426,-0.03978728467491813,0.08972868901861758,0.05654137543243449,0.06412262113698121,0.06034429332978203,0.0031160722482495274,-0.02598264014951624,-0.019401311293345647,0.05066119541762099,0.030727803328938177,0.00990016398162344,0.01412987572445784,0.06594981062207007,0.05627744656954812,0.011652549928448398
QDPR,0.019772938929822455,0.004241608369139782,0.014966715153148912,-0.03272993080951007,-0.04699211072800223,-0.051712501302149154,0.017096813678687293,-0.13441266751575154,-0.00490512763329769,0.007266193916417639,-0.054526657874637084,-0.026618112785378584,-0.021165777140326844,-0.06335437875544075,0.028854711717723584,-0.056900974449921884
POMC,0.11452488498316611,0.010146315594832474,-0.031642963837853186,0.006810226267511503,-0.015283566155127205,0.016487653227069844,-0.020376160823386606,-0.04757928835534121,-0.03421289528807072,-0.05519773149746633,-0.026338397577295915,-0.009188619063708313,-0.05739157559568348,-0.014207697050334383,-0.031935651215211,0.03688072434674205
CCL18,-0.025461614870153994,-0.0021459083126768694,,,,,,-0.04985656558755585,,,-0.02271528000587438,0.012338779982060425,0.14510567026639629,0.054041995363955875,,
