,MGH258,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.17535713421829507,,,,,,,,0.04902902121880652,0.039699749443345644,,
BMP1,0.026637100992507993,0.011727046201658682,0.04314421419667937,0.03489501518051568,0.03781602458021598,0.16328910576310196,0.016278804770694925,0.05950294440554057,0.09380899612352976,-0.01400252377428476,0.00022857311385412603,0.07657176746204883,0.003621630017782083,-0.025273003649331303,-0.04400124635133396,-0.033128480564445256,0.08710766972436859
NDP,0.03161924242609673,-0.018762605726835746,0.02984463716946184,0.04558931960364917,0.05496573199934881,-0.02323846365801079,-0.008278151830589638,0.013278108049376819,-0.0005099739424179684,0.01355844050120859,0.0515938272622269,0.04769071406899767,0.032560227696063565,-0.08861954676365123,0.18013926661653137,0.034851310070910524,0.04025785464375727
TNFSF18,0.11112700319171558,-0.03035158301514055,,,0.10005141863659213,0.06355495613691668,-0.02404575982182517,,,,-0.025257711380729422,-0.06056383777877821,,-0.02799290947613846,0.00682614405262941,0.0363284374959463,
IL36G,,,,,,,,,,-0.0017429320118703435,,,,,,,
RTN4,0.08186928473685205,0.009784886293176129,-0.0010862685208137067,0.060090575215425275,0.037307325313302046,-0.126495449729736,0.011826755909770215,-0.035323834742475246,-0.049116783607979504,-0.031987179720276954,0.03748692483624224,0.1309344988999233,-0.014426221012236208,0.04925899258624228,-0.0133214378279505,-0.044752274713707275,-0.02879988028134334
HEBP1,-0.019865518870784398,0.07728354527345845,-0.05481191057094049,0.01636165052145697,-0.00976485584493063,0.07336990479957312,0.0019378637040924854,0.03574241616684929,0.005287474710519329,-0.011451212686527816,0.04534248969525158,-0.011578097015624362,-0.017776036731327542,-0.0025895742866028186,0.1071810070226609,0.06382342416917643,0.08226399262156212
WNT7B,0.10415403709208503,-0.028153523265319044,0.004768727815243303,-0.026754091537085294,0.11010779518255076,-0.06852095614882495,-0.024144544123101963,-0.037695345200109365,,-0.021500890166527162,0.07595317910201382,,-0.033859917307219004,-0.04907768153936823,0.07537123057423918,0.10205163483574227,-0.03791655832318017
PTMA,0.10464013978598612,0.03459044821182822,-0.0315657269960354,-0.01931717863237127,-0.04219182959059875,-0.11499949388386807,0.012091552757377784,0.06767036537470254,0.04327309489339769,0.010319223330843936,-0.025317576588538577,-0.12199368916643821,-0.10751232207471319,0.06642660178003065,-0.14312121009022835,-0.02260930106863455,0.07611738686241566
FASLG,-0.018635843038527902,,,,,,,,,,,,,,-0.03452695182171241,,
