,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,-0.01710443463847032,,
BMP1,0.021118243011833876,-0.008503651829310108,0.029055022422138782,-0.021041798221574017,-0.022579504123517113
NDP,0.01512522443770968,-0.009368495481142727,-0.011384469022934387,-0.008785689737214782,-0.03549384130036397
TNFSF18,,,-0.028852123276078508,-0.011078432209693885,
RTN4,0.021816883007941493,0.006855144241540739,-0.005757499925787339,-0.0425874801982366,-0.05572981785053515
HEBP1,0.022654506128072672,-0.006016462729390458,-0.009610501252350223,0.01374708659896589,-0.0718841007583714
WNT7B,-0.02475834871975487,-0.020366673885378588,-0.0009170084646377451,0.004578661591961703,-0.036495246197737266
PTMA,-0.03760619590590362,0.02570015640475057,-0.018119878104938057,0.05564165033935422,-0.15943662799709746
FASLG,,,-0.014834670326683116,,
CEACAM1,-0.020585075943705504,-0.01351765766452986,-0.020640264943101297,,
PDAP1,0.002142508632881955,0.024461487252619974,0.03284928900270482,-0.029059959573876356,0.02765248313424065
QDPR,0.03700490249717202,0.0020025903418711454,-0.008924372578358918,-0.03430387417818099,0.013206200779361495
POMC,0.020025884519144752,-0.02211311218353496,0.05047765652936702,-0.03462646819853868,0.017979098937624744
CCL18,0.018988929951966875,-0.01237900196375923,,,
CCL17,-0.014604115036376809,,0.07796827497233105,,
TNFSF13,0.004500921508870599,-0.015179423569579693,-0.021909073485294934,-0.031396798607287515,
WNT5A,0.016651484092672194,0.04499897021543355,0.05493687953534314,0.06351630927800873,0.10285093725578597
CXCL8,-0.0568603329759458,-0.030024181447288537,0.008078350438223018,0.12036803823077005,0.03368863860503925
GRN,0.0527563221010749,-0.018753104420925922,-0.037840743132631166,-0.04864986621597382,-0.010101679177089833
MIA,0.06174597014851506,-0.03601360265180129,0.034275927786253685,-0.03807533802668146,
COL4A4,-0.02732416702024602,-0.027242752328947763,-0.002510093644748008,-0.03509067647930072,
TAC1,,-0.02332181041532054,0.07639646728243896,-0.06018516163596394,0.0897121771669151
RARRES2,-0.05138555019665234,0.08093639392616961,0.01552987381543423,0.0811285368388025,0.006118186720682544
FGF7,0.054218768291053245,-0.025834072702720007,0.009769236793303975,0.0059635915515028745,-0.0038974748818389774
HBEGF,0.027579173982611976,-1.3527019873888415e-05,0.004245799068641843,0.057211636971794766,-0.0204462333886616
CSF3,-0.0651767112412051,-0.019379408756106446,-0.01415652415070159,0.01889932895392806,
PI3,-0.08485728108131038,-0.012375285544899797,0.07312602721686173,0.0996249548176176,
PCSK1N,-0.01770408384820023,0.02293366981406988,0.012187125794532488,-0.0857538928780378,0.15101938855562896
NTS,-0.021473565018149347,0.04966883512445145,-0.020963881866320495,,
SFRP1,0.003369686989075935,-0.00948242553395682,-0.02047673436252345,-0.035169490770116885,0.056037233355973666
CXCL13,-0.03280383663481958,0.020920842146391855,,-0.02994014052594795,
MICA,0.0645597155887188,0.007947330039206857,0.06544801613157608,0.0541162206301844,0.21172524974435766
TG,-0.01940521764532658,-0.01594955120152648,0.07957844230699684,-0.01748588370764287,
ADA,0.05405242971864085,-0.045064644043257926,0.018286572758735836,-0.009993547056279192,0.1952423092170388
LAMC3,0.061025005454771596,-0.003064857737233962,0.00011940912771338667,-0.013163205870074655,-0.003808135680056263
CCL7,-0.02188820218193122,,-0.014834665051651416,0.12971177297536338,
NGF,-0.025279121237056824,-0.03327020987398998,-0.04441454005493602,-0.04183191882089079,
TNFSF15,0.07945320172668072,-0.012034280134144542,-0.027487412248545177,0.11668275084626563,
HMGB1,0.013187357773473627,0.037589897251533964,0.015292660481895896,0.009393128669310628,-0.043983725621937815
ITGB3BP,0.025898161134535254,0.008888632293949957,-0.01633542662628237,-0.01326541255402416,0.06876978922100055
AANAT,-0.019202129396529613,,-0.015695694262492663,-0.022538041166681375,
RELN,,-0.014536106219093087,,-0.06234373651284641,0.004404970089817058
IL15,-0.010913264482559897,0.0207820061722305,-0.05242246371842972,-0.0019298792018233076,
UTS2,-0.016352018538685734,,,,
BSG,0.013755458596959615,-0.020480975712590742,0.016481539496616102,-0.032874328903310164,0.053648478868900784
ADAMTS3,0.015309896975917558,0.03677046190209127,0.041331449777924266,-0.04353619511424931,
CD34,0.12896781634938234,0.02379307263647919,-0.003961030112391631,0.0016630131999692942,0.08482848018008363
PLAT,0.046690185123922825,0.011735526048158898,-0.009252155619510472,-0.002393434524638696,-0.016095997782320445
NTF3,0.02394827913508441,0.01782359727152797,,,
LTA,,,-0.021124039079420023,,
CKLF,0.08217911006252093,0.02101216558614024,0.07192801970922728,-0.09784712205447638,0.03168380421425621
CD24,0.04202333673535678,0.09330696124875072,-0.038604613344228336,0.0008771764011555694,0.06711935483478894
HSP90AA1,-0.06025157482982533,-0.0301903890346356,0.038170060040892566,0.06537112126485654,0.0923331347687306
BMP4,0.06733212475261184,-0.0417016325188731,0.06475794783911426,-0.0017440210600627327,
SCGB3A1,-0.020264426626743107,-0.02499140249341454,-0.031104326453588405,0.0021696055889210354,
IGFBP4,0.0740824250117372,-0.04457237078490158,0.00013954827660433714,-0.07692942631384354,0.010502376083273339
RSPO4,,0.06939149486378098,0.07605818158896888,-0.028419577159026255,
LEFTY2,0.07658909650270398,-0.022888566634103626,-0.019209336854524216,-0.039928241552702595,
PF4,,,0.07764672719817484,-0.022262662901598847,
ANGPTL2,0.08108532534649518,0.023611949527427817,-0.0016389359915206072,-0.036788341232154194,-0.04688275706755521
LRIG2,0.003359707983537058,-0.027650543932377043,-0.03566674016742005,-0.044511695248416284,-0.00030158418763622473
ICOSLG,0.049561514974021316,-0.008870541396427093,0.0058312287801120044,0.06083590431730364,0.010186468684342902
WIF1,,-0.015645715708879966,,0.02250580550947325,0.07347840906664452
NPPC,-0.032675138678342375,0.01781507948246523,,-0.0033630546933136156,0.015626019207824804
LYZ,-0.01210882997922336,-0.00887343956413485,0.037584632242386395,0.037507312542206524,0.11555510670444731
EREG,-0.005230591189893367,-0.02096285336347065,0.024013558524869767,0.09534676816058017,
SPTAN1,-0.022890496961375986,0.030713792237138465,0.011364745613847173,-0.03830270597646668,0.1518676376094931
PTH2,,-0.026766334139950953,,,
LIPC,,,-0.026708774616471774,-0.03471729017506929,
COL8A1,0.048086592678235354,-0.0392762029069926,-0.06391697607551983,0.02277528021772918,
GSTM2,0.06187929919948809,0.08046554593486298,-0.03720236832991016,0.00882220235356616,
SPX,-0.02206869370681856,-0.02348798374691475,0.0449213681730604,0.005396000976401415,-0.022316409479857063
MFGE8,0.002451167460928505,-0.039417745938611394,-0.0026580257395542786,0.017020402615541396,0.017359705393987904
TGFA,-0.004020186998956336,-0.009854552259291018,-0.00562908162449083,0.01614905289136454,-0.047288774362531025
SLIT2,0.08907081354262618,0.01160524503155893,0.003606348057029962,0.06930265497241221,0.17504899693775902
PLTP,0.04915464674763958,-0.011774952011567173,0.005081010022014359,-0.013911770815520245,-0.06777038556452734
APOD,0.06036473509291185,-0.0234229864066136,0.015417269116779073,-0.11340544932124212,-0.13188128260066254
B2M,0.08290815500745673,-0.028865231083383843,-0.009145953807120223,-0.04211690688684223,-0.1698904371056248
OMG,0.007353047313537048,0.035666578484527374,-0.013803221132223507,-0.06067206507121597,-0.11747312394684452
CXCL3,-0.023674512162087352,-0.0472132891577559,-0.013727946985627433,0.025807442474380975,
CXCL10,0.05253212867612839,-0.022997528964617913,-0.029799061168852704,0.05785685918409725,
RSPO3,-0.030977900309247377,0.06946018981969189,-0.015054284250217978,0.059498757370808744,-0.027900224262007178
CORT,0.0438787149257925,0.06285819256900202,,,0.049468006067948836
NCAN,0.031699326211443356,0.03914521959105622,0.07165982289581596,-0.0733203191012565,0.07203602019158582
PRG4,0.047854093145936805,0.03999608254201853,-0.03410201100977612,-0.030986593754746907,
ZG16B,,,-0.01877107231973938,-0.01899233470957867,
TGM2,0.009127233339823602,0.013227049224015765,0.03243037569371016,-0.031230811097418675,0.02919029642590366
VEGFC,-0.013008877245237506,-0.016021373904599248,-0.040061122302415555,0.09025421069495267,
WNT6,-0.03267514308680463,0.06402769436492563,0.014610159966718618,-0.019624779866576077,
NRG4,,0.010632246055339205,-0.015054285937444074,0.03905389738710064,
PMCH,0.036012661006175097,0.04478222189170295,-0.00615822077817802,-0.037795207094547784,
COL9A1,0.035430203081596875,0.003984652589442452,0.02174997790308285,-0.06316272153549092,0.05684969248623663
GDF11,-0.01669338903109285,-0.00770927195291175,0.008652152097235894,0.015076376312783876,-0.001099578521560979
RAET1E,,,0.009116465579137983,,
IL24,-0.016587461475875278,,,0.12878664932950545,
SORBS1,0.06329119158894134,-0.04677106792668811,-0.013231775114877869,-0.032538440055588924,0.07765114237066863
DLL1,-0.015179504518415142,0.003884162403959251,0.0331227861051878,0.007712349361745429,0.08435434900787596
TLN1,-0.0039113444667672114,0.008214361901343373,-0.04694705384714656,0.042088794238589355,-0.09045653771151833
COL2A1,0.024248826291408586,-0.02695770517852749,-0.021909071791647906,0.05113739522459636,
SHH,-0.027163363680720785,-0.0037042168364868045,0.007894024420825454,-0.05377533596531883,
PON2,0.0407515507648857,-0.04510155910374995,-0.06417062991283622,-0.0968874841101667,-0.013364524999513945
ICAM5,0.0063076955089587505,-0.0036664380629490385,-0.03246275809039289,-0.020349394854984673,0.11121938884648726
HPX,0.011077549321860987,0.008572441287218794,0.05502242499742212,-0.025020252112711465,
SFRP2,0.054520951305634544,0.01758189323235483,-0.06945269615686876,-0.03350124677956941,-0.07049940533860184
CFC1,,,,-0.02611405952258827,
CD70,0.00530066150535365,-0.03236565986719652,-0.02296803330000747,0.12209814634504335,
HP,0.03676043694473433,-0.02903106932613565,0.034135777178337386,0.03202579758268996,
CXCL2,-0.01138618931383099,0.00768296121488863,0.089499115020403,0.1267964019753959,0.09182119848129303
NPPB,-0.004499654615976308,-0.019125561548563298,0.0927466272260207,,
CCK,0.0010162250594564633,0.018888148195605362,-0.019810475201337444,-0.07278944458020381,0.21700629959375473
SEMA6A,-0.016746337960087787,-0.07346398436405482,-0.03769172712615667,0.018280190157511266,-0.10088268846162901
IRAK4,0.028036665913353753,-0.008318984298705886,-0.04815311651703697,0.02165219254698629,-0.002631881444160248
GSTP1,0.047849165602248486,0.03944890004690466,-0.004050032627829539,0.10364438475711944,-0.04745984626644764
VCAM1,0.0006365906813878593,0.01298936835115661,-0.047509840018735455,0.07766492556177904,0.0002718201936088408
NXPH3,0.04822783118976252,0.02399717819009622,0.051450600357581214,-0.044421701431357,0.11785004924471376
MTMR4,0.014215423184552928,0.024807163638190254,-0.02636223423855537,0.03003047956422358,0.04666913732584028
