,UKF243,ZH1007nec,ZH881T1,ZH916T1
IGFL3,,,,0.055181651782409816
BMP1,0.03137631554012416,0.010320055434146158,0.021899808233201964,0.04138914048124022
NDP,-0.008586750108009609,0.0879728741059786,-0.011202533082018035,0.038465704453628964
TNFSF18,-0.031601301834046906,,,0.042911560408502525
RTN4,0.0932171910433344,-0.014103709741207535,0.006902395867977171,-0.0330835096853633
HEBP1,0.16138678648812582,-0.005489644025616325,0.07457312967720216,0.06915308429199798
WNT7B,-0.07375778976604115,0.06787518555223959,0.010474431577202674,0.009749644951052452
PTMA,-0.08965720993786785,-0.0688515716509626,0.015043389265875768,0.09523869123598117
FASLG,,,,-0.014834674623360916
CEACAM1,,-0.05012632960427174,-0.014826660991910582,-0.0006119990349398452
PDAP1,-0.007678629375904725,-0.07071601299110075,-0.02982910783020742,0.001505046014761007
QDPR,-0.035015930590818554,0.07609109458397438,0.022611772063643485,-0.06000508306963419
POMC,0.020459922282251367,0.010238183507183663,0.03933885517701832,-0.014478492684804823
CCL18,0.3119728190666386,-0.01646897985474445,0.012622469992925997,
CCL17,,,,-0.013445966321076142
VEGFD,-0.01169049850725901,0.06284675761417187,,
TNFSF13,,,0.00558081356426312,-0.021909079830985643
WNT5A,0.03189181506292335,0.05588870624914189,-0.009153840466204224,0.0022413724162153137
CXCL8,0.06674279635513214,-0.04637896489363845,0.032498557439627956,0.07080639807057668
GRN,0.09313588921661109,-0.0708568568296627,0.07968576951361493,0.05063704939407651
MIA,0.03532081771189501,-0.03481191493881001,0.07121153489769773,0.02384502281041556
COL4A4,0.03517767869522976,,0.021047452861081062,0.05958330131102436
TAC1,-0.049530507426666544,,-0.025580214067182718,-0.017676089972457506
RARRES2,-0.011050369627116042,0.06535159092684589,0.030851594622831317,0.01834541633042345
FGF7,0.03927767789007149,0.05737480529144045,0.05411877440197559,0.010964238244995001
HBEGF,0.08903590897973014,-0.019788106750787744,0.0042268471913739095,-0.008299684562351976
CSF3,0.06626089326311757,,-0.02125604383401487,-0.014156528250962783
PI3,0.17257128566020918,-0.05090760080060268,0.028790154989096414,-0.030757432843889855
PCSK1N,-0.12113888659753572,-0.024262777439196005,0.014583475226725696,0.019938585413035777
NTS,,,0.0007427605973819413,0.01892606645477517
SFRP1,-0.0665020945288077,0.03303027384183255,0.03523498722646906,-0.02047674029335494
CXCL13,,,-0.01359895521263323,
MICA,0.09951821459204137,-0.04960373534277229,0.09377640830008747,0.03435808201044656
TG,-0.023026496316480065,0.027660340159351794,-0.0174940507081097,0.017895006939399306
ADA,-0.024091164290567218,0.15180118474589632,0.022870620672117176,0.06452185958272506
LAMC3,0.014151299183439658,0.08616278987824103,0.049493281244768955,0.0809983426177118
CCL7,,,,-0.014834669348327688
NGF,-0.027693617228066424,,-0.0030329581469670653,-0.012033318166024395
TNFSF15,-0.0342604607688815,,0.015197433461517279,-0.0037759849579773247
HMGB1,-0.0006195243251998061,-0.04425086696442519,0.024168499217890556,0.00957748699617201
ITGB3BP,0.056686537480380196,-0.035411903479676175,0.009508319828755695,-0.050852437713813176
AANAT,-0.0496364299766568,0.0189884044791929,,0.14476122336999256
RELN,-0.047749785263696526,,-0.015943732590478505,
IL15,-0.022885414856231908,-0.050901586080398006,-0.03219798027753523,0.0019643628588073008
UTS2,,0.061937462766281745,,
BSG,-0.05406443247726792,0.06217009134524166,0.005362899556857451,-0.034403327041116746
ADAMTS3,0.09965057793712144,0.05919403654124543,-0.006832429422983308,0.03442680631826637
CD34,0.006330281231119234,0.1589528404662779,0.08276846496720823,0.08711009210086881
PLAT,-0.002988501304393491,0.013367033051545645,0.006285085110600275,0.016629371719714528
NTF3,,,0.06148344352978993,
LTA,,,,-0.02112404519773528
CKLF,0.028877971969407598,0.03098644733938217,0.0012015491158102853,0.0029980711446976572
CD24,0.004845177416670433,0.12585815563159342,0.014840772258018308,-0.04248435608289709
HSP90AA1,-0.1288320447627339,-0.07452149193374376,0.0660671023648642,-0.03065033419561418
BMP4,-0.017775918816768776,0.05495269443518979,-0.0010652828467304014,0.062299861500340906
SCGB3A1,,-0.025921511232380033,-0.014093721696837832,-0.017136614477888217
IGFBP4,-0.0029394275073185835,0.08059978433199777,0.04865188654115784,0.08602471666731032
RSPO4,0.040399430362824666,,0.02265177454685528,-0.012710926749562666
LEFTY2,-0.011513260779103047,0.14201193716152818,-0.02510501645304191,-0.012638926684082107
PF4,,,,-0.021124040309474536
ANGPTL2,0.10441956859911093,0.08841944202723809,-0.018836141151918704,0.020474205576817513
LRIG2,-0.007075637568178693,-0.013771018068055819,-0.026755394113803784,0.04746861168426023
ICOSLG,0.1273553463038803,0.09865988302751018,0.04135886304581165,0.014858911956763298
WIF1,-0.0787291961370381,,-0.01716079283469864,
NPPC,0.028513409757448527,0.02142374953245849,0.11590416758198802,
LYZ,0.010748606501591677,-0.06284412242649386,0.01979061279153931,-0.0005404693166545281
EREG,,,-0.022992823753694432,0.03385760349302513
SPTAN1,-0.09220095936214863,0.08904704533818042,-0.00278249517454948,0.029103864695809552
PTH2,,,0.0610524539815886,
LIPC,0.017757278597256596,0.005210137413637927,,-0.026708782352336233
COL8A1,0.19431668441528907,0.011798272665201738,0.02742935877061901,-0.0401715998978238
GSTM2,-0.01669587294761252,0.048372123255590066,0.03321490592249269,0.013875151446837488
IL4,,-0.04169039747684326,,
