,UKF251,ZH8811Bbulk,ZH881T1
BMP1,0.001092894159070771,-0.07708609206928803,-0.05654407404095687
NDP,0.01893145599240274,0.0274999851204084,-0.025032900516279658
TNFSF18,0.0009209868213099735,,
RTN4,-0.007434035491247111,-0.04429515396839205,0.07162745422917662
HEBP1,-0.029379549773814462,0.024446003706663888,0.07674966550805559
WNT7B,0.0053552020399468955,-0.018586742677856774,0.05972697138341352
PTMA,0.0617625742058924,0.008317142468689214,0.0568086149991437
CEACAM1,-0.012055895283027524,-0.022250837638693816,0.08401224253315775
PDAP1,0.004702588658990552,-0.005380375109426075,0.0025240376220802855
QDPR,0.0039478718064762325,0.0362267092626925,-0.013005726735424331
POMC,-0.021421402489090368,-0.0361473200302681,-0.00961843911731069
CCL18,,-0.024496864363808366,0.0038202660580002957
CCL17,,-0.03212048102644512,
VEGFD,0.09754404006589912,0.06928558768144946,
TNFSF13,,0.10257081571681582,-0.017047329231771206
WNT5A,0.05658208684240007,-0.016502799803913316,0.004622659949767808
CXCL8,-0.016168405121986102,-0.051852897675046236,-0.04662685780163154
GRN,0.01792871380673799,-0.02139616389147597,-0.056165505406948465
MIA,0.005485422086234166,0.15292548229942213,-0.09685368685310049
COL4A4,0.06982988849743316,0.022132955328789627,-0.030595112258537074
TAC1,-0.00045903597619098097,,-0.026191678399941277
RARRES2,0.014454524986638044,-0.026711096865792892,-0.003663491577452139
FGF7,0.048178510615663375,0.0530427882686563,-0.03631733157303064
EFNA2,,0.019175140440776856,
HBEGF,0.03502776687564179,0.04365449044643964,0.044941268091499745
CSF3,,-0.06616304534646919,0.04833845573721728
PI3,,-0.1215333078274616,-0.05319091854262316
PCSK1N,-0.04144564539298339,-0.005150034540541532,0.010705512698525078
NTS,,-0.025764742136765616,0.021877958375590482
SFRP1,0.004664100144675431,0.10498671672358627,0.07495516280234986
CXCL13,0.03236034152072633,-0.007383820167303516,-0.02505052112547822
MICA,0.0018860276649471576,0.04948402082506511,-0.015430869175861821
TG,-0.016393588511232893,-0.03173209645095632,0.08660830717825183
ADA,-0.03386697117769739,0.02964636564528679,-0.02890640553388267
LAMC3,0.13485703896353113,-0.012299739790088074,-0.010167680467549796
NGF,,0.018309974071884033,0.018094975337292783
TNFSF15,,,-0.013515159819722075
HMGB1,-0.02234986647683599,-0.0035642589531346535,0.09524942051366175
ITGB3BP,-0.003021711611606993,-0.0033200137173050857,0.01085952328666291
AANAT,,0.01496655668021825,
RELN,0.03261878760257542,,0.14049672434906804
IL15,-0.020885180956027066,0.07590416016420042,0.04710859639854927
BSG,0.03700854425328245,0.008156434289363074,-0.037428940793653075
ADAMTS3,-0.003894053213865489,0.05966047996301778,0.04353953563259682
CD34,0.06666209262331173,-0.018932742020877993,0.02817676557809692
PLAT,0.008345072142427265,0.017927272143125644,-0.019764710627196987
NTF3,,0.030927733998264925,0.024421082683085175
LTA,-0.01205589652017832,,
CKLF,-0.06155479637786435,0.09754335399388148,-0.01967727038815768
CD24,0.05839798155112803,0.04549243676079917,0.07724203197707807
HSP90AA1,-0.04139165696185823,-0.10815633085359316,0.010098237448537831
BMP4,-0.012779957028111669,0.04254770828397937,-0.007670690960763247
