,UKF243,UKF248,UKF251,UKF255,UKF266,UKF269,UKF275,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,0.1515651118788053,,,,,-0.02254613767653672,
BMP1,0.05548843708341302,0.0149120813842038,-0.04470073975679547,0.0918524263011404,0.09035750614233296,0.08518051143690733,0.08165362035327184,0.03307471164659389,-0.0006154472486951606,-0.07786205035606807,0.017853362192960815,-0.014896835002326463
NDP,0.025296205381752184,-0.00521828390071068,-0.025539010647678537,0.026560970217526014,-0.012859702454457202,0.01149746110795473,0.05620695677662434,0.03632511199520374,0.015375572274757084,0.005372523042078323,0.08777357390247209,-0.011593390670289914
TNFSF18,0.10872238632662391,0.032606037455840516,-0.007363058875576972,,0.01262304333401867,-0.027557974861039402,0.0036222187355565826,,,,0.02861337894067552,0.1012732229889254
RTN4,-0.06512765019219866,0.04831155747387511,-0.028224775520859904,-0.010905999009928348,-0.03403270993208699,-0.06128085743559037,-0.024926370507235618,-0.04001570699845341,0.013580101688899456,-0.056294580682369706,-0.04008121520543122,-0.05151521607024441
HEBP1,0.025846038935638006,-0.03046345631752134,-0.03917754651350993,0.02952910623232237,-0.030762470098251095,0.007841649587639901,-0.06855493130201187,-0.002782284889984707,0.011999642030391337,-0.03175462719749657,0.05920153828646513,-0.023838794486571453
WNT7B,0.010351654588204253,0.05793520895551009,-0.0007085437221397569,0.08467709279213312,-0.0240859111058685,-0.051851537054483345,0.007219459642405517,0.011122437152178213,-0.0334858540110735,-0.03732251261754037,0.006179065634415566,0.029996621071869733
PTMA,-0.0075840644596818696,0.02443072438024442,0.02704516932914219,0.0596672233027376,0.010791907396300851,-0.04855997382758143,-0.01440363067648797,-0.0930098502727159,0.0007941488346227182,0.02562460529373313,-0.06377744998531801,0.006638910681060114
FASLG,,,,,,,,,,,-0.01955425751513428,
CEACAM1,,-0.020601168086453115,0.07725717245275256,,,0.049785863522306184,0.023730152731968285,0.05625849815640148,-0.018763775587237925,-0.018081019767081177,-0.011381489534430874,
PDAP1,-0.007956198026649984,0.00790910475395013,0.03955811534070918,-0.05195395889338892,-0.022469985494201584,0.04609772922830414,0.03903809210853663,-0.007714789421160877,-0.05742081571670768,-0.023536103407317127,0.029975349206455903,0.027206168479500914
QDPR,0.08643272237195394,0.01912611773559889,0.0379989999206976,0.024716339897822095,-0.003681324785588718,-0.07401779177272029,-0.03204491339417635,0.05621279847697702,-0.0015775575943512768,0.023434300983217457,0.039347513311673486,-0.05731418381820712
POMC,0.12708139811992053,0.01327489103963737,0.042399724559236074,,-0.026468517313797974,-0.02976288922389718,0.04730392321520501,-0.04014988269473173,0.06616699512058455,-0.04235737378976702,0.02940879156909387,0.03242490722498832
CCL18,-0.033910188212361254,-0.02570831129056831,,,,,,-0.04547839168114437,0.0417766697410527,0.031303330895807606,,
CCL17,,,,,,,0.05505275906321167,,-0.013311990586878243,-0.026101087149966857,0.029486026995494248,
VEGFD,0.09838216310143809,0.0012067937152787861,-0.020476583773591323,,,-0.018527595211339596,-0.01980862276082066,-0.002354792932105514,,0.09396350750461287,,
