,UKF248,UKF251,UKF259,UKF260,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,0.09358947861284168,,-0.023813347220276823,
BMP1,0.08249708138788803,0.0791135537827543,-0.03281845751210926,0.016356054974712465,-0.022285666142770645,-0.008547398831592522,-0.005718693254161458,-0.03975314099430674,0.017832728946423376,0.06604055143029565,0.06504841601177,0.0253057095498269,-0.006918438229193967,0.142448008741582,0.12804671582338956
NDP,0.036336902355155014,-0.039971801505613705,-0.046334683621972524,0.010708021436577765,-0.063144413871881,-0.01881894307534723,-0.05381188895655318,0.060250109524623764,0.03540023892944384,0.061088322507779604,-0.02189506988283669,0.046526569463438076,0.05081853031130545,-0.09249021234080083,0.0031869416671118957
TNFSF18,0.015137018306907443,-0.018401299260213208,,,-0.016503115957057116,,,,0.008194930057684652,,,0.06367344355773617,,0.042805561257834905,0.2177791965812701
RTN4,-0.011984365960213085,-0.003721330610639114,-0.03695595289059759,0.05407466298297614,-0.015359339033962112,-0.01402503759817285,-0.05753932343635976,-0.016327078833834625,-0.04129721375155948,0.023600887711283623,-0.0378554817926108,-0.07253661060505064,0.06111172067477927,0.005144375790107969,-0.07530949621971778
HEBP1,0.018332096323665,0.04830859610862863,-0.009750525872630224,-0.044275258942304635,0.010828678017607835,0.025379130844399876,-0.02097103281662154,0.009951260853549453,0.014973410129494684,0.06258069855077279,0.019277399339425932,0.007540992687163257,0.08266928933160869,0.018755065013694897,0.010676508041959583
WNT7B,-0.0308874524877127,-0.01862856289940668,-0.0249503984229822,0.009386804567669363,-0.020543320721964915,-0.010578799714195262,,-0.012879335060832624,0.08476840377667225,-0.04254489119812245,0.061676542861412324,0.013261924218835182,-0.007526340245890499,-0.03781769310161722,0.09553235219550764
PTMA,0.06784505766040774,0.002702392587685241,-0.035476034322949095,-0.053798933574408306,0.0248763757971356,0.029699612909909124,0.01054425617577527,-0.009503235632850077,-0.06746937763761564,-0.08551878855438604,-0.08736856583576884,0.0011659968444842864,-0.03579445016864375,0.08337232833399905,0.13628848109050215
FASLG,,,,,,,,,,,,,,0.01868501173482182,
CEACAM1,-0.02198277235003413,-0.014296301592682489,-0.018960538764706138,-0.017345619510720015,-0.025955469796506387,,,,,0.01352121113825049,-0.015399748901938029,-0.026334201504072882,-0.01569862495429405,-0.015542587567571618,
PDAP1,0.03308832307836754,0.0107395858661722,0.05571947947605098,-0.043805252494511004,0.0530198817074724,-0.02197500750974661,0.042654566074242097,0.01272973988021646,0.11289262680412315,0.037567441805593196,0.026592065173682407,0.01805120450574381,-0.04752037108733153,-0.11760299615601523,0.008982501414210104
