,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF296,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.01680310201208643,,,,,,,0.0479820250338205,
BMP1,-0.03290777004181095,0.11888140569580213,0.03253863943415285,0.0035372618820270645,0.034917126879386556,-0.030176203226304116,0.04146456245827823,0.12626850778831372,0.1336993377857031,-0.0764934407056734,0.054653057385284545,-0.02691037714284273,-0.006224858016760407,-0.048538961059501465,0.001773146170722197,-0.0004306698646877853,0.025566191875451477
NDP,-0.050785481637733616,0.05011019405527064,0.018956319266350413,0.036908795809611185,-0.011946793281342528,-0.015918573657720005,0.034918297561430896,0.013662429725818964,0.005471603060763994,-0.017480313356010135,0.026601252502219164,0.01577148365210669,0.057860551991880484,0.0318318333617159,0.02958468582411653,0.03167078858406983,0.025982448209744834
TNFSF18,-0.023822603697155015,0.05049836693869504,0.022420728734702414,-0.028440349813654214,,,,0.10605205970961094,0.00570229193072091,,,-0.042222380205653116,,,,0.0025439064511011676,0.055745999841026884
RTN4,0.03886305265223749,0.0013725177560742628,-0.028846376433618936,0.0038120479859405465,-0.0017409298639668113,-0.01735671041853461,0.017174068325028033,-0.12721844957031606,-0.10772308272064125,-0.0353354165907784,-0.022991467896296813,0.012853346727998774,-0.038349360204193425,-0.02486182528488522,0.07078474342370299,0.03488039050825448,-0.027233451606442197
HEBP1,0.02607944782260721,-0.017622238514751507,-0.01415307149233626,0.06232082466669694,-0.007646839817395083,0.063214013285703,-0.009047850944083273,0.04858645539411762,0.11118189762926525,0.001375766940916505,0.03188612038728364,-0.04768897453433932,0.10145135455176063,0.028800640772455317,0.03378720897608845,0.06892815834564835,0.07662841905173344
WNT7B,-0.020986967712497036,-0.027198359791906736,-0.00606618328318455,0.00439975561098461,-0.03159405077392997,0.004907892840227366,-0.021678896069965866,0.006104240037460218,-0.012246029774046855,-0.012770484525745945,-0.025287460940988254,,0.06648553617269197,0.011327419064792989,-0.028986526927630273,0.04680695975763673,0.06343567920555004
PTMA,0.02294911881104825,-0.08907182137427579,-0.0005978536804986187,0.026464126034500372,-0.07724734327454623,-0.056249947094601564,-0.02196130127591725,0.10763464358260293,-0.10315735392271434,0.02486268462812564,-0.05768101077827948,-0.0028674118434144974,-0.0262699232023308,-0.012807691965981626,-0.034871374951524335,-0.04330533730478333,0.03381230824510541
FASLG,-0.020986973645459046,,,,,,,,,,,,,,,0.05791617128034827,
CEACAM1,-0.029140596578148662,,-0.0040963627432254075,-0.017880853796044392,,0.08354202971745368,-0.009841803600907058,,0.029798161545934242,,,0.0330610747859654,0.12726045459427526,-0.017297485115834548,-0.019238779493232848,0.030816972783324754,
PDAP1,-0.044283196921057026,-0.019073024544012714,-0.03658883297157963,0.015859958309548318,0.010701569558200426,0.03994114285410212,0.03291503583312025,0.04124909948823742,0.0666355043540955,0.009816713064058591,-0.044190293319448376,-0.02049666993871657,-0.10298236002445478,-0.0010684836414620207,0.071112319227477,0.028960663443647745,0.020769353501361658
QDPR,-0.007194350137544251,0.07256559743169208,-0.04123709628350575,0.01369616019621852,-0.04041009270729349,0.02985187430285603,0.05380625006429756,-0.0013329573046982795,-0.11960619118831316,-0.014566125638267405,-0.016557286787955202,-0.07409801661116365,0.07046172876517477,0.056892220396677705,0.041530861838923745,0.03030664188712371,-0.029312008454976172
POMC,-0.058662496323815476,0.1104462825581091,0.022583145345198615,0.009884443158398485,,-0.03426416310073226,0.05012364793272023,0.010958746888235687,0.03573144553786227,0.012455578880364505,-0.02191263917008414,-0.028523738528863363,0.038792867600855076,0.004335496852980019,0.01916253370950611,0.06174564504819015,-0.011505188993472602
CCL18,,-0.00819587370886485,-0.03506833067947836,,,,,,,,0.0016041083135236876,,-0.0003760582771357062,-0.04223931321985024,-0.03755308008341652,,
CCL17,,,,,,-0.021326318130286345,,,,-0.015806279919023607,,,-0.02196762542955561,-0.024970005691030514,,-0.018911099079314538,
VEGFD,,0.07516266817532963,-0.035068341815315845,-0.02561073563847088,,-0.023759873456488802,-0.007840350973446084,,0.00016605333230352627,0.01291625394546322,-0.014805064807848496,0.008725146807955463,,0.006493195636401246,,,
TNFSF13,,,-0.026463696070325168,,,-0.014710416949177936,,0.10820860212163524,,,,,0.045144297645133724,-0.02714154248881607,0.04800628663523448,-0.016895599047186464,0.07972015698012744
WNT5A,0.0076442784460830256,-0.036252933588113455,0.04948613699827211,-0.005174357413691109,0.013880222893637361,0.035082363939194616,-0.053594303461649985,0.04836302684046784,0.07234030290820387,-0.04016490385350573,-0.03472962903087751,-0.022759398109918734,0.05574623093456523,0.019747691674683387,0.04048527508412518,0.05401023518191875,-0.019930177809145612
CXCL8,,-0.044304064628299604,0.06846530345401715,-0.02398037485515117,0.05834903844112624,0.03433005080944199,0.07522691106867042,-0.017356980886236828,0.028429618793548918,-0.010796927694671206,0.0010961893761435955,0.04912534558561689,-0.09148105361927629,-0.09164247844551374,-0.05242133495080767,0.019196493902092104,0.08498694815578532
GRN,0.08443627418670142,-0.09638817091293572,-0.012403756654436871,-0.04634056930624063,-0.034029061463272364,-0.08596994339216783,0.028509114209524736,0.00811931266863299,0.08766709566290763,-0.05706546409319887,0.04615964025559103,0.09212094579425967,0.0024981528694830134,-0.08253563107252422,0.0019652160268468755,0.051988838273034466,-0.03674436612297049
MIA,-0.02747013833023617,0.01683998447203729,-0.02913099454761497,0.07832688591666642,0.05393767216589406,-0.019153993760501628,-0.02232504978126408,0.11086587787842393,0.04839179876068966,-0.013185844180973214,-0.02007832765255542,-0.03225215706594241,0.11328562988235726,0.13062615426602922,0.0019647667532594784,-0.035903349885384406,0.0010219529850610902
COL4A4,-0.02430547273055877,-0.04474993993474768,-0.025134257900786484,0.03809969130419874,0.12440985068175225,0.008503551296616762,0.01933637948644312,-0.01160994972664783,-0.016558209819856007,-0.02215116958863357,,-0.03160441576236571,0.06192312871574888,0.04894625127773773,0.00921288292105577,0.021628517806571854,-0.036530638866332406
TAC1,-0.020986962227310217,-0.04511761546510206,-0.02466617907092477,-0.020969738290113196,-0.04615245131738109,0.060902061998286114,-0.02168589899997735,-0.03193973012968703,-0.0822217093393625,-0.018173807414985293,,,,,0.05718185052334812,0.05747857188133403,0.005100447415564224
RARRES2,-0.016196803890681642,0.048961705826030134,0.024727149850930993,0.042397632514926835,0.026871197538535004,-0.021833596115955315,0.013090943472298663,-0.01138923503276165,0.12441246923253296,0.00451525594996014,0.023941820392890726,0.009558929127963689,-0.06612555708973052,-0.00977582474144908,-0.04126742549722458,-0.0017932106253735482,0.05012012313895609
FGF7,-0.05112576364680741,-0.016346591736425976,,-0.006665852796224523,-0.03809987872112087,0.0012923181307909223,0.08292990800692071,0.05567167237082893,0.044866811147064006,-0.01694604142837152,0.019926030493219202,-0.011433772350563679,-0.006301186111651083,-0.0004469857982356926,0.06841217422930373,0.02907985991167553,-0.013638744346442425
EFNA2,,,,,,,,,,,,,,-0.016440102001669357,,,
HBEGF,0.019462373522605006,-0.0004970255508153077,0.013029463211871303,-0.003143407935238163,-0.010982213392171997,0.07598765339741821,0.005918507849104862,0.11079946003972871,0.07556272514439091,-0.02977475398211915,-0.026837933461995485,0.021045398322862906,-0.02757735286701462,0.010306332796400513,-0.008850343505101554,-0.004756534995272264,0.04785004881759883
CSF3,,0.08958399920399292,,,0.09138064306843029,0.031599715816510054,0.036897716296987966,,-0.01751826728344464,,-0.022242037334573916,,-0.03505126263383499,-0.030598052389462626,-0.027581418395161355,0.021853540169641174,0.05873401624589145
PI3,,-0.05301293503722299,0.013804845329288376,,0.13408860536051964,0.00947268610749231,0.09520030756141286,,0.10021736558943292,,,,-0.10050288996725298,-0.11399436020583724,-0.009657284565765615,-0.023140480301769906,0.06173857683136115
PCSK1N,-0.04885749004684186,0.09374972684795682,-0.030918954036167325,-0.0038931281172509104,-0.03899683916207604,-0.010168472658418465,8.307889577932601e-05,-0.002399960048509651,-0.035934067444937406,0.021016597977950784,-0.014380359818056214,0.13897063461058887,-0.006839948707671916,-0.04128456485472485,0.04946600463078901,0.05748031485075242,-0.057493191104107444
NTS,,,,,,,-0.020643863343601677,-0.014173110740715736,-0.021532057787633847,0.033317082130677744,,,0.014053033615769383,0.020346270408907872,0.013930938528052467,-0.000466681191303735,
SFRP1,-0.014033693290438772,-0.06909445950468204,0.006655775194682251,0.03259191982981608,,-0.018608036907442484,0.026539070357761055,0.05623796797347418,0.003844642572802517,-0.015806280078205826,-0.0061513912651068765,0.04434189031479645,0.002942440564435655,0.056547685464454836,0.04400918673233552,-0.014206116646619762,-0.04793959427177387
CXCL13,,,,-0.027618507095984016,-0.016283939702298127,,0.00015612204842122885,,,,0.03320151356415993,,0.02346634580411664,-0.0035701838151876507,-0.02597335973824148,,0.0669777259012452
MICA,-0.06116307366915435,-0.06971552950260333,0.059779610466724295,0.01713976363402008,-0.03305115895372057,-0.0008415801064384356,0.0002866970091494397,0.018695654474517615,0.06449091603016435,-0.022609167848046504,0.013922439455665861,-0.02059934381672701,0.05765817269876735,0.044786975323325595,0.08614003020707596,0.06809755194145191,0.03873307708593632
TG,0.05329830743719056,-0.018736202172523732,-0.03474122912828148,0.002916636473798181,,0.008160993385964823,0.004058658338373336,-0.016359506014923492,-0.021142981287211836,-0.01143893613671224,-0.03160042684975004,0.004201726153566014,0.0020860180237479357,-0.02466808103889721,0.043931479921199675,0.11363089357712014,0.060275441011801656
ADA,-0.047629172458767154,-0.05275426787940118,-0.011324533451731593,0.0050399426737481575,0.002989240118160004,-0.009525481547621315,0.04928993529075876,0.11020009235648012,0.05101227838815151,0.04192841112107726,-0.04187432851703658,0.09157388849138513,0.05669389826709329,0.004681405810423093,0.039909153178427983,-0.008046213094466431,0.011543369954197675
LAMC3,-0.08035108312817403,0.021653921776391902,0.05418901976626732,-0.035469773870036796,0.01734405544685823,-0.010935814848666906,-0.026992967063802113,0.12680208311415647,0.08287483185983928,0.0218813106117614,0.0013958812382724706,0.03279481453641099,0.013779711630330661,-0.029639203032042004,0.0014525225147214,0.03545715567176953,-0.0423652821342434
CCL7,,,-0.022306420806354175,,,0.024635422072161448,0.1321288241742519,,,,,,0.048230600189279584,,,-0.020864242491471778,0.027030299205119287
NGF,,-0.025781692069048505,-0.0004928704561424004,,,0.02865534419931361,0.013466606646505574,-0.015611356636250377,,,0.004907174065039341,-0.022021848570757906,0.022865315929005845,0.03282556650352093,-0.03814958864670699,0.021133940685458857,-0.00788098332324839
TNFSF15,,-0.03189517073240386,,,,-0.016167110347666068,-0.011622856180777416,-0.01895560948185643,,,-0.014164166556256727,-0.045417504994997894,0.10231954550478786,,0.07111101617998258,-0.016664458780567094,-0.005343179873602974
HMGB1,0.03059178612481424,0.05970841340071941,-0.02321351229957252,0.02395985500503105,-0.04232401924217824,-0.040381311538231955,-0.005949374247347233,0.07055638650634431,0.027168055491968084,0.010734364801798265,0.004271418692643414,-0.05260048255844929,-0.007582304020612022,-0.039559404901749765,0.04499822116498082,-0.06905571759255598,-0.06496510004567775
ITGB3BP,-0.04103917719398959,-0.05575032031714313,-0.042499110995711034,-0.03762894665242147,-0.05256735792688488,-0.0412485642447424,-0.0329756745426444,0.08186993035261464,0.045064608145331156,-0.05584215268022432,-0.06521477159167105,0.06974919863316724,0.004640901870167986,-0.057026162814287566,-0.024316686851079232,-0.011020264708896515,0.05708128377235485
AANAT,,-0.020571140644444545,-0.010808700155496896,,,0.0049911699713141005,-0.023544138806360533,,-0.015801951167624728,-0.013185844914403534,,,0.029946198893355622,0.015253789176118497,,-0.022075238640335455,-0.023462900269256293
RELN,-0.020149876743175105,-0.04445321280689079,0.04600436884355023,0.005846615393671461,0.05585734053487657,0.030966562613375666,-0.03205166667771561,0.008838385153845413,-0.046367882746739295,0.029035121500200822,,0.020765921394244467,,,-0.020688269312601277,,0.014633357160047725
IL15,-0.01632476407330678,0.010645787079607222,0.038460566508116155,0.014039376421243288,,-0.0017778701002429855,0.020646765527642916,-0.013488043044303158,0.1636355900580233,-0.0066714565995173265,0.019604347277268338,-0.006689859841760103,-0.019554837142282473,0.031724269173006636,-0.004688481840818214,0.03672046547078385,0.0656467170937553
UTS2,,,,,,,,,0.10509384244054386,,,,0.04742886658110132,,,,
BSG,-0.06005494920372771,-0.023853116162640176,-0.012539844846225173,0.02355214545128676,0.014229494821761222,-0.01943585720707535,-0.030854643663709963,0.046757746738511796,0.023384940925854726,-0.01066586205889117,0.09143304019016939,0.004817354121957513,-0.015324830091986172,-0.04103450434366191,-0.04251908137427701,0.07386904445824959,0.02376545515111868
ADAMTS3,0.025277844610034725,0.07538290300518109,0.002040996900858868,0.02870011025702583,,-0.002570163984240989,0.022146482482151585,0.012137705694759514,0.12157231581430097,-0.03607330501149688,-0.02778945199447423,,-0.005422279754397083,0.08425527584248321,-0.00783326756981766,0.06480195618592458,-0.01070617625868735
CD34,0.011639305978208711,-0.06539176895394665,-0.005000770351707965,-0.021210187677717606,-0.03718479906606766,0.003819403509443043,-0.035317293978483835,0.11261302223301596,0.003743986631558116,0.03376596182981401,-0.007544605680835032,-0.005933042625303357,0.06348874649482578,-0.011632600324543937,0.051859261261648526,0.01587134242983068,-0.03731951984843549
CCL23,,,,,,,,,0.06608454320947126,,,,,,,,
PLAT,-0.08310438047882508,0.028437122912754534,0.026408456441857395,0.050421640515103054,-0.06184240335752016,-0.016142788092064445,-0.0042871523632217546,0.08353538983206543,0.09095311348856638,-0.028114549953923797,-0.017296815891729135,-0.008271773663716085,0.01972365209425721,0.10441147988734127,0.056856803225601896,0.027196255840340175,-0.06793532287262781
NTF3,,,,,,,,,,-0.021285099234787105,0.02402556035373631,,0.009522744589664883,0.05144692441530014,-0.012133834574995096,,
LTA,,,,-0.017880855630940273,,0.07676827004144747,,,,,,,,,,-0.029709944391584506,
CKLF,-0.0749308630969426,-0.01541009111529783,-0.003822023433274352,-0.02332722239462407,-0.013663691386152099,0.023946677008565464,0.020426100020861142,0.10999782635232688,0.08449979417637164,-0.016821337958477355,-0.04096300975991817,-0.061922313646509526,0.04706195724538223,0.10701916440780247,0.0589413657655777,0.055154865042286866,-0.029365104639839146
APELA,,,,,,,,,,,-0.026110881927918356,,,,,,
CD24,-0.03844543191042274,-0.0798452783390738,0.046642452597309376,0.05639265217831814,-0.039174567146448715,-0.012795368872237997,-0.05271035606671027,0.06986110232831247,0.0203479319150753,0.019264944172682326,-0.003323632178745454,0.032257811845306746,-0.006939276650486479,0.0607895146624381,0.017511498329688742,0.08800118060060548,0.04254779336908674
HSP90AA1,0.05069241022791127,0.032636180170967,0.020005505099241306,0.020415765986358837,-0.10142088183700075,-0.003655124398293988,-0.008968177708538213,-0.08610955683370329,-0.10069135374576878,0.027510201334902683,-0.01782082773677314,0.04195302912082879,-0.1875363885495139,-0.14372373749570774,-0.07993598446333545,-0.07397718779027769,-0.01623221149170521
BMP4,0.050351198444879806,-0.007055388202823739,0.06484085950765606,-0.018954755144655572,0.034966257307382696,0.09354418411906157,-0.013264452295391445,0.09665239630569647,-0.0005241667227292408,-0.017004350291927112,-0.0005547301798912075,-0.1119618734145774,0.03821175519522967,0.011998595282670187,0.00771937852348425,0.04797185275225533,0.0007361524322096922
SCGB3A1,,,-0.0223064185757419,,-0.023971191292276463,,-0.0017965521705591882,-0.01721772549981214,,-0.011122389151953838,0.02884260700587514,-0.04330775468235097,0.13641799373148542,0.008750057535156851,0.04071652520695564,-0.025084501578888186,0.08504057492720868
