,UKF243,UKF259,UKF266,UKF275,UKF313,ZH1019T1,ZH8811Bbulk,ZH916T1
WNT5A,-0.02189321302123249,0.0566106647764753,0.13428347605914137,-0.029920668147006536,0.018041102920864124,-0.008559608381477705,0.01708842850775549,-0.004672696323818381
CXCL8,0.085171359068561,-0.021652731476642977,-0.01735697704114257,0.03903025798709776,0.0679469378083165,-0.024108793238799282,-0.0044896843147672,0.01747302971969499
GRN,-0.060986818411149,0.04894633317860218,0.11116873418510734,-0.020183603301592905,0.03334475568156291,0.13399481884072878,-0.05866204240989783,-0.05655837208493629
MIA,-0.02731201953386667,-0.02613630736204686,0.01179255742642557,-0.032807728276118726,-0.02190440446730187,0.062243378517543434,0.11501543977275991,0.022523532741918952
COL4A4,-0.04019876485718682,0.03639183912006517,-0.01160994715469414,-0.017426635883920762,,0.03710339626106605,-0.0013823279661865225,0.008389303974187823
TAC1,-0.0503458190491202,0.043599079737901246,-0.09047727401942295,0.014520854474409088,,,,0.07898763118255439
RARRES2,-0.019905202446367454,0.047367266979048,0.0982061962481719,0.011981459842193664,0.022299754343924075,-0.03483764344890921,0.01847402063464121,0.05921613640457475
FGF7,-0.01723820031124803,0.01375755544590997,0.03575488804198404,0.10003352431484222,0.05750425408141879,-0.05590212334765802,0.056412027815865316,-0.008378260489982981
EFNA2,,,,,,,-0.017366342341286298,
HBEGF,0.002050802647143109,0.01200152713025149,0.06834793753497219,0.05096502148036031,-0.025447771974966595,0.029539806358405,0.04416589169482278,-0.018812865392581087
CSF3,0.004423032746872659,-0.023850078413650333,,,0.00704516402013664,,-0.010752799692343098,-0.013783198621778148
PI3,-0.047621393750652045,-0.0052324201267012855,,,,,-0.017240289012633397,-0.0299463115862821
PCSK1N,-0.06804580861278711,-0.004835873900937793,-0.022010245860212444,0.02318349023311399,0.05204396742565117,0.0076403488488665655,-0.019999582588178706,-0.010629725345943473
NTS,,,-0.014173107600944649,-0.019907905780732916,,,-0.021157592646275303,-0.020411037665108524
SFRP1,-0.025095107793105614,-0.01745942755670567,0.009910584881998396,0.0257825755371737,-0.019777956076042984,-0.00014041293684158778,-0.047299268896188844,-0.01993673685994899
CXCL13,,,,,0.04162997984800002,,0.015887155666407703,
MICA,0.07913516187733569,0.04867720122048166,0.04446814177025272,0.1116626184469722,-0.010273332877277797,-0.023137525962289875,0.02761157480233392,-0.03568346276178608
TG,0.04146027487148815,-0.01884148850488326,-0.016359502390799974,-0.016816241279795398,0.02423319262773468,0.02461314101655528,0.005674674256826075,-0.02687986635256958
ADA,0.08705200800880185,0.05799436121493607,-0.008456092515579095,0.0059359842503492665,0.004941200125600083,0.018066308739611462,0.07238067803131198,0.010734724862506866
LAMC3,-0.033625756792794476,0.003237822262328006,-0.009715066189538785,-0.008468575265791973,0.08320079562047082,-0.007996992049026532,0.08198765747006904,0.01619942103570632
CCL7,,-0.013622366085432245,,,,,,-0.014443456085534165
NGF,-0.023159632808788095,-0.03121232001738241,-0.015611353177864488,,-0.00749171009299514,-0.04632515116715156,0.03121513305861548,0.03024708055747721
TNFSF15,-0.02865135618553449,-0.015169170897519346,0.001493840810558361,,0.08335941651871741,-0.06415260581163966,,-0.003980116305274911
HMGB1,-0.06351823381561902,0.023305772400342793,0.0009933040329968934,0.05472357453873541,0.047038952566729714,-0.11523811476312604,-0.07824169466058227,0.013921594831658163
ITGB3BP,0.04263637523974733,0.0031181295720689615,0.1001678486189752,0.0194555184686996,-0.03181445958663171,0.014945994582149276,0.009148689794720251,0.08324731201852135
AANAT,-0.027148643559829082,-0.01380239558542272,,-0.01512294405733993,,,0.046074019732414706,0.09169333478415181
RELN,-0.03993221558233057,0.05234388759929243,-0.011158104044574188,-0.033295841111732005,,0.1686324004053704,,
IL15,0.0021192026673834716,-0.011972630771541867,-0.013488040056295208,-0.03639654350563712,0.04408800317037406,-0.032926886185902435,-0.042370305489256216,-0.020142319780368005
BSG,0.061190905347628666,0.004272727584613808,0.09361488853682273,0.0019014626972707175,0.0030525942371276643,0.0641688858036378,0.010707374382431358,-0.0007806125615472952
ADAMTS3,-0.055894466772380164,0.06424011112902317,0.01232337986285509,-0.010389399208157651,-0.030316837484926685,,0.0019253172672303546,-0.02720499093962711
CD34,-0.0462202534679429,0.01553247449634473,0.08316291503643643,0.026433465195686647,0.02186682811259104,-0.03792244913453977,-0.034989923221821415,0.027602068954755116
PLAT,0.033598764416159,0.036794316131265783,0.09679574272665184,0.03135829006844121,0.07357439752559065,-0.07259538187140734,0.02026048553000741,-0.021397810673432473
NTF3,,,,,0.043321728759229884,,0.07424999385169348,
LTA,,-0.01745942673992621,,-0.01456497118447195,,,,0.020458022124887426
CKLF,0.06307148832067067,0.02634103886151714,0.11181505840111143,0.01344083220127211,0.01319368519836954,-0.11534591947842804,-0.010883246720410696,0.01045513869903843
APELA,,,,,-0.013913419466725595,,,
CD24,0.038832514298198506,0.06945926999582125,0.08665673672067697,0.03007347843200191,0.021503564899227893,0.08351946896557191,-0.05032170168835308,-0.05568797834282171
HSP90AA1,-0.017878571091047325,-0.0041596906157414714,-0.12416602585373152,0.03264460339889148,-0.0352716018260487,0.018222458920989323,-0.054897206840313025,-0.047561000069124414
BMP4,-0.05012311054311849,-0.04073493850182969,0.0859629928750906,-0.020603236870049797,-0.0036245351392594793,-0.021565820305969697,0.06185909373476931,0.00554675587449562
SCGB3A1,,,0.026166206862016567,,-0.019414858192683113,0.13564095452583336,0.018012911634038068,-0.030284065844311814
IGFBP4,0.013711348561850306,-0.04623251247381179,0.11798650625471106,0.09963418857314721,0.010136284578037245,-0.0005404373537415572,0.0012803940057785582,0.04139583480365896
RSPO4,-0.028291865888917626,-0.02672471152404453,,0.11220127502946968,,0.05512060096775605,,-0.027125682295339425
LEFTY2,-0.021307479267102837,0.02175054162194577,-0.038662578643133765,-0.04171717479468374,0.004180978491607713,,0.06425019043344948,-0.037375326962842514
PF4,,0.0851894127020996,,,,,-0.0159174550836802,-0.020566966569655516
ANGPTL2,-0.021855889120804484,0.02292901449698766,0.15930455807586827,-0.04284649871163727,-0.06851248800321849,-0.008311352475248392,-0.015232684110759362,0.06607169859754201
LRIG2,-0.038089458320175455,0.04547018746189443,0.09221476228254828,-0.010666704210472352,0.07542225331838846,0.0027263756692373128,0.03356592740579698,0.021567296950425936
ICOSLG,0.10793954584289565,-0.010551413881648462,0.005503717130180788,-0.01455266037772647,-0.028535616831352823,0.09848373032368696,0.047207655757726945,-0.0017873603497284621
WIF1,-0.04691902317503622,,-0.0865300249618818,-0.01307215677659252,,,,
NPPC,0.027408966240088845,0.044781574787910026,-0.03303213818669687,-0.025499624366466765,,0.006383521249629459,-0.030116892124600433,
LYZ,-0.030893547246748018,-0.05246023646519897,0.08890261498835643,0.07172682802995427,0.06231357712426153,-0.08091047135392243,-0.02119898876362504,-0.016691271104781635
EREG,,,,,-0.001847627229554216,,-0.031585304098815555,-0.016129457468919046
SPTAN1,-0.08933606538441835,-0.008960382448986276,-0.05575120132684474,0.06029773054244849,-0.0003521857202558021,0.049650801084427584,0.003289474864647455,0.05390474865747996
LIPC,-0.02767572366229647,-0.021358672302827092,-0.020916491613398966,-0.012055054464984572,-0.00969434297999061,-0.01193861729401493,,-0.026004430294062863
COL8A1,0.055868544854444424,0.031105664976941422,-0.003786292129127038,-0.011916227327499408,-0.00043700335131469466,0.008212388530475394,0.04186457959901079,-0.0060906414578818825
GSTM2,0.052910168080933365,0.030348771389362206,-0.011405954067412658,0.011189242073133477,-0.013966086753466885,-0.04614449168076136,0.008036386673876576,-0.0041480436176115415
SPX,-0.024500315817466714,-0.017984019386515494,-0.005156088475372265,0.007461695637300344,,,-0.019763555033007845,-0.008962222553796794
MFGE8,0.10692053494415456,-0.03256725687768927,0.0535772866452621,-0.025114153826797825,0.07839100038151804,0.01209670283770235,0.0329555261433632,0.06297113058093247
TGFA,0.11726576309734316,0.057390391458893845,0.08298694609097967,0.011578877664432767,0.0017840966870305457,-0.05855863904443888,0.028454483138412735,0.015535966293125812
SLIT2,0.05661210358936169,-0.004405431671976748,-0.011022013751851465,0.051080684680437034,0.013874824079122116,0.04221741319305558,0.03677825765974485,-0.029498477150255772
PLTP,-0.04293673789371533,-0.028686223795460892,0.0594574756162748,0.025173630258176354,0.036409378719477525,-0.04773320208203143,-0.00793477958857305,0.001129612488083348
APOD,-0.010627551356144937,0.006928973938393143,-0.007891630014448972,0.01098269092291588,0.053256846573489426,0.05171314666921368,0.029379192666983744,0.028313313870101914
B2M,-0.09625882353488048,0.11126584772219783,0.08325690352286771,-0.04950701790236839,0.08226182330569998,-0.006298810911145425,-0.03638398043753428,-0.043695054873284095
OMG,-0.06887225452221096,0.01780678022832456,-0.046650185838170224,-0.010610073985050452,-0.012938798620276403,-0.013116202464376918,0.039418026486669415,0.024561640116393474
CXCL3,0.13169521959447894,-0.013845237150265498,,-0.021499158668005114,-0.06080690609674649,,0.039008275567213126,-0.017258779151644203
CXCL10,-0.012029857222680483,0.0619898360386429,-0.018436622724121308,0.038146360232805474,-0.01763043858836529,0.06028869478050418,-0.021349921681550286,-0.0008352207817252761
RSPO3,,-0.013802394565581955,-0.04477102746116491,-0.025585231016716743,,,-0.011573096456308192,-0.014657283646789632
CORT,-0.031720166361204914,0.0074780568616880155,-0.031031874225448498,-0.011972380744112008,,,-0.016656807722844662,
NCAN,-0.05808239493266244,-0.025272188077077953,0.08565956864300434,0.018361644534801026,,-0.07062192716063485,0.016544004326769793,0.021283023620550682
PRG4,-0.04329057949820293,-0.013622368208275785,,0.08311315069626891,,,-0.02457813909251067,-0.03320269764993936
ZG16B,,-0.01581042431780873,,-0.011573191792039271,-0.006186194212260004,,,-0.01827605529242201
TGM2,-0.005197750435077765,-0.042942970212074306,0.007998714364991584,0.012911786801456826,0.003066893661801764,-0.016230171087787505,0.004746898668284547,0.0036561291091089603
VEGFC,0.04112950572817155,0.0003571400530291571,0.025419370980445014,0.004159162901327834,-0.02483240166343945,0.0009194172018509848,-0.03337417196463155,0.07477994520282413
WNT6,-0.00967247068649621,-0.0033761902133651114,-0.01383457313771888,0.007524596851772435,-0.02577295566864541,,-0.03095742164948594,-0.02207209292036598
NRG4,0.048472745426690104,-0.016579045276599123,-0.01693607500138184,0.0025470493191789914,,-0.04464145245353115,,-0.014657285289521434
PMCH,,-0.02297188241975033,,-0.016939947362881694,,,-0.023370392364603886,-0.0045236251032444936
COL9A1,-0.032581606258005796,-0.01731560275774274,0.14289834299098017,0.034108346726729105,,-0.009310843572969954,0.02943836262122786,-0.03634971302391005
GDF11,0.06934966849150419,0.010256175059768065,0.08253800716486494,0.011541293554068539,0.008258052948935337,-0.02646426488172572,0.03941616823144386,0.01863792839989628
RAET1E,,,,,,,,-0.016078937819783826
IL24,,,,,-0.014534317223560902,,-0.015663659355102638,
SORBS1,-0.016390934298036387,0.045242570041761604,-0.01712032237953948,0.035875051093831795,-0.031361978255857625,0.01754817573552688,0.011164711290323976,0.0287887138955212
DLL1,-0.03514311650386303,0.005355727941618355,0.09688319346566995,-0.03876023606737717,-0.052787504439968685,-0.04950600439899612,0.08679549916639487,-0.027801690227666584
TLN1,-0.006411033901098652,-0.042968237955870514,0.06794989402413305,-0.01179204284839916,0.04855869078777032,-0.09447522115245335,0.02910197996540949,-0.0005947966067346411
COL2A1,0.047721089090636555,,0.009210215833417539,,,,-0.04082428791013072,-0.02133130173116076
SHH,,0.10669335290228718,-0.016359504139690804,0.008669173011600265,,,0.06953304739300374,-0.025855923746584963
PON2,-0.006725720120652436,0.012202268974439613,0.01915677389145005,-0.009532853248280045,0.021555893311216445,0.033956576658144826,-0.015339042976668792,-0.010974974152074778
ICAM5,-0.07002284360854957,-0.009071601545378205,-0.03847685458717599,0.018806533790164972,-0.013758517065122673,,0.07680100362017392,-0.0037523193989213825
HPX,0.010941942228231557,0.00806120173389254,0.09275281129327963,-0.022711671610097982,0.0023145354449792496,-0.0580743410222894,0.0064764949653260745,-0.02130895887181384
SFRP2,-0.009255677422219022,-0.016122010027842505,0.04660783318079621,0.04032815486280825,-0.014344087275511225,,-0.005174657058141184,0.00872852111734806
CFC1,,,-0.02337704450720437,0.004356747012514578,,,,
CD70,,-0.027402829885381723,,-0.02716877256697735,0.03384740127538321,-0.0484489369192417,0.0001647234758302992,-0.022362337079044108
HP,-0.05005078142353679,-0.05193187445470696,,-0.010718783396225328,,-0.03675010215065822,-0.09175750419991652,-0.02192569566297963
CXCL2,0.059452905406967814,0.023962412818877853,0.014549854223845677,0.07853777349524502,-0.04389617732608524,0.11061699558859964,0.047045292614736736,-0.01085790272868547
NPPB,,-0.020148144332849355,,0.030179914389825722,,,-0.006498029798747162,-0.014868183541126158
CCK,-0.08915069786928757,0.1120947003543495,-0.081893439138316,-0.03901611335314665,,,-0.030159371622168196,0.04473184507109716
SEMA6A,0.025762308284789426,-0.005530939120700659,0.10993169956757282,0.051733157212413,0.020560957125070736,-0.10003817928185658,-0.05566753382315345,-0.03180358422802559
IRAK4,0.024510332776791526,0.02594269903785225,0.13574204251185634,-0.010924500394804575,-0.024729357626525693,0.02309299901760289,0.044835268586548495,-0.007497449595809899
GSTP1,0.004647843728344202,0.010037588444430059,0.0929111225976907,0.07089489272121564,0.09445438119650475,0.0003616086440663488,0.07330814608304069,0.059210420875292664
VCAM1,0.020943920579587647,0.0248374268671964,0.09978743198296912,0.007323055914716291,-0.05144341603205873,-0.07641401228565743,0.05345943326910108,-0.060382036687416894
NXPH3,0.0509932792736444,0.09629939852052966,0.09493037931436764,-0.04797146842021545,-0.027426758964775907,0.0018134441720078184,-0.006425518864948916,0.045911178951250395
MTMR4,0.03174289304469851,0.09359929851842991,0.01957304474076601,-0.007850929332845384,0.013296445499236401,0.052933044746409225,0.02281831620532092,-0.0058588974553997865
LAMC2,0.017643366566448535,-0.021765404477820053,-0.018955603419595738,0.10352463039120872,0.05362518509260642,0.0007249999345864352,-0.020570779871725738,0.0003404719420373896
IL10,-0.04253489528810479,0.04029929665561208,,0.03203844445193995,0.012704710399725674,0.045625705443781674,0.004805257068580113,-0.01141401258989807
SEMA4D,-0.04289123895035562,0.0008087082487211393,0.00273085077786152,-0.030862588451067204,-0.04052400920824607,0.01847596142454799,-0.0011843097131398017,0.0667494996637009
TRH,-0.02798386854715958,0.028889025412225953,0.06164717392645979,-0.007195651640058874,,,-0.011087822529150627,-0.01665336264836633
SEMA6D,-0.01711926857335001,-0.0048905348201141105,0.10139792138417975,0.0056267608876335515,-0.01958545079557108,0.007676788917321828,0.019568777503807318,-0.04433201014186337
CEL,,,,,,0.046692892339165855,-0.025573000949440476,0.02634460846860253
PDCD1LG2,0.06328475917192722,-0.046424545330743756,-0.013311585157429607,-0.03708296596050864,0.07256091572554733,0.0024325586250905223,0.014891057622202468,-0.019707902348240647
SPINT1,-0.04150995492478951,0.0052427774549200674,0.08887493904521189,-0.007585359727169221,0.03261940569829789,-0.023736206767587736,0.016313111760432007,-0.04764302816282022
CTHRC1,-0.028480488092470186,-0.03083626446334206,0.14846368056078663,-0.06325890389969102,-0.06352155078520949,0.06353457431524495,0.021204877835994472,0.027314602674465782
PODXL,0.00832683383125608,-0.015492417540874343,0.11303431532952866,0.01581537199949277,0.08220044803442865,-0.0008036223726797043,-0.07187245491456978,0.016062560595680394
JAM3,-0.013934417963603377,0.025987793996602088,0.09599367710128352,0.04403403264672953,0.0016058875469147054,0.04150146896709514,0.0211382226594005,0.04191444190237424
TGFB2,-0.003311005369646706,0.014415917647117301,-0.044333951589642775,0.0025155007474303745,-0.06003292216539715,-0.04138248273946091,0.00048284168302957167,0.00824139249202695
COL18A1,-0.061101172057424824,-0.060452696806886946,0.12261614737930387,0.02213263398903528,0.05027490142839261,0.005383227428343915,0.0002523705653976979,0.037662800673739255
NODAL,,-0.027878700812911394,-0.01576557808583746,,,-0.012951163369021032,-0.01934830907631637,0.08356625464447273
INHBB,0.04278454431239914,0.017394352360145082,0.028339641552867365,0.008511038193326584,0.04579660516609607,-0.04518639238876498,0.023761087646459508,0.0009179414194227895
LCN1,,,,,,,-0.01827203068048997,-0.01684078673372753
