,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916inf
IGFL3,,,,,,,0.03612351392214933,,,,,-0.018439184577878843,,0.0045650594330301905,
BMP1,-0.0022717472469920945,-0.016006702414090645,0.033230482316744865,-0.01742219920036894,-0.006122862299386899,-0.0036963765060545523,-0.013587002366738064,-0.061530010105089517,0.016647610652627588,0.047599195246282554,-0.07699781074949058,-0.004230474235889712,-0.004455243809036171,0.02053530653916167,0.07844403419568123
NDP,0.008202148761243607,-0.06882137631536657,-0.0008638541205231942,-0.049115505543111095,-0.023479910530765213,0.007498632779261809,0.013155947137710277,-0.0017417631886388143,0.036594673999130904,0.07737570152231538,0.05306196775574718,-0.030682781113138928,0.018235558336565875,0.052469204284309096,0.10110886719131165
TNFSF18,-0.024338515289269277,-0.031518318982606694,0.025112402970941642,,,-0.013800791090967235,0.012853116438878619,,,,,0.007371547768115461,,0.010676308368815285,
IL36G,,,,,,,,,-0.01984603688346735,,,,,,
RTN4,0.08209791275738297,0.00600476501547398,0.009939701000219788,-0.00012057033653803017,-0.05217689490804433,-0.004107518779231966,0.04577674574762695,0.09869631516022305,0.06377053303264302,-0.05153371571497641,-0.05028748168853809,-0.030019934148496772,0.033458465295054314,-0.003337396268647974,-0.03312684769393779
HEBP1,-0.003185816475153729,-0.030598223674455312,0.03694137413511107,-0.04277423589266057,0.04157065392732224,-0.010963347232264595,-0.03697520258551493,-0.04739116961316743,0.03208179914289699,0.024438486087439756,0.027859598100819824,0.001222230728499242,0.07098742864751369,0.01874310033483322,0.0760001090139088
WNT7B,0.05247189610840792,-0.030693195152917283,-0.02082429694652353,-0.032553776998981085,0.0730738820696125,-0.03555619892733935,0.012729426750104652,,0.009188333575744946,-0.003262748458805369,-0.018532870153675565,0.010942579003202751,0.008637052602234805,0.048273338001114836,-0.04442606468682174
PTMA,-0.007664421265274011,0.056489069008783414,0.025066588968598705,-0.08764762468523703,-0.0028509564650345616,0.03651442865460104,0.018480021580165065,-0.0767450092848064,-0.02344665513450016,-0.0792090451793847,-0.0013423915084736558,-0.015672008319853867,0.013075766519124213,-0.04009387650288804,-0.039347352584208066
FASLG,,,,,,,,,,,,,,-0.01577285756630077,
CEACAM1,,0.04719976221117181,-0.01598139540933453,,0.033128285396827224,,-0.02937375246857255,,,-0.015792821138669096,0.02483471896375276,-0.027324014726994073,0.0028719856524320447,-0.021945614692405434,
PDAP1,0.054497505254091395,-0.028490954531578738,0.014323942474985682,0.03488152910675223,0.030455889377766436,-0.042398722674970725,0.03651728270639856,0.02246257384427394,-0.05965265740129569,-0.0027432445708242986,-0.030180300501355103,0.0225877395034551,0.008085491668933766,0.016291741279275646,0.014432278625846196
QDPR,0.04377188965012667,0.045857898958690954,-0.02395500386904583,-0.0032829549934926113,-0.057663899308651935,-0.02505099835819934,-0.025844540910565605,0.030250661364635074,0.0014867455524789957,0.01173314362192139,0.050420609680610864,0.015776730929342262,-0.060096294270344755,0.02916874277728165,0.10060682166026802
POMC,0.11588492107271023,-0.015216004048464347,-0.017177690489313252,,0.06295210471045827,-0.016158436964233275,0.07604499310899836,-0.08329929296284862,0.010824774201657238,0.09297608253529385,0.01295327091791545,0.02423780150387214,0.07562544508177102,0.02605244723505751,0.04935286030930375
CCL18,-0.01358645797098878,-0.02503366631996061,,,,,,-0.07467243930183655,,-0.03761847077612879,0.013014967731769392,,-0.03603843765294705,,
CCL17,,,,,-0.020512773156642898,,,,-0.018129918121843513,-0.021220105781038032,-0.04540486924496327,-0.024310999726083932,,0.014400840406106572,
VEGFD,0.04044000199648244,-0.025033674269322174,0.019419893958509585,,0.02826578242397717,,-0.02518193045441835,-0.04002416554488744,-0.019430394795239118,,0.020707627799575593,-0.02564060113751367,,,
TNFSF13,,-0.018891213929525648,,,-0.01414925183403284,-0.0133838883508118,,,,-0.030382713638498093,0.05240247118180762,-0.02607040323212467,-0.0295248785374099,0.031643980257894964,
WNT5A,-0.013508689061916962,-0.02977193804084429,0.06591324825193177,-0.03300711574687809,-0.028617875031104186,-0.023463848944217457,-0.0022758451800001414,-0.0028614944981519624,-0.05319590297065458,-0.026660627470601033,0.027322256895484023,0.04156196474051375,0.013688115715809078,0.06417121679047928,0.04412504008233262
CXCL8,-0.02271841869804084,-0.03251029254031492,-0.02143297277611064,-0.0032679730809031856,0.08150261179484941,-0.01903771311133279,-0.031807018930598445,-0.09120169038578949,0.032506045097818854,-0.009888196290985491,-0.12505012149875336,-0.03451632018706431,-0.015392765017108193,0.03694934659969197,-0.06820543657950963
GRN,0.05074759957921788,-0.04334942406269843,0.00733220636910181,-0.03689595071623769,-0.09401132150208054,-0.05856097684083717,-0.05277871179900128,-0.06303022402237136,0.0025307657861879545,0.06232504330320472,-0.005165900627279111,0.018548681567848727,-0.019660786586184243,0.06400432643609906,0.08388625267135624
MIA,-0.035199575970316796,-0.015518247714733088,0.011026234854445637,0.033642247953005494,0.05101083041376677,0.04052097691339758,0.014025440468345298,,-0.014033120398835653,0.11922390746024264,0.1460386066331836,-0.048202873210235204,0.013847287923915881,0.02725116087544245,
COL4A4,-0.004266331503705987,-0.006588538221048765,-0.024533736743744258,-0.03301214215083188,-0.021699531526527482,-0.012734178460044319,-0.014812507443028112,,0.0923958353959019,0.10226505927111217,0.011643368069607888,-0.010470411159444989,-0.03781191032071775,0.008345549163720165,
TAC1,0.08330478304032064,-0.027118264880291777,0.007717436151658544,-0.035719738193532774,0.01924629547568874,-0.014585812346563221,0.096879244934671,0.014678331348668906,0.02117093328817909,,,,-0.03718789695814453,-0.01879397132348594,0.004124907518898506
RARRES2,-0.025131416447373923,0.05258126639053924,0.013148243433682361,-0.027176533398648287,-0.05243513273053348,-0.027335262602150835,-0.057205131111707316,-0.16051262828883878,-0.020985759175716472,0.03967718910610706,-0.033437361824956796,0.042253449415967904,0.023385429426307034,-0.02986539411432054,0.08362900792225726
FGF7,-0.007351698959929948,,-0.025835758477956394,-0.03925723119363443,-0.019999134010519632,0.029519394865603177,-0.04221339088525557,0.020434238759769047,0.008072215437063537,0.023629751753110356,-0.006864145130176435,0.015962986685012497,-0.010934243266852384,0.043902432255284396,-0.007917835205333245
EFNA2,,,,,,,,,,,-0.0017541638679990834,,,,
HBEGF,0.04821540166722192,-0.052257044383198316,8.144845355189058e-05,-0.022735042216343145,0.07732077080566678,0.008617483882597988,-0.03580366421902862,-0.022250810865775114,0.06078727984596472,0.026430281880216913,0.000210110265537819,-0.11152916489396911,-0.011611075650984157,0.012773924834658832,0.009391750752686799
CSF3,-0.03702111449874469,,,-0.00033537292371930885,-0.0012396565930469104,,-0.015671347769359047,,,0.016571466485129742,-0.08449529521499934,,-0.027139973349894316,0.0954596142273179,
PI3,0.0999006964054277,-0.026336472431884726,,0.04336121296945927,0.07056661734780964,,0.0038168993266750506,,,-0.00821207863355138,-0.10650554887690808,-0.020656159301785722,-0.01214473786983043,-0.03270261193243654,
