,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH916bulk
IGFL3,,,,,,-0.02143859365324738,,,,,,,,,-0.016113797364400585,
BMP1,-0.007103263070326752,0.017381544894433925,-0.013245435460700077,-0.011017601742741082,0.028742525224040392,-0.024590867958585845,0.005406347456565341,0.023075923561037714,-0.04609484906400336,-0.00024525865463002054,-0.14854006335154074,0.0013706357190154507,-0.008284437299350956,-0.0712285080137614,-0.005890685914314949,0.004266947744731508
NDP,0.022774008062310003,0.04820553854983665,0.0689239036966404,0.04909600514793344,0.005036228387433958,-0.08504901095823372,-0.03247735740767345,0.06800132948995995,-0.08002483274239353,-0.05770120612884398,-0.06014315767277793,-0.1026201620670293,0.05542882502143734,0.005975145211544796,-0.032189910694286124,0.006515986084881348
TNFSF18,-0.019872599663920746,0.06667847174924674,,,0.015311571060607316,-0.007688100549052515,-0.016905244278007825,,,,,-0.003934387960510377,,,-0.01661787479667996,-0.04410658428235251
IL36G,,,,,,,,,,,0.022244565833545275,,,,,
RTN4,0.10384653791459224,-0.01047763782232899,0.0443358731967563,0.06928418956961341,-0.001060298110617504,0.107251987086375,-0.007435019905202142,0.038244878756777546,0.20357274638813763,0.02673278449752363,0.22156844483214766,-0.019340167454226887,-0.0644725401728205,-0.043684416636057474,0.0022799001993489554,0.005508005820325875
HEBP1,-0.018662462749528375,0.012638057029193243,-0.005930623418713191,0.015785351565838036,0.006438772298753427,-0.01359556937211508,0.0010434900968434061,-0.006526374484615181,-0.1273757654349752,0.039141444748120674,-0.06790019199844119,-0.017469136154972364,-0.017388689006996486,0.02938085294009107,-0.005156785797479808,0.008255529016420658
WNT7B,0.0810257735941199,0.012774709578656868,-0.018976416867760977,0.01933036119050755,0.008378743068606252,0.03973094423859748,-0.005246457413632089,0.1301955009101197,,-0.03332092473330617,0.1667050933333459,,-0.031398362956323034,-0.017163359730975436,-0.03474932055094838,0.017955331003735732
PTMA,0.019076723049156554,0.09106504214411804,-0.028509228039930258,-0.02700550269768762,0.009304699341216324,0.04499007512717041,0.0362828100267011,-0.045590248121235626,-0.24729751624054344,0.015308331303471145,-0.22167129830302176,0.08058417530270164,-0.13868506667952601,-0.04590030532323715,0.0888939593118144,-0.0993683526449606
CEACAM1,,-0.022149907404722936,0.03883570926426121,-0.014343777790455245,,-0.004521400881044953,-0.004793492304896312,,,,,0.08518197620102472,-0.028158554817743837,0.0678970932076271,0.06486038094140419,
PDAP1,-0.08277361040418536,0.028987939409177512,-7.830541323918615e-05,0.06008865994924449,-0.021382926943017442,-0.03107758340876927,0.03205352273677804,0.03623624345858497,0.0035139018736080876,-0.011487959696493109,-0.10105045325222596,0.071482197409487,0.05714267330626448,-0.011049658117121972,0.00971662179108875,-0.005594901884012305
QDPR,0.05107646282655013,-0.03695265573559603,-0.007995960330385278,0.04930923515449773,0.05019399447630448,0.007694052322355418,0.050018291004694106,-0.003401865149595294,-0.17353180801829712,0.012552232210289508,0.04959840998740056,0.07843083920798767,-0.10722105408610594,0.030837548644758198,0.02570137458451528,0.04404771067440225
POMC,0.023209516250254428,0.02297660849890608,0.004858239060432895,0.02289219732813019,0.05553346014996801,0.030764888775859308,0.008351748092315722,0.02107411628854768,-0.043474165884804225,-0.029382498271004066,0.07130931313527909,0.06176609150706568,-0.035949803758060554,0.013809431715381888,-0.007492813900937252,0.11858699563429095
CCL18,-0.02665079015845497,-0.02764099162864122,,,,,,,-0.10762299602277213,0.014957727774398369,,,-0.019964878336832626,-0.04553869592234644,,
CCL17,,,-0.0053748621878709855,,,,-0.021084130964639458,0.01782759645549775,,,0.01855985305435332,,,-0.012019758763398853,0.0738305418483433,
VEGFD,-0.01037544666413779,0.009512261110629807,-0.02210357355131242,-0.013723314471622573,,0.07287405408305798,-0.022463358222490844,-0.01929659064325724,0.1623459015392507,-0.019852003573928297,-0.026781014834919774,0.021760655575642544,,-0.018648620322290733,-0.022407034827721387,
TNFSF13,,0.012818525047397611,-0.013684954324444365,,-0.020212607707457392,,,,,,,,,-0.014856679932115218,-0.02278263407562226,-0.036579605745036894
WNT5A,-0.021598317065691767,0.01952050548997762,-4.019467046775805e-05,-0.03668397937615002,-0.0479285414289664,-0.07961594487711067,-0.006255716330355456,-0.026605909594467708,0.0026197669825490004,-0.013205164505644296,-0.03354710233742116,0.012624560435067636,-0.0060519061248643525,-0.00278555943116996,-0.028254362123088465,-0.025323649789383337
CXCL8,-0.06112168816640485,-0.06507693685646872,0.011093709059002383,-0.025971741365029645,-0.016070597960146683,0.013464282860821426,-0.03360601096547701,-0.01796982425065655,-0.08002007684985282,-0.008609486837827182,-0.06289954007738738,-0.009600074378191338,-0.03515131164699011,-0.09981431529630543,0.003995186577705751,-0.051942779239564515
GRN,0.004686574674131251,-0.07524667826830851,0.025087526789961626,0.03233331912063392,0.01857637923345947,-0.09667763388167536,0.0004117664715906242,0.0071579454707713696,-0.16459807286209718,-0.000252918198458598,0.026961686723386013,0.03581176987780643,-0.014483817335256,-0.0400361262356961,-0.01571615267704257,-0.013317239852428879
MIA,0.004983227345103238,0.01591479744872775,-0.0035399221637122482,-0.04164127791664792,0.08419149142266384,-0.034412900430633345,-0.02677806346763988,-0.021945808032555015,,0.04630831750861771,0.0028353723982539165,-0.007557432313314941,0.10478092996829147,0.051258126353438044,0.024979511654916867,0.04204671947955271
