,MGH258,ZH881T1,ZH916T1
IGFL3,,,0.04952448241291649
BMP1,-0.016701356430324513,-0.06698362947868877,0.024668764866921288
NDP,0.032681728696810956,-0.00514309464155792,-0.016858181327482645
TNFSF18,-0.01871251288730824,,-0.011694888237285463
RTN4,-0.06625593152803108,-0.00849611644626874,0.07786330947017109
HEBP1,-0.01996491409280125,0.034964539855413,0.04195214693661109
WNT7B,0.04089962699478764,-0.008598296145358068,0.03219582055263198
PTMA,0.002185150963654426,-0.010880740408223778,-0.054818620672095975
FASLG,-0.016485142421823133,,-0.02702587992968029
CEACAM1,0.15929131150949172,-0.01603498306079712,-0.015034048069894937
PDAP1,0.01940604127595978,0.030569260482222298,0.011185103477059258
QDPR,0.010768933783887989,0.02417715096271039,0.06336676049002002
POMC,0.016064472736249984,-0.011677813792504583,0.0013996594027282274
CCL18,,0.013341103946919883,
CCL17,,,-0.02449592461972045
TNFSF13,,-0.018006211272057714,0.013922076998728721
WNT5A,-0.019641332713884223,-0.007309930100371957,-0.0009423375017347556
CXCL8,,0.03335716743812334,-0.021217721642472074
GRN,0.0008180984982537363,-0.02458956534988585,0.018565941499390896
MIA,0.023307750436663274,0.03090668386640233,0.03423168449222922
COL4A4,0.02846202205186784,0.01664397191982686,-0.010806544533766449
TAC1,-0.01648513345293544,-0.027664913865814572,-0.03220238376307797
RARRES2,0.021471680692240706,0.022192826127774158,-0.016379781677598713
FGF7,0.00817322577794413,-0.06445582882635828,0.05436036663925573
HBEGF,-0.010958875801035058,0.03411607001595701,0.02375291949352381
CSF3,,0.00971105071770101,0.03988697937683588
PI3,,0.043460877212698444,0.013754501238085718
PCSK1N,0.03250235807782177,0.018553345974253004,0.07737705938870035
NTS,,-0.009899834864599888,-0.026942848704729898
SFRP1,-0.00487506894814457,0.03434860311034128,0.018059929619882235
CXCL13,,0.0032442153658303265,
MICA,0.07109550655252524,-0.04014048506117969,0.07261645536940729
TG,0.028462015637841585,0.020217717721742915,0.052470040849676915
ADA,0.0048680027391697816,0.005490780011108044,0.052739851299409064
LAMC3,-0.04241226398126819,0.012001486990366338,-0.02110820548204502
CCL7,,,-0.011465218273360283
NGF,,0.029117140880369444,0.011868349740323391
TNFSF15,,0.09181348580097702,-0.022517947518226635
HMGB1,0.041361966036702454,-0.0052104232637968885,0.00404881821345219
ITGB3BP,0.07601974837355945,0.004652767633305976,-0.037876917845119776
AANAT,,,0.0898758519563029
RELN,0.10125468306407535,0.004495549394667034,
IL15,-0.03373935982591535,0.01299839257816948,-0.003482900247261188
BSG,-0.03139594209846891,0.0316646433493588,0.043705303350416655
ADAMTS3,-0.00715155272685681,-0.032566348125251755,0.07202364585241859
CD34,0.07100096066462154,-0.01873048771829116,-0.021015918277962023
PLAT,0.04288191579788674,0.017552391794220447,0.0649308103121615
NTF3,,0.03845036899009939,
LTA,,,-0.003920912340279003
CKLF,-0.027564858949387077,0.021627801685120285,0.003390732636479538
CD24,0.06658250102553105,0.015042653625520248,0.057531126665053084
HSP90AA1,0.025696404306908602,0.01715479368994394,-0.013935101400456491
BMP4,-0.01964823316573864,-0.04120322573589561,0.0038933518936979626
SCGB3A1,,-0.004408350009305621,0.037657526655439956
IGFBP4,0.09338739181351599,0.01596066768246895,0.010444064850201948
RSPO4,,-0.019964932554813918,0.01012209865693236
LEFTY2,0.02953476723165098,-2.0895582898156167e-05,0.07408912513471047
PF4,,,-0.005901174799527493
ANGPTL2,-0.006593928856428142,-0.0187253758730512,0.0018364302811056232
LRIG2,0.0032536074024382003,-0.01936179865188026,0.04680279269260215
ICOSLG,0.03636285901433742,-0.06987266637709255,0.00036038994256428923
WIF1,,0.021140116354659885,
NPPC,-0.028934315334395645,0.0011654203001089706,
LYZ,0.01455839316600695,-0.029906862732433807,-0.03471565105556988
EREG,,0.05232110045232296,0.05058771149761055
SPTAN1,0.018519676368582788,-0.007444411221207044,-0.04550743367196019
PTH2,,-0.020083022714295264,
LIPC,0.09024858540470056,,0.04347833728709845
COL8A1,-0.004726553685778714,0.03139770480962843,0.10909397312082905
GSTM2,0.03335015760304394,-0.014680607609459597,0.01843514806154808
SPX,-0.010856343266019622,-0.049132611812484746,-0.027119390869633914
MFGE8,-0.0089182475401434,0.008032762848614696,0.019297861184114244
TGFA,-0.00981995840138505,0.018550064470691772,0.047196184968076815
SLIT2,0.003513824586477849,0.07379969833617973,0.06867657648803824
PLTP,-0.07800401364896861,0.048071253016260085,-0.0464772312300823
APOD,0.0024415461864003177,-0.026838359499085963,-0.11477963150023474
B2M,0.018837792344800108,0.03699775962790911,-0.03219543987876445
OMG,-0.03930194876853881,0.03065728776619173,0.023448005864344902
CXCL3,-0.015374686549509709,-0.0244548227963469,-0.01792444411155298
