,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.007713602088943554,,,,,,,,,,,,,0.05627792343332992,
BMP1,0.05365821614566973,0.04742284071281324,0.0501300816131041,-0.02007021584879903,0.011282362890634827,0.021319797066526137,-0.0038354784310769387,0.2410794074904774,0.20133099609639915,0.03357931233971099,0.01991428655547378,-0.07049231370466429,0.03488286975205812,0.04969159570340074,0.006690828918448161,0.08659359851345792,0.04446062307591409,0.00786567596983608,0.019111723323970382,0.011110213114614834,0.02393508838035572,-0.002698327769649498,0.07994736678014758
NDP,0.05381013409922149,-0.008474239098015243,-0.010825374906375073,-0.024612699868132755,0.02508234936373642,-0.014645308393189104,0.07468905368830155,0.005192319848145779,0.01393939582054779,-0.001828920895000019,-0.007750275878756708,0.07477046091527825,0.0238103952628481,0.03539316416205327,0.03606582900485546,-0.008984010756349223,0.023002493959561138,-0.016566929044014085,0.03201764685401462,0.07846898285407661,-0.0709825909126224,0.13142762869016636,0.060983882581791625
TNFSF18,0.04642331730866976,0.15081725151569506,-0.05020175077924706,-0.0033851934068820874,,,,0.06196432412330527,0.007993504705134364,-0.0309569303219287,,,,,-0.04371227660201939,,-0.06717216213745217,,,,,0.030269152787004153,0.035272453214548215
IL36G,,,,,,,,,,,,,,-0.007797907253332343,,,,,,,,,
RTN4,-0.05535019867938224,-0.06845924448075064,0.013112760485597867,-0.015331620489624347,-0.006609345729297899,-0.025379325632269918,0.05925686791975833,-0.2531406136308877,-0.2748080465776137,-0.010212480542312732,0.047382145912896016,-0.03393305216736154,-0.06588270498446376,-0.008420224908896648,0.11315966258301827,-0.016129462618037927,-0.02631589135591581,-0.03601601983453831,-0.045638659289277315,0.00977622304762888,-0.027641116584556157,-0.025729635018485783,-0.06298883372805983
HEBP1,0.054962717842827524,-0.010045532628087618,0.018144909288338566,0.005918057680570996,-0.03054973895071861,0.022295657327592047,0.03930043765104602,0.1225728074502518,0.07895251950138978,0.005227749068315905,0.0026176426999762964,0.008839733272359786,0.040914678641319376,-0.053317302819191045,0.020745403049344264,-0.07833079380921562,-0.0019371574245300512,-0.01415352566666418,0.0048174715964608835,0.10503044021699896,0.0015927747105775726,0.12679313078870988,-0.04273135856561969
WNT7B,0.0622117714972248,-0.04638286852274462,0.010387981414246336,-0.0071704984516901575,0.015630420052155,0.021573378045237353,0.04561087328299114,0.04896918530888481,-0.09275633744514965,0.007534892414386194,-0.01586637537137371,,0.057548844026086184,-0.03331962049757967,0.07062183757832434,-0.053203659534598206,,-0.030936027544056333,-0.006898524686750947,-0.01774290173635509,-0.006265650984189895,0.04138386979228553,0.06669551708884874
PTMA,0.012191660163734198,-0.03339672497029295,0.04902568320653919,0.029350018589296253,0.12561136431089023,-0.025519469526230503,0.013283922788275676,0.34299766896614864,-0.129571889160975,-0.06789992062521887,-0.011497476280087507,0.07716122753562212,0.11120809874488606,0.01737725407986148,0.06949565477320273,0.010372247893726328,0.0836497401584057,0.0002241747681356626,-0.08797897101322506,-0.07716010654998744,0.025737594831633633,-0.04367122152246787,-0.06412977083819733
FASLG,-0.02293360211592419,,,,,,,,,,,,,,,,,,,,,0.015858000628781215,
CEACAM1,-0.031843507245673,,0.010922360355212764,-0.02748120403305695,,-0.03419818630428432,0.005775137953132502,,0.0667237531496553,0.02994778768623792,,,,,,0.012910576022950366,-0.026624705111568038,-0.027743925014635757,-0.025235139078851738,-0.010545051736289586,-0.024522571947319674,0.02579176837002506,
PDAP1,-0.027762056850552528,0.016704919819133413,0.011278428400313279,0.05154664105046008,0.06051037871488564,0.004071684701770685,-0.05811372689569322,0.12545349556583274,0.21187024366431248,0.011260671416743645,-0.011358079939260985,0.0074773826944054345,0.08794286441682896,-0.03945020194569575,-0.05439339511765529,-0.06626230507901439,0.0160078919631468,-0.04249054145355292,0.03584647249812104,-0.011458404762484269,-0.037906430677163136,0.037898907164276935,0.034328334668005986
QDPR,-0.0005609124115663584,0.010634801480020438,0.009809354875055229,-0.022541911911411385,0.03699874553457688,0.06938803127302931,0.015879738715688676,-0.15165274100662673,-0.2617459811741894,0.010756768201838277,0.052911232945981386,0.0691276630546443,0.05578212335496953,0.058488743010171595,0.026318131513345725,0.09130100779649117,0.0947620604721688,-0.005494639145722059,0.03872882260124199,0.05252783380750321,0.029098824086698158,0.03613757098398207,-0.03879687131175277
