,MGH258,UKF243,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.012843354209277872,,,,,,,,-0.02032217816872036,,-0.025332103342832313,
BMP1,0.00022304854069857006,0.08312455833947709,-0.001976881095466303,-0.021413169556209567,-0.02293810199195557,0.055176301108556154,-0.027079728621685152,0.05158127030162702,0.045773553680629804,-0.03390983155675065,0.08506716408869373,0.0027727905582761217,-0.06780944482872432,0.01923543961930444,0.005828041330222265,0.003384370937280719,0.03832219655492981
NDP,-0.004771183813417493,0.07778119911605717,0.01253652527638184,0.04831478619202542,0.030085472638692524,0.012433661375824596,0.025557664090124818,0.02861551828109123,0.020029120983875427,0.06426379471130249,0.04335651113996034,-0.007451163944136471,0.025482295171054863,0.006370633701019064,0.01944727932176001,0.03272391370252955,0.013164883821714718
TNFSF18,0.0826708638559381,0.05930901891528113,-0.023068117656788012,,,0.04195128488572066,0.05893149592389005,,,-0.024507766031691948,,,,-0.020957903637891517,,-0.0427307294241631,0.019625500021002492
RTN4,-0.035222474872912135,-0.04632600612591396,0.006828186308596696,-0.0009375225990276682,0.047341653670861156,-0.08335240785447019,0.018391665544443714,0.03566211149673132,-0.13506768437976438,0.10286268654565929,-0.058042311391222685,-0.004981022354955166,-0.04142833154881341,0.04957474317545505,0.00994459929678115,-0.018942507723599098,-0.0746833113811647
HEBP1,-0.0006026930132780027,-0.026421941920489318,-0.011529839108723496,-0.004711406258526404,0.01744848935140342,0.04605980166435082,0.05143989431516767,0.019352394035304865,0.00199317162092146,-0.09683224584981882,-0.015633427214556454,-0.06348634282438127,-0.023777178532067678,0.009651180308984805,-0.01765585908560477,0.007920762158251797,-0.007684253506363999
WNT7B,0.051329203809021014,-0.037071933534651526,-0.020017274792655457,-0.01057542296643195,-0.009588390966898801,0.022670928338894038,0.030059754690128268,-0.011083479120554227,,-0.026980658310344473,0.05156761973877211,-0.03636042561329023,-0.03173085355136704,-0.01913565219712409,0.025393080666139937,-0.030326765240001843,0.009762231196661926
PTMA,0.031996112444390275,-0.07519014474868883,0.06324193616107597,0.02611403862425226,0.01176114808368329,-0.07808495176659047,-0.008878910551280756,0.03150940970116289,0.11011258901863923,-0.025286554438748172,-0.05260852529820417,0.006033057064784846,0.018540571642472047,0.008485385312307223,-0.007308058000136636,-0.0006788073781974805,-0.012908490084993627
FASLG,0.07844858832719284,,,,,,,,,,,,,,,0.03521240002182458,
CEACAM1,0.007284336022339305,,-0.010255716776165297,-0.03213401218034668,-0.015610034012853007,0.05388343533558838,0.023046018988065103,,,,-0.030539024783243916,-0.025733322634411856,-0.024091355275716556,-0.03011431949289537,0.04716516885275733,-0.0033329077247421296,
PDAP1,-0.05890489809569328,0.0038910234474905637,-0.006736674621202722,-0.025111477405359066,-0.04010391534860664,0.08517578199181589,0.026535348788637274,-0.0047812793493525905,-0.0447177390166485,0.04122757128278582,-0.06702457943758092,0.0045120986466392655,-0.015165156477710414,0.007502084581787389,-0.01965173752597638,0.020983343477478367,-0.019596074767219723
QDPR,0.027697533040718484,0.08659270824862389,0.01658346756730037,-0.0013010057695722486,0.02670931312232491,-0.10113764787829714,0.010657381458474778,0.06082735884129324,0.03343081301245696,-0.037654097193018786,-0.06747644175597392,0.036201525377957317,0.0031016645798998287,-0.018275497748214298,0.04888520840094197,-0.008354213709028033,-0.00703157536059335
POMC,0.009682538535188509,-0.010332147700894271,-0.034542462164922995,0.04615993531482232,0.019164712840516202,-0.03235227479957905,-0.017554604982041633,-0.009067613911982606,0.057993012995887876,-0.019031688063404675,-0.0002552376537768832,-0.02070446354841551,0.02549736393947359,0.1260749364036446,0.08447322442925512,-0.04089423403038459,0.05220754340238146
CCL18,,-0.02853083145874324,,,,,,,0.07704527477528324,,0.10908934116656939,0.06924994333344997,-0.010013490414216347,,0.005617675060168068,,
CCL17,,,,0.03020860296602473,,,-0.018868926498427224,0.06825609986891873,,,,-0.0182565468812888,0.013947237084182619,0.04808995704925906,,-0.019913812817226675,
VEGFD,,-0.032145907926952676,0.0034789399361650143,0.00890105877504773,-0.0149347967321172,-0.021516063450224363,0.00690549565013146,-0.010062495044802309,-0.017602411073498234,,,,0.00924897064301841,0.11664292796138233,,,
TNFSF13,,,,0.05957443885555429,,,,,,,,0.05674238844473603,-0.0039781649335445075,-0.028732690275752266,-0.009476038435971732,0.061868037550893894,0.05381552150180272
WNT5A,-0.04579853802873231,0.04470026334934675,-0.0508866096658723,0.015281689242200417,0.008206840257405486,0.07334303787119481,0.022563658758370516,-0.057717359100303116,-0.0219284645846444,0.031543203646173454,-0.004225927900795366,-0.02918563126705437,0.02208122833602445,-0.019407644236583685,-0.08741435120377619,-0.008036795318235267,0.013571729123610834
CXCL8,,-0.04053904468316282,-0.03188612460950916,0.012859441268309062,-0.06318896327271696,0.1192008114121624,0.002075118922157156,-0.009370632917550322,0.022118712711230046,,-0.03812293580047348,-0.04843272565264123,-0.09792870223529995,0.017064023702946296,-0.07676040603181461,0.002290601353182295,0.029348568631420997
GRN,0.022422352390960416,0.041471670920097424,0.0172660515228259,0.030325254061303354,0.04390609904447626,0.011518089214209746,-0.02945649954611578,-0.000989006622618814,0.06052098533726061,0.1583718540967722,0.11109279725508427,0.03986148144327,0.024635691028234645,-0.04682220699402409,-0.012665834566064444,0.04758596319832934,0.0018626871355787427
MIA,0.046873135975548826,0.05915240410072178,-0.030285224694029434,-0.03340107017089555,-0.007372631606757066,0.042095756696746506,-0.03708712462909677,-0.011443968971738097,,0.05090808170661562,-0.02337084413365759,-0.0022874355548929436,0.0793740478493672,-0.0504847397136728,-0.0317651655800806,0.05587354986623682,0.020269681954170105
COL4A4,-0.0020084165879238583,0.10873127223210773,-0.037722366520513126,-0.011931095813106366,0.0410982600909001,-0.012656172273130636,-0.01969974304387647,0.010270264254052003,,,-0.027375741188641382,-0.011505018091392568,0.005745697824707006,-0.02822784443055397,-0.01705302295486918,-0.008884146240573581,0.09996415311989933
TAC1,-0.019303087910859638,0.01635897845058001,-0.032241386835066395,0.0242641898810049,-0.024782624544562103,-0.04136442597391408,-0.01609904706744638,0.025416881532783122,-0.055720678902684756,,,,,,-0.03755674276234573,-0.026178731869960847,-0.03756725729132259
RARRES2,-0.057632023171192114,-0.012470519623248738,0.06415550327158459,0.033539067348659836,-0.05600707035073164,0.06706314927253945,0.07031663566000697,-0.06719560819105398,0.11951044232490254,0.044222910513796135,-0.0008664639216961977,-0.020258163819018835,0.02089659204438883,0.04985534404660591,0.011233495300690559,0.006368667357059791,0.02986898539076196
FGF7,0.06092184069230332,0.006631346186734917,-0.029890897690551137,0.011038943144768302,-0.0014531399857558255,-0.01275581972654026,-0.009661907748175515,0.004834330052171186,-0.0032318279120109508,-0.061585665145950985,0.04706673891384267,0.0957388196930709,0.11944998857235639,0.031039657015704186,-0.021381970563552115,0.05085943832946786,0.007252645957571838
EFNA2,,,,,,,,,,,,,0.014264550811480516,,,,
HBEGF,-0.02314972836405535,-0.024748877419719782,0.07530840359424133,-0.04070354548458099,-0.05609478107096569,0.07272079794386796,0.02385004332401318,-0.025841452093312817,0.06877705855196725,0.04113545818160205,0.08461804342950831,0.002541260501063041,0.03862261518601911,0.01771259859904754,-0.003258340172536605,-0.00849775303822598,0.09355862912513951
CSF3,,-0.03236044084343219,,-0.03175262236226671,-0.0420460031887171,-0.013389986663905652,,,,,,-0.04210864249021467,-0.04250453217581186,,-0.031208017584317405,-0.0009662800470366595,0.03743064171122823
PI3,,-0.0383357677998047,,-0.004700123284094819,-0.029348060082939303,0.08898925988344933,,,,,,-0.036783999013712605,-0.06483303244681131,-0.022765548435149354,-0.08112494025849395,-0.045552528227857526,0.039133408552634266
PCSK1N,-0.072686358553909,-0.01406451670364585,-0.05513267631434303,-0.009553185986707478,0.04288682791235592,-0.06568555159919455,0.05010327756121613,-0.038200413904387394,-0.13742441418146017,-0.016213051306514917,-0.051494284754507694,0.007525341867642925,-0.021609419812599673,-0.03482406970134894,-0.03371660348391452,0.016979964164399897,-0.03556696609197443
NTS,,,,,0.01814261027781294,-0.01645790430971045,0.0020842672765551584,-0.03803251120798827,0.038768142063696505,,,0.011624565315527255,-0.02789591863834579,,-0.017004620839842558,-0.017542645641011285,
SFRP1,0.020844247421655554,0.2355093308570685,-0.018277985782698417,0.003071532890133743,0.0046216972662936045,-0.040490161921382384,-0.034355231087773316,-0.013718240280330588,0.05014648794337278,0.08221289652165477,0.006678527097944074,-0.007108404411292785,-0.004598668015904096,-0.03902576751471797,0.06739069907283139,0.07213812887671929,-0.03705956326905699
CXCL13,,,-0.046191254642058636,,0.07094267097704701,,,,,,,0.08599559930561795,-0.02219352013125205,,0.009592139683535414,,-0.003543010580022693
MICA,-0.0013076119148977925,-0.02170968725515038,0.040357446391875676,0.04246615504257168,0.016984826604071416,0.08448063571206345,-0.03930050919305818,-0.021228499179511945,0.07740104321328996,-0.020032397625656298,0.07784277946560386,0.03196795300820263,-0.021117251830930637,0.11667769582372371,0.030187882479038003,0.07779530394504476,0.047751921911620455
TG,0.07971723599029254,-0.025796436459839627,-0.03233021452161503,-0.012995084770481884,0.03823129068682512,-0.01616051592833707,0.08364249864209239,-0.009927830817773748,,0.015450410899772058,0.005295240566763204,-0.024258386406918513,0.04949382700300944,,-0.02568467803241763,-0.04088803615291846,-0.026552715243760756
ADA,0.03632960374065515,-0.00877995922935927,-0.013803864318204684,0.06674680174077334,-0.014761501494981118,0.07945300914445583,-0.0013009928259437504,-0.01612359564475033,0.0764421197758952,0.04519016172410974,0.061449234739796174,-0.025112993008336824,0.0649606680709032,-0.05222756016198029,0.03937553254734265,0.055743889029095266,0.013300244478846968
