,MGH258,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.02204284843360781,,,,,,,,,,-0.00037064626766220276,,0.017774380778091507,,
BMP1,0.04344145196180148,-0.0035771816802563886,0.009378860441130725,0.03289001011216276,0.03329677771117108,0.18521108772730271,0.0013484329813542289,-0.021861523595170414,-0.002690028812979785,0.04416389816683977,0.04674128768893946,0.008261272681087986,0.06928121210349115,-0.00574071426060928,0.006538143987592842,0.0582174164323131,0.03724360553601177,0.04843308324245813,0.012003108337316343,0.040789177742421856
NDP,0.014803270913245773,0.04321686597121926,-0.03426294339558121,0.011484697745384746,0.02665491415699701,0.0591945630759756,0.03967953709847279,0.011291200030205267,-0.02634430604390871,0.03911780950275572,0.03621654866646409,0.11931850240367138,0.0085744347729995,0.08226952590581461,0.02050275429619864,0.09227576355884029,0.04641426536647289,0.024228990481330804,0.003602225103294177,-0.04625212138050069
TNFSF18,0.04590439207518379,0.05483474569947273,,,-0.012213192014601458,0.055546284253651136,-0.01567068141224232,,,,0.0732743839379215,,,,,0.011297020343205491,,0.026157027828663432,-0.026018900392581878,
IL36G,,,,,,,,,,-0.021081211624552402,,,,,,,,,,
RTN4,-0.028328674661670605,-0.03711375389762505,-0.036409420499320486,0.02594215646463385,-0.018677015757763045,-0.22002136948554452,0.06432032504880666,-0.003896509024692707,-0.09768782732856766,0.0018676327994062694,0.03980478830504886,-0.055435459405164825,-0.07402296825595972,0.06562667921734835,-0.024107424499884608,-0.08822715263188645,0.0007285743970090916,-0.057378368740391164,0.00028911275885498125,-0.02469888983224338
HEBP1,0.0024039109819084213,0.028336992091549593,-0.009860837913836644,-0.018484319427053936,-0.03331754300102669,0.09835412288386255,0.00927606063151596,0.023294969169413645,0.10276901719397528,0.05501005633034924,0.034647750529120114,0.0424674283927643,0.05293243156414014,0.032579067782077926,0.011530481939323134,-0.009255316953913123,0.02317245561735191,0.02868171842057719,-0.02908846234948292,0.03685109866160313
WNT7B,0.0005993545121011276,-0.0017762962516334696,-0.02363143948573879,-0.027138828497664216,-0.004928938630945422,-0.054180624966731886,0.08424499313565098,-0.010749563691207576,,0.036984534243852826,0.1365997937731067,-0.0678367635609616,-0.04659518467065106,-0.03941140387564561,0.04563115211249337,-0.005914602331774973,-0.032607149067708105,-0.04547512318121923,-0.03874264620493314,0.06522300204393652
PTMA,0.06298832370451356,0.07898779531677616,-0.013013474004006376,-0.011374986040871357,-0.0016216325124222435,-0.1067334385334891,0.012992081113069992,-0.0011907965316914808,0.16479826387746346,0.000374855287985471,0.06761224449679284,-0.15426091312907708,-0.08034900106780048,-0.062168370021792964,0.012756528925013777,-0.01581580729933143,-0.07469463359292328,0.010542389090909826,-0.055227238145182884,0.002707005892434631
FASLG,0.04679047643462151,,,,,,,,,,,,,,,,,-0.018478386714167166,,
